GWh,LITHUANIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-12-01,104.233,0,11.683,43.440000000000005,40.82,8.29,0,105.761,147.414,0.594,0,0,18.28,294.589,81.69300000000001,376.28200000000004,1060.26,286.143,1150.399,68.633,118.193,963.5729999999999,2017,12
,2018-01-01,101.686,0,9.683,37.397000000000006,49.761,4.845,0,108.004,138.813,0.949,0,0,17.386,297.527,69.311,366.83799999999997,1123.314,285.821,1204.3310000000001,69.619,114.617,1020.0950000000001,2018,1
,2018-02-01,90.268,0,7.465,32.909,44.152,5.742,0,94.565,56.587,2.426,0,0,16.072,197.72999999999996,62.18799999999999,259.91799999999995,1086.93,249.514,1097.3339999999998,55.261,103.819,938.2539999999998,2018,2
,2018-03-01,99.677,0,6.455,45.107000000000006,41.201,6.914,0,86.585,99.536,6.856,0,0,18.012,234.178,76.488,310.666,1131.303,289.586,1152.383,39.395,109.157,1003.831,2018,3
,2018-04-01,84.486,0,8.37,33.872000000000014,36.849,5.395,0,78.935,134.622,9.97,0,0,19.25,260.37600000000003,66.88700000000001,327.26300000000003,1037.12,411.498,952.8849999999998,25.647,62.552,864.6859999999998,2018,4
,2018-05-01,97.483,0,14.288,48.456,28.57,6.169,0,85.589,69.015,14.304,0,0,14.687,197.47799999999998,83.6,281.078,1051.046,290.377,1041.747,66.1,54.518,921.1290000000001,2018,5
,2018-06-01,43.453,0,10.501,2.5620000000000047,29.084,1.306,0,54.482,77.201,12.215,0,0,20.529,172.982,34.898,207.88,1076.478,306.025,978.3330000000002,52.126,54.106,872.1010000000002,2018,6
,2018-07-01,74.051,0,13.075,18.523999999999994,35.438,7.014,0,44.709,61.515,10.589,0,0,17.988,152.251,56.60099999999999,208.852,1052.187,246.23,1014.809,31.494,72.425,910.89,2018,7
,2018-08-01,77.48,0,12.979,22.218000000000004,34.824,7.459,0,68.771,70.76,10.431,0,0,21.97,184.78600000000003,64.626,249.41200000000003,1011.839,240.125,1021.1260000000002,67.419,69.58,884.1270000000002,2018,8
,2018-09-01,63.827,0,8.035,14.025999999999996,34.459,7.307,0,91.587,112.815,8.239,0,0,21.076,247.1,50.443999999999996,297.544,902.638,163.364,1036.818,105.27,61.861,869.687,2018,9
,2018-10-01,74.903,0,5.457,20.769000000000005,41.559,7.118,0,107.427,136.86,6.041,0,0,20.047,291.887,53.391000000000005,345.278,1063.965,247.315,1161.9279999999999,119.557,85.177,957.1939999999998,2018,10
,2018-11-01,56.536,0,8.066,2.308,40.21,5.952,0,59.375,83.154,1.368,0,0,18.687,184.107,35.013000000000005,219.12,1159.42,261.417,1117.123,49.19,88.863,979.07,2018,11
,2018-12-01,65.348,0,7.724,3.6310000000000073,47.129,6.864,0,60.671,96.623,0.412,0,0,17.396,204.835,35.61500000000001,240.45000000000002,1151.257,223.729,1167.978,45.222,57.828,1064.928,2018,12
,2019-01-01,89.122,0,4.931,32.943000000000005,44.68,6.568,0,78.071,132.034,0.58,0,0,17.635,255.365,62.077,317.442,1195.523,288.568,1224.397,49.997,116.56,1057.84,2019,1
,2019-02-01,101.612,0,2.989,52.043,40.044,6.536,0,70.42,154.735,3.262,0,0,15.346,268.461,76.914,345.375,1009.91,306.364,1048.9209999999998,22.273,65.728,960.9199999999998,2019,2
,2019-03-01,91.854,0,2.316,39.568999999999996,44.113,5.856,0,67.805,179.372,6.088,0,0,18.595,297.37800000000004,66.336,363.71400000000006,1091.568,368.999,1086.2830000000001,26.991,93.857,965.4350000000002,2019,3
,2019-04-01,85.736,0,3.983,38.16700000000001,36.418,7.168,0,57.54,119.19,12.981,0,0,19.181,226.129,68.49900000000001,294.628,1033.989,334.625,993.992,30.298,62.173,901.521,2019,4
,2019-05-01,88.385,0,2.532,52.70700000000001,26.024,7.122,0,65.718,102.401,10.901,0,0,12.599,205.044,74.96000000000001,280.004,1042.069,279.978,1042.0949999999998,56.324,61.191,924.5799999999998,2019,5
,2019-06-01,69.796,0,5.031,31.81000000000001,28.911,4.044,0,78.464,104.026,13.966,0,0,19.463,225.36700000000002,60.348000000000006,285.71500000000003,1170.857,386.982,1069.5900000000001,81.142,73.143,915.3050000000002,2019,6
,2019-07-01,64.304,0,3.669,29.945,25.643,5.047,0,101.306,99.692,11.614,0,0,20.02,238.255,58.681,296.936,1085.635,316.769,1065.802,119.912,68.583,877.3069999999999,2019,7
,2019-08-01,78.162,0,6.535,26.676000000000002,38.228,6.723,0,109.141,48.78,10.866,0,0,20.288,207.015,60.221999999999994,267.23699999999997,1185.395,354.801,1097.8310000000001,130.605,78.275,888.9510000000001,2019,8
,2019-09-01,90.645,0,6.076,41.21699999999999,37.03,6.322,0,98.165,118.179,7.697,0,0,20.788,261.07099999999997,74.40299999999999,335.47399999999993,1032.296,287.501,1080.269,116.304,64.273,899.692,2019,9
,2019-10-01,103.825,0,7.452,49.063,42.694,4.616,0,80.631,121.9,4.301,0,0,19.089,249.526,80.22,329.746,1138.695,332.401,1136.0399999999997,79.203,79.15,977.6869999999997,2019,10
,2019-11-01,89.458,0,4.921,29.756,47.918,6.863,0,48.388,134.754,1.075,0,0,16.165,232.135,57.705,289.84,1139.946,329.495,1100.2909999999997,34.041,91.491,974.7589999999997,2019,11
,2019-12-01,97.502,0,8.318,30.662999999999997,51.015,7.506,0,70.951,175.037,0.767,0,0,14.233,297.77,60.72,358.49,1142.017,337.815,1162.692,63.011,31.676,1068.005,2019,12
,2020-01-01,101.4524,0,12.663919,27.399570999999995,50.386875,11.002035,0,91.482214,192.508181,1.656418,0,0,16.344604,336.033688,67.410129,403.44381699999997,1173.945104,389.94195,1187.4469709999998,63.426179,132.98543,991.0353619999999,2020,1
,2020-02-01,121.45457,0,9.559551,55.835840000000005,45.731246,10.327933,0,111.150961,196.499535,4.189762,0,0,15.424886,357.571504,91.14821,448.719714,1077.514767,383.751935,1142.482546,96.725273,93.943359,951.813914,2020,2
,2020-03-01,109.813799,0,7.827216,41.29058500000001,49.387124,11.308874,0,116.093334,127.3397,11.177572,0,0,17.279415,303.99773,77.70609,381.70382,1113.109892,353.555861,1141.2578509999998,100.481284,111.417496,929.3590709999999,2020,3
,2020-04-01,103.175092,0,9.288604,37.383390000000006,47.182521,9.320577,0,79.846939,141.830465,15.133487,0,0,16.591136,283.993412,72.583707,356.577119,950.154322,337.014821,969.7166199999999,68.871195,72.690409,828.1550159999999,2020,4
,2020-05-01,162.992462,0,11.900078,100.610108,40.122549,10.359727,0,74.100398,119.5658,17.749652,0,0,13.306719,251.538399,136.17663199999998,387.71503099999995,961.620362,349.346851,999.9885419999998,74.553211,68.404621,857.0307099999998,2020,5
,2020-06-01,243.96818,0,8.547821,191.01128999999997,32.433661,11.975408,0,86.464341,62.927528,16.885717,0,0,18.582515,198.71124700000001,230.11703399999996,428.82828099999995,846.031958,276.871674,997.9885650000001,87.786248,42.942879,867.259438,2020,6
,2020-07-01,247.546845,0,5.877258,192.40464699999998,41.516548,7.748392,0,81.305091,100.812927,16.413151,0,0,18.614716,240.047717,224.645013,464.69273,963.191367,416.003013,1011.8810840000001,87.271247,57.28817,867.3216670000002,2020,7
,2020-08-01,282.291356,0,7.670124,238.077807,34.580721,1.962704,0,83.851873,45.655303,15.304,0,0,18.582515,179.391897,266.29314999999997,445.68504699999994,978.33442,368.334897,1055.6845700000001,106.515301,69.442569,879.7267000000002,2020,8
,2020-09-01,248.048293,0,7.394853,194.980633,35.098566,10.574241,0,82.54266,120.685777,12.455611,0,0,18.279633,250.782614,231.22936,482.011974,948.448316,382.377932,1048.082358,99.942283,60.283022,887.8570530000002,2020,9
,2020-10-01,188.960374,0,5.227272,132.853576,37.687783,13.191743,0,67.306478,127.962131,5.04233,0,0,16.913138,237.998722,168.185729,406.18445099999997,918.06521,222.700543,1101.549118,69.528197,91.530478,940.4904429999999,2020,10
,2020-11-01,185.496403,0,9.487491,116.89095499999999,50.838885,8.279072,0,92.456896,137.89406,1.896761,0,0,14.00506,283.086602,148.662578,431.74918,1013.901545,287.851701,1157.799024,103.291292,81.479975,973.027757,2020,11
,2020-12-01,217.895136,0,11.55707,144.806873,50.774366,10.756827,0,89.451004,168.394204,0.998722,0,0,13.781672,309.618296,180.902442,490.520738,1069.082738,337.148821,1222.454655,102.70829,68.991592,1050.7547730000001,2020,12
,2021-01-01,165.347625,0,5.34401,104.669653,47.045815,8.288147,0,90.789338,99.211389,0.600857,0,0,13.732365,237.64739899999998,132.03417499999998,369.68157399999996,1135.767971,260.458635,1244.99091,88.724251,134.868337,1021.398322,2021,1
,2021-02-01,161.549269,0,5.218624,106.34725700000001,40.108575,9.874813,0,89.876637,104.091932,4.516174,0,0,10.60593,238.59331799999998,132.046624,370.639942,1038.607631,241.213588,1168.033985,82.342233,84.930804,1000.7609480000001,2021,2
,2021-03-01,152.423201,0,2.408263,92.971963,47.701849,9.341126,0,110.98636,128.890283,8.928416,0,0,15.268917,296.506908,119.99026900000001,416.497177,1063.833719,310.294756,1170.03614,73.168207,87.952655,1008.915278,2021,3
,2021-04-01,133.579031,0,0.902198,77.37671499999999,44.240898,11.05922,0,109.731243,127.154868,12.325696,0,0,14.4297,293.45270500000004,103.76783299999998,397.22053800000003,992.783471,332.866811,1057.137198,93.923266,57.169176,906.0447559999999,2021,4
,2021-05-01,105.549647,0,2.422675,59.402950999999995,32.753577,10.970444,0,109.485121,113.618232,15.78631,0,0,11.539735,271.64324,84.335805,355.979045,887.998105,186.336454,1057.640696,89.905254,51.732444,916.0029979999999,2021,5
