GWh,GREECE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-08-01,3539.581,1368.024,566.68,1582.001,22.876,0,0,385.77,713.944,447.4,0,0,0,1569.9899999999998,3516.705,5086.695,733.191,350.054,5469.831999999999,1.275,96.266,5372.290999999999,2017,8
,2017-09-01,2939.226,1222.3590000000004,487.303,1206.783,22.781,0,0,231.26,339.875,387.454,0,0,0,981.3699999999999,2916.445,3897.815,853.199,198.059,4552.955,0,95.997,4456.958,2017,9
,2017-10-01,2964.094,1484.7130000000002,359.877,1095.953,23.551,0,0,213.667,439.222,355.939,0,0,0,1032.379,2940.543,3972.922,538.283,296.229,4214.976,11.375,74.972,4128.629,2017,10
,2017-11-01,3314.185,1554.7649999999999,313.191,1423.39,22.839,0,0,261.037,384.423,228.89,0,0,0,897.189,3291.346,4188.535,546.213,258.755,4475.9929999999995,33.939,93.789,4348.264999999999,2017,11
,2017-12-01,3082.855,1369.275,346.468,1342.697,24.415,0,0,378.455,704.161,210.588,0,0,0,1317.619,3058.44,4376.059,689.731,135.263,4930.527,33.939,93.789,4802.799,2017,12
,2018-01-01,3300.73,1615.024,406.185,1230.352,26.899,22.27,0,261.999,543.617,225.081,0,0,0,1057.596,3273.8309999999997,4331.427,842.816,53.894,5120.348999999999,10.321,449.688,4660.339999999999,2018,1
,2018-02-01,2831.195,1366.6490000000003,356.914,1062.524,22.838,22.27,0,393.594,510.446,180.107,0,0,0,1106.9850000000001,2808.3570000000004,3915.3420000000006,690.035,139.8,4465.577,1.922,416.81,4046.8450000000003,2018,2
,2018-03-01,1998.326,932.6370000000002,321.424,696.083,25.912,22.27,0,1037.569,645.639,296.842,0,0,0,2005.962,1972.4140000000002,3978.376,691.135,316.017,4353.494000000001,0,387.454,3966.0400000000004,2018,3
,2018-04-01,1797.951,651.944,335.713,762.93,25.094,22.27,0,628.678,390.157,374.47,0,0,0,1418.3990000000001,1772.857,3191.2560000000003,839.201,170.378,3860.079,2.285,316.434,3541.36,2018,4
,2018-05-01,2537.46,1141.046,431.408,918.102,24.634,22.27,0,360.573,445.124,375.081,0,0,0,1205.412,2512.826,3718.2380000000003,613.645,56.18,4275.7029999999995,2.153,342.789,3930.7609999999995,2018,5
,2018-06-01,3022.231,1421.0410000000004,509.539,1044.667,24.714,22.27,0,374.83,389.052,385.415,0,0,0,1174.011,2997.5170000000003,4171.528,645.633,86.987,4730.174,2.153,342.789,4385.232,2018,6
,2018-07-01,3538.732,1625.9319999999998,624.957,1240.385,25.188,22.27,0,439.209,291.177,429.778,0,0,0,1185.352,3513.5439999999994,4698.896,1029.479,185.143,5543.232,0.19,571.548,4971.494,2018,7
,2018-08-01,3368.192,2066.168,602.771,654.105,22.878,22.27,0,438.963,700.305,427.575,0,0,0,1589.721,3345.3140000000003,4935.035,924.166,298.687,5560.514,2.335,519.099,5039.08,2018,8
,2018-09-01,3048.999,1214.7549999999997,486.293,1301.915,23.766,22.27,0,329.026,583.921,376.147,0,0,0,1312.8600000000001,3025.2329999999997,4338.093,478.985,152.362,4664.715999999999,0,477.652,4187.063999999999,2018,9
,2018-10-01,2904.345,1032.4799999999998,408.083,1416.55,24.962,22.27,0,239.089,569.512,307.799,0,0,0,1141.3619999999999,2879.383,4020.745,501.221,277.605,4244.361000000001,0.124,460.343,3783.8940000000007,2018,10
,2018-11-01,2923.556,1323.518,309.191,1246.021,22.556,22.27,0,257.872,697.009,210.825,0,0,0,1188.262,2901,4089.2619999999997,550.386,240.366,4399.281999999999,1.064,456.908,3941.309999999999,2018,11
,2018-12-01,3669.579,1659.0600000000002,387.74,1576.622,23.887,22.27,0,290.047,534.301,201.531,0,0,0,1049.766,3645.6920000000005,4695.4580000000005,743.296,294.582,5144.1720000000005,0.957,500.485,4642.7300000000005,2018,12
,2019-01-01,3431.768,1545.662,443.745,1385.614,33.538,23.209,0,477.493,679.788,205.915,0,0,0,1396.734,3398.23,4794.964,649.604,357.353,5087.215,1.506,245.483,4840.226000000001,2019,1
,2019-02-01,2318.591,989.6389999999999,375.567,899.609,30.567,23.209,0,382.82,657.258,248.523,0,0,0,1319.168,2288.024,3607.192,855.188,55.859,4406.521,0,196.523,4209.998,2019,2
,2019-03-01,2116.941,1113.4789999999998,347.625,598.198,34.43,23.209,0,268.601,668.723,390.164,0,0,0,1361.918,2082.5109999999995,3444.428999999999,1088.675,88.868,4444.235999999999,11.513,203.627,4229.095999999999,2019,3
,2019-04-01,2065.579,1013.297,359.079,637.773,32.221,23.209,0,260.337,479.447,368.728,0,0,0,1140.733,2033.358,3174.091,1023.263,95.168,4102.186000000001,8.264,175.768,3918.1540000000005,2019,4
,2019-05-01,1945.04,820.4719999999998,434.458,635.79,31.111,23.209,0,308.188,418.71,439.962,0,0,0,1197.971,1913.9289999999999,3111.8999999999996,1036.324,22.609,4125.615,8.264,175.768,3941.5829999999996,2019,5
,2019-06-01,2445.138,941.6299999999999,511.406,938.04,30.853,23.209,0,385.394,519.61,463.241,0,0,0,1399.098,2414.285,3813.383,895.508,27.953,4680.937999999999,4.821,195.302,4480.815,2019,6
,2019-07-01,2766.845,889.837,608.074,1214.039,31.686,23.209,0,407.621,538.346,490.872,0,0,0,1468.525,2735.1589999999997,4203.683999999999,1031.322,36.008,5198.998,1.999,217.902,4979.097,2019,7
,2019-08-01,2734.05,917.203,628.027,1135.346,30.265,23.209,0,434.892,858.624,521.308,0,0,0,1845.089,2703.785,4548.874,870.287,104.847,5314.314,2.201,213.282,5098.831,2019,8
,2019-09-01,2278.43,682.4129999999998,495.741,1046.683,30.384,23.209,0,289.276,584.962,450.386,0,0,0,1355.008,2248.0459999999994,3603.053999999999,805.431,106.421,4302.0639999999985,1.025,180.747,4120.291999999999,2019,9
,2019-10-01,2247.881,760.9099999999999,441.786,988.754,33.222,23.209,0,217.051,482.68,389.902,0,0,0,1122.855,2214.6589999999997,3337.5139999999997,781.83,190.692,3928.652,2.09,189.539,3737.023,2019,10
,2019-11-01,1980.503,853.2969999999998,324.23,745.9,33.867,23.209,0,241.147,584.342,246.139,0,0,0,1105.495,1946.6359999999997,3052.1309999999994,867.18,31.584,3887.7269999999994,12.735,194.48,3680.5119999999993,2019,11
,2019-12-01,2248.444,1125.7559999999999,383.559,681.448,34.472,23.209,0,371.548,760.857,213.369,0,0,0,1380.2459999999999,2213.9719999999998,3594.218,1162.388,5.64,4750.965999999999,18.861,232.433,4499.672,2019,12
,2020-01-01,2933.424071,977.3178169999999,393.881133,1514.733667,30.09083,17.400624,0,287.822903,782.571732,258.145997,0,0,0,1358.631462,2903.333241,4261.964703,932.65212,26.579651,5168.037171999999,6.148869,292.850372,4869.037930999999,2020,1
,2020-02-01,2203.199236,717.9062979999999,346.203772,1094.176397,27.512145,17.400624,0,176.463716,801.906522,283.726996,0,0,0,1289.609379,2175.687091,3465.2964699999998,1056.483923,7.979895,4513.800498,11.896811,246.17068,4255.733007,2020,2
,2020-03-01,1832.629948,433.55646499999966,315.757483,1036.596725,29.318651,17.400624,0,243.072992,815.539008,333.187326,0,0,0,1421.1179769999999,1803.311297,3224.429274,1132.020225,5.243231,4351.206268,33.252039,255.034899,4062.9193299999997,2020,3
,2020-04-01,1594.35227,320.80752299999995,261.694037,966.605478,27.844608,17.400624,0,282.168037,769.74291,368.731275,0,0,0,1448.4868300000003,1566.507662,3014.9944920000003,705.076293,58.631632,3661.4391530000003,11.654392,228.923536,3420.861225,2020,4
,2020-05-01,1656.022164,199.775707,265.846732,1144.491787,28.507314,17.400624,0,295.561727,555.210594,444.221754,0,0,0,1323.501389,1627.51485,2951.016239,756.262166,27.207098,3680.071307,3.734954,221.180383,3455.1559700000003,2020,5
,2020-06-01,1814.770694,196.25461899999982,287.16958,1287.977065,25.968806,17.400624,0,385.397058,532.27537,455.194814,0,0,0,1398.836048,1788.801888,3187.637936,843.741224,48.467061,3982.912099,3.43725,234.34844,3745.126409,2020,6
,2020-07-01,2569.831452,278.856949,401.047779,1846.065125,26.460975,17.400624,0,410.106421,824.917977,494.23141,0,0,0,1755.7167829999999,2543.370477,4299.08726,946.10446,67.040209,5178.151511000001,2.04602,287.489633,4888.615858000001,2020,7
,2020-08-01,2529.562953,313.8127430000004,475.020285,1696.455416,26.873885,17.400624,0,356.59803,639.285634,485.59982,0,0,0,1508.3573689999998,2502.6890680000006,4011.0464370000004,1022.711897,40.809175,4992.949159,3.162661,288.199122,4701.5873759999995,2020,8
,2020-09-01,2251.131832,295.5954949999998,418.071905,1491.250311,28.813497,17.400624,0,299.843235,996.843353,427.277354,0,0,0,1752.777439,2222.318335,3975.095774,663.923209,222.490142,4416.528841,3.479718,297.213949,4115.835174,2020,9
,2020-10-01,2039.500227,321.1802919999998,377.598101,1295.225484,28.095726,17.400624,0,215.253898,608.974951,377.591988,0,0,0,1229.9165630000002,2011.404501,3241.321064,738.318375,20.502138,3959.137301,6.947245,254.30429,3697.8857660000003,2020,10
,2020-11-01,2257.882726,585.2505249999999,292.808124,1352.02316,10.400293,17.400624,0,227.819757,992.052929,270.046104,0,0,0,1500.3190829999999,2247.4824329999997,3747.8015159999995,502.416654,168.96455,4081.253619999999,15.784702,313.282843,3752.186074999999,2020,11
,2020-12-01,2814.445174,787.1415129999998,346.282876,1652.908535,10.711626,17.400624,0,259.565814,959.156717,160.115163,0,0,0,1389.5493199999999,2803.7335479999997,4193.282867999999,531.289452,273.085218,4451.487101999999,36.455341,337.001853,4078.029907999999,2020,12
,2021-01-01,2491.1043,552.3347639999997,356.247706,1554.360835,10.760371,17.400624,0,838.437894,1203.645244,241.585507,0,0,0,2294.429016,2480.3439289999997,4774.772945,348.149955,427.562165,4695.360734999999,13.426627,352.926105,4329.008002999999,2021,1
,2021-02-01,1675.539938,490.8500769999998,315.419191,842.676064,9.193982,17.400624,0,964.858588,882.057655,302.227286,0,0,0,2158.3375109999997,1666.345956,3824.683467,660.950084,229.329285,4256.304266,6.980857,290.060415,3959.262994,2021,2
,2021-03-01,2248.256493,610.9373149999999,322.948918,1286.478025,10.491611,17.400624,0,360.598814,843.29682,404.102505,0,0,0,1618.48975,2237.7648819999995,3856.254631999999,776.198671,237.726734,4394.7265689999995,0.48542,275.527091,4118.714058,2021,3
,2021-04-01,2224.241643,390.59691699999985,272.809852,1532.701802,10.732448,17.400624,0,293.347297,747.013496,443.616914,0,0,0,1494.710155,2213.5091949999996,3708.2193499999994,532.885174,342.060889,3899.0436349999995,1.99171,251.386322,3645.6656029999995,2021,4
,2021-05-01,1855.749577,344.9038489999998,306.235805,1176.355741,10.853558,17.400624,0,382.019667,672.603711,558.628113,0,0,0,1624.105049,1844.896019,3469.001068,634.745909,175.946896,3927.800081,10.471306,259.412321,3657.9164539999997,2021,5
