GWh,SPAIN,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-04-01,6986.531,2046.5389999999998,1176.378,3327.659,383.134,52.821,4922.842,2021.209,4157.412,1374.963,0,0,6.5,7936.718,11532.738999999998,19469.457,2166.351,1127.224,20508.584,365.524,1773.745,18369.315,2017,4
,2017-05-01,9439.7,3683.955000000001,1245.636,3986.615,474.449,49.045,4136.8,2028.094,3473.752,1464.244,0,0,6.5,7440.539,13108.551,20549.09,2491.354,1040.437,22000.006999999998,228.409,1921.541,19850.056999999997,2017,5
,2017-06-01,11659.483,4437.679,1250.079,5410.029,495.953,65.743,4055.975,1620.104,3193.612,1668.564,0,0,6.5,6978.233,15226.005000000001,22204.238,2091.892,958.696,23337.434,174.429,2047.335,21115.670000000002,2017,6
,2017-07-01,12217.116,4219.298,1325.414,6062.38,546.25,63.774,4394.155,1210.379,3371.259,1808.241,0,0,6.5,6936.129,16071.521,23007.65,2036.715,768.975,24275.390000000003,145.164,2126.024,22004.202000000005,2017,7
,2017-08-01,10786.747,3179.7019999999993,1369.606,5653.551,517.613,66.275,5072.721,1163.139,3320.072,1553.81,0,0,6.5,6554.634,15348.355,21902.989,2624.172,787.14,23740.021,160.045,2076.046,21503.93,2017,8
,2017-09-01,10232.923,3008.5170000000007,1253.521,5413.885,492.488,64.512,4717.667,1283.183,2879.902,1376.164,0,0,6.5,6031.737,14464.602000000003,20496.339000000004,2262.511,863.087,21895.763000000003,165.075,1914.831,19815.857000000004,2017,9
,2017-10-01,12125.805,4020.6460000000006,1318.426,6224.716,493.972,68.045,4302.962,996.316,3214.729,1065.246,0,0,6.5,5770.263,15941.295000000002,21711.558,1595.358,1317.246,21989.670000000002,220.846,1914.329,19854.495000000003,2017,10
,2017-11-01,13534.379,4725.367000000002,1255.379,7002.579,488.831,62.223,3609.577,1114.728,3987.828,746.699,0,0,6.5,6338.086,16661.625,22999.711,1427.188,1780.818,22646.081,268.782,1965.867,20411.431999999997,2017,11
,2017-12-01,11551.812,4253.645,1260.39,5475.044,497.619,65.114,5028.751,1719.132,5799.966,551.011,0,0,6.5,8567.728000000001,16089.444000000001,24657.172000000002,1370.354,1716.987,24310.539,553.332,2082.086,21675.121,2017,12
,2018-01-01,9628.709,3190.8600000000006,1153.355,4715.11,475.833,93.551,5095.185,2475.899,5351.904,551.858,0,0,6.583,8855.494,14254.644000000002,23110.138000000003,2569.453,1229.167,24450.424000000003,390.901,2269.862,21789.661000000004,2018,1
,2018-02-01,9453.587,3637.401,1063.469,4200.594,469.592,82.531,4591.389,2574.304,4685.365,740.264,0,0,6.583,8469.525,13581.967000000002,22051.492000000002,2170.896,1313.805,22908.583000000002,253.361,2137.627,20517.595,2018,2
,2018-03-01,6700.613,1515.0420000000004,1110.799,3542.86,441.334,90.578,4496.841,4776.713,7726.993,822.076,0,0,6.583,13767.116000000002,10762.703000000003,24529.819000000003,1563.224,1836.748,24256.295000000002,733.358,2219.489,21303.448000000004,2018,3
,2018-04-01,6621.536,1545.4300000000003,1084.018,3521.668,398.472,71.948,3831.324,5070.366,4459.298,1027.018,0,0,6.583,10955.153999999999,10060.971000000001,21016.125,1922.137,1039.451,21898.810999999998,559.678,2010.811,19328.321999999996,2018,4
,2018-05-01,8393.338,2424.798999999999,1122.303,4370.908,416.292,59.036,3743.677,3671.572,3318.651,1297.21,0,0,6.583,8703.724999999999,11727.306,20431.031,2349.422,981.081,21799.372,212.734,2030.188,19556.45,2018,5
,2018-06-01,8670.333,2459.8640000000005,1128.886,4533.597,471.997,75.989,3607.648,3773.703,2643.424,1378.689,0,0,6.583,8267.813,11812.567000000001,20080.38,2326.081,462.516,21943.945000000003,83.096,2056.794,19804.055000000004,2018,6
,2018-07-01,10110.864,3673.5609999999997,1190.242,4648.727,512.803,85.531,4467.935,3069.127,2583.699,1816.697,0,0,6.583,7982.326,14072.579,22054.905,2590.666,696.94,23948.631,57.965,2250.225,21640.441000000003,2018,7
,2018-08-01,10576.746,3696.916,1250.668,5039.422,505.955,83.785,5132.177,2170.861,3140.512,1550.499,0,0,6.583,7367.826999999999,15209.551,22577.377999999997,1963.324,719.306,23821.395999999997,68.931,2235.927,21516.537999999997,2018,8
,2018-09-01,10618.171,4309.25,1213.454,4508.126,506.42,80.921,5009.572,1970.925,2464.303,1192.173,0,0,6.583,6133.820999999999,15127.906,21261.727,1991.746,867.29,22386.182999999997,49.304,2105.051,20231.827999999998,2018,9
,2018-10-01,10306.613,3497.2199999999993,1237.963,5004.502,480.803,86.125,5147.114,1680.021,4333.026,864.172,0,0,6.583,7358.022000000001,14979.507,22337.529000000002,1147.611,1330.096,22155.044,345.861,2053.088,19756.095,2018,10
,2018-11-01,11310.497,3922.9489999999996,1136.72,5711.486,459.942,79.4,3827.338,2309.799,4574.01,449.958,0,0,6.583,7793.709,14684.475999999999,22478.184999999998,1385.732,1341.069,22522.847999999998,220.641,2098.822,20203.385,2018,11
,2018-12-01,10074.992,2980.4570000000003,1108.766,5416.991,487.236,81.542,4283.799,2626.71,4372.815,533.385,0,0,6.583,8020.146,13878.138,21898.284,2037.708,1098.532,22837.46,223.17,2128.118,20486.172,2018,12
,2019-01-01,10877.576,3493.499999999999,1099.236,5747.034,449.707,88.099,5041.332,2296.931,5990.663,670.335,0,1.583,10.417,9409.219,15479.617999999999,24888.837,1580.426,1334.072,25135.191,279.005,2296.567,22559.619,2019,1
,2019-02-01,8805.378,2558.173,980.801,4764.153,422.082,80.169,4766.753,2676.609,3672.059,895.182,0,1.583,10.417,7667.514999999999,13160.465999999999,20827.981,2058.267,1046.491,21839.756999999998,322.387,1988.903,19528.466999999997,2019,2
,2019-03-01,7235.837,1024.8560000000007,1012.526,4644.878,463.05,90.527,5274.711,2326.194,4891.506,1298.479,0,1.583,10.417,8980.812,12057.914999999999,21038.727,2429.142,1036.964,22430.905,354.871,2049.967,20026.067,2019,3
,2019-04-01,7562.739,901.1819999999998,1001.686,5159.273,419.936,80.662,4621.631,2058.08,4634.427,1087.761,0,1.583,10.417,8201.787,11774.851,19976.638,1822.621,731.501,21067.757999999998,226.256,1934.425,18907.076999999997,2019,4
,2019-05-01,8389.837,492.98599999999897,1000.479,6428.409,396.234,71.729,3976.889,2065.651,4648.922,1701.729,0,1.583,10.417,8814.118999999999,11980.908999999998,20795.028,1573.309,825.508,21542.828999999998,189.78,1979.866,19373.182999999997,2019,5
,2019-06-01,9684.064,547.1080000000002,1036.711,7595.779,431.716,72.75,4647.845,1684.989,3672.059,1733.808,0,1.583,10.417,7524.155,13910.609999999999,21434.765,1118.285,581.41,21971.64,66.868,2028.329,19876.443,2019,6
,2019-07-01,12032.117,886.5259999999998,1055.058,9531.409,484.037,75.087,5123.076,1610.926,3420.629,1745.413,0,1.583,10.417,7262.587999999999,16681.573,23944.161,1246.025,588.923,24601.263000000003,100.832,2265.209,22235.222,2019,7
,2019-08-01,11679.986,635.6509999999998,1071.111,9413.897,476.103,83.224,5068.109,1329.387,2874.468,1776.942,0,1.583,10.417,6458.482999999999,16282.409000000001,22740.892,1278.235,929.434,23089.693,125.19,2123.494,20841.009,2019,8
,2019-09-01,10068.709,725.0570000000007,1056.34,7749.471,451.714,86.127,4995.473,1332.666,3869.447,1319.985,0,1.583,10.417,6975.3949999999995,14622.885,21598.28,1241.724,1143.76,21696.244,196.72,1991.427,19508.096999999998,2019,9
,2019-10-01,10615.393,919.5669999999991,1074.609,8081.242,461.279,78.696,4530.638,1238.585,3786.4,1097.343,0,1.583,10.417,6585.19,14695.169,21280.359,1487.746,906.804,21861.301,170.335,2007.295,19683.671,2019,10
,2019-11-01,8533.36,718.2029999999995,977.319,6313.693,456.412,67.733,3427.502,2836.074,7397.81,589.379,0,1.583,10.417,11281.258000000002,11514.867,22796.125,1139.827,1437.221,22498.731,330.789,2057.594,20110.347999999998,2019,11
,2019-12-01,7150.003,543.1889999999994,1023.251,5064.997,446.129,72.437,4350.041,4954.905,5430.61,576.644,0,1.583,10.417,11409.871000000001,11064.332,22474.203,1745.234,1296.426,22923.011000000002,661.968,2066.923,20194.120000000003,2019,12
,2020-01-01,8411.021991,991.5634280000004,1058.08394,5861.454374,417.916317,82.003932,5289.242005,3961.943081,4634.291272,700.275003,0,0,10.041966,9714.425673,13292.389645000001,23006.815318,2340.878956,858.560495,24489.133779,378.370613,2291.510886,21819.25228,2020,1
,2020-02-01,7123.313241,940.4005229999993,930.450248,4742.523839,426.314926,83.623705,4885.69686,3066.851153,4278.554264,1190.72619,0,0,10.041966,8962.446533,11592.737141000001,20555.183674,1825.362805,789.629859,21590.91662,371.956717,2017.292063,19201.667840000002,2020,2
,2020-03-01,5665.677551,543.5355909999998,897.064207,3711.958456,425.985508,87.133789,5174.959681,3417.812505,5609.048849,1281.001834,0,0,10.041966,10733.848696,10424.69369,21158.542386,1693.058586,1199.335113,21652.265859,598.029032,2007.80868,19046.428147,2020,3
,2020-04-01,5290.58457,349.4511540000003,757.53963,3733.410685,381.724176,68.458925,4085.616591,3178.36699,3700.450172,1341.46774,0,0,10.041966,8602.009078,9004.518951000002,17606.528029,1383.576658,1151.18439,17838.920297,663.019707,1636.352008,15539.548582,2020,4
,2020-05-01,5774.295293,278.0360180000007,792.815119,4189.867704,442.074836,71.501616,3078.987203,3104.745398,3970.874045,2180.412055,0,0,10.041966,9698.106334,8421.249626,18119.35596,1747.967563,1064.347467,18802.976056,392.878958,1755.123474,16654.973624,2020,5
,2020-06-01,7573.977577,414.0062619999999,798.811694,5846.67038,441.15132,73.337921,3621.39156,2415.690111,3349.517907,2505.115468,0,0,10.041966,8711.474806,10764.259783000001,19475.734589,1324.106164,1055.250849,19744.589904,258.446859,1853.538945,17632.6041,2020,6
,2020-07-01,10069.872797,346.0844960000013,879.335969,8365.003717,410.053143,69.395472,5159.033636,2006.671612,4259.198577,2701.524514,0,0,10.041966,9377.447846000001,14828.895256000002,24206.343102000003,998.258768,1449.145765,23755.456105,331.605067,2225.769729,21198.081309,2020,7
,2020-08-01,9324.923785,386.1613860000016,908.948586,7470.256391,465.956369,93.601053,5151.926869,2042.543785,3685.979919,2561.512181,0,0,10.041966,8755.992254,14020.936251000003,22776.928505000003,1167.270907,1406.983837,22537.215575000002,294.521567,2116.240855,20126.453153000002,2020,8
,2020-09-01,8936.682043,402.22295700000177,933.580946,7017.646621,490.37171,92.859809,4871.222819,1864.981089,3965.386936,1904.562939,0,0,10.041966,8225.302674,13327.575118,21552.877792,919.954355,1545.623214,20927.208933,210.019574,1971.379027,18745.810332,2020,9
,2020-10-01,7012.468769,348.8522550000007,894.163056,5180.26168,508.856808,80.33497,4528.356847,2122.172445,5782.746253,1639.862857,0,0,10.041966,10053.638363,11042.010774000002,21095.649137,1394.395739,1286.278318,21203.766558,341.311178,1988.481126,18873.974254,2020,10
,2020-11-01,7624.806196,406.62137000000075,926.403792,5699.840684,496.477983,95.462367,4639.769163,2619.542367,4219.339286,905.691943,0,0,10.041966,8241.051579,11778.139342000002,20019.190921,1970.63906,879.761213,21110.068768,280.840547,1985.799856,18843.428365,2020,11
,2020-12-01,6798.387115,343.82059000000027,931.903005,4909.108714,520.753531,92.801275,5270.825953,3502.838427,7444.335724,802.08895,0,0,10.041966,12270.016631999999,11558.501503,23828.518135,1162.530438,1962.899481,23028.149092,499.00018,2149.703351,20379.445561,2020,12
,2021-01-01,6843.104627,638.8807389999993,917.596399,4726.844224,469.806114,89.977151,5199.801929,4377.685918,7094.032693,928.857424,0,0,10.041966,12870.382149,11583.142408,24453.524556999997,1761.534629,1546.625316,24668.433869999997,578.753762,2296.35993,21793.320177999998,2021,1
,2021-02-01,4518.479179,202.07572299999993,777.531108,3001.755223,452.697126,84.419999,4358.527472,4917.886332,6310.020482,1091.977002,0,0,10.041966,12772.580942,8434.351491000001,21206.932433,1350.24757,1512.883466,21044.296537000002,748.112973,1940.238,18355.945564,2021,2
,2021-03-01,5663.875058,277.4111039999989,855.695683,3988.821594,451.271601,90.675076,4833.130643,4028.131191,5620.66863,2024.522967,0,0,10.041966,12124.594389000002,10055.776066,22180.370455000004,1537.059437,1347.227494,22370.202398000005,456.192294,2094.721672,19819.288432000005,2021,3
,2021-04-01,6917.08069,309.5823540000001,858.029653,5175.354969,487.66028,86.453434,4197.344838,2898.067515,4105.223685,1908.569152,0,0,10.041966,9399.520632,10636.807214,20036.327846,1499.664781,1243.129659,20292.862968,252.779819,1912.520257,18127.562892,2021,4
,2021-05-01,5971.20964,380.5925980000002,749.612688,4279.890201,473.890646,87.223507,4373.263301,2398.143132,4795.485189,3016.837888,0,0,10.041966,10684.356855,9880.624261,20564.981116000003,1650.515565,1376.269111,20839.227570000003,422.193385,1948.911996,18468.122189,2021,5
