GWh,CYPRUS,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2018-04-01,286.278,0,281.013,0,5.265,0,0,0,15.292,17.049,0,0,0,37.605999999999995,281.013,318.61899999999997,2018,4
,2018-05-01,358.074,0,353.267,0,4.807,0,0,0,17.448,18.417,0,0,0,40.672000000000004,353.267,393.939,2018,5
,2018-06-01,393.113,0,388.777,0,4.336,0,0,0,20.117,18.814,0,0,0,43.267,388.777,432.044,2018,6
,2018-07-01,496.777,0,492.778,0,3.999,0,0,0,20.41,20.17,0,0,0,44.579,492.778,537.357,2018,7
,2018-08-01,481.467,0,477.872,0,3.595,0,0,0,21.93,19.346,0,0,0,44.870999999999995,477.872,522.743,2018,8
,2018-09-01,422.217,0,418.43,0,3.787,0,0,0,15.933,19.288,0,0,0,39.007999999999996,418.43,457.438,2018,9
,2018-10-01,353.049,0,348.74,0,4.309,0,0,0,15.198,17.105,0,0,0,36.612,348.74,385.35200000000003,2018,10
,2018-11-01,306.139,0,301.785,0,4.354,0,0,0,15.729,15.147,0,0,0,35.23,301.785,337.01500000000004,2018,11
,2018-12-01,346.911,0,342.099,0,4.812,0,0,0,21.116,13.465,0,0,0,39.393,342.099,381.49199999999996,2018,12
,2019-01-01,399.29,0,395.023,0,4.267,0,0,0,32.521,13.384,0,0,0,50.172000000000004,395.023,445.19500000000005,2019,1
,2019-02-01,325.423,0,321.048,0,4.375,0,0,0,26.765,13.653,0,0,0,44.793,321.048,365.841,2019,2
,2019-03-01,317.996,0,312.985,0,5.011,0,0,0,20.982,16.356,0,0,0,42.349000000000004,312.985,355.334,2019,3
,2019-04-01,282.146,0,277.423,0,4.723,0,0,0,17.687,16.718,0,0,0,39.128,277.423,316.551,2019,4
,2019-05-01,323.36,0,318.675,0,4.685,0,0,0,20.628,20.068,0,0,0,45.381,318.675,364.05600000000004,2019,5
,2019-06-01,408.124,0,403.662,0,4.462,0,0,0,14.246,19.322,0,0,0,38.03,403.662,441.692,2019,6
,2019-07-01,493.883,0,490.132,0,3.751,0,0,0,21.733,21.983,0,0,0,47.467,490.132,537.599,2019,7
,2019-08-01,502.749,0,498.482,0,4.267,0,0,0,15.973,22.396,0,0,0,42.636,498.482,541.118,2019,8
,2019-09-01,422.376,0,418.127,0,4.249,0,0,0,15.007,24.279,0,0,0,43.535,418.127,461.66200000000003,2019,9
,2019-10-01,345.886,0,341.17,0,4.716,0,0,0,18.042,18.703,0,0,0,41.461,341.17,382.63100000000003,2019,10
,2019-11-01,294.349,0,289.178,0,5.171,0,0,0,16.042,17.732,0,0,0,38.945,289.178,328.123,2019,11
,2019-12-01,341.375,0,335.947,0,5.428,0,0,0,18.94,13.674,0,0,0,38.042,335.947,373.98900000000003,2019,12
,2020-01-01,386.915891,0,381.661498,0,5.254393,0,0,0,26.857409,14.047508,0,0,0,46.15931,381.661498,427.820808,2020,1
,2020-02-01,353.47627,0,348.326936,0,5.149334,0,0,0,25.575098,15.532056,0,0,0,46.256488000000004,348.326936,394.583424,2020,2
,2020-03-01,285.048144,0,279.261162,0,5.786982,0,0,0,28.496363,23.481373,0,0,0,57.764718,279.261162,337.02588000000003,2020,3
,2020-04-01,211.479326,0,205.776974,0,5.702351,0,0,0,20.320627,27.031731,0,0,0,53.054709,205.776974,258.831683,2020,4
,2020-05-01,265.496976,0,259.822348,0,5.674628,0,0,0,25.550053,33.677766,0,0,0,64.902447,259.822348,324.724795,2020,5
,2020-06-01,300.899091,0,295.62573,0,5.273362,0,0,0,19.565265,33.983587,0,0,0,58.822214,295.62573,354.447944,2020,6
,2020-07-01,460.26122,0,454.989317,0,5.271903,0,0,0,13.908069,36.586102,0,0,0,55.766073999999996,454.989317,510.75539100000003,2020,7
,2020-08-01,457.272399,0,452.518494,0,4.753905,0,0,0,18.529398,36.351167,0,0,0,59.63446999999999,452.518494,512.152964,2020,8
,2020-09-01,447.694013,0,443.045167,0,4.648846,0,0,0,15.688277,34.711683,0,0,0,55.048806,443.045167,498.093973,2020,9
,2020-10-01,341.661,0,336.580251,0,5.080754,0,0,0,17.306193,29.864118,0,0,0,52.251065,336.580251,388.83131599999996,2020,10
,2020-11-01,307.72218,0,303.009131,0,4.713049,0,0,0,13.608529,22.589227,0,0,0,40.910805,303.009131,343.919936,2020,11
,2020-12-01,348.046395,0,343.108637,0,4.937758,0,0,0,15.009053,21.128983,0,0,0,41.075794,343.108637,384.184431,2020,12
,2021-01-01,345.433496,0,339.828907,0,5.604589,0,0,0,25.139312,22.617581,0,0,0,53.361482,339.828907,393.19038900000004,2021,1
,2021-02-01,291.367535,0,286.552345,0,4.815189,0,0,0,19.87883,29.03982,0,0,0,53.733839,286.552345,340.286184,2021,2
,2021-03-01,285.428365,0,280.030976,0,5.397389,0,0,0,29.067392,36.115219,0,0,0,70.58000000000001,280.030976,350.61097600000005,2021,3
,2021-04-01,245.234031,0,239.454345,0,5.779686,0,0,0,19.85078,37.118757,0,0,0,62.749223,239.454345,302.203568,2021,4
,2021-05-01,283.351574,0,277.710507,0,5.641067,0,0,0,18.937133,52.633597,0,0,0,77.211797,277.710507,354.922304,2021,5
