GWh,ROMANIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2017-12-01,2483.189,1226.28,79.249,1132.009,45.651,0,909.733,1420.357,812.366,54.049,0,0,0,2332.423,3347.2709999999997,5679.6939999999995,2017,12
,2018-01-01,2649.589,1482.66,52.13,1075.119,39.68,0,951.878,1259.535,667.627,70.68,0,0,0,2037.5220000000002,3561.7870000000003,5599.309,2018,1
,2018-02-01,2481.482,1393.356,37.649,1016.208,34.269,0,861.889,1275.786,768.571,62.602,0,0,0,2141.228,3309.1020000000003,5450.33,2018,2
,2018-03-01,2197.033,1341.6,55.026,767.942,32.465,0,899.884,1914.695,586.672,114.097,0,0,0,2647.929,3064.452,5712.381,2018,3
,2018-04-01,1037.361,716.467,34.753,260.89,25.251,0,922.881,1979.704,539.699,218.097,0,0,0,2762.751,1934.991,4697.742,2018,4
,2018-05-01,1465.062,976.262,37.649,418.686,32.465,0,490.937,1769.443,507.716,231.223,0,0,0,2540.8469999999998,1923.534,4464.380999999999,2018,5
,2018-06-01,1626.12,975.247,31.857,590.158,28.858,0,841.892,1521.6,343.808,196.893,0,0,0,2091.1589999999997,2439.154,4530.313,2018,6
,2018-07-01,1587.353,1063.537,37.649,455.505,30.662,0,918.882,2117.847,202.887,199.922,0,0,0,2551.318,2475.5730000000003,5026.8910000000005,2018,7
,2018-08-01,1876.258,1090.938,49.234,709.032,27.054,0,912.883,1654.663,353.802,227.184,0,0,0,2262.7030000000004,2762.0870000000004,5024.790000000001,2018,8
,2018-09-01,1763.374,1038.167,49.234,654.329,21.644,0,837.892,1232.109,500.72,182.757,0,0,0,1937.23,2579.622,4516.852,2018,9
,2018-10-01,2102.364,1105.145,49.234,917.323,30.662,0,943.879,1089.903,591.67,156.505,0,0,0,1868.7400000000002,3015.5809999999997,4884.321,2018,10
,2018-11-01,2406.179,1249.25,46.338,1070.911,39.68,0,913.883,1116.313,583.674,66.641,0,0,0,1806.3080000000002,3280.3819999999996,5086.69,2018,11
,2018-12-01,2582.579,1280.71,40.545,1223.448,37.876,0,944.879,999.502,610.659,44.427,0,0,0,1692.4639999999997,3489.5820000000003,5182.046,2018,12
,2019-01-01,2408.027,1098.139,136.567,1132.001,41.32,0,944.858,994.195,794.804,46.46,0,0,0,1876.779,3311.5649999999996,5188.343999999999,2019,1
,2019-02-01,2093.327,992.685,83.457,974.213,42.972,0,852.871,1148.801,642.842,109.081,0,0,0,1943.6959999999997,2903.2259999999997,4846.922,2019,2
,2019-03-01,1789.477,1029.189,37.935,681.033,41.32,0,943.858,1340.269,657.838,184.832,0,0,0,2224.259,2692.0150000000003,4916.274,2019,3
,2019-04-01,1436.299,1022.091,53.109,324.738,36.361,0,912.862,1429.347,621.847,176.751,0,0,0,2264.3060000000005,2312.8,4577.106000000001,2019,4
,2019-05-01,1211.473,905.483,22.761,253.479,29.75,0,486.927,2336.512,546.865,187.862,0,0,0,3100.9890000000005,1668.65,4769.639000000001,2019,5
,2019-06-01,1120.01,868.98,22.761,211.741,16.528,0,776.883,2405.111,376.907,210.082,0,0,0,3008.6279999999997,1880.365,4888.9929999999995,2019,6
,2019-07-01,1635.033,1046.426,22.761,534.443,31.403,0,909.863,1433.443,303.925,211.092,0,0,0,1979.863,2513.493,4493.356,2019,7
,2019-08-01,1570.326,997.755,22.761,515.101,34.709,0,909.863,1014.672,431.894,212.102,0,0,0,1693.3770000000002,2445.48,4138.857,2019,8
,2019-09-01,1540.437,963.28,22.761,526.299,28.097,0,784.882,834.469,446.89,169.681,0,0,0,1479.1370000000002,2297.2219999999998,3776.359,2019,9
,2019-10-01,1874.905,996.741,30.348,803.191,44.625,0,934.859,848.803,369.909,143.421,0,0,0,1406.758,2765.139,4171.897,2019,10
,2019-11-01,1860.875,940.973,30.348,844.929,44.625,0,916.862,970.645,761.812,62.621,0,0,0,1839.703,2733.112,4572.8150000000005,2019,11
,2019-12-01,1969.024,976.462,30.348,919.242,42.972,0,970.854,1085.321,747.816,63.631,0,0,0,1939.74,2896.906,4836.646,2019,12
,2020-01-01,2204.26201,932.860709,22.761101,1194.098188,54.542012,0,968.853905,1103.750887,632.844134,80.800682,0,0,0,1871.937715,3118.573903,4990.511618,2020,1
,2020-02-01,1664.052841,641.848727,30.348134,940.619545,51.236436,0,907.863102,1065.867044,799.803013,103.020869,0,0,0,2019.927362,2520.679508,4540.60687,2020,2
,2020-03-01,1353.224964,684.435846,37.935168,581.270303,49.583648,0,969.853755,1284.979001,845.791686,146.451236,0,0,0,2326.805571,2273.495072,4600.3006430000005,2020,3
,2020-04-01,804.464401,393.423864,30.348134,341.025484,39.666918,0,934.859032,1135.491404,622.846596,216.141824,0,0,0,2014.1467420000001,1699.6565139999998,3713.803256,2020,4
,2020-05-01,678.100473,383.284074,37.935168,218.867102,38.01413,0,961.854961,1069.962595,657.837978,188.871594,0,0,0,1954.686297,1601.9413049999998,3556.6276019999996,2020,5
,2020-06-01,941.255069,416.745382,37.935168,460.129907,26.444612,0,753.886321,1747.776219,282.930316,185.841568,0,0,0,2242.992715,1668.696778,3911.689493,2020,6
,2020-07-01,1533.525813,781.777833,22.761101,707.500631,21.486247,0,460.930496,1762.110646,367.909386,208.061756,0,0,0,2359.5680350000002,1972.970061,4332.538096,2020,7
,2020-08-01,1536.854755,809.155267,22.761101,685.104928,19.833459,0,811.877576,1374.057227,430.893873,208.061756,0,0,0,2032.846315,2328.8988719999998,4361.7451869999995,2020,8
,2020-09-01,1491.489338,760.484274,22.761101,685.104928,23.139036,0,911.862499,1049.484842,536.867772,184.83156,0,0,0,1794.32321,2380.212802,4174.5360120000005,2020,9
,2020-10-01,1234.090513,702.687469,30.348134,444.860109,56.194801,0,966.854207,1317.743406,536.867772,111.100938,0,0,0,2021.9069170000002,2144.749919,4166.656836,2020,10
,2020-11-01,1745.486221,740.204693,30.348134,925.349747,49.583648,0,937.858579,1310.576192,395.902491,66.660563,0,0,0,1822.722894,2633.761153,4456.484047,2020,11
,2020-12-01,1950.438057,832.476785,37.935168,1013.914574,66.11153,0,968.853905,1311.60008,766.811138,34.34029,0,0,0,2178.863038,2853.180432,5032.0434700000005,2020,12
,2021-01-01,1815.204524,742.232651,30.348134,986.428938,56.194801,0,846.872299,1292.146215,802.802274,55.550469,0,0,0,2206.693759,2605.8820220000002,4812.575781,2021,1
,2021-02-01,1675.506135,781.777833,22.761101,816.425189,54.542012,0,858.87049,1677.127971,501.87639,89.890759,0,0,0,2323.4371319999996,2479.834613,4803.271745,2021,2
,2021-03-01,1718.954956,753.38642,30.348134,872.414448,62.805954,0,952.856318,1552.213678,694.828867,148.471253,0,0,0,2458.319752,2609.00532,5067.325072,2021,3
,2021-04-01,1403.527678,832.476785,37.935168,470.309772,62.805954,0,928.859936,1652.554668,417.897074,167.661415,0,0,0,2300.9191109999997,2269.5816609999997,4570.500771999999,2021,4
,2021-05-01,1156.793871,665.170245,22.761101,414.320514,54.542012,0,606.908484,2198.286785,513.873436,206.041739,0,0,0,2972.7439719999993,1709.1603440000001,4681.904315999999,2021,5
