GWh,NORWAY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-07-01,273.228,15.083000000000027,2.529,219.559,21.227,14.83,0,8855.923,163.819,0.315,0,0,27.865,9041.284000000001,279.86600000000004,9321.150000000001,622.911,1597.91,8346.151000000002,20.852,574.27,7751.029000000001,2018,7
,2018-08-01,274.946,19.08800000000005,3.2,216.531,19.772,16.355,0,9977.567,211.335,0.256,0,0,27.865,10208.929999999998,283.03900000000004,10491.969,345.527,1901.374,8936.122,43.093,646.637,8246.392,2018,8
,2018-09-01,260.496,11.75,1.97,218.543,15.349,12.884,0,10477.847,379.417,0.193,0,0,27.865,10872.805999999999,273.012,11145.818,447.228,1910.37,9682.676,239.094,686.711,8756.871,2018,9
,2018-10-01,248.94,16.189999999999998,2.714,199.959,15.794,14.283,0,12444.33,496.495,0.128,0,0,27.865,12956.747000000001,261.01099999999997,13217.758000000002,330.37,1994.961,11553.167000000003,205.979,814.481,10532.707000000002,2018,10
,2018-11-01,256.79,15.001000000000033,2.515,206.88,18.222,14.172,0,12876.486,447.944,0.061,0,0,27.865,13342.713,266.433,13609.146,444.289,1940.218,12113.217,15.594,838.053,11259.57,2018,11
,2018-12-01,273.733,19.287000000000006,3.233,217.553,17.38,16.28,0,12913.133,539.644,0.042,0,0,27.865,13470.198999999999,284.218,13754.417,1357.399,1300.413,13811.402999999998,9.097,846.634,12955.671999999999,2018,12
,2019-01-01,240.665,19.28800000000001,2.039,181.454,19.392,18.492,0,13899.885,553.395,0.318,0,0,25.81,14472.99,247.083,14720.073,1195.059,1337.08,14578.052,12.739,901.943,13663.369999999999,2019,1
,2019-02-01,236.685,16.26600000000002,1.72,181.653,19.992,17.054,0,11002.329,486.321,0.617,0,0,25.81,11509.259,242.50300000000001,11751.762,1151.137,529.236,12373.663,11.875,720.319,11641.469000000001,2019,2
,2019-03-01,267.699,17.415999999999997,1.842,209.744,19.961,18.736,0,10485.666,524.906,1.259,0,0,25.81,11031.792,273.548,11305.34,2088.548,379.033,13014.855,11.717,693.323,12309.814999999999,2019,3
,2019-04-01,265.162,16.444999999999965,1.739,207.481,21.221,18.276,0,9347.846,353.882,1.413,0,0,25.81,9724.362,269.751,9994.113,1189.563,622.411,10561.265,63.274,613.012,9884.979,2019,4
,2019-05-01,252.576,12.13900000000001,1.283,204.057,19.267,15.83,0,9170.77,356.64,1.866,0,0,25.81,9548.543,259.11899999999997,9807.662,1046.014,738.926,10114.75,154.61,601.64,9358.5,2019,5
,2019-06-01,240.33,10.380000000000024,1.097,195.708,18.58,14.565,0,8849.349,351.127,1.854,0,0,25.81,9220.91,247.56000000000003,9468.47,961.582,1209.961,9220.091,497.266,580.757,8142.068,2019,6
,2019-07-01,236.854,11.645000000000039,1.231,187.022,21.819,15.137,0,9236.721,289.506,1.747,0,0,25.81,9549.792999999998,240.84500000000003,9790.637999999997,421.73,1577.45,8634.917999999996,138.467,600.436,7896.014999999996,2019,7
,2019-08-01,235.371,13.42900000000003,1.42,181.357,23.241,15.924,0,9513.981,324.683,1.419,0,0,25.81,9863.323999999999,237.94000000000003,10101.264,331.907,1708.142,8725.028999999999,110.992,619.532,7994.504999999998,2019,8
,2019-09-01,224.634,10.776999999999958,1.139,177.275,21.181,14.262,0,10181.485,516.273,1.068,0,0,25.81,10720.007,229.26299999999998,10949.27,201.645,1769.888,9381.027000000002,187.521,671.508,8521.998000000001,2019,9
,2019-10-01,241.162,6.710999999999984,0.71,198.336,22.231,13.174,0,10806.214,452.811,0.708,0,0,25.81,11281.964,244.741,11526.705,772.172,825.565,11473.312,46.668,706.86,10719.784,2019,10
,2019-11-01,242.701,9.807999999999993,1.037,198.926,18.526,14.404,0,12092.012,516.868,0.338,0,0,25.81,12627.744,249.98499999999999,12877.729000000001,1149.013,974.906,13051.836000000003,6.396,789.123,12256.317000000003,2019,11
,2019-12-01,256.4,14.927999999999997,1.578,200.819,21.767,17.308,0,11302.707,787.59,0.234,0,0,25.81,12112.298,260.443,12372.741,1844.629,636.401,13580.969,20.474,758.546,12801.948999999999,2019,12
,2020-01-01,227.471478,20.448034999999976,24.809379,0,18.647561,163.566503,0,11968.797825,1020.168434,0.657525,0,0,22.731131,13008.271345,231.555048,13239.826393,1067.388,946.538,13360.676392999998,88.241,770.514993,12501.920399999997,2020,1
,2020-02-01,212.044008,18.92200299999999,22.957864,0,18.115477,152.048664,0,11767.545586,850.29092,1.274586,0,0,22.731131,12637.226568999999,216.659662,12853.886230999999,949.147,1088.897,12714.136231,24.282,747.244105,11942.610126,2020,2
,2020-03-01,219.211412,19.514310999999992,23.676502,0,18.976654,157.043945,0,12963.883903,938.991995,2.599751,0,0,22.731131,13924.452303,222.965889,14147.418192,597.807,1735.431,13009.794192,10.172,822.512486,12177.109706,2020,3
,2020-04-01,221.402937,19.018419999999992,23.074843,0,22.802741,156.506933,0,11563.489325,683.452145,2.918397,0,0,22.731131,12272.662607999999,221.331327,12493.993934999999,401.557,1974.639,10920.911935,13.928,727.312031,10179.671904,2020,4
,2020-05-01,174.28902,13.93028099999998,16.901461,0,23.429145,120.028133,0,11241.383187,597.872475,3.854105,0,0,22.731131,11866.538912,173.591006,12040.129918,266.95,2111.3,10195.779918,48.257,699.536949,9447.985969,2020,5
,2020-06-01,158.106761,12.856865000000028,15.599096,0,20.096184,109.554616,0,9943.734265,370.589603,3.828816,0,0,22.731131,10338.248867999999,160.74170800000002,10498.990575999998,52.308,1712.888,8838.410575999998,400.211,610.803089,7827.396486999998,2020,6
,2020-07-01,224.210538,18.971281000000033,23.017652,0,24.609163,157.612442,0,10401.720551,504.146676,3.608798,0,0,22.731131,10934.085188,222.33250600000002,11156.417694,93.608,2340.682,8909.343694,221.25,649.804271,8038.289422999999,2020,7
,2020-08-01,219.23621,19.745438000000007,23.956927,0,17.774082,157.759763,0,10787.73074,444.120891,2.931042,0,0,22.731131,11252.556755000001,224.193259,11476.750014000001,10.099,2595.321,8891.528014000001,17.146,668.298696,8206.083318,2020,8
,2020-09-01,154.30104,13.383550000000014,16.238118,0,15.21208,109.467292,0,10942.274739,854.972031,2.205236,0,0,22.731131,11814.664085999999,161.82009100000002,11976.484176999998,19.607,2557.766,9438.325176999999,28.339,696.100157,8713.886019999998,2020,9
,2020-10-01,66.561765,3.5575259999999957,4.316307,0,18.223124,40.464808,0,12854.715996,919.232728,1.461728,0,0,22.731131,13793.633576000002,71.069772,13864.703348000003,164.597,2883.948,11145.352348000002,35.904,803.839062,10305.609286000003,2020,10
,2020-11-01,111.861551,8.214515000000006,9.966583,0,18.858755,74.821698,0,11903.411573,1332.988149,0.697988,0,0,22.731131,13255.956465,115.73392700000001,13371.690391999999,504.396,1957.516,11918.570392,44.364,775.995206,11098.211186,2020,11
,2020-12-01,107.942688,8.066327999999999,9.78679,0,17.463443,72.626127,0,14677.28033,1353.935622,0.483028,0,0,22.731131,16049.162423,113.210376,16162.372799,368.686,3063.362,13467.696799000001,19.638,937.043954,12511.014845000002,2020,12
,2021-01-01,101.40531,7.887817999999996,9.570205,0,14.774314,69.172973,0,16422.201087,869.076119,0.657525,0,0,22.731131,17306.709045,109.362127,17416.071172,404.993,2268.997,15552.067172,6.678,1008.286728,14537.102443999998,2021,1
,2021-02-01,92.450124,7.0769519999999915,8.586392,0,14.07102,62.71576,0,13144.295408,1115.50075,1.274586,0,0,22.731131,14275.141763999998,101.110235,14376.251998999998,738.124,1188.622,13925.753998999999,10.384,832.631615,13082.738383999998,2021,2
,2021-03-01,104.959176,7.868544,9.546819,0,16.848316,70.695497,0,12348.909375,1266.263395,2.599751,0,0,22.731131,13634.620836999999,110.84199100000001,13745.462827999998,984.989,1606.207,13124.244827999997,16.711,796.703573,12310.830254999997,2021,3
,2021-04-01,105.016522,7.026584,8.525278,0,21.311059,68.153601,0,11344.128778,912.48894,2.918397,0,0,22.731131,12280.847173999999,106.436594,12387.283768,1029.114,1841.313,11575.084767999999,29.067,717.9805,10828.037267999998,2021,4
,2021-05-01,117.609267,7.7126480000000015,9.357672,0,24.690154,75.848793,0,11348.689994,529.890794,3.854105,0,0,22.731131,11907.125047000001,115.65024400000001,12022.775291000002,792.174,2224.83,10590.119291,100.347,697.917474,9791.854817000001,2021,5
