GWh,BULGARIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2019-08-01,1378.929,1098.839,31.826,91.602,156.662,0,1462.872,251.475,89.407,174.122,0,0,0,671.6659999999999,2685.139,3356.8050000000003,2019,8
,2019-09-01,1411.317,1175.007,28.568,91.184,116.558,0,1193.353,165.481,87.342,140.942,0,0,0.516,510.323,2488.628,2998.951,2019,9
,2019-10-01,1770.339,1457.16,27.653,113.071,169.158,3.297,918.528,181.366,60.46,123.969,0,0,0.291,534.953,2520,3054.953,2019,10
,2019-11-01,1600.982,1288.612,22.732,158.707,129.281,1.65,1432.184,208.595,145.234,50.959,0,0,3.809,534.069,2907.6940000000004,3441.7630000000004,2019,11
,2019-12-01,1703.087,1304.868,25.925,226.337,145.418,0.539,1532.836,258.434,157.245,58.794,0,0,3.272,619.891,3093.777,3713.668,2019,12
,2020-01-01,1663.850345,1203.701365,24.217554,249.323601,186.350382,0.257444,1532.529098,148.652087,167.554965,86.122375,0,0,3.512114,588.6798090000001,3013.541176,3602.2209850000004,2020,1
,2020-02-01,1554.795238,1270.890606,26.789621,213.626826,43.488185,0,1433.063091,158.331528,176.149731,95.870224,0,0,3.38611,473.83966799999996,2947.7562539999994,3421.5959219999995,2020,2
,2020-03-01,1404.934988,1118.782024,28.716768,205.209985,52.226211,0,1514.379096,334.190907,188.817017,116.666311,0,0,3.915127,691.9004459999999,2871.003,3562.9034460000003,2020,3
,2020-04-01,1106.924454,913.906314,24.452417,127.300233,41.26549,0,941.92406,450.310689,127.053629,157.485747,0,0,4.197136,776.1155550000001,2011.78016,2787.895715,2020,4
,2020-05-01,910.133209,761.669409,13.938169,85.942205,48.583425,0,886.070056,422.719682,123.989495,153.181501,0,0,3.650118,748.474103,1751.269957,2499.74406,2020,5
,2020-06-01,846.819467,669.391587,11.602234,83.791762,82.033884,0,1451.806092,380.988691,68.684174,157.478657,0,0,3.771122,689.1854060000001,2220.362797,2909.548203,2020,6
,2020-07-01,1045.432277,783.822238,28.344795,80.90643,152.358813,0,1494.902095,301.832987,71.188649,179.661217,0,0,2.593084,705.041666,2390.568642,3095.6103080000003,2020,7
,2020-08-01,1085.007151,787.335933,28.862764,104.528385,164.28007,0,1482.825094,239.909738,78.503194,170.913979,0,0,0,653.606981,2403.552176,3057.159157,2020,8
,2020-09-01,1197.018609,853.579895,28.205147,100.177151,215.056416,0,1195.389076,196.9656,106.812955,153.715228,0,0,0.034,672.550199,2177.385269,2849.9354679999997,2020,9
,2020-10-01,1404.540789,973.829153,25.641966,181.298529,223.771141,0,920.059059,202.606102,92.442706,112.135207,0,0,3.554115,630.9551560000001,2104.382822,2735.337978,2020,10
,2020-11-01,1467.843295,951.499023,18.747149,255.808819,241.788303,0,1446.393092,238.838878,112.490497,79.138357,0,0,3.310107,672.2560350000001,2675.75819,3348.014225,2020,11
,2020-12-01,1584.299383,1065.816045,11.547645,283.770389,223.165304,0,1487.928095,289.249994,163.53941,34.917049,0,0,3.482113,710.871757,2852.544287,3563.416044,2020,12
,2021-01-01,1560.993897,1043.717092,18.17713,320.744263,178.355412,0,1457.399093,558.187453,173.752191,62.586763,0,0,3.013098,972.8818190000001,2843.0506760000003,3815.9324950000005,2021,1
,2021-02-01,1355.169258,868.196942,22.011111,284.802525,180.158681,0,1354.824086,532.959495,130.637446,91.831323,0,0,2.818091,935.5869449999999,2532.652755,3468.2397,2021,2
,2021-03-01,1628.626355,1059.439087,31.387859,309.792591,228.006818,0,1510.119096,516.726382,161.838446,122.960637,0,0,3.265106,1029.5322829999998,2914.0037389999998,3943.5360219999993,2021,3
,2021-04-01,1624.313691,1203.867891,21.086893,186.0022,213.356708,0,1090.098069,607.830923,80.525962,145.655655,0,0,3.521114,1047.369248,2504.576167,3551.945415,2021,4
,2021-05-01,1393.056171,1013.369235,28.220382,185.368976,166.097579,0,781.92405,608.381843,103.058241,175.103781,0,0,4.145134,1052.6414439999999,2013.027777,3065.669221,2021,5
