GWh,GERMANY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-08-01,23685.951719,11541.434289,372.816046,7347.877729,3896.5674,527.256255,5587.176611,1891.052348,6697.05756,6037.075603,10.574619,0,90.782675,18532.32753,25467.343605,43999.671135,3957.777166,4528.280482,43429.167818999995,713.96632,1960.970244,40754.23125499999,2020,8
,2020-09-01,25298.996275,13505.362995000001,381.318364,7165.237138,3738.191377,508.886401,5287.469953,1905.125236,6277.895485,5128.637542,9.761187,0,90.929789,17059.610827,26939.204640000004,43998.81546700001,3628.264483,4494.105078,43132.974872000006,647.45853,2082.259439,40403.25690300001,2020,9
,2020-10-01,26788.200305,14282.191749,386.987939,7702.187424,3916.059697,500.773496,5127.123807,2427.881946,13332.166806,2442.689009,9.761187,0,82.728152,22128.558645,28081.992567,50210.551212000006,2792.816637,6114.161442,46889.206407000005,710.737243,2594.68901,43583.78015400001,2020,10
,2020-11-01,31057.25681,16775.554426,416.127647,9359.257369,3967.896547,538.420821,4785.305958,1843.198118,11116.753445,1684.647915,9.761187,0,99.548973,18622.257212,31974.215194000004,50596.472406,3164.395641,6500.243378,47260.624669000004,684.157822,2562.135442,44014.331405000004,2020,11
,2020-12-01,30531.898936,15827.899342,383.008882,9618.424174,4212.289816,490.276722,5839.310039,1785.222063,11528.437645,760.059844,15.455213,0,134.33508,18301.464581,32293.254238999998,50594.718819999995,3814.574625,7210.595049,47198.69839599999,752.526201,2726.00702,43720.165174999995,2020,12
,2021-01-01,33255.524763,18107.920329,387.483718,10112.327905,4146.741516,501.051295,5922.727854,1784.840586,11434.241331,676.281668,17.082077,0,117.996708,18059.187177999996,35149.507809,53208.694986999995,3881.657679,7401.227925,49689.12474099999,711.580862,2712.970076,46264.57380299999,2021,1
,2021-02-01,26931.948769,13018.741535999998,403.906603,9259.133728,3762.471814,487.695088,5366.542122,1995.209508,11111.660696,2198.420108,15.455213,0,120.421935,19083.217339000003,28656.441011999996,47739.658351,3913.212172,6063.694032,45589.176491,580.952692,2389.14121,42619.082589,2021,2
,2021-03-01,27260.637106,13126.801513999999,383.693082,9150.102058,4113.138338,486.902114,5500.886352,2031.633818,11387.911026,4556.321564,16.268645,0,109.122238,22105.273391,28757.507358000003,50862.780749,4429.042999,6620.006827,48671.816921,669.486055,2574.044855,45428.286011,2021,3
,2021-04-01,25277.221115,11937.917522999998,404.122746,8419.740318,3979.754144,535.686384,5145.087077,1596.988575,9456.959088,6084.516258,11.388052,0,110.368385,21129.606117,26552.922433,47682.52855,3977.266411,6255.735254,45404.059707,583.525018,2382.793936,42437.740753,2021,4
,2021-05-01,19688.670488,8921.567026,376.894318,5781.146327,4089.0882,519.974617,5276.752758,2319.611576,10023.013441,6565.98843,13.828348,0,108.538106,23011.529994999997,20984.873152,43996.403147,4757.786474,4540.644522,44213.545098999995,524.782245,2164.011616,41524.751238,2021,5
