GWh,JAPAN,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-11-01,70202.426,28309.274000000005,6183.136,33077.156,1282.578,1350.282,1125.769,5182.227,571.522,3075.154,179.728,0,1476.885,10291.208999999999,71522.50200000001,81813.71100000001,0,0,81813.71100000001,590.28,3619.191,77604.24,2016,11
,2016-12-01,77205.172,30503.23700000001,7999.746,35657.424,1481.229,1563.536,1199.123,6791.957,710.037,2671.345,204.093,0,1975.476,11858.661,78898.542,90757.20300000001,0,0,90757.20300000001,631.879,4014.824,86110.50000000001,2016,12
,2017-01-01,83064.358,31762.29299999999,8783.038,39658.031,1410.934,1450.062,1184.699,6326.163,693.043,2949.419,207.088,0,1947.253,11586.646999999999,84785.37599999999,96372.02299999999,0,0,96372.02299999999,660.668,4263.206,91448.14899999999,2017,1
,2017-02-01,74816.55,28516.367,7220.703,36563.954,1300.421,1215.105,1079.097,5702.341,721.634,3368.37,187.938,0,1959.175,11280.704,76554.401,87835.105,0,0,87835.105,679.845,3885.559,83269.701,2017,2
,2017-03-01,76085.665,28367.295,6417.613,38092.5,1600.77,1607.487,1768.192,5658.704,539.635,4326.816,197.411,0,2171.587,12323.336,78424.67399999998,90748.00999999998,0,0,90748.00999999998,833.875,4014.417,85899.71799999998,2017,3
,2017-04-01,58911.678,23290.491,4556.029,28194.092,1503.09,1367.976,1878.103,8918.241,602.605,5056.388,193.39,0,811.799,16273.714,60098.49000000001,76372.20400000001,0,0,76372.20400000001,815.584,2982.742,72573.87800000001,2017,4
,2017-05-01,56457.297,23804.356999999996,3238.241,26536.136,1479.233,1399.33,2050.237,9224.255,426.592,5947.487,184.282,0,867.339,17261.849,57895.64,75157.489,0,0,75157.489,821.824,2935.69,71399.975,2017,5
,2017-06-01,59918.982,26078.842000000004,3352.856,27464.999,1628.729,1393.556,2868.833,7300.692,334.358,5861.282,163.085,0,1018.448,15288.146,62177.53399999999,77465.68,0,0,77465.68,657.914,3026.096,73781.67,2017,6
,2017-07-01,76251.311,30630.153,6942.654,35414.41,1799.782,1464.312,3140.906,8369.06,264.619,5550.278,168.674,0,1444.637,16152.413,79037.07200000001,95189.48500000002,0,0,95189.48500000002,1036.069,3718.795,90434.62100000001,2017,7
,2017-08-01,73544.347,32151.160999999993,4773.966,33196.123,1882.839,1540.258,3129.532,8929.325,380.373,5139.384,196.163,0,1592.647,16528.084,76383.687,92911.77100000001,0,0,92911.77100000001,1119.832,3629.526,88162.413,2017,8
,2017-09-01,62483.858,28145.079000000005,2974.959,28138.326,1840.339,1385.155,3046.086,7409.095,411.325,4873.777,182.387,0,1608.939,14716.923000000003,65298.544,80015.467,0,0,80015.467,849.189,3125.546,76040.732,2017,9
,2017-10-01,62966.991,28012.547,3050.335,28978.468,1657.04,1268.601,2568.748,7660.909,538.595,3833.313,159.327,0,1733.521,13849.184,65612.22,79461.404,0,0,79461.404,842.538,3103.599,75515.26699999999,2017,10
,2017-11-01,66007.614,27294.964999999997,3803.945,31712.103,1683.08,1513.521,2471.343,7148.57,689.952,3555.068,167.985,0,1893.999,13244.654999999999,68689.87599999999,81934.53099999999,0,0,81934.53099999999,748.112,3199.879,77986.54,2017,11
,2017-12-01,83064.683,31425.722,9524.789,38383.946,1965.549,1764.677,2565.741,5949.952,879.137,3237.692,185.857,0,1996.715,12218.187000000002,85661.58999999998,97879.77699999999,0,0,97879.77699999999,839.737,3822.478,93217.56199999999,2017,12
,2018-01-01,86523.667,32127.050000000003,9811.772,41092.819,1824.68,1667.346,2497.428,6021.682,907.205,3341.262,217.827,0,2308.674,12312.656,89505.089,101817.74500000001,0,0,101817.74500000001,1018.511,3976.284,96822.95000000001,2018,1
,2018-02-01,80841.187,29662.742000000006,10517.604,37524.014,1693.778,1443.049,1709.646,4858.396,707.966,3694.27,199.042,0,2330.527,11153.452,83187.58200000001,94341.03400000001,0,0,94341.03400000001,866.521,3684.606,89789.907,2018,2
,2018-03-01,67829.631,28012.471999999994,4174.253,31635.272,1999.126,2008.508,2307.35,8862.39,760.022,4978.327,194.272,0,3079.605,16794.137000000002,71217.45999999999,88011.597,0,0,88011.597,824.611,3437.169,83749.817,2018,3
,2018-04-01,54288.936,22493.111,2456.77,25978.764,1734.74,1625.551,2846.025,9610.867,617.761,6123.255,194.535,0,1045.324,18281.158,56445.545000000006,74726.70300000001,0,0,74726.70300000001,838.257,3275.353,70613.09300000001,2018,4
,2018-05-01,54232.665,22572.197000000004,2843.776,25427.795,1715.006,1673.891,3246.293,11027.728,564.443,6515.08,196.196,0,1105.225,20018.452999999998,56869.177,76887.63,0,0,76887.63,999.144,3370.049,72518.437,2018,5
,2018-06-01,59778.595,25374.688000000002,3297.034,27760.524,1748.535,1597.814,3873.185,7988.377,451.72,6141.477,161.008,0,1114.567,16491.117000000002,63017.812,79508.929,0,0,79508.929,707.505,3484.908,75316.516,2018,6
,2018-07-01,76923.801,30348.842000000004,7991.143,35051.168,1813.958,1718.69,4736.768,9460.252,408.567,6092.866,176.922,0,1332.989,17952.565000000002,81179.59999999999,99132.165,0,0,99132.165,1488.414,4344.96,93298.791,2018,7
,2018-08-01,77531.898,30982.613000000012,6826.388,36030.304,2014.09,1678.503,4094.88,7629.57,471.191,6799.265,187.139,0,1361.749,17101.255,80974.437,98075.69200000001,0,0,98075.69200000001,1321.312,4298.673,92455.70700000001,2018,8
,2018-09-01,60436.628,27374.358,3309.698,26255.487,1895.351,1601.734,5087.983,8911.276,399.219,5200.681,188.973,0,1237.401,16595.5,64866.661,81462.161,0,0,81462.161,851.933,3570.502,77039.726,2018,9
,2018-10-01,58129.708,25435.496999999996,2447.721,26748.401,1845.292,1652.797,5439.154,7377.478,520.215,4525.139,180.898,0,1731.942,14449.021999999999,63455.512,77904.534,0,0,77904.534,938.227,3414.607,73551.7,2018,10
,2018-11-01,61120.375,26003.634,2937.596,28672.554,1852.469,1654.122,6342.598,4451.825,510.152,4612.44,201.398,0,1783.73,11628.283999999998,67394.234,79022.518,0,0,79022.518,630.824,3463.604,74928.09,2018,11
,2018-12-01,72664.29,30255.619,4408.123,34156.179,2010.585,1833.784,6797.102,5491.3,974.565,3469.157,216.903,0,2131.353,12162.51,79582.16,91744.67,0,0,91744.67,678.97,4021.326,87044.374,2018,12
,2019-01-01,77118.13,30717.566,5475.583,37263.457,1939.364,1722.16,6815.891,4934.114,960.041,3864.091,190.434,0,2228.608,11888.043999999998,84223.26500000001,96111.30900000001,0,0,96111.30900000001,796.206,4212.708,91102.395,2019,1
,2019-02-01,68127.828,28251.987999999998,4613.373,31939.016,1790.741,1532.71,6157.066,4904.621,768.023,4123.467,185.353,0,2027.934,11772.204999999998,74522.087,86294.292,0,0,86294.292,590.238,3782.387,81921.667,2019,2
,2019-03-01,64656.497,27426.195000000007,3444.647,29733.307,2117.159,1935.189,6814.368,6152.295,789.888,5200.753,199.667,0,1967.109,14459.762,71320.815,85780.577,0,0,85780.577,700.74,3759.878,81319.959,2019,3
,2019-04-01,52951.363,21558.143,3529.768,25239.121,1175.031,1449.3,5896.293,6521.281,567.932,7269.155,201.049,0,1288.994,15734.448000000002,58961.619,74696.067,0,0,74696.067,888.927,3365.187,70441.953,2019,4
,2019-05-01,48811.367,20717.012999999995,2563.7,22419.312,1268.853,1842.489,5263.047,8395.981,493.799,8481.066,216.995,0,1369.563,18856.694,54175.123999999996,73031.818,0,0,73031.818,1031.988,3290.21,68709.62,2019,5
,2019-06-01,52415.258,22376.24,2870.12,24109.079,1225.212,1834.607,4769.619,8231.534,398.327,7563.317,196.704,0,1453.318,17615.094,57412.983,75028.077,0,0,75028.077,734.688,3380.145,70913.244,2019,6
,2019-07-01,61639.157,28021.215000000004,4141.621,26587.552,1379.975,1508.794,5068.003,9907.061,389.932,6097.081,192.28,0,1758.547,17966.328999999998,67085.732,85052.061,0,0,85052.061,943.299,3831.743,80277.019,2019,7
,2019-08-01,68516.766,28743.619000000006,6392.18,31459.016,1403.258,518.693,4608.868,9016.934,426.392,7144.351,204.951,0,1785.742,18195.886,73508.118,91704.004,0,0,91704.004,1265.388,4131.424,86307.192,2019,8
,2019-09-01,61519.954,25023.951999999997,5551.351,28797.2,1436.757,710.694,4182.548,7595.219,420.097,6397.422,210.673,0,1656.584,16060.168,65922.329,81982.497,0,0,81982.497,1104.341,3693.454,77184.702,2019,9
,2019-10-01,55645.952,23475.827999999998,3230.697,25320.369,1643.786,1975.272,4808.683,7063.422,607.956,5849.233,210.19,0,1522.471,15374.587,60333.31999999999,75707.90699999999,0,0,75707.90699999999,932.808,3410.772,71364.32699999999,2019,10
,2019-11-01,56769.937,24738.626,3356.175,25181.797,1596.002,1897.337,5149.335,5530.257,792.896,5387.785,213.204,0,1460.03,13520.143999999998,61783.299999999996,75303.44399999999,0,0,75303.44399999999,838.315,3392.551,71072.578,2019,11
,2019-12-01,68269.345,28515.91000000001,4569.851,31554.832,1726.857,1901.895,5270.834,5596.322,850.408,4156.739,223.05,0,1725.769,12553.376,73539.09100000001,86092.46700000002,0,0,86092.46700000002,726.658,3878.615,81487.19400000002,2019,12
,2020-01-01,73643.520413,30252.98528500001,3567.995099,35772.833967,2669.79663,1379.909432,4791.404069,9794.330033,902.659244,3884.788329,242.718108,0,1745.197938,17494.292344,77510.32579,95004.618134,0,0,95004.618134,687.608144,4278.932735,90038.07725500001,2020,1
,2020-02-01,66890.817725,28452.178270000004,2294.018563,32269.11009,2495.60137,1379.909432,4950.882637,10130.048855,835.689066,4754.825879,213.795614,0,1647.690772,18429.960784,70993.789764,89423.750548,0,0,89423.750548,721.111034,4047.588866,84655.050648,2020,2
,2020-03-01,61769.469415,26217.646727,1716.066827,29673.650337,2782.196092,1379.909432,4995.198348,11429.381462,873.985721,6030.322559,222.370264,0,1603.824191,21338.256098,65586.295862,86924.55196,0,0,86924.55196,745.527443,3982.170554,82196.853963,2020,3
,2020-04-01,50109.565734,21547.866358000003,2134.008224,23106.139338,1706.870968,1614.680846,4517.102706,8550.286839,791.444441,7634.346403,209.32095,0,1346.530915,18892.269601,54266.32838700001,73158.59798800001,0,0,73158.59798800001,955.929666,3256.47082,68946.19750200001,2020,4
,2020-05-01,44555.299984,18209.974661999997,2447.003658,20543.764334,1739.876484,1614.680846,4406.370502,8912.737493,587.955922,8439.417118,209.256979,0,1278.541101,19889.243996,48500.335103000005,68389.57909900001,0,0,68389.57909900001,1011.137882,3038.548888,64339.89232900001,2020,5
,2020-06-01,52840.901865,21298.279062999998,2477.31143,25886.294095,1564.336431,1614.680846,3843.682456,8631.402062,442.64679,7726.316026,201.534486,0,1528.804469,18566.235795,56649.05235900001,75215.28815400001,0,0,75215.28815400001,799.168783,3325.077652,71091.04171900002,2020,6
,2020-07-01,59632.872694,24356.001164999994,3112.126268,28647.69103,1902.373385,1614.680846,3631.930679,11049.576311,419.448355,5977.990257,154.896664,0,1634.72377,19504.284972,62997.15375799999,82501.43873,0,0,82501.43873,1123.320866,3653.79205,77724.325814,2020,7
,2020-08-01,72517.856549,28022.463029000006,3863.661283,37029.719944,1987.331447,1614.680846,3090.052771,9139.152364,389.446635,7730.461742,201.391551,0,1783.27218,19447.783739000002,75403.85005300002,94851.63379200002,0,0,94851.63379200002,1298.21013,4174.928508,89378.49515400002,2020,8
,2020-09-01,62942.528534,24520.911881,2648.672692,32237.668443,1920.594672,1614.680846,2643.393576,6975.451116,537.623381,7021.812288,204.923947,0,1631.168395,16660.405403999997,65296.49583300001,81956.90123700001,0,0,81956.90123700001,863.645728,3641.683148,77451.57236100001,2020,9
,2020-10-01,58578.673941,23309.789577999996,2221.429718,29538.52609,1894.247709,1614.680846,1770.308944,5742.534653,648.967306,5954.025388,221.217548,0,1503.139008,14460.992604000001,59957.87418399999,74418.866788,0,0,74418.866788,675.273536,3320.90716,70422.686092,2020,10
,2020-11-01,62074.850692,24375.278366,2934.442875,31356.036503,1794.412102,1614.680846,1190.163711,4723.151444,831.399934,5804.168708,231.064077,0,1471.20409,13384.196264999999,62941.806391000006,76326.002656,0,0,76326.002656,600.315476,3380.10382,72345.58335999999,2020,11
,2020-12-01,79543.124856,28980.23275599999,6917.584213,39862.087365,2168.539676,1614.680846,2076.102294,5332.026497,1054.090346,4772.496627,246.221195,0,1704.533404,13573.374341,81155.220878,94728.595219,0,0,94728.595219,1135.947409,4093.608258,89499.039552,2020,12
,2021-01-01,85836.822377,32804.62199100001,9297.983258,39971.365469,2148.170813,1614.680846,2518.712201,5435.642621,1047.158279,4659.527824,248.74205,0,1632.04099,13539.241587,87839.404755,101378.646342,0,0,101378.646342,1193.852512,4324.595312,95860.19851799999,2021,1
,2021-02-01,67278.134275,26575.94347,4192.821672,32957.163049,1937.525238,1614.680846,2724.261312,5155.07908,1048.378515,5685.108243,226.465165,0,1584.262639,14052.556241,69649.132988,83701.689229,0,0,83701.689229,738.52515,3674.805196,79288.358883,2021,2
,2021-03-01,61423.754608,24391.739398000005,3814.442402,29377.587832,2225.30413,1614.680846,3683.680023,7640.221096,855.654096,7238.674375,237.172304,0,1560.656038,18197.026001,64442.786539000015,82639.81254000001,0,0,82639.81254000001,671.254595,3671.481448,78297.07649700002,2021,3
,2021-04-01,48323.718505,20354.688464999996,2358.427623,23282.281458,2328.320959,0,4615.067758,8688.622115,768.383133,8879.719555,231.795745,0,1369.171367,20896.841507,51979.63667099999,72876.47817799999,0,0,72876.47817799999,1007.731404,3353.154692,68515.59208199999,2021,4
,2021-05-01,46846.347329,19062.798901999995,2382.40865,21389.990352,2396.468579,1614.680846,4628.496933,10077.72912,646.991166,9874.731044,238.560313,0,1400.806769,23234.480222000002,50479.18245200001,73713.662674,0,0,73713.662674,1145.663067,3274.375554,69293.624053,2021,5
