GWh,CZECHREPUBLIC,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-04-01,4136.606,3576.5869999999995,9.276,162.759,381.079,6.905,2506.02,311.221,54.327,210.51,0,0,8.867,957.137,6270.414,7227.5509999999995,1053.711,2883.808,5397.453999999999,123.848,357.15,4916.455999999999,2017,4
,2017-05-01,3431.577,2902.4310000000005,9.464,117.253,395.044,7.385,2107.944,336.01,32.995,309.246,0,0,9.477,1073.295,5153.954000000001,6227.249000000001,1219.602,2191.457,5255.394,127.002,322.612,4805.780000000001,2017,5
,2017-06-01,3053.653,2422.113,6.024,252.767,366.641,6.108,1723.454,189.257,38.135,326.05,0,0,4.525,920.0830000000001,4414.990999999999,5335.073999999999,1623.896,1983.615,4975.354999999999,109.745,310.753,4554.856999999999,2017,6
,2017-07-01,2891.183,2186.615,6.754,348.839,342.309,6.666,1591.883,155.951,32.926,285.211,0,0,6,816.397,4146.757,4963.1539999999995,1425.543,1667.764,4720.932999999999,64.093,299.994,4356.845999999999,2017,7
,2017-08-01,3306.53,2668.367,8.929,243.315,378.758,7.161,2162.559,190.007,27.426,286.307,0,0,8.512,882.498,5098.843,5981.341,805.61,1778.602,5008.349,121.538,320.409,4566.402,2017,8
,2017-09-01,3806.324,3200.017,8.707,228.369,362.839,6.392,2386.71,203.958,33.697,161.424,0,0,6.867,761.918,5837.062,6598.98,601.384,2095.814,5104.549999999999,122.533,327.94,4654.076999999999,2017,9
,2017-10-01,4059.805,3459.3849999999998,9.602,238.119,346.147,6.552,2574.771,210.385,63.796,127.88,0,0,9.148,748.208,6297.577,7045.785,1137.385,2550.66,5632.51,106.827,379.645,5146.0380000000005,2017,10
,2017-11-01,4467.744,3687.5589999999997,5.986,390.02,377.624,6.555,2629.648,291.978,56.059,58.597,0,0,8.366,784.258,6728.134,7512.392,1129.283,2632.664,6009.010999999999,147.73,400.191,5461.089999999998,2017,11
,2017-12-01,4158.108,3467.898,8.227,287.687,387.048,7.248,2315.425,320.745,83.818,41.299,0,0,8.663,832.91,6095.148,6928.058,1421.146,2231.185,6118.019,183.357,402.829,5531.8330000000005,2017,12
,2018-01-01,4253.515,3582.9790000000003,6.99,280.288,375.799,7.459,2106.605,385.599,73.162,45.439,0,0,10.086,879.9989999999999,5994.407,6874.406,1225.538,1707.645,6392.298999999999,173.299,393.531,5825.468999999999,2018,1
,2018-02-01,4082.483,3389.4970000000003,6.4,343.099,337.566,5.921,1965.054,307.158,37.452,114.348,0,0,9.765,796.5239999999999,5719.736000000001,6516.26,1068.915,1537.628,6047.5470000000005,130.912,365.64,5550.995000000001,2018,2
,2018-03-01,4611.854,3954.4890000000005,6.454,268.527,375.762,6.622,2651.067,293.311,56.741,157.037,0,0,10.021,882.851,6897.18,7780.031,866.917,2172.105,6474.843000000001,154.038,409.688,5911.117000000001,2018,3
,2018-04-01,3217.891,2727.453,3.449,117.451,363.356,6.182,2288.004,295.621,57.49,292.447,0,0,9.943,1008.914,5152.482,6161.396,651.182,1601.924,5210.6539999999995,149.141,306.605,4754.907999999999,2018,4
,2018-05-01,3315.345,2837.285,4.366,103.193,363.779,6.722,2617.124,213.402,45.195,322.074,0,0,10.975,944.45,5579.665000000001,6524.115000000001,729.401,2053.026,5200.490000000001,123.093,322.1,4755.2970000000005,2018,5
,2018-06-01,3221.414,2702.0530000000003,9.669,141.514,361.986,6.192,2402.371,170.157,34.524,273.545,0,0,7.983,840.212,5269.782000000001,6109.994000000001,900.23,1999.158,5011.066000000001,77.384,321.766,4611.916000000001,2018,6
,2018-07-01,3642.035,2989.625,9.321,288.805,348.078,6.206,1949.979,138.264,27.947,303.659,0,0,11.053,817.948,5254.989,6072.937,815.006,2035.613,4852.33,53.287,299.911,4499.132,2018,7
,2018-08-01,3604.297,2904.936,10.85,343.642,337.988,6.881,2125.437,129.84,26.104,293.702,0,0,9.3,787.634,5401.045999999999,6188.679999999999,965.264,2106.426,5047.518,53.31,310.938,4683.27,2018,8
,2018-09-01,3715.988,3092.705,9.99,251.874,356.538,4.881,2407.387,124.922,35.508,239.804,0,0,6.658,756.772,5773.495,6530.267,749.163,2348.255,4931.175,52.626,321.789,4556.76,2018,9
,2018-10-01,4212.235,3489.959,9.495,354.078,353.895,4.808,2522.284,173.02,67.874,173.046,0,0,7.459,767.835,6388.083,7155.918,1218.448,2732.214,5642.152,111.632,384.203,5146.317,2018,10
,2018-11-01,4512.395,3684.6140000000005,10.59,445.902,367.771,3.518,2562.186,190.04,59.222,72.445,0,0,8.657,689.4780000000001,6715.4670000000015,7404.9450000000015,1147.279,2540.6,6011.624000000002,136.524,401.467,5473.633000000002,2018,11
,2018-12-01,4536.813,3710.003,9.117,424.294,386.515,6.884,2655.039,230.484,79.451,31.193,0,0,9.216,727.643,6814.553000000002,7542.196000000002,1236.068,2645.909,6132.355000000001,146.577,431.745,5554.033000000001,2018,12
,2019-01-01,4826.039,3900.2929999999997,7.432,537.349,374.772,6.193,2593.368,331.477,79.696,52.489,0,0,9.949,838.4340000000001,7054.584,7893.018,1285.242,2454.017,6724.243,141.031,459.495,6123.717000000001,2019,1
,2019-02-01,4185.442,3419.924,7.212,410.643,340.352,7.311,2459.281,293.175,63.536,138.356,0,0,9.226,835.4190000000001,6313.597,7149.016,857.836,2161.462,5845.389999999999,103.77,383.915,5357.704999999999,2019,2
,2019-03-01,4033.036,3345.183,8.942,275.589,396.285,7.037,2168.319,439.481,83.774,193.987,0,0,8.555,1113.527,5813.625,6927.152,1039.475,1970.989,5995.638000000001,120.712,362.792,5512.134000000001,2019,3
,2019-04-01,3582.062,2905.8399999999997,10.991,284.978,375.673,4.58,2103.026,317.429,61.844,277.537,0,0,9.641,1032.483,5319.055999999999,6351.538999999999,879.431,1873.904,5357.065999999999,113.863,324.95,4918.252999999999,2019,4
,2019-05-01,3314.22,2712.8619999999996,7.565,213.055,375,5.738,2746.398,268.147,50.912,235.651,0,0,9.328,929.71,5694.946,6624.656,630.856,1787.439,5468.072999999999,121.902,325.547,5020.624,2019,5
,2019-06-01,2868.651,2111.326,10.861,407.035,333.365,6.064,2215.231,195.112,35.828,334.264,0,0,7.095,898.569,4757.612,5656.1810000000005,780.778,1443.447,4993.512000000001,84.545,303.192,4605.775000000001,2019,6
,2019-07-01,2946.119,2056.5820000000003,9.578,517.847,356.333,5.779,1776.287,180.828,27.809,298.036,0,0,10.508,863.0060000000001,4376.581,5239.587,1338.961,1653.497,4925.051,112.512,307.112,4505.427000000001,2019,7
,2019-08-01,3384.095,2492.9749999999995,7.41,494.046,382.714,6.95,2091.819,190.738,26.964,270.663,0,0,8.693,871.079,5101.892999999999,5972.971999999999,733.618,1688.121,5018.468999999999,127.623,310.967,4579.878999999999,2019,8
,2019-09-01,3715.843,2770.7219999999998,8.551,546.52,383.648,6.402,2243.901,198.738,44.287,220.513,0,0,8.448,847.186,5584.544,6431.73,842.234,2134.621,5139.343,132.526,373.872,4632.945,2019,9
,2019-10-01,4068.584,3079.33,10.557,589.856,383.142,5.699,2813.643,268.811,61.515,162.628,0,0,8.287,876.096,6507.371999999999,7383.467999999999,846.098,2577.463,5652.102999999999,145.438,382.924,5123.740999999999,2019,10
,2019-11-01,4102.661,3169.0910000000003,7.304,527.695,392.694,5.877,2780.641,202.097,71.831,55.84,0,0,10.605,722.4620000000001,6501.213,7223.675,663.222,2019.638,5867.259,126.449,358.658,5382.152,2019,11
,2019-12-01,4274.587,3442.099,9.532,392.565,422.028,8.363,2587.437,257.435,82.97,51.222,0,0,9.789,813.655,6449.785,7263.44,1128.462,2358.218,6033.684,177.429,406.545,5449.71,2019,12
,2020-01-01,4631.301813,3611.121398,7.685223,602.163993,402.732706,7.598493,2419.515674,229.280301,73.153025,61.210696,0,0,9.999735,766.376728,6658.084516000001,7424.461244000001,1692.567786,2559.393371,6557.635659000001,147.724781,475.3995,5934.511378000001,2020,1
,2020-02-01,3824.437739,2926.426398,8.331446,513.102023,368.281644,8.296228,2293.353979,282.361863,113.187647,101.787726,0,0,9.341522,865.61888,5758.8515959999995,6624.4704759999995,1320.708062,1993.632945,5951.545592999999,146.722815,398.836461,5405.986316999999,2020,2
,2020-03-01,3660.718455,2801.430288,6.870653,441.655265,403.268479,7.49377,2137.216083,305.177326,78.765819,226.812201,0,0,9.572675,1014.023825,5404.238734,6418.262559,1218.884969,1714.03786,5923.109667999999,145.197225,369.513401,5408.399041999999,2020,3
,2020-04-01,2778.211894,2042.576023,3.078714,346.182423,380.383504,5.99123,1753.179132,272.044398,48.338739,323.458903,0,0,8.957478,1024.2255440000001,4159.965,5184.190544,1106.025456,1500.590549,4789.625451,178.918139,293.881182,4316.8261299999995,2020,4
,2020-05-01,2522.81187,1739.039984,3.352986,387.158957,388.277995,4.981948,2507.895266,224.721561,45.893244,279.807794,0,0,10.418376,938.7005939999999,4652.847517,5591.548111,1003.786441,1794.898206,4800.436346,154.73869,248.948102,4396.749554,2020,5
,2020-06-01,2746.828144,1872.034488,5.608884,483.483784,378.337534,7.363454,2337.306052,270.734892,39.944703,241.996482,0,0,9.133488,931.013611,4714.93015,5645.943761,714.498982,1666.494989,4693.947754000001,79.452968,280.40713,4334.087656000001,2020,6
,2020-07-01,2586.13231,1578.299709,7.640883,626.76451,366.468622,6.958586,2101.502294,311.468472,31.156678,294.712602,0,0,8.407235,1003.806374,4329.573217,5333.379591,1086.060479,1648.889642,4770.550428,131.850961,282.806101,4355.893365999999,2020,7
,2020-08-01,2862.35709,1906.7910689999999,8.648477,551.50062,387.126504,8.29042,2609.236433,282.0625,35.039679,263.833259,0,0,4.998585,968.061942,5089.465604,6057.527546,739.738223,1935.391293,4861.874476000001,131.482381,294.315511,4436.076584,2020,8
,2020-09-01,2867.62731,2211.0344109999996,6.668284,258.74482,385.948229,5.231566,2698.718418,259.6417,36.496696,221.095866,0,0,8.843261,903.182491,5189.240759999999,6092.423250999998,772.449989,1822.012781,5042.860458999998,135.257631,296.00873,4611.594097999998,2020,9
,2020-10-01,3407.011381,2592.1067999999996,7.350369,422.022959,380.167116,5.364137,2582.589363,331.752836,68.000863,107.310055,0,0,7.376928,887.23087,5616.8105559999985,6504.041425999999,1164.600091,2056.112075,5612.529441999999,133.474472,357.622962,5121.432007999999,2020,10
,2020-11-01,4274.748274,3116.8914179999992,6.157321,735.479828,409.468977,6.75073,2362.10835,344.839555,49.312629,59.558626,0,0,8.481716,863.179787,6235.869363,7099.04915,1220.867866,2440.035805,5879.881211,140.471609,408.47629,5330.933312,2020,11
,2020-12-01,4145.946235,2938.5967880000003,3.578242,765.561785,428.287138,9.922282,2584.984302,289.078353,70.758311,33.822135,0,0,9.412995,821.9459370000001,6312.056394,7134.002331000001,1327.862656,2389.421485,6072.443502000001,159.481328,410.84263,5502.119544000001,2020,12
,2021-01-01,4601.148472,3439.831443,7.331214,733.766875,411.825992,8.392948,2598.317307,304.936259,53.36531,43.233637,0,0,11.772981,813.3611980000001,6799.412768,7612.773966000001,1176.256953,2308.024928,6481.005991000001,156.566673,360.825558,5963.613760000001,2021,1
,2021-02-01,3807.825324,2784.7148829999996,5.61459,645.884089,363.553945,8.057817,2337.148948,397.865266,44.255851,84.564786,0,0,11.00839,890.239848,5792.428717,6682.668565,865.833889,1522.954874,6025.5475799999995,139.907559,329.094789,5556.5452319999995,2021,2
,2021-03-01,3871.797393,2682.341238,6.160811,769.520532,406.111476,7.663336,2458.186465,336.841765,54.668079,183.971891,0,0,11.647743,981.593211,5935.520125000001,6917.113336000001,1160.382783,1879.225614,6198.270505000001,120.655306,340.218563,5737.396636000001,2021,3
,2021-04-01,3344.427962,2213.879961,5.086991,714.524619,403.45125,7.485141,2004.596923,284.586215,57.64845,231.995796,0,0,10.747223,977.6817110000001,4956.320858000001,5934.002569000001,1450.326528,1831.482105,5552.846992000002,131.561881,294.706791,5126.578320000001,2021,4
,2021-05-01,2456.9714,1681.77279,5.671081,336.837662,426.187396,6.502471,2290.311262,337.405863,71.71748,246.54659,0,0,11.770083,1081.857329,4332.865349000001,5414.722678,1150.661811,1208.075173,5357.309316,99.19807,266.507919,4991.603327,2021,5
