GWh,LATVIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-08-01,298.454114,0,0,240.880068,57.574046,0,0,75.076487,4.974692,0.569404,0,0,0,138.194629,240.880068,379.074697,334.029214,161.109399,551.994512,0,28.398839,523.595673,2020,8
,2020-09-01,205.231488,0,0,149.609105,55.622383,0,0,110.11218,13.929138,0.392049,0,0,0,180.05574999999996,149.609105,329.664855,439.038398,214.145412,554.5578409999999,0,30.613042,523.944799,2020,9
,2020-10-01,194.044915,0,0,135.495038,58.549877,0,0,116.118299,13.929138,0.251564,0,0,0,188.84887799999998,135.495038,324.343916,409.035774,124.084258,609.295432,0,29.206307,580.089125,2020,10
,2020-11-01,280.960125,0,0,212.651935,68.30819,0,0,148.150934,16.913954,0.088678,0,0,0,233.46175599999998,212.651935,446.113691,275.024053,120.08154,601.056204,0,28.71878,572.3374239999999,2020,11
,2020-12-01,302.741268,0,0,230.529753,72.211515,0,0,177.180508,14.924077,0.062541,0,0,0,264.378641,230.529753,494.90839400000004,305.026677,153.103963,646.8311080000001,0,31.856826,614.9742820000001,2020,12
,2021-01-01,382.825658,0,0,307.686649,75.139009,0,0,193.196826,8.954446,0.114814,0,0,0,277.405095,307.686649,585.0917440000001,286.025016,220.149489,650.9672710000001,0,34.691584,616.2756870000001,2021,1
,2021-02-01,365.644524,0,0,297.336334,68.30819,0,0,195.198865,8.954446,0.219827,0,0,0,272.68132800000006,297.336334,570.0176620000001,273.023879,232.157643,610.883898,0,33.57351,577.3103880000001,2021,2
,2021-03-01,275.384285,0,0,205.124433,70.259852,0,0,398.405889,15.919015,0.43312,0,0,0,485.017876,205.124433,690.1423090000001,270.023616,326.221516,633.944409,0,38.237902,595.706507,2021,3
,2021-04-01,122.603432,-9.999999974752427e-07,0,62.101893,60.50154,0,0,511.521129,15.919015,0.580605,0,0,0,588.5222889999999,62.101892,650.6241809999999,290.025365,364.247337,576.4022089999999,0,37.460677,538.9415319999998,2021,4
,2021-05-01,85.000815,0,0,23.523444,61.477371,0,0,432.440563,10.944323,0.771029,0,0,0,505.633286,23.523444,529.15673,280.024491,234.159002,575.0222190000001,0,32.225047,542.797172,2021,5
