GWh,SLOVAKREPUBLIC,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-02-01,568.429,307.04099999999994,30.382,128.308,100.8,1.898,1191.032,352.539,0.5,20.548,0,0,6.048,474.387,1664.7089999999998,2139.096,1502,1197.191,2443.9049999999997,46,111.47,2286.435,2017,2
,2017-03-01,545.101,272.529,30.382,129.578,110.714,1.898,1235.77,473.926,0.5,48.802,0,0,10.079,633.942,1680.236,2314.178,1212,1084.173,2442.005,33,107.952,2301.053,2017,3
,2017-04-01,494.89,223.736,25.143,116.874,127.239,1.898,956.405,406.209,0.5,47.09,0,0,12.095,581.038,1336.151,1917.189,1461,1107.177,2271.0120000000006,27,103.421,2140.591000000001,2017,4
,2017-05-01,438.056,180.89299999999997,27.239,99.089,128.892,1.943,967.341,524.827,0.5,65.926,0,0,10.079,720.1450000000001,1286.584,2006.7290000000003,1371,1154.184,2223.545,27,103.407,2093.138,2017,5
,2017-06-01,468.457,210.64499999999998,26.191,99.089,130.544,1.988,957.399,432.678,0.5,69.35,0,0,10.079,633.072,1305.3909999999998,1938.4629999999997,1276,888.142,2326.321,31,98.409,2196.912,2017,6
,2017-07-01,467.152,193.98399999999998,42.953,97.819,130.544,1.852,1272.555,298.356,0.5,65.069,0,0,12.095,494.469,1621.258,2115.727,1121,1035.165,2201.562,24,99.091,2078.471,2017,7
,2017-08-01,525.628,264.19800000000004,35.62,101.63,122.282,1.898,1230.799,295.244,0.5,65.069,0,0,10.079,483.095,1644.224,2127.319,1107,981.157,2253.162,10,99.017,2144.145,2017,8
,2017-09-01,476.608,216.59500000000003,32.477,104.17,122.282,1.084,1228.811,308.007,0.5,41.096,0,0,8.063,471.885,1591.2,2063.085,1008,856.137,2214.9480000000003,18,94.02,2102.9280000000003,2017,9
,2017-10-01,539.868,243.96700000000004,32.477,119.415,142.111,1.898,1083.66,357.575,0.5,34.247,0,0,12.095,534.433,1493.5120000000002,2027.9450000000002,1304,907.145,2424.8,52,102.006,2270.7940000000003,2017,10
,2017-11-01,589.322,301.091,30.382,137.2,118.977,1.672,1275.538,428.157,0.5,17.98,0,0,12.095,565.614,1757.978,2323.592,1344,1145.183,2522.409,52,112.281,2358.128,2017,11
,2017-12-01,614.062,299.901,33.525,154.985,123.934,1.717,1305.363,396.577,0.5,10.274,0,0,12.095,531.285,1807.586,2338.871,1133,924.147,2547.724,38,106.29,2403.434,2017,12
,2018-01-01,637.144,332.109,32.506,155.921,115.303,1.305,1318.799,575.697,1.2,14.974,0,0,7.273,707.1740000000001,1847.9129999999998,2555.087,939.076,864,2630.163,49.367,115.719,2465.077,2018,1
,2018-02-01,617.094,329.44200000000006,36.569,148.376,101.466,1.241,1191.013,361.976,0,23.959,0,0,5.455,487.401,1712.096,2199.497,756.061,484,2471.558,35.262,97.882,2338.4139999999998,2018,2
,2018-03-01,594.927,292.096,32.506,152.148,116.84,1.337,1319.798,348.002,0,38.933,0,0,10.909,503.775,1808.794,2312.569,829.067,538,2603.636,39.292,104.044,2460.3,2018,3
,2018-04-01,477.889,222.74,28.443,99.337,126.064,1.305,1107.153,426.272,1.2,68.882,0,0,9.091,622.4180000000001,1468.069,2090.487,516.042,408,2198.529,39.292,86.323,2072.914,2018,4
,2018-05-01,427.008,186.72799999999998,42.664,64.129,132.214,1.273,1000.331,363.828,0,79.863,0,0,7.273,575.905,1302.398,1878.3029999999999,1068.086,686,2260.389,39.292,97.578,2123.5190000000002,2018,5
,2018-06-01,400.689,180.05900000000003,34.538,60.356,124.527,1.209,942.427,290.537,0,66.886,0,0,7.273,481.94999999999993,1225.8619999999999,1707.812,1106.089,603,2210.901,40.299,93.191,2077.411,2018,6
,2018-07-01,564.558,289.42799999999994,36.569,114.426,122.989,1.146,1133.109,254.394,0,75.87,0,0,10.909,453.25300000000004,1585.587,2038.8400000000001,936.075,736,2238.915,13.097,98.523,2127.295,2018,7
,2018-08-01,545.448,192.063,35.553,187.356,129.139,1.337,1257.901,202.849,0,71.877,0,0,9.091,403.865,1683.301,2087.166,1153.093,939,2301.259,13.097,107.311,2180.851,2018,8
,2018-09-01,576.41,218.73899999999998,36.569,226.337,93.779,0.986,964.391,227.489,0,62.892,0,0,7.273,384.16,1454.2949999999998,1838.455,1083.087,684,2237.542,22.165,96.755,2118.622,2018,9
,2018-10-01,520.558,241.413,25.395,115.683,136.826,1.241,975.372,195.476,1.2,44.923,0,0,7.273,378.425,1366.3769999999997,1744.8019999999997,1394.112,795,2343.9139999999998,34.254,103.954,2205.7059999999997,2018,10
,2018-11-01,539.312,254.75,26.411,137.059,119.915,1.177,1249.914,252.991,1.2,25.956,0,0,9.091,400.062,1678.402,2078.464,1126.091,769,2435.555,38.284,106.128,2291.143,2018,11
,2018-12-01,691.964,393.4630000000001,33.522,162.208,101.466,1.305,1323.791,295.491,1.2,9.983,0,0,9.091,408.14,1923.3799999999999,2331.52,1521.122,1240,2612.642,40.299,127.591,2444.752,2018,12
,2019-01-01,708.746,280.366,35.029,251.415,139.609,2.327,1316.879,375.302,0,17,0,0,2.449,531.9110000000001,1888.465,2420.376,1600.236,1356.115,2664.4970000000003,35.349,171.186,2457.9620000000004,2019,1
,2019-02-01,618.663,236.55900000000003,30.908,219.616,129.492,2.088,1175.258,374.513,0,36,0,0,1.837,540.005,1666.266,2206.271,1142.169,999.084,2349.3560000000007,21.424,142.567,2185.3650000000007,2019,2
,2019-03-01,677.767,267.2240000000001,38.12,230.547,139.609,2.267,1210.663,570.79,0,56,0,0,1.837,766.399,1750.6580000000001,2517.0570000000002,990.146,1014.086,2493.117,32.136,149.327,2311.654,2019,3
,2019-04-01,538.159,200.41799999999995,26.787,160.985,147.702,2.267,1028.719,412.575,2,62,0,0,2.449,624.277,1421.625,2045.902,1072.158,846.071,2271.989,22.495,132.758,2116.736,2019,4
,2019-05-01,539.042,158.80100000000004,19.575,212.66,145.679,2.327,1184.109,542.893,0,53,0,0,2.449,741.572,1579.921,2321.493,981.145,1024.087,2278.551,20.353,140.617,2117.581,2019,5
,2019-06-01,526.101,170.84799999999996,18.545,194.772,139.609,2.327,922.503,509.723,0,77,0,0,2.449,726.332,1311.444,2037.7759999999998,898.133,754.064,2181.845,27.851,125.003,2028.9909999999998,2019,6
,2019-07-01,635.103,236.55899999999997,35.029,229.553,131.516,2.446,1069.042,276.174,0,76,0,0,2.449,483.68999999999994,1575.078,2058.768,1050.155,853.072,2255.8509999999997,25.708,132.369,2097.7739999999994,2019,7
,2019-08-01,526.623,151.13500000000005,40.18,219.616,113.306,2.386,1267.705,275.195,0,72,0,0,2.449,460.501,1683.471,2143.9719999999998,1039.154,962.081,2221.0449999999996,24.637,135.529,2060.8789999999995,2019,8
,2019-09-01,477.517,99.66200000000003,40.18,236.509,101.166,0,1133.951,252.095,0,58,0,0,2.449,411.26099999999997,1512.7510000000002,1924.0120000000002,1333.197,1066.09,2191.1189999999997,27.851,138.683,2024.5849999999996,2019,9
,2019-10-01,609.519,169.753,50.483,272.284,115.329,1.67,1267.705,229.138,0,50,0,0,3.061,394.467,1764.956,2159.423,1416.209,1133.096,2442.5359999999996,24.637,152.24,2265.6589999999997,2019,10
,2019-11-01,621.174,206.98899999999998,41.211,259.365,111.282,2.327,1271.638,333.35,2,16,0,0,3.673,462.632,1785.203,2247.835,793.117,739.062,2301.8900000000003,26.78,129.475,2145.635,2019,11
,2019-12-01,621.584,236.5589999999999,31.938,253.403,97.119,2.565,1319.829,321.251,2,16,0,0,2.449,436.37,1846.743,2283.113,1222.181,1091.092,2414.2019999999998,26.78,149.246,2238.176,2019,12
,2020-01-01,787.509767,314.10170300000004,32.478206,326.22044,113.352669,1.356749,1346.391772,287.033304,0,19,0,0,5.751391,419.385973,2026.300261,2445.6862340000002,3398.261782,2746.283227,3097.6647890000004,456.995127,248.818857,2391.8508050000005,2020,1
,2020-02-01,632.592953,216.18335799999994,31.430522,260.792046,122.798725,1.388302,1255.365285,493.919379,0,41,0,0,3.450835,657.718104,1768.6103480000002,2426.328452,2484.552069,2412.25254,2498.627981,321.131711,209.09147,1968.4048000000003,2020,2
,2020-03-01,590.823904,207.28168999999997,38.764311,234.067773,109.574247,1.135883,1255.365285,474.015229,0,63,0,0,3.450835,646.589476,1740.065777,2386.655253,1838.494696,1792.40178,2432.7481689999995,321.131711,179.894992,1931.7214659999995,2020,3
,2020-04-01,473.390361,115.72167999999999,30.382838,218.40182,107.685035,1.198988,1111.323372,276.411743,0,94,0,0,3.450835,478.096778,1480.4795330000002,1958.5763110000003,1653.906875,1558.235937,2054.2472490000005,407.590248,153.809366,1492.8476350000005,2020,4
,2020-05-01,464.491987,95.37500999999997,27.239786,240.51846,100.128191,1.23054,1126.327738,297.106544,0,79,0,0,4.601113,476.234735,1495.292647,1971.527382,1760.967811,1640.882705,2091.6124879999998,296.429271,158.919139,1636.2640779999997,2020,5
,2020-06-01,497.117899,96.64667800000001,34.573574,260.792046,103.906613,1.198988,1009.293683,489.219713,0,69,0,0,5.751391,662.1263260000001,1408.25636,2070.382686,1473.01081,1513.468938,2029.9245579999997,382.887809,150.867721,1496.1690279999998,2020,6
,2020-07-01,433.161913,90.288343,27.239786,200.892813,113.352669,1.388302,1164.338798,423.136096,0,84,0,0,4.601113,620.4887650000001,1488.749155,2109.23792,1877.258138,1802.732626,2183.7634319999997,259.375612,169.733781,1754.6540389999998,2020,7
,2020-08-01,476.212167,58.49667400000004,35.621258,282.908686,98.23898,0.946569,1208.351605,357.151526,0,80,0,0,3.450835,535.390506,1589.7756270000002,2125.166133,1596.68465,1573.732206,2148.118577,407.590248,158.46593,1582.0623990000004,2020,8
,2020-09-01,584.929228,144.970016,29.335154,286.594793,122.798725,1.23054,1019.296594,339.251407,0,66,0,0,4.601113,528.050132,1486.02821,2014.0783419999998,1539.462426,1255.197788,2298.34298,518.751225,151.299764,1628.291991,2020,9
,2020-10-01,589.718808,141.155016,29.335154,287.51632,130.355569,1.356749,1129.328611,515.045758,0,33,0,0,5.751391,678.401327,1594.443241,2272.844568,1969.552048,1678.762474,2563.634142,469.346346,180.629307,1913.658489,2020,10
,2020-11-01,639.739437,193.29335599999996,30.382838,299.496166,115.24188,1.325197,1307.38042,378.17001,0,18,0,0,5.751391,511.41188999999997,1837.629368,2349.041258,2442.09687,2153.98139,2637.1567380000006,469.346346,203.993176,1963.8172160000006,2020,11
,2020-12-01,715.16006,219.99835800000005,33.52589,331.7496,128.466358,1.419854,1360.395847,306.937454,0,10,0,0,5.751391,445.403812,1952.84094,2398.244752,2488.243825,2198.748389,2687.740188,469.346346,208.052929,2010.3409130000002,2020,12
,2021-01-01,808.302176,178.03335400000003,35.621258,443.254326,149.247681,2.145557,1362.396429,363.298056,0,18,0,0,6.90167,530.5457369999999,2028.352594,2558.898331,1583.763503,1539.296053,2603.3657809999995,494.048786,176.38288,1932.9341149999996,2021,1
,2021-02-01,719.527441,153.87168499999996,31.430522,398.099519,132.24478,3.880935,1226.356844,459.808337,0,31,0,0,3.450835,623.0531169999999,1817.09034,2440.143457,1179.516175,1329.235518,2290.424114,382.887809,154.114919,1753.421386,2021,2
,2021-03-01,767.424435,138.61168300000008,30.382838,443.254326,151.136892,4.038696,1181.343746,380.641008,0,64,0,0,4.601113,595.7779,1802.2324019999999,2398.0103019999997,1628.06458,1432.543978,2593.530904,284.078052,171.418936,2138.0339160000003,2021,3
,2021-04-01,707.260641,161.50168499999995,26.192102,375.982879,141.690836,1.893139,1028.299214,355.030752,0,68,0,0,5.751391,564.721588,1599.6204099999998,2164.341998,2048.924811,1690.815128,2522.4516809999996,321.131711,179.389041,2021.9309289999997,2021,4
,2021-05-01,480.37734,95.37500999999997,27.239786,207.3435,147.35847,3.060574,1109.32279,530.825103,0,75,0,0,5.751391,753.183573,1448.0930509999998,2201.276624,1354.874605,1112.287752,2443.863477,271.726832,151.41091,2020.725735,2021,5
