GWh,CANADA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-11-01,10912.115,4979.249000000001,485.217,4494.116,945.829,7.704,7930.164,32781.154,3282.482,155.881,0,0,21.293,37165.346,17917.743000000002,55083.089,685.306,4871.978,50896.416999999994,17.617,3019.045,47859.75499999999,2017,11
,2017-12-01,12141.971,5540.4389999999985,539.903,5000.627,1052.429,8.573,8658.909,39516.248,3324.792,89.986,0,0,18.922,43983.454999999994,19767.373,63750.827999999994,749.799,5346.33,59154.29699999999,21.237,3491.768,55641.291999999994,2017,12
,2018-01-01,11951.462,4627.359,559.532,5779.757,976.297,8.517,8503.97,39588.784,3834.71,98.898,0,0.115,19.429,44498.804,19498.564000000002,63997.368,1385.236,5442.542,59940.062,21.756,3435.421,56482.884999999995,2018,1
,2018-02-01,10213.598,3954.4939999999997,478.171,4939.322,834.333,7.278,7252.648,34308.523,3151.437,143.693,0,1.848,18.196,38439.833999999995,16650.109,55089.943,1428.876,4599.252,51919.566999999995,18.854,2969.688,48931.024999999994,2018,2
,2018-03-01,10434.153,4039.888999999999,488.496,5045.983,852.35,7.435,8059.164,35106.811,2785.6,311.396,0,1.797,21.939,39057.954,17662.905999999995,56720.85999999999,1265.131,5384.877,52601.113999999994,19.293,3046.778,49535.04299999999,2018,3
,2018-04-01,9091.586,3520.0739999999996,425.641,4396.714,742.678,6.479,6917.284,30511.427,2771.751,330.174,0,2.149,17.389,34358.179,15283.580999999998,49641.759999999995,1468.803,4147.783,46962.77999999999,16.768,2685.52,44260.49199999999,2018,4
,2018-05-01,8458.499,3274.956,396.002,4090.551,690.962,6.028,7138.664,29229.746,2455.551,472.412,0,2.017,15.444,32850.687999999995,14921.645,47772.333,1098.183,5574.199,43296.316999999995,16.063,2567.82,40712.433999999994,2018,5
,2018-06-01,8303.647,3215.001,388.752,4015.665,678.312,5.917,7658.374,28000.126,2232.766,491.212,0,1.685,14.381,31404.101000000002,15298.089999999998,46702.191,1008.915,5417.731,42293.375,15.388,2506.901,39771.086,2018,6
,2018-07-01,10890.803,4216.6939999999995,509.875,5266.82,889.653,7.761,8511.259,30296.659,1952.594,516.845,0,1.875,15.496,33657.626,18527.905,52185.530999999995,676.165,6526.779,46334.916999999994,16.65,2777.53,43540.736999999994,2018,7
,2018-08-01,11230.135,4348.076,525.762,5430.921,917.373,8.003,8479.788,29480.62,1790.724,537.716,0,1.558,15.168,32727.990999999998,18807.718000000004,51535.709,721.438,5855.78,46401.367000000006,16.201,2745.765,43639.401000000005,2018,8
,2018-09-01,10099.784,3910.428,472.842,4884.281,825.036,7.197,7882.005,26166.989,2141.933,368.46,0,1.482,14.818,29503.9,17171.571,46675.471000000005,879.139,4627.771,42926.83900000001,14.38,2498.678,40413.78100000001,2018,9
,2018-10-01,9434.058,3652.6720000000005,441.675,4562.334,770.654,6.723,8331.725,28909.031,2977.209,241.563,0,2.238,18.42,32900.69499999999,17013.549,49914.24399999999,902.288,4187.792,46628.73999999999,15.887,2670.071,43942.78199999999,2018,10
,2018-11-01,10363.382,4012.486999999999,485.183,5011.758,846.569,7.385,7991.951,33135.965,3393.868,142.415,0,1.43,18.163,37520.247,17526.927,55047.174,1326.153,4554.647,51818.68,18.21,2962.043,48838.427,2018,11
,2018-12-01,11339.898,4390.574,530.901,5484.003,926.339,8.081,8303.17,37395.321,3365.856,104.216,0,1.807,19.158,41793.539000000004,18735.887,60529.42600000001,1034.673,5081.847,56482.25200000001,20.551,3234.784,53226.91700000001,2018,12
,2019-01-01,11742.215,4348.995,549.747,5875.872,959.23,8.371,8548.381,40081.332,3853.071,146.208,0,0.96,19.822,45040.801,19351.188000000002,64391.989,1127.21,4940.074,60579.125,22.26,3513.018,57043.847,2019,1
,2019-02-01,11620.972,4304.09,544.071,5815.201,949.325,8.285,6759.9,36523.808,3241.17,173.06,0,0,18.564,40887.36299999999,17450.110999999997,58337.47399999999,894.979,4536.799,54695.65399999999,20.284,3175.934,51499.43599999999,2019,2
,2019-03-01,11908.194,4410.469,557.518,5958.928,972.789,8.49,7036.058,34547.876,3613.324,364.65,0,0.04,16.312,39498.679,17987.775,57486.454,1517.518,4447.431,54556.541,19.187,3163.684,51373.67,2019,3
,2019-04-01,9168.549,3395.7800000000016,429.253,4587.995,748.985,6.536,6652.861,29406.747,3242.637,404.395,0,0,15.99,33802.763999999996,15088.415000000003,48891.179,1405.3,3839.723,46456.756,16.332,2696.804,43743.62,2019,4
,2019-05-01,8786.939,3254.442000000001,411.387,4397.035,717.811,6.264,7241.568,28684.328,2107.924,481.389,0,0,15.438,31991.452,15326.134000000002,47317.586,1205.864,4497.958,44025.492000000006,15.93,2601.738,41407.82400000001,2019,5
,2019-06-01,8128.477,3010.5650000000005,380.559,4067.537,664.021,5.795,8613.419,26609.664,1924.35,538.154,0,0,7.85,29736.189,16085.725,45821.914,936.043,4866.523,41891.433999999994,14.778,2507.075,39369.58099999999,2019,6
,2019-07-01,10840.575,4015.0520000000015,507.534,5424.686,885.574,7.729,8847.776,29083.775,1860.779,577.166,0,0,9.828,32407.294,18812.605000000003,51219.899000000005,1309.462,6229.344,46300.01700000001,16.152,2816.527,43467.338,2019,7
,2019-08-01,10125.422,3750.179,474.052,5066.819,827.153,7.219,9017.12,28218.961,1821.605,533.63,0,0,10.101,31401.349,18325.489999999998,49726.83899999999,1107.452,6501.416,44332.87499999999,15.672,2725.64,41591.562999999995,2019,8
,2019-09-01,9379.176,3473.79,439.114,4693.394,766.191,6.687,8199.571,25939.986,2319.355,411.947,0,0,9.526,29437.479,16822.082000000002,46259.561,1215.643,5980.563,41494.640999999996,14.406,2545.532,38934.702999999994,2019,9
,2019-10-01,9703.541,3593.9259999999995,454.3,4855.708,792.689,6.918,8394.806,27075.633,2833.27,261.446,0,0,13.01,30963.038,17318.667999999998,48281.706,849.678,3808.066,45323.318,15.037,2634.334,42673.947,2019,10
,2019-11-01,10533.638,3901.371000000001,493.164,5271.093,860.5,7.51,7625.891,33960.295,3311.308,163.534,0,0,15.712,38295.636999999995,17314.741,55610.378,711.922,5282.308,51039.992,18.861,3019.897,48001.234,2019,11
,2019-12-01,11096.123,4109.7,519.498,5552.564,906.45,7.911,8524.302,37994.239,3711.019,119.224,0,0,17.2,42730.932,18731.175,61462.107,1087.929,5445.793,57104.24300000001,21.101,3353.817,53729.32500000001,2019,12
,2020-01-01,10893.958419,2895.9593110000005,476.522539,6576.688988,933.189972,11.597609,8898.296364,38623.304391,2826.416178,114.694441,0,0,10.129412,42497.604982,18869.194223,61366.799204999996,1070.69752,5050.840184,57386.656541,21.292042,2987.92247,54377.442029,2020,1
,2020-02-01,9977.585153,2652.358263,436.438623,6023.473918,854.692303,10.622046,7438.599843,36015.367702,3489.296395,200.519473,0,0,10.129412,40559.875873000005,16571.622105,57131.497978,1122.837113,4933.230808,53321.104283,19.854353,2776.243385,50525.006545,2020,2
,2020-03-01,9780.285196,2599.909684000001,427.808346,5904.36382,837.791344,10.412002,7938.747707,35148.451237,3334.243387,354.734781,0,0,10.129412,39675.220749,16891.370971,56566.59172,1097.874035,5327.257561,52337.208194,19.376444,2725.015357,49592.816393,2020,3
,2020-04-01,8027.42153,2133.9429819999996,351.134743,4846.159013,687.638872,8.54592,7538.736016,28941.776929,3005.733149,402.273921,0,0,10.129412,33037.422871,14888.648086,47926.070957,809.536095,5018.130195,43717.47685700001,15.954863,2276.216098,41425.305896000005,2020,4
,2020-05-01,7069.248521,1879.2302390000004,309.222426,4267.709414,605.560585,7.525857,7481.049917,28328.394957,2760.814667,476.247145,0,0,10.129412,32171.017354,13954.867264999999,46125.884619,934.334507,6211.187209,40849.031917,15.616721,2126.866204,38706.548992,2020,5
,2020-06-01,7636.931598,2030.1383860000005,334.053968,4610.420016,654.18902,8.130208,7954.686734,28123.222108,2271.836211,551.684532,0,0,10.129412,31600.931871,14947.558724,46548.490595,807.194807,5781.028179,41574.657223,15.503615,2164.646975,39394.506633000005,2020,6
,2020-07-01,9208.274203,2447.8510370000013,402.787493,5559.040454,788.792174,9.803045,9057.281638,31164.702155,1851.347247,568.11185,0,0,10.129412,34372.953426,17486.893079,51859.846505,720.41335,7111.623542,45468.636313,17.180305,2367.392845,43084.063163000006,2020,7
,2020-08-01,9591.638357,2549.7613760000004,419.556573,5790.477615,821.631623,10.21117,8198.319155,29520.449028,2305.414651,489.251487,0,0,10.129412,33136.746789,16978.455300999998,50115.20208999999,584.693591,7115.909913,43583.98576799999,16.27387,2269.265684,41298.44621399999,2020,8
,2020-09-01,8691.787311,2310.552458,380.195371,5247.237018,744.549267,9.253197,6702.484572,26081.013623,2859.618096,444.889647,0,0,10.129412,30130.070633,14659.852028,44789.922661,552.605767,4944.211568,40398.31686,14.377797,2103.399047,38280.540016,2020,9
,2020-10-01,9149.526322,2432.2339889999994,400.217749,5523.574324,783.759758,9.740502,6955.197009,29379.734811,3042.076362,282.837438,0,0,10.129412,33488.408369,15331.092985000001,48819.501354,625.130741,5160.560674,44284.071421,16.196298,2305.716695,41962.158428,2020,10
,2020-11-01,9416.300808,2503.1511,411.886974,5684.626235,806.611991,10.024508,7164.22537,31331.296199,4030.845951,230.745871,0,0,10.129412,36399.500012000004,15784.043599,52183.543611,759.321272,4624.240614,48318.624269,17.272144,2515.781749,45785.570376,2020,11
,2020-12-01,10292.129481,2735.9741110000004,450.197392,6213.364511,881.63656,10.956907,7324.390646,38277.749858,3964.198657,122.038341,0,0,10.129412,43245.623416,16745.012979,59990.636395,715.361203,5921.779554,54784.218044,21.101547,2852.422601,51910.693896,2020,12
,2021-01-01,9877.200301,2625.672789000001,432.047598,5962.871525,846.093212,10.515177,7637.204186,39893.729716,2950.715644,145.928276,0,0,10.129412,43836.466848000004,16678.440687,60514.907535000006,869.546568,5433.240368,55951.213735000005,21.992395,2913.183984,53016.03735600001,2021,1
,2021-02-01,10271.891548,2730.5942269999987,449.312146,6201.146859,879.902954,10.935362,6103.840539,36259.606207,3081.073955,234.769023,0,0,10.129412,40455.352138999995,15505.958545,55961.310684,1164.890391,4547.295194,52578.905881,19.988996,2737.59971,49821.317175,2021,2
,2021-03-01,8980.663465,2387.3448929999995,392.831365,5421.631719,769.294756,9.560732,6604.146403,35280.678894,4338.190151,437.35778,0,0,10.129412,40825.521581,14825.644524000001,55651.166105000004,878.123631,4788.445378,51740.844358,19.449338,2693.964778,49027.430242,2021,3
,2021-04-01,7720.208253,2052.275959999999,337.696648,4660.69418,661.322602,8.218863,6914.860939,29684.355928,2938.120895,480.980943,0,0,10.129412,33764.78036800001,13983.876001999999,47748.656370000004,781.430657,4540.654873,43989.432154,16.364228,2290.375859,41682.692067,2021,4
,2021-05-01,7745.368218,2058.9642749999994,338.797193,4675.883266,663.477836,8.245648,7556.317047,28867.201928,2539.740258,538.404834,0,0,10.129412,32608.824856,14648.336840999998,47257.161696999996,867.508929,5151.71559,42972.955036,15.913752,2237.451451,40719.589833,2021,5
