GWh,UNITEDSTATES,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-07-01,284433.548,105070.975,3208.925,170019.658,5303.73,830.26,72213.887,26702.254,21955.194,10909.287,1384.09,0,401.323,66254.555,351745.028,417999.583,6138.465,1426.239,422711.809,3181.14,24516.857,395013.81200000003,2019,7
,2019-08-01,280036.271,98099.93900000001,3396.474,172263.206,5350.576,926.076,71925.915,24233.888,19409.715,10356.104,1335.215,0,433.588,60685.498,347045.198,407730.696,6140.326,1273.593,412597.429,2898.484,20370.447,389328.498,2019,8
,2019-09-01,245572.826,89462.28,3132.631,147298.868,4820.882,858.165,65906.136,19289.002,23727.248,8895.666,1311.513,0,421.741,58044.310999999994,307079.82099999994,365124.1319999999,5076.3,1660.634,368539.7979999999,2701.155,14446.331,351392.3119999999,2019,9
,2019-10-01,208519.583,69891.71100000001,2377.849,130734.341,4681.38,834.302,62045.761,18571.751,27480.136,8077.224,1210.266,0,397.035,60020.757000000005,266280.999,326301.756,4174.51,1462.366,329013.9,1774.105,10795.146,316444.64900000003,2019,10
,2019-11-01,202176.538,79042.02,2372.582,115295.367,4632.561,834.008,64139.007,22804.805,25051.402,5804.789,1054.238,0,378.682,59347.79499999999,262061.666,321409.461,3933.12,1421.585,323920.996,1684.916,20876.484,301359.59599999996,2019,11
,2019-12-01,210803.154,75859.49900000001,2516.106,126511.817,5025.675,890.057,73089.052,24690.322,26538.232,4652.595,1234.132,0,388.654,62140.956,279255.185,341396.141,3937.966,1976.12,343357.987,1848.975,18113.517,323395.495,2019,12
,2020-01-01,206799.452864,68103.09452099999,3110.897968,129678.435972,5066.004262,841.020141,74215.988937,26516.161343,28298.738898,6078.120715,1226.864698,0,353.213268,67185.889916,276302.650807,343488.540723,4912.502433,931.811788,347469.23136800004,1932.615424,18618.581935,326918.03400900005,2020,1
,2020-02-01,189857.176482,58870.63033700001,2629.489801,122880.954891,4716.191502,759.909951,65960.963637,27238.55408,29135.479158,7541.998336,1129.75333,0,303.65792,69761.97640600002,251405.606537,321167.582943,4448.202963,1012.795947,324602.989959,1688.551745,17074.003108,305840.43510600005,2020,2
,2020-03-01,182319.066751,53146.337627,2784.454195,120600.954134,4948.814524,838.506271,64007.517075,24279.691086,29380.595698,8424.930913,1456.689202,0,327.378106,68490.721423,241705.147408,310195.868831,4956.501636,1174.122237,313978.24823,1697.373757,12907.531153,299373.34332000004,2020,3
,2020-04-01,156199.798598,42596.24796299999,2516.141527,105666.339147,4622.784359,798.285602,59179.545631,22744.881298,29433.184004,10682.92865,1325.763738,0,382.344618,68809.542049,211138.904488,279948.446537,4620.620703,1124.354437,283444.712803,1669.995133,12484.314386,269290.403284,2020,4
