DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/1/2,12:00,353,342,75,474.0
2020/1/2,13:00,350,346,75,466.0
2020/1/2,14:00,351,352,76,461.0
2020/1/2,15:00,371,371,84,444.0
2020/1/2,16:00,386,391,82,472.0
2020/1/2,17:00,400,406,82,489.0
2020/1/2,18:00,401,410,81,495.0
2020/1/2,19:00,396,406,81,489.0
2020/1/2,20:00,396,405,81,486.0
2020/1/2,21:00,390,400,81,478.0
2020/1/2,22:00,373,385,79,471.0
2020/1/2,23:00,389,400,81,479.0
2022/2/12,0:00,410,427,77,535.0
2022/2/12,1:00,431,443,77,559.0
2022/2/12,2:00,445,459,77,581.0
2022/2/12,3:00,453,469,76,595.0
2022/2/12,4:00,459,474,76,600.0
2022/2/12,5:00,451,466,75,598.0
2022/2/12,6:00,439,450,76,576.0
2022/2/12,7:00,420,426,76,551.0
2022/2/12,8:00,411,425,75,547.0
2022/2/12,9:00,402,425,71,565.0
2022/2/12,10:00,396,418,72,548.0
2022/2/12,11:00,388,405,72,537.0
2022/2/12,12:00,374,392,69,539.0
2022/2/12,13:00,369,389,71,517.0
2022/2/12,14:00,372,387,72,513.0
2022/2/12,15:00,376,393,72,520.0
2022/2/12,16:00,389,409,75,518.0
2022/2/12,17:00,424,437,79,536.0
2022/2/12,18:00,432,445,78,552.0
2022/2/12,19:00,423,437,77,550.0
2022/2/12,20:00,413,429,76,547.0
2022/2/12,21:00,405,423,76,532.0
2022/2/12,22:00,401,406,76,526.0
2022/2/12,23:00,425,417,81,527.0
2021/5/17,0:00,260,258,66,392.0
2021/5/17,1:00,273,263,73,375.0
2021/5/17,2:00,284,275,74,382.0
2021/5/17,3:00,296,288,76,390.0
2021/5/17,4:00,294,290,76,384.0
2021/5/17,5:00,289,286,72,399.0
2021/5/17,6:00,290,289,73,400.0
2021/5/17,7:00,300,298,74,404.0
2021/5/17,8:00,321,324,76,421.0
2021/5/17,9:00,331,340,77,432.0
2021/5/17,10:00,330,343,75,441.0
2021/5/17,11:00,329,341,72,457.0
2021/5/17,12:00,314,329,75,422.0
2021/5/17,13:00,333,347,78,428.0
2021/5/17,14:00,333,343,80,415.0
2021/5/17,15:00,325,338,80,409.0
2021/5/17,16:00,333,340,81,410.0
2021/5/17,17:00,326,341,79,413.0
2021/5/17,18:00,325,343,79,414.0
2021/5/17,19:00,326,344,79,415.0
2021/5/17,20:00,304,317,78,389.0
2021/5/17,21:00,290,298,76,380.0
2021/5/17,22:00,273,281,73,371.0
2021/5/17,23:00,272,276,74,367.0
2020/3/24,0:00,337,337,77,438.0
2020/3/24,1:00,353,353,79,449.0
2020/3/24,2:00,364,364,79,461.0
2020/3/24,3:00,373,373,79,471.0
2020/3/24,4:00,379,379,79,480.0
2020/3/24,5:00,377,378,80,473.0
2020/3/24,6:00,375,376,81,463.0
2020/3/24,7:00,375,375,79,474.0
2020/3/24,8:00,381,381,79,485.0
2020/3/24,9:00,377,376,76,496.0
2020/3/24,10:00,373,372,74,504.0
2020/3/24,11:00,376,376,74,509.0
2020/3/24,12:00,345,347,71,485.0
2020/3/24,13:00,357,359,72,493.0
2020/3/24,14:00,355,356,73,488.0
2020/3/24,15:00,366,368,76,483.0
2020/3/24,16:00,375,376,78,484.0
2020/3/24,17:00,390,392,80,489.0
2020/3/24,18:00,405,407,85,479.0
2020/3/24,19:00,393,395,79,499.0
2020/3/24,20:00,376,378,79,477.0
2020/3/24,21:00,359,367,79,452.0
2020/3/24,22:00,334,348,78,427.0
2020/3/24,23:00,343,360,78,440.0
2021/9/21,0:00,234,235,61,383.0
2021/9/21,1:00,234,235,62,379.0
2021/9/21,2:00,246,247,65,378.0
2021/9/21,3:00,265,266,68,389.0
2021/9/21,4:00,276,277,71,391.0
2021/9/21,5:00,267,268,68,394.0
2021/9/21,6:00,266,266,65,407.0
2021/9/21,7:00,276,276,67,409.0
2021/9/21,8:00,294,295,72,411.0
2021/9/21,9:00,313,314,72,432.0
2021/9/21,10:00,329,330,81,407.0
2021/9/21,11:00,339,343,79,428.0
2021/9/21,12:00,332,335,81,413.0
2021/9/21,13:00,345,348,86,399.0
2021/9/21,14:00,345,336,91,380.0
2021/9/21,15:00,338,336,91,373.0
2021/9/21,16:00,340,343,88,388.0
2021/9/21,17:00,344,346,89,387.0
2021/9/21,18:00,348,348,89,391.0
2021/9/21,19:00,332,332,85,389.0
2021/9/21,20:00,309,308,83,370.0
2021/9/21,21:00,290,291,84,345.0
2021/9/21,22:00,276,276,82,338.0
2021/9/21,23:00,267,265,80,333.0
2019/1/14,0:00,430,429,77,
2019/1/14,1:00,446,445,79,
2019/1/14,2:00,465,464,83,
2019/1/14,3:00,477,477,85,
2019/1/14,4:00,478,477,85,
2019/1/14,5:00,468,467,83,
2019/1/14,6:00,457,457,81,
2019/1/14,7:00,433,432,77,
2019/1/14,8:00,420,421,75,
2019/1/14,9:00,410,412,73,
2019/1/14,10:00,394,395,70,
2019/1/14,11:00,379,380,68,
2019/1/14,12:00,367,371,65,
2019/1/14,13:00,367,370,65,
2019/1/14,14:00,374,376,67,
2019/1/14,15:00,399,401,71,
2019/1/14,16:00,425,428,76,
2019/1/14,17:00,450,451,80,
2019/1/14,18:00,452,442,81,
2019/1/14,19:00,443,432,79,
2019/1/14,20:00,438,426,78,
2019/1/14,21:00,428,421,76,
2019/1/14,22:00,408,407,73,
2019/1/14,23:00,423,421,75,
2022/4/25,0:00,267,275,81,328.0
2022/4/25,1:00,275,280,81,336.0
2022/4/25,2:00,287,292,81,351.0
2022/4/25,3:00,300,300,83,361.0
2022/4/25,4:00,301,305,82,367.0
2022/4/25,5:00,292,296,80,364.0
2022/4/25,6:00,300,299,80,371.0
2022/4/25,7:00,299,301,76,390.0
2022/4/25,8:00,307,317,69,438.0
2022/4/25,9:00,321,333,68,468.0
2022/4/25,10:00,331,332,68,483.0
2022/4/25,11:00,338,331,69,488.0
2022/4/25,12:00,320,311,65,489.0
2022/4/25,13:00,320,318,67,471.0
2022/4/25,14:00,310,315,73,421.0
2022/4/25,15:00,313,309,79,394.0
2022/4/25,16:00,320,322,78,408.0
2022/4/25,17:00,321,324,84,378.0
2022/4/25,18:00,331,335,86,381.0
2022/4/25,19:00,334,330,88,379.0
2022/4/25,20:00,318,310,82,383.0
2022/4/25,21:00,303,296,82,369.0
2022/4/25,22:00,294,282,81,363.0
2022/4/25,23:00,292,280,80,363.0
2019/6/15,0:00,268,253,63,
2019/6/15,1:00,268,256,63,
2019/6/15,2:00,279,271,66,
2019/6/15,3:00,291,276,69,
2019/6/15,4:00,285,271,67,
2019/6/15,5:00,272,264,64,
2019/6/15,6:00,270,264,64,
2019/6/15,7:00,276,274,65,
2019/6/15,8:00,291,283,69,
2019/6/15,9:00,302,299,71,
2019/6/15,10:00,304,305,72,
2019/6/15,11:00,295,311,70,
2019/6/15,12:00,290,305,69,
2019/6/15,13:00,302,309,71,
2019/6/15,14:00,303,313,72,
2019/6/15,15:00,313,315,74,
2019/6/15,16:00,318,319,75,
2019/6/15,17:00,316,320,75,
2019/6/15,18:00,318,321,75,
2019/6/15,19:00,323,326,76,
2019/6/15,20:00,310,311,73,
2019/6/15,21:00,292,291,69,
2019/6/15,22:00,275,276,65,
2019/6/15,23:00,269,266,64,
2020/12/12,0:00,359,359,80,451.0
2020/12/12,1:00,376,376,83,454.0
2020/12/12,2:00,390,390,84,464.0
2020/12/12,3:00,403,403,84,477.0
2020/12/12,4:00,404,404,85,478.0
2020/12/12,5:00,395,395,84,470.0
2020/12/12,6:00,388,388,84,463.0
2020/12/12,7:00,368,369,84,436.0
2020/12/12,8:00,381,381,86,443.0
2020/12/12,9:00,380,380,87,436.0
2020/12/12,10:00,370,370,91,407.0
2020/12/12,11:00,360,359,90,402.0
2020/12/12,12:00,356,351,89,398.0
2020/12/12,13:00,359,361,87,415.0
2020/12/12,14:00,358,365,84,426.0
2020/12/12,15:00,373,381,83,449.0
2020/12/12,16:00,396,406,83,476.0
2020/12/12,17:00,402,410,85,473.0
2020/12/12,18:00,400,407,84,478.0
2020/12/12,19:00,391,396,84,465.0
2020/12/12,20:00,380,385,83,455.0
2020/12/12,21:00,368,376,80,462.0
2020/12/12,22:00,359,361,78,462.0
2020/12/12,23:00,369,371,79,469.0
2021/9/23,0:00,257,252,83,310.0
2021/9/23,1:00,253,246,82,308.0
2021/9/23,2:00,263,255,82,320.0
2021/9/23,3:00,278,270,83,337.0
2021/9/23,4:00,286,275,84,339.0
2021/9/23,5:00,270,260,82,329.0
2021/9/23,6:00,264,258,79,333.0
2021/9/23,7:00,268,265,78,344.0
2021/9/23,8:00,279,291,72,387.0
2021/9/23,9:00,315,302,77,407.0
2021/9/23,10:00,326,312,79,413.0
2021/9/23,11:00,325,323,80,409.0
2021/9/23,12:00,315,324,78,402.0
2021/9/23,13:00,324,328,82,394.0
2021/9/23,14:00,315,323,80,393.0
2021/9/23,15:00,314,316,82,382.0
2021/9/23,16:00,316,324,83,382.0
2021/9/23,17:00,327,342,84,388.0
2021/9/23,18:00,329,350,82,403.0
2021/9/23,19:00,317,337,79,400.0
2021/9/23,20:00,297,317,76,391.0
2021/9/23,21:00,282,299,79,359.0
2021/9/23,22:00,267,278,75,354.0
2021/9/23,23:00,259,264,74,349.0
2020/12/13,0:00,365,362,84,435.0
2020/12/13,1:00,379,378,84,451.0
2020/12/13,2:00,393,393,84,466.0
2020/12/13,3:00,406,405,85,479.0
2020/12/13,4:00,408,407,85,481.0
2020/12/13,5:00,402,397,85,471.0
2020/12/13,6:00,386,381,85,453.0
2020/12/13,7:00,362,361,84,434.0
2020/12/13,8:00,369,372,83,445.0
2020/12/13,9:00,371,367,84,439.0
2020/12/13,10:00,362,356,78,464.0
2020/12/13,11:00,346,352,76,457.0
2020/12/13,12:00,344,347,72,477.0
2020/12/13,13:00,356,341,75,475.0
2020/12/13,14:00,365,353,80,457.0
2020/12/13,15:00,384,367,86,447.0
2020/12/13,16:00,401,397,85,470.0
2020/12/13,17:00,415,406,87,480.0
2020/12/13,18:00,416,401,87,476.0
2020/12/13,19:00,408,396,87,470.0
2020/12/13,20:00,399,381,88,454.0
2020/12/13,21:00,384,367,87,440.0
2020/12/13,22:00,365,347,86,423.0
2020/12/13,23:00,375,357,87,429.0
2020/7/11,0:00,261,256,68,384.0
2020/7/11,1:00,259,254,65,399.0
2020/7/11,2:00,269,267,67,399.0
2020/7/11,3:00,284,282,70,409.0
2020/7/11,4:00,281,282,69,407.0
2020/7/11,5:00,269,267,65,414.0
2020/7/11,6:00,266,259,61,437.0
2020/7/11,7:00,268,278,63,429.0
2020/7/11,8:00,287,304,65,440.0
2020/7/11,9:00,295,319,66,444.0
2020/7/11,10:00,295,328,64,462.0
2020/7/11,11:00,296,328,66,449.0
2020/7/11,12:00,296,318,68,434.0
2020/7/11,13:00,301,323,69,439.0
2020/7/11,14:00,298,314,72,413.0
2020/7/11,15:00,303,313,74,411.0
2020/7/11,16:00,314,318,75,417.0
2020/7/11,17:00,318,316,75,422.0
2020/7/11,18:00,318,314,79,405.0
2020/7/11,19:00,325,317,81,403.0
2020/7/11,20:00,312,302,80,388.0
2020/7/11,21:00,293,282,77,380.0
2020/7/11,22:00,279,267,76,367.0
2020/7/11,23:00,272,258,76,358.0
2021/11/28,0:00,334,340,77,431.0
2021/11/28,1:00,343,348,78,441.0
2021/11/28,2:00,358,358,79,455.0
2021/11/28,3:00,372,371,80,463.0
2021/11/28,4:00,374,376,83,450.0
2021/11/28,5:00,368,369,84,441.0
2021/11/28,6:00,354,354,80,444.0
2021/11/28,7:00,334,329,80,416.0
2021/11/28,8:00,331,323,77,428.0
2021/11/28,9:00,324,326,75,433.0
2021/11/28,10:00,312,324,66,472.0
2021/11/28,11:00,298,316,61,491.0
2021/11/28,12:00,289,311,62,469.0
2021/11/28,13:00,284,306,67,425.0
2021/11/28,14:00,291,309,71,409.0
2021/11/28,15:00,314,326,74,425.0
2021/11/28,16:00,349,357,75,463.0
2021/11/28,17:00,364,374,78,464.0
2021/11/28,18:00,367,376,79,464.0
2021/11/28,19:00,362,371,78,463.0
2021/11/28,20:00,354,359,79,446.0
2021/11/28,21:00,339,344,79,429.0
2021/11/28,22:00,322,327,80,405.0
2021/11/28,23:00,329,333,78,419.0
2020/5/5,0:00,241,250,68,355.0
2020/5/5,1:00,250,260,70,359.0
2020/5/5,2:00,262,273,73,361.0
2020/5/5,3:00,274,285,79,348.0
2020/5/5,4:00,270,278,78,345.0
2020/5/5,5:00,260,261,73,356.0
2020/5/5,6:00,250,242,71,354.0
2020/5/5,7:00,245,230,68,362.0
2020/5/5,8:00,243,230,65,372.0
2020/5/5,9:00,247,234,62,395.0
2020/5/5,10:00,254,235,65,391.0
2020/5/5,11:00,260,236,63,412.0
2020/5/5,12:00,256,234,61,416.0
2020/5/5,13:00,247,225,59,418.0
2020/5/5,14:00,237,222,59,403.0
2020/5/5,15:00,239,225,62,385.0
2020/5/5,16:00,263,244,79,332.0
2020/5/5,17:00,279,264,82,342.0
2020/5/5,18:00,284,285,80,354.0
2020/5/5,19:00,297,296,83,357.0
2020/5/5,20:00,285,279,83,344.0
2020/5/5,21:00,273,264,84,326.0
2020/5/5,22:00,260,250,81,321.0
2020/5/5,23:00,261,254,82,317.0
2021/7/25,0:00,277,271,74,375.0
2021/7/25,1:00,271,263,75,363.0
2021/7/25,2:00,281,272,77,367.0
2021/7/25,3:00,293,287,77,382.0
2021/7/25,4:00,292,286,76,384.0
2021/7/25,5:00,282,279,79,357.0
2021/7/25,6:00,282,275,78,360.0
2021/7/25,7:00,292,284,74,396.0
2021/7/25,8:00,311,307,75,416.0
2021/7/25,9:00,334,329,77,432.0
2021/7/25,10:00,349,348,80,438.0
2021/7/25,11:00,361,359,81,447.0
2021/7/25,12:00,361,354,81,445.0
2021/7/25,13:00,361,356,80,452.0
2021/7/25,14:00,357,353,80,447.0
2021/7/25,15:00,364,358,81,450.0
2021/7/25,16:00,372,367,82,457.0
2021/7/25,17:00,372,367,79,468.0
2021/7/25,18:00,363,357,79,459.0
2021/7/25,19:00,367,360,80,458.0
2021/7/25,20:00,349,341,84,415.0
2021/7/25,21:00,325,324,74,441.0
2021/7/25,22:00,303,310,67,450.0
2021/7/25,23:00,288,301,65,441.0
2020/5/26,0:00,257,265,74,347.0
2020/5/26,1:00,260,270,73,357.0
2020/5/26,2:00,277,285,79,350.0
2020/5/26,3:00,291,290,81,360.0
2020/5/26,4:00,287,288,81,353.0
2020/5/26,5:00,279,283,75,370.0
2020/5/26,6:00,272,280,72,377.0
2020/5/26,7:00,271,285,71,381.0
2020/5/26,8:00,293,313,70,420.0
2020/5/26,9:00,305,328,67,453.0
2020/5/26,10:00,300,324,63,477.0
2020/5/26,11:00,308,330,64,482.0
2020/5/26,12:00,288,308,61,474.0
2020/5/26,13:00,303,309,65,463.0
2020/5/26,14:00,299,302,71,424.0
2020/5/26,15:00,300,306,74,403.0
2020/5/26,16:00,312,321,80,389.0
2020/5/26,17:00,310,320,79,394.0
2020/5/26,18:00,309,325,76,405.0
2020/5/26,19:00,317,330,80,394.0
2020/5/26,20:00,302,315,75,405.0
2020/5/26,21:00,287,295,76,376.0
2020/5/26,22:00,269,274,76,354.0
2020/5/26,23:00,263,270,75,351.0
2021/8/28,0:00,265,262,78,341.0
2021/8/28,1:00,260,258,78,334.0
2021/8/28,2:00,270,265,79,340.0
2021/8/28,3:00,285,280,79,361.0
2021/8/28,4:00,285,282,78,364.0
2021/8/28,5:00,271,269,78,347.0
2021/8/28,6:00,262,263,73,359.0
2021/8/28,7:00,264,270,71,373.0
2021/8/28,8:00,299,296,75,398.0
2021/8/28,9:00,327,321,80,409.0
2021/8/28,10:00,339,338,80,421.0
2021/8/28,11:00,354,346,83,427.0
2021/8/28,12:00,348,347,83,417.0
2021/8/28,13:00,353,350,84,420.0
2021/8/28,14:00,351,345,85,415.0
2021/8/28,15:00,347,338,86,406.0
2021/8/28,16:00,346,344,84,413.0
2021/8/28,17:00,343,343,84,410.0
2021/8/28,18:00,347,350,84,414.0
2021/8/28,19:00,342,341,84,406.0
2021/8/28,20:00,317,319,83,383.0
2021/8/28,21:00,300,301,83,362.0
2021/8/28,22:00,283,286,81,351.0
2021/8/28,23:00,272,275,79,343.0
2020/11/11,0:00,327,318,80,410.0
2020/11/11,1:00,330,323,81,408.0
2020/11/11,2:00,348,338,84,413.0
2020/11/11,3:00,361,353,84,428.0
2020/11/11,4:00,371,366,84,441.0
2020/11/11,5:00,375,368,85,442.0
2020/11/11,6:00,373,373,83,450.0
2020/11/11,7:00,362,363,81,445.0
2020/11/11,8:00,374,372,79,475.0
2020/11/11,9:00,402,389,80,501.0
2020/11/11,10:00,387,391,76,508.0
2020/11/11,11:00,378,398,75,504.0
2020/11/11,12:00,349,374,72,482.0
2020/11/11,13:00,372,393,77,483.0
2020/11/11,14:00,379,394,79,480.0
2020/11/11,15:00,390,398,81,478.0
2020/11/11,16:00,422,405,88,481.0
2020/11/11,17:00,422,407,88,480.0
2020/11/11,18:00,411,400,86,479.0
2020/11/11,19:00,401,388,85,470.0
2020/11/11,20:00,386,371,86,450.0
2020/11/11,21:00,363,353,85,427.0
2020/11/11,22:00,342,331,83,414.0
2020/11/11,23:00,337,323,83,407.0
2020/6/12,0:00,257,258,76,337.0
2020/6/12,1:00,258,258,77,338.0
2020/6/12,2:00,276,276,79,349.0
2020/6/12,3:00,280,281,77,365.0
2020/6/12,4:00,278,279,80,348.0
2020/6/12,5:00,275,276,82,335.0
2020/6/12,6:00,280,280,79,353.0
2020/6/12,7:00,297,299,81,369.0
2020/6/12,8:00,333,334,84,397.0
2020/6/12,9:00,353,329,85,416.0
2020/6/12,10:00,353,354,85,417.0
2020/6/12,11:00,362,348,89,408.0
2020/6/12,12:00,344,329,85,406.0
2020/6/12,13:00,338,339,74,457.0
2020/6/12,14:00,328,333,72,457.0
2020/6/12,15:00,324,341,70,461.0
2020/6/12,16:00,337,344,77,438.0
2020/6/12,17:00,338,334,78,431.0
2020/6/12,18:00,322,325,75,428.0
2020/6/12,19:00,322,328,72,445.0
2020/6/12,20:00,309,308,74,420.0
2020/6/12,21:00,293,290,78,376.0
2020/6/12,22:00,277,274,78,356.0
2020/6/12,23:00,267,264,75,354.0
2021/9/9,0:00,258,245,80,324.0
2021/9/9,1:00,257,244,79,325.0
2021/9/9,2:00,267,254,81,328.0
2021/9/9,3:00,283,272,82,346.0
2021/9/9,4:00,291,277,84,348.0
2021/9/9,5:00,275,266,81,338.0
2021/9/9,6:00,280,270,81,347.0
2021/9/9,7:00,290,283,79,370.0
2021/9/9,8:00,315,313,79,396.0
2021/9/9,9:00,342,333,81,420.0
2021/9/9,10:00,343,335,80,431.0
2021/9/9,11:00,347,337,80,433.0
2021/9/9,12:00,334,323,80,417.0
2021/9/9,13:00,352,337,85,413.0
2021/9/9,14:00,348,339,86,405.0
2021/9/9,15:00,342,334,86,399.0
2021/9/9,16:00,340,340,85,401.0
2021/9/9,17:00,341,341,87,393.0
2021/9/9,18:00,349,346,88,395.0
2021/9/9,19:00,334,335,86,386.0
2021/9/9,20:00,309,312,83,375.0
2021/9/9,21:00,294,292,81,363.0
2021/9/9,22:00,277,279,79,350.0
2021/9/9,23:00,266,266,79,338.0
2021/8/23,0:00,239,235,77,310.0
2021/8/23,1:00,238,234,77,309.0
2021/8/23,2:00,248,245,77,323.0
2021/8/23,3:00,265,262,76,347.0
2021/8/23,4:00,273,262,78,349.0
2021/8/23,5:00,265,257,77,343.0
2021/8/23,6:00,269,265,77,347.0
2021/8/23,7:00,288,284,78,369.0
2021/8/23,8:00,321,319,79,406.0
2021/8/23,9:00,349,340,83,422.0
2021/8/23,10:00,347,348,80,432.0
2021/8/23,11:00,349,352,81,429.0
2021/8/23,12:00,340,340,84,405.0
2021/8/23,13:00,359,353,88,410.0
2021/8/23,14:00,358,349,86,414.0
2021/8/23,15:00,357,342,87,409.0
2021/8/23,16:00,362,346,90,402.0
2021/8/23,17:00,349,337,86,406.0
2021/8/23,18:00,350,340,81,431.0
2021/8/23,19:00,340,335,83,412.0
2021/8/23,20:00,316,313,82,383.0
2021/8/23,21:00,299,297,83,360.0
2021/8/23,22:00,278,281,81,342.0
2021/8/23,23:00,268,270,80,335.0
2020/2/1,0:00,386,394,85,453.0
2020/2/1,1:00,405,414,86,470.0
2020/2/1,2:00,417,423,86,483.0
2020/2/1,3:00,428,438,85,501.0
2020/2/1,4:00,429,444,86,500.0
2020/2/1,5:00,419,434,85,496.0
2020/2/1,6:00,414,428,85,488.0
2020/2/1,7:00,394,414,82,480.0
2020/2/1,8:00,390,405,77,507.0
2020/2/1,9:00,382,391,77,499.0
2020/2/1,10:00,375,378,74,510.0
2020/2/1,11:00,369,362,72,510.0
2020/2/1,12:00,363,347,72,501.0
2020/2/1,13:00,367,352,75,488.0
2020/2/1,14:00,377,361,79,474.0
2020/2/1,15:00,385,380,79,486.0
2020/2/1,16:00,399,414,80,497.0
2020/2/1,17:00,421,434,81,517.0
2020/2/1,18:00,422,439,81,520.0
2020/2/1,19:00,414,429,80,514.0
2020/2/1,20:00,408,419,81,504.0
2020/2/1,21:00,394,409,80,494.0
2020/2/1,22:00,378,399,82,462.0
2020/2/1,23:00,390,418,78,504.0
2019/8/21,0:00,262,263,56,
