date,BATI AKDENİZ YTM,BATI ANADOLU YTM,DOĞU AKDENİZ YTM,DOĞU ANADOLU YTM,GÜNEY DOĞU ANADOLU YTM,KUZEY BATI ANADOLU YTM,ORTA ANADOLU YTM,ORTA KARADENİZ YTM,TRAKYA YTM
2017-02-16,2569.84,5822.06,3239.39,1399.1,5702.21,9080.67,3998.6,1767.74,6973.6
2017-02-17,2456.01,5689.37,3369.19,1439.61,5320.72,8823.26,3927.07,1770.38,6778.45
2017-02-18,2394.91,5136.05,3231.78,1458.27,5621.74,8112.34,3552.53,1765.7,5973.0
2017-02-19,2201.44,4518.36,2959.57,1483.27,5441.85,6433.74,3197.75,1585.95,4138.82
2017-02-20,2418.4,5190.33,3101.11,1412.64,5702.95,8686.05,3736.09,1691.67,6522.25
2017-02-21,2399.74,5125.38,3149.11,1436.44,5704.62,8343.14,3799.53,1760.03,6381.87
2017-02-22,2335.75,5107.1,3141.89,1401.31,5757.27,8703.08,3794.02,1785.89,6399.05
2017-02-23,2311.78,5179.1,3062.95,1409.8,5795.49,8195.29,3616.47,1776.85,6108.26
2017-02-24,2238.29,5188.27,3010.63,1385.3,5804.88,8204.55,3583.07,1702.48,6010.96
2017-02-25,2199.5,4713.23,2918.57,1403.86,5610.32,7659.04,3285.25,1620.41,5442.23
2017-02-26,2051.28,4360.9,2814.56,1399.99,5521.12,6385.57,3097.46,1628.97,4194.27
2017-02-27,2295.96,5116.95,3107.03,1401.73,5598.52,8465.34,3660.45,1698.78,6213.03
2017-02-28,2291.3,5165.08,2888.13,1359.55,5555.02,8266.27,3541.78,1661.98,6192.14
2017-03-01,2193.9,4880.77,2885.74,1349.31,5528.85,8127.36,3625.55,1628.91,6246.04
2017-03-02,2362.18,5011.21,2883.25,1358.95,5716.08,8108.81,3641.88,1593.83,6191.27
2017-03-03,2260.36,4930.48,3112.15,1354.96,5830.91,8055.27,3711.6,1692.72,6042.28
2017-03-04,2148.45,4590.68,2917.71,1344.72,5378.66,7636.37,3517.08,1715.5,5408.1
2017-03-05,1992.55,4112.47,2726.47,1355.21,5184.16,6074.71,3068.38,1591.89,3947.37
2017-03-06,2196.68,4627.79,2867.44,1293.94,5380.68,7828.92,3476.72,1626.67,5806.38
2017-03-07,2215.99,4765.82,2895.14,1311.85,5357.2,7578.21,3434.08,1646.46,5767.82
2017-03-08,2313.82,5199.85,2813.5,1304.0,5360.19,7672.49,3502.3,1643.44,5788.26
2017-03-09,2459.37,5278.24,2766.59,1331.41,5347.95,8079.35,3553.92,1601.7,6066.51
2017-03-10,2299.37,4955.42,2848.0,1300.17,5060.14,8087.76,3871.06,1641.95,6179.54
2017-03-11,2376.08,4786.8,2975.74,1327.53,5102.83,7855.25,3503.67,1621.25,5658.02
2017-03-12,2171.44,4260.25,2861.27,1326.83,5111.18,6463.45,3125.75,1602.93,4306.65
2017-03-13,2365.11,5046.14,2951.14,1269.12,5434.32,8548.41,3704.74,1685.47,6411.03
2017-03-14,2386.26,5127.33,3064.41,1294.16,5388.03,8764.93,3977.84,1787.27,6592.45
