datetime,data,type,unit,network,region
2001-12-01 22:10:00,5757.0,coal_brown,MW,nem,VIC1
2001-12-01 22:15:00,5825.0,coal_brown,MW,nem,VIC1
2001-12-01 22:20:00,5813.0,coal_brown,MW,nem,VIC1
2001-12-01 22:25:00,5795.0,coal_brown,MW,nem,VIC1
2001-12-01 22:30:00,5793.0,coal_brown,MW,nem,VIC1
2001-12-01 22:35:00,5752.0,coal_brown,MW,nem,VIC1
2001-12-01 22:40:00,5676.0,coal_brown,MW,nem,VIC1
2001-12-01 22:45:00,5726.0,coal_brown,MW,nem,VIC1
2001-12-01 22:50:00,5787.0,coal_brown,MW,nem,VIC1
2001-12-01 22:55:00,5787.0,coal_brown,MW,nem,VIC1
2001-12-01 23:00:00,5779.0,coal_brown,MW,nem,VIC1
2001-12-01 23:05:00,5846.0,coal_brown,MW,nem,VIC1
2001-12-01 23:10:00,5933.0,coal_brown,MW,nem,VIC1
2001-12-01 23:15:00,5963.0,coal_brown,MW,nem,VIC1
2001-12-01 23:20:00,5995.0,coal_brown,MW,nem,VIC1
2001-12-01 23:25:00,5984.0,coal_brown,MW,nem,VIC1
2001-12-01 23:30:00,5963.0,coal_brown,MW,nem,VIC1
2001-12-01 23:35:00,5976.0,coal_brown,MW,nem,VIC1
2001-12-01 23:40:00,5967.0,coal_brown,MW,nem,VIC1
2001-12-01 23:45:00,5951.0,coal_brown,MW,nem,VIC1
2001-12-01 23:50:00,5927.0,coal_brown,MW,nem,VIC1
2001-12-01 23:55:00,5920.0,coal_brown,MW,nem,VIC1
2001-12-02 00:00:00,5896.0,coal_brown,MW,nem,VIC1
2001-12-02 00:05:00,5834.0,coal_brown,MW,nem,VIC1
2001-12-02 00:10:00,5828.0,coal_brown,MW,nem,VIC1
2001-12-02 00:15:00,5846.0,coal_brown,MW,nem,VIC1
2001-12-02 00:20:00,5781.0,coal_brown,MW,nem,VIC1
2001-12-02 00:25:00,5805.0,coal_brown,MW,nem,VIC1
2001-12-02 00:30:00,5833.0,coal_brown,MW,nem,VIC1
2001-12-02 00:35:00,5803.0,coal_brown,MW,nem,VIC1
2001-12-02 00:40:00,5777.0,coal_brown,MW,nem,VIC1
2001-12-02 00:45:00,5729.0,coal_brown,MW,nem,VIC1
2001-12-02 00:50:00,5738.0,coal_brown,MW,nem,VIC1
2001-12-02 00:55:00,5720.0,coal_brown,MW,nem,VIC1
2001-12-02 01:00:00,5763.0,coal_brown,MW,nem,VIC1
2001-12-02 01:05:00,5837.0,coal_brown,MW,nem,VIC1
2001-12-02 01:10:00,5858.0,coal_brown,MW,nem,VIC1
2001-12-02 01:15:00,5864.0,coal_brown,MW,nem,VIC1
2001-12-02 01:20:00,5864.0,coal_brown,MW,nem,VIC1
2001-12-02 01:25:00,5883.0,coal_brown,MW,nem,VIC1
2001-12-02 01:30:00,5881.0,coal_brown,MW,nem,VIC1
2001-12-02 01:35:00,5864.0,coal_brown,MW,nem,VIC1
2001-12-02 01:40:00,5843.0,coal_brown,MW,nem,VIC1
2001-12-02 01:45:00,5852.0,coal_brown,MW,nem,VIC1
2001-12-02 01:50:00,5847.0,coal_brown,MW,nem,VIC1
2001-12-02 01:55:00,5819.0,coal_brown,MW,nem,VIC1
