datetime,Coal,region,Hydro,Natural gas,Wind,Solar,Other,Petroleum,Nuclear
2022-06-02 07:00:00,210,CAL,3222,9776,3276,10,994,82,2278
2022-06-02 08:00:00,211,CAL,3026,8740,3284,10,758,82,2276
2022-06-02 09:00:00,210,CAL,2981,7291,3382,11,746,82,2278
2022-06-02 10:00:00,209,CAL,2935,7287,3203,10,767,83,2278
2022-06-02 11:00:00,210,CAL,2975,7101,3152,9,696,82,2274
2022-06-02 12:00:00,211,CAL,3258,7005,3062,7,680,83,2273
2022-06-02 13:00:00,210,CAL,2951,7394,2762,1081,1581,84,2272
2022-06-02 14:00:00,210,CAL,1988,5753,2542,6586,1179,84,2271
2022-06-02 15:00:00,211,CAL,1644,6211,2549,11013,1108,83,2270
2022-06-02 16:00:00,210,CAL,1364,6679,2294,13585,612,81,2271
2022-06-02 17:00:00,212,CAL,804,7345,2125,14564,606,85,2270
2022-06-02 18:00:00,211,CAL,517,7687,2280,14851,599,85,2269
2022-06-02 19:00:00,210,CAL,715,7170,2223,14891,612,84,2273
2022-06-02 20:00:00,210,CAL,781,7432,1844,15013,876,84,2272
2022-06-02 21:00:00,208,CAL,1186,7358,2485,14608,828,85,2271
2022-06-02 22:00:00,207,CAL,1745,7662,3166,14117,875,84,2276
2022-06-02 23:00:00,207,CAL,2566,8417,3501,12812,800,85,2275
2022-06-03 00:00:00,208,CAL,3415,9229,3885,11331,1098,85,2276
2022-06-03 01:00:00,207,CAL,4593,11089,4142,7484,1008,84,2275
2022-06-03 02:00:00,206,CAL,5604,13274,4193,2482,1650,84,2278
2022-06-03 03:00:00,206,CAL,5831,13735,4343,229,1860,84,2275
2022-06-03 04:00:00,206,CAL,5337,12851,4730,143,2103,82,2276
2022-06-03 05:00:00,208,CAL,4132,12085,4694,-7,1542,83,2275
2022-06-03 06:00:00,207,CAL,3607,9701,4880,-8,1260,85,2277
2022-06-03 07:00:00,205,CAL,2912,7863,4916,-7,1519,84,2276
2022-06-03 08:00:00,205,CAL,2704,7078,4761,-7,992,84,2278
2022-06-03 09:00:00,203,CAL,2618,6213,4667,-6,867,85,2276
2022-06-03 10:00:00,204,CAL,2645,5724,4679,-7,869,84,2276
2022-06-03 11:00:00,204,CAL,2639,5247,4712,-7,682,84,2276
2022-06-03 12:00:00,205,CAL,2932,5801,4546,-10,963,84,2275
2022-06-03 13:00:00,206,CAL,2873,6815,4272,697,1032,84,2275
2022-06-03 14:00:00,206,CAL,2018,6439,4043,6359,1023,85,2277
2022-06-03 15:00:00,205,CAL,1716,5100,4139,9850,633,85,2275
2022-06-03 16:00:00,207,CAL,1177,5992,4459,12364,625,86,2277
2022-06-03 17:00:00,206,CAL,1089,5894,4620,13459,618,86,2276
2022-06-03 18:00:00,205,CAL,579,6025,4746,14117,611,86,2276
2022-06-03 19:00:00,205,CAL,529,5710,4611,14480,614,86,2276
2022-06-03 20:00:00,206,CAL,746,5724,4733,14332,861,85,2277
2022-06-03 21:00:00,206,CAL,857,5196,4787,14215,771,85,2276
2022-06-03 22:00:00,206,CAL,1022,5200,4969,13451,941,86,2276
2022-06-03 23:00:00,205,CAL,1710,5843,5272,13063,675,86,2276
2022-06-04 00:00:00,205,CAL,2763,6468,5202,11458,705,85,2276
2022-06-04 01:00:00,206,CAL,4240,7395,5058,7440,1445,84,2276
2022-06-04 02:00:00,206,CAL,5516,10138,4689,2164,1913,85,2278
2022-06-04 03:00:00,205,CAL,5439,10627,4536,179,2581,85,2277
2022-06-04 04:00:00,205,CAL,5509,10590,4901,106,1992,85,2275
2022-06-04 05:00:00,206,CAL,4398,9612,4897,35,1797,84,2273
2022-06-04 06:00:00,206,CAL,3432,8992,4410,34,1282,85,2275
2022-06-04 07:00:00,207,CAL,3107,7613,4543,-5,981,85,2277
2022-06-04 08:00:00,206,CAL,2789,6820,4305,-4,824,85,2276
2022-06-04 09:00:00,205,CAL,2705,6005,4183,-4,729,85,2275
2022-06-04 10:00:00,206,CAL,2430,5792,4135,-6,723,85,2275
2022-06-04 11:00:00,206,CAL,2301,5415,4196,-6,746,85,2274
2022-06-04 12:00:00,204,CAL,2370,5339,4128,-9,818,85,2274
2022-06-04 13:00:00,205,CAL,2267,5022,4047,605,921,85,2275
2022-06-04 14:00:00,205,CAL,1875,4090,3973,5534,885,85,2274
2022-06-04 15:00:00,207,CAL,1342,3930,3961,10441,601,86,2276
2022-06-04 16:00:00,206,CAL,960,4575,4066,12313,603,85,2274
2022-06-04 17:00:00,207,CAL,352,5350,4400,13123,598,86,2273
2022-06-04 18:00:00,205,CAL,392,5805,4317,13022,607,85,2274
2022-06-04 19:00:00,207,CAL,225,5232,4490,12896,605,86,2275
2022-06-04 20:00:00,207,CAL,291,5022,4357,12852,604,86,2275
2022-06-04 21:00:00,207,CAL,369,6722,4621,12947,917,85,2274
2022-06-04 22:00:00,207,CAL,345,4919,4613,12328,984,84,2274
2022-06-04 23:00:00,206,CAL,394,5686,4713,12259,709,85,2274
2022-06-05 00:00:00,206,CAL,764,8688,4739,11274,718,85,2273
2022-06-05 01:00:00,207,CAL,3131,6517,4584,6652,1472,84,2273
2022-06-05 02:00:00,205,CAL,4713,7683,4185,2298,2555,86,2275
2022-06-05 03:00:00,204,CAL,5521,8794,3955,214,2423,85,2275
2022-06-05 04:00:00,204,CAL,5111,8741,3914,89,2709,85,2275
2022-06-05 05:00:00,205,CAL,4456,9046,3776,96,2058,85,2276
2022-06-05 06:00:00,203,CAL,3402,8399,3612,95,1020,85,2275
2022-06-05 07:00:00,203,CAL,3175,6807,4098,95,896,85,2275
2022-06-05 08:00:00,204,CAL,2485,5904,4086,-4,995,86,2276
2022-06-05 09:00:00,203,CAL,2383,5607,3850,-4,969,85,2272
2022-06-05 10:00:00,203,CAL,1761,6135,3630,-6,806,85,2274
2022-06-05 11:00:00,202,CAL,1646,6039,3743,-6,702,86,2274
2022-06-05 12:00:00,203,CAL,1855,5739,3670,-9,905,85,2274
2022-06-05 13:00:00,203,CAL,1821,4996,3737,614,865,86,2273
2022-06-05 14:00:00,203,CAL,1667,4219,3570,5316,611,86,2274
2022-06-05 15:00:00,204,CAL,949,5126,3670,8190,595,85,2272
2022-06-05 16:00:00,202,CAL,464,5710,3484,10499,589,85,2273
2022-06-05 17:00:00,204,CAL,458,5341,3411,11462,579,85,2273
2022-06-05 18:00:00,204,CAL,305,5298,3685,12657,576,85,2273
2022-06-05 19:00:00,203,CAL,367,5249,4007,13277,577,84,2274
2022-06-05 20:00:00,203,CAL,352,4547,4024,14094,581,83,2272
2022-06-05 21:00:00,204,CAL,437,4028,4096,12955,886,81,2271
2022-06-05 22:00:00,203,CAL,453,4001,3966,14306,904,81,2272
2022-06-05 23:00:00,203,CAL,930,4689,3994,13883,918,81,2272
2022-06-06 00:00:00,204,CAL,1167,4666,3982,12687,984,83,2273
2022-06-06 01:00:00,205,CAL,2763,7250,4038,9462,1316,84,2272
2022-06-06 02:00:00,204,CAL,4905,8966,3647,3234,2909,83,2273
2022-06-06 03:00:00,203,CAL,5774,9811,3761,250,2689,84,2274
2022-06-06 04:00:00,205,CAL,5893,10576,4177,66,2073,84,2273
2022-06-06 05:00:00,204,CAL,4953,9920,4093,27,1632,84,2273
2022-06-06 06:00:00,204,CAL,3982,9043,4206,27,1004,83,2273
2022-06-06 07:00:00,202,CAL,2981,7715,4340,0,997,84,2275
2022-06-06 08:00:00,203,CAL,2909,6285,4244,0,991,84,2275
2022-06-06 09:00:00,201,CAL,2661,5721,4276,0,979,85,2273
2022-06-06 10:00:00,202,CAL,2563,5348,3994,0,810,85,2274
2022-06-06 11:00:00,203,CAL,2612,5176,3860,0,714,84,2274
2022-06-06 12:00:00,202,CAL,2685,5401,3954,0,1027,84,2274
2022-06-06 13:00:00,201,CAL,2863,5628,4089,835,959,84,2274
2022-06-06 14:00:00,201,CAL,1853,4651,4154,6089,695,82,2276
2022-06-06 15:00:00,199,CAL,1123,4872,3941,11149,653,84,2274
2022-06-06 16:00:00,197,CAL,988,4964,3811,13105,623,84,2274
2022-06-06 17:00:00,208,CAL,880,5034,3583,13636,554,83,2272
2022-06-06 18:00:00,210,CAL,760,5700,3383,15018,564,64,2274
2022-06-06 19:00:00,211,CAL,732,5495,3166,15375,609,46,2272
2022-06-06 20:00:00,208,CAL,926,5610,3221,15603,618,46,2275
2022-06-06 21:00:00,209,CAL,1094,5331,3447,15190,900,46,2274
2022-06-06 22:00:00,210,CAL,1484,5163,4021,14887,1095,46,2274
2022-06-06 23:00:00,211,CAL,2112,6741,4322,14425,655,46,2272
2022-06-07 00:00:00,213,CAL,3125,8393,4229,13082,762,46,2275
2022-06-07 01:00:00,210,CAL,4360,9999,4269,9759,1217,46,2274
2022-06-07 02:00:00,211,CAL,5830,13624,4417,3489,1951,46,2275
2022-06-07 03:00:00,213,CAL,6182,14645,4714,243,2482,46,2275
2022-06-07 04:00:00,215,CAL,6199,13959,4704,65,1963,46,2274
2022-06-07 05:00:00,213,CAL,5053,12656,4753,9,1563,46,2272
2022-06-07 06:00:00,215,CAL,3924,10988,4722,9,1021,46,2273
2022-06-07 07:00:00,213,CAL,3034,9007,4620,0,1227,46,2274
2022-06-07 08:00:00,225,CAL,2838,8018,4488,0,1059,46,2275
2022-06-07 09:00:00,224,CAL,2917,7050,4462,0,728,46,2275
2022-06-07 10:00:00,223,CAL,2961,6648,4410,0,666,46,2276
2022-06-07 11:00:00,224,CAL,2841,6376,4275,0,677,46,2275
2022-06-07 12:00:00,223,CAL,3116,6346,4220,0,826,46,2275
2022-06-07 13:00:00,222,CAL,3101,6794,4199,834,728,46,2274
2022-06-07 14:00:00,224,CAL,1841,6590,3764,6317,741,46,2275
2022-06-07 15:00:00,226,CAL,2014,5200,2507,11963,586,46,2273
2022-06-07 16:00:00,224,CAL,1726,5508,1391,13906,557,46,2275
2022-06-07 17:00:00,211,CAL,1881,5788,1316,14819,558,46,2276
2022-06-07 18:00:00,211,CAL,1936,6037,1229,15253,599,46,2274
2022-06-07 19:00:00,221,CAL,1673,5856,856,15575,692,46,2272
2022-06-07 20:00:00,222,CAL,1775,7086,1337,15464,679,46,2277
2022-06-07 21:00:00,223,CAL,1883,9096,2153,15273,703,46,2275
2022-06-07 22:00:00,223,CAL,1882,10636,3127,15008,1170,46,2276
2022-06-07 23:00:00,224,CAL,2699,10496,3939,14318,711,46,2275
2022-06-08 00:00:00,224,CAL,3603,10589,4529,13090,715,46,2278
2022-06-08 01:00:00,337,CAL,5009,12003,4888,9656,1088,46,2276
2022-06-08 02:00:00,519,CAL,5709,14523,4981,3317,1493,46,2277
2022-06-08 03:00:00,601,CAL,5858,15323,5025,310,2099,46,2276
2022-06-08 04:00:00,599,CAL,5412,14640,5069,130,2009,46,2275
2022-06-08 05:00:00,558,CAL,4233,13287,4983,68,1305,46,2274
2022-06-08 06:00:00,410,CAL,3519,9826,5029,63,1109,46,2273
2022-06-08 07:00:00,316,CAL,3100,9004,4861,23,1078,46,2280
2022-06-08 08:00:00,266,CAL,2786,7433,4597,23,1008,46,2276
2022-06-08 09:00:00,267,CAL,3135,5707,4520,0,1569,46,2274
2022-06-08 10:00:00,227,CAL,2995,6499,4278,0,1154,46,2278
2022-06-08 11:00:00,222,CAL,3017,6646,4021,0,789,46,2278
2022-06-08 12:00:00,223,CAL,3181,7270,3955,0,678,46,2278
2022-06-08 13:00:00,221,CAL,3098,7333,3847,831,1404,46,2277
2022-06-08 14:00:00,222,CAL,2412,6675,3834,6442,1398,46,2277
2022-06-08 15:00:00,221,CAL,1255,5854,3633,11807,600,46,2275
2022-06-08 16:00:00,221,CAL,1012,5901,3491,13835,588,46,2275
2022-06-08 17:00:00,221,CAL,865,5771,2903,14753,583,46,2276
2022-06-08 18:00:00,222,CAL,1018,6667,3092,15135,592,46,2273
2022-06-08 19:00:00,223,CAL,1191,6467,3096,15421,677,46,2273
2022-06-08 20:00:00,223,CAL,1557,6913,3323,15340,771,46,2274
2022-06-08 21:00:00,225,CAL,1578,9380,3325,14790,748,46,2273
2022-06-08 22:00:00,224,CAL,1747,10054,4020,15097,1068,46,2275
2022-06-08 23:00:00,224,CAL,3117,11348,4237,13664,1084,46,2275
2022-06-09 00:00:00,229,CAL,3932,12186,4287,12819,1046,46,2276
2022-06-09 01:00:00,285,CAL,4727,14317,4434,9133,1292,46,2275
2022-06-09 02:00:00,454,CAL,5737,16927,4284,3221,1876,46,2276
2022-06-09 03:00:00,510,CAL,6104,17025,4526,250,2654,46,2278
2022-06-09 04:00:00,588,CAL,5241,16029,4543,67,2454,46,2277
2022-06-09 05:00:00,533,CAL,4123,14808,4569,24,1866,46,2274
2022-06-09 06:00:00,416,CAL,3031,13136,4673,25,902,46,2273
2022-06-09 07:00:00,480,CAL,2690,11543,4550,25,877,46,2275
2022-06-09 08:00:00,504,CAL,2736,9920,4460,0,1043,46,2274
2022-06-09 09:00:00,532,CAL,2729,8727,4200,0,808,46,2275
2022-06-09 10:00:00,554,CAL,2721,8161,3602,0,841,46,2276
2022-06-09 11:00:00,546,CAL,2726,8426,3530,0,884,46,2276
2022-06-09 12:00:00,540,CAL,2778,8906,3514,0,682,46,2277
2022-06-09 13:00:00,530,CAL,2731,8134,2819,1231,1310,46,2276
2022-06-09 14:00:00,509,CAL,2523,7785,1794,6043,1300,46,2276
2022-06-09 15:00:00,541,CAL,1809,7184,1314,11068,628,46,2275
2022-06-09 16:00:00,518,CAL,1367,7256,1322,13234,601,46,2277
2022-06-09 17:00:00,363,CAL,1648,7850,720,14174,591,46,2277
2022-06-09 18:00:00,218,CAL,1670,7732,657,14406,598,49,2275
2022-06-09 19:00:00,200,CAL,1691,9077,616,14845,611,77,2274
2022-06-09 20:00:00,202,CAL,2002,10368,871,14653,851,79,2275
2022-06-09 21:00:00,202,CAL,3012,11342,1109,14349,944,82,2277
2022-06-09 22:00:00,228,CAL,3234,12949,1446,13563,1330,82,2278
2022-06-09 23:00:00,295,CAL,3705,15553,1378,13181,1030,83,2276
2022-06-10 00:00:00,402,CAL,4199,17022,1837,11437,931,83,2278
2022-06-10 01:00:00,429,CAL,5136,17525,2812,8666,1480,83,2279
2022-06-10 02:00:00,429,CAL,5757,19789,3002,3119,1896,83,2277
2022-06-10 03:00:00,431,CAL,5993,20321,3693,249,2597,84,2277
2022-06-10 04:00:00,433,CAL,5472,19430,3688,66,1960,84,2276
2022-06-10 05:00:00,378,CAL,4594,18060,3620,12,1563,84,2274
2022-06-10 06:00:00,250,CAL,3658,16167,3203,11,1039,84,2277
2022-06-10 07:00:00,203,CAL,2882,14373,2853,11,1274,84,2276
2022-06-10 08:00:00,202,CAL,2509,13726,2686,0,1251,85,2275
2022-06-10 09:00:00,201,CAL,2645,12434,2608,0,857,85,2272
2022-06-10 10:00:00,201,CAL,2634,10912,2323,0,651,85,2275
2022-06-10 11:00:00,200,CAL,2679,10593,2161,0,614,85,2275
2022-06-10 12:00:00,200,CAL,2824,10977,1983,0,755,85,2274
2022-06-10 13:00:00,197,CAL,2730,10795,1323,743,1291,84,2273
2022-06-10 14:00:00,197,CAL,2161,10317,936,6435,1302,83,2275
2022-06-10 15:00:00,203,CAL,1738,10190,742,11304,627,84,2276
2022-06-10 16:00:00,202,CAL,1559,11198,652,12702,607,84,2274
2022-06-10 17:00:00,201,CAL,1802,11355,505,13862,627,84,2272
2022-06-10 18:00:00,199,CAL,1768,12389,513,14487,631,84,2274
2022-06-10 19:00:00,201,CAL,2042,12634,911,15108,714,84,2272
2022-06-10 20:00:00,202,CAL,2352,14055,1165,15085,836,83,2269
2022-06-10 21:00:00,208,CAL,2836,15834,1509,14963,1102,83,2269
2022-06-10 22:00:00,205,CAL,3048,17937,1806,14703,895,83,2270
2022-06-10 23:00:00,199,CAL,3701,18833,2498,14059,996,83,2270
2022-06-11 00:00:00,231,CAL,4419,19736,3038,12973,1226,83,2270
2022-06-11 01:00:00,230,CAL,4769,21758,3291,9607,1707,83,2269
2022-06-11 02:00:00,232,CAL,5588,25253,3576,4036,1763,83,2267
2022-06-11 03:00:00,256,CAL,5681,25165,3847,291,2388,83,2267
2022-06-11 04:00:00,239,CAL,5425,23441,4234,104,1918,83,2269
2022-06-11 05:00:00,233,CAL,4178,20376,4545,49,1472,83,2267
2022-06-11 06:00:00,207,CAL,3550,18412,4649,43,1493,83,2267
2022-06-11 07:00:00,202,CAL,2884,15830,4730,6,1268,83,2267
2022-06-11 08:00:00,202,CAL,2691,13266,4688,1,688,84,2263
2022-06-11 09:00:00,202,CAL,2682,11716,4684,2,679,83,2264
2022-06-11 10:00:00,209,CAL,2493,10421,4500,1,675,83,2265
2022-06-11 11:00:00,202,CAL,2659,9687,4369,-1,675,84,2266
2022-06-11 12:00:00,202,CAL,2656,9203,3985,-4,771,84,2267
2022-06-11 13:00:00,201,CAL,2167,8190,3825,1305,1117,84,2267
2022-06-11 14:00:00,199,CAL,1984,5858,3272,6996,1112,85,2269
2022-06-11 15:00:00,200,CAL,1087,6309,2837,11422,634,84,2268
2022-06-11 16:00:00,200,CAL,1221,6488,2096,13513,610,84,2269
2022-06-11 17:00:00,200,CAL,1493,6555,2078,14446,615,85,2270
2022-06-11 18:00:00,199,CAL,1407,7009,2082,15060,647,84,2270
2022-06-11 19:00:00,200,CAL,1461,7481,2578,15122,788,84,2262
2022-06-11 20:00:00,200,CAL,1153,9351,3026,15164,806,84,2262
2022-06-11 21:00:00,204,CAL,1841,10058,3635,15016,813,82,2263
2022-06-11 22:00:00,208,CAL,1876,11668,4141,14754,798,83,2260
2022-06-11 23:00:00,208,CAL,2704,12590,4387,14009,974,84,2258
2022-06-12 00:00:00,208,CAL,3351,14278,4700,12835,1105,84,2260
2022-06-12 01:00:00,250,CAL,4352,15792,4597,9860,1464,84,2261
2022-06-12 02:00:00,248,CAL,5211,19142,4535,3663,2197,84,2260
2022-06-12 03:00:00,340,CAL,5344,19729,4422,285,2591,84,2259
2022-06-12 04:00:00,431,CAL,4699,18755,4516,111,2384,84,2263
2022-06-12 05:00:00,494,CAL,4006,17433,4761,98,1789,84,2262
2022-06-12 06:00:00,390,CAL,3311,16260,4645,1,830,84,2264
2022-06-12 07:00:00,285,CAL,3121,13340,4907,-10,1175,85,2265
2022-06-12 08:00:00,214,CAL,2652,10815,4813,-5,1291,85,2262
2022-06-12 09:00:00,200,CAL,2534,9054,4727,-7,1175,85,2259
2022-06-12 10:00:00,202,CAL,2375,7699,4589,-8,1173,85,2259
2022-06-12 11:00:00,201,CAL,2414,7484,4374,-8,663,85,2260
2022-06-12 12:00:00,200,CAL,2378,6806,4267,-8,888,85,2261
2022-06-12 13:00:00,200,CAL,2416,5711,3995,1806,876,84,2262
2022-06-12 14:00:00,198,CAL,1781,3112,4108,7658,643,84,2267
2022-06-12 15:00:00,197,CAL,1098,4487,3825,11547,615,84,2264
2022-06-12 16:00:00,199,CAL,913,4849,3743,13401,611,84,2261
2022-06-12 17:00:00,201,CAL,882,4638,3983,14390,607,84,2262
2022-06-12 18:00:00,197,CAL,808,4873,4588,15029,616,84,2263
2022-06-12 19:00:00,202,CAL,730,4735,4822,15322,705,84,2263
2022-06-12 20:00:00,200,CAL,959,4912,4756,15195,743,84,2261
2022-06-12 21:00:00,200,CAL,996,4705,4878,14549,1035,84,2263
2022-06-12 22:00:00,200,CAL,1404,6028,4971,14494,732,83,2264
2022-06-12 23:00:00,202,CAL,1630,8094,5061,13883,791,84,2265
2022-06-13 00:00:00,201,CAL,2292,9322,5389,12194,773,84,2266
2022-06-13 01:00:00,203,CAL,3337,9905,5148,9217,1540,84,2268
2022-06-13 02:00:00,197,CAL,4925,13275,4647,3465,2190,84,2269
2022-06-13 03:00:00,199,CAL,4928,14831,4115,301,2540,84,2267
2022-06-13 04:00:00,200,CAL,4619,14400,4674,114,1723,84,2269
2022-06-13 05:00:00,202,CAL,3920,13394,4909,48,1194,82,2266
2022-06-13 06:00:00,204,CAL,3207,11485,4755,50,797,83,2266
2022-06-13 07:00:00,203,CAL,3060,9664,4785,0,962,82,2266
2022-06-13 08:00:00,204,CAL,2829,8163,4355,1,1038,83,2269
2022-06-13 09:00:00,200,CAL,2908,7142,4201,0,761,84,2268
2022-06-13 10:00:00,199,CAL,2954,7298,3952,-1,774,84,2266
2022-06-13 11:00:00,201,CAL,2862,7488,4087,0,767,85,2265
2022-06-13 12:00:00,201,CAL,3214,7085,4097,-3,724,85,2268
2022-06-13 13:00:00,196,CAL,2971,7349,4203,1065,1178,84,2267
2022-06-13 14:00:00,202,CAL,2199,5561,4309,6946,825,85,2267
2022-06-13 15:00:00,201,CAL,1232,5897,4198,11125,794,84,2266
2022-06-13 16:00:00,201,CAL,1068,6187,4001,12498,625,84,2271
2022-06-13 17:00:00,200,CAL,639,6342,4049,12554,622,82,2268
2022-06-13 18:00:00,200,CAL,663,6296,4040,12654,626,82,2268
2022-06-13 19:00:00,198,CAL,540,6273,3743,13929,633,82,2269
2022-06-13 20:00:00,211,CAL,606,6269,3842,13914,619,82,2270
2022-06-13 21:00:00,225,CAL,1037,6273,3097,14015,659,82,2268
2022-06-13 22:00:00,241,CAL,1150,6300,2824,14294,804,82,2268
2022-06-13 23:00:00,207,CAL,1720,7478,2970,13999,834,82,2271
2022-06-14 00:00:00,203,CAL,2381,8287,3546,12948,1087,82,2273
2022-06-14 01:00:00,201,CAL,4086,9767,3425,10360,1402,82,2270
2022-06-14 02:00:00,199,CAL,5612,11907,3509,3933,2734,82,2272
2022-06-14 03:00:00,208,CAL,5210,14371,3477,286,2699,83,2274
2022-06-14 04:00:00,205,CAL,4743,14596,3170,62,2611,82,2272
2022-06-14 05:00:00,202,CAL,4281,13792,2718,9,1629,82,2272
2022-06-14 06:00:00,202,CAL,3732,12281,2631,11,1205,83,2272
2022-06-14 07:00:00,205,CAL,2998,10826,2642,9,932,83,2273
2022-06-14 08:00:00,163,CAL,3018,9931,2661,9,791,82,2273
2022-06-14 09:00:00,205,CAL,2770,8715,3217,0,785,83,2271
2022-06-14 10:00:00,204,CAL,2343,7846,3467,-1,816,83,2272
2022-06-14 11:00:00,205,CAL,2392,7211,4025,0,763,83,2272
2022-06-14 12:00:00,205,CAL,2741,6387,4031,-3,780,83,2272
2022-06-14 13:00:00,202,CAL,3210,6290,3814,29,858,83,2271
2022-06-14 14:00:00,203,CAL,2676,7141,3411,2952,872,83,2272
2022-06-14 15:00:00,208,CAL,1988,6490,2496,7513,646,83,2273
2022-06-14 16:00:00,206,CAL,1097,6788,1645,10616,608,83,2274
2022-06-14 17:00:00,205,CAL,1061,6966,1109,11680,608,83,2273
2022-06-14 18:00:00,204,CAL,715,7132,832,11945,611,83,2274
2022-06-14 19:00:00,204,CAL,729,6682,615,12958,616,83,2276
2022-06-14 20:00:00,204,CAL,977,6935,461,13672,607,83,2275
2022-06-14 21:00:00,203,CAL,1109,7118,506,14537,642,82,2276
2022-06-14 22:00:00,204,CAL,1138,7972,1248,14150,813,82,2276
2022-06-14 23:00:00,203,CAL,1231,9359,1951,13902,942,81,2277
2022-06-15 00:00:00,205,CAL,1841,10376,2478,13433,1102,80,2275
2022-06-15 01:00:00,202,CAL,2742,11356,3075,12269,1012,80,2276
2022-06-15 02:00:00,226,CAL,5050,12340,3586,7671,2041,80,2276
2022-06-15 03:00:00,265,CAL,6362,15308,3764,1861,2590,80,2276
2022-06-15 04:00:00,207,CAL,6085,14646,3881,105,2648,80,2276
2022-06-15 05:00:00,204,CAL,5470,13929,3899,36,1913,81,2280
2022-06-15 06:00:00,215,CAL,4413,12640,3853,10,1253,81,2279
2022-06-15 07:00:00,206,CAL,3878,10257,3808,10,853,81,2276
2022-06-15 08:00:00,204,CAL,2951,8476,3254,0,969,80,2276
2022-06-15 09:00:00,200,CAL,2725,7933,3226,0,760,81,2275
2022-06-15 10:00:00,201,CAL,2764,7498,3059,0,730,81,2274
2022-06-15 11:00:00,202,CAL,2915,7214,2663,0,646,81,2275
2022-06-15 12:00:00,205,CAL,3051,8062,1970,0,804,81,2275
2022-06-15 13:00:00,197,CAL,3184,8178,1321,1387,1724,81,2276
2022-06-15 14:00:00,201,CAL,2632,7054,741,6830,1711,80,2276
2022-06-15 15:00:00,201,CAL,1982,5959,461,11613,627,80,2277
2022-06-15 16:00:00,202,CAL,1705,6535,503,13687,599,80,2277
2022-06-15 17:00:00,202,CAL,874,7413,621,14704,587,81,2276
2022-06-15 18:00:00,203,CAL,557,8055,855,15086,594,80,2276
2022-06-15 19:00:00,203,CAL,835,8866,690,15380,616,80,2277
2022-06-15 20:00:00,202,CAL,996,9443,750,15304,617,80,2275
2022-06-15 21:00:00,200,CAL,1664,10702,818,15134,754,81,2274
2022-06-15 22:00:00,201,CAL,2440,11130,1126,14783,966,81,2274
2022-06-15 23:00:00,201,CAL,2707,12982,1221,13984,1080,81,2276
2022-06-16 00:00:00,203,CAL,3535,15130,1669,12865,1197,81,2275
2022-06-16 01:00:00,202,CAL,4709,16414,2562,9302,1266,81,2277
2022-06-16 02:00:00,204,CAL,5661,18653,3060,3784,1573,81,2278
2022-06-16 03:00:00,203,CAL,5815,18856,3539,128,1817,73,2277
2022-06-16 04:00:00,203,CAL,5226,16609,3758,1,2142,32,2275
2022-06-16 05:00:00,202,CAL,3848,14790,3749,36,1508,32,2276
2022-06-16 06:00:00,202,CAL,3078,12711,3790,10,1192,32,2274
2022-06-16 07:00:00,205,CAL,2556,10893,3742,0,897,32,2275
