datetime,Coal,region,Wind,Nuclear,Hydro,Solar,Other,Petroleum,Natural gas
2022-06-05 23:00:00,15308,CENT,12011,2008,2306,150,206,0,4771
2022-06-06 00:00:00,16209,CENT,11306,2008,2226,105,202,0,4972
2022-06-06 01:00:00,16421,CENT,10866,2008,2144,72,201,0,4525
2022-06-06 02:00:00,16374,CENT,10474,2007,1993,23,201,0,4310
2022-06-06 03:00:00,15665,CENT,12117,2007,1661,0,200,0,3192
2022-06-06 04:00:00,14773,CENT,12726,2007,1495,0,205,0,2448
2022-06-06 05:00:00,14322,CENT,11788,2009,1317,0,200,0,2333
2022-06-06 06:00:00,13396,CENT,10939,2010,1230,0,203,0,1975
2022-06-06 07:00:00,13522,CENT,9978,2010,1245,0,202,0,1933
2022-06-06 08:00:00,13479,CENT,9736,2010,1264,0,201,0,2002
2022-06-06 09:00:00,13718,CENT,8565,2009,1253,0,199,0,2293
2022-06-06 10:00:00,14314,CENT,7310,2009,1304,0,198,0,2504
2022-06-06 11:00:00,14611,CENT,6999,2009,1419,0,198,0,2571
2022-06-06 12:00:00,14028,CENT,7202,2009,1730,0,201,0,3192
2022-06-06 13:00:00,14192,CENT,6617,2009,1899,38,202,0,4652
2022-06-06 14:00:00,15251,CENT,5184,2009,1927,145,197,0,6013
2022-06-06 15:00:00,16451,CENT,4632,2009,1989,180,198,0,6582
2022-06-06 16:00:00,16623,CENT,4327,2011,2368,213,198,0,7535
2022-06-06 17:00:00,16965,CENT,3344,2011,2448,218,198,0,9713
2022-06-06 18:00:00,17524,CENT,2696,2011,2649,202,204,29,11100
2022-06-06 19:00:00,17927,CENT,2473,2009,2650,193,204,44,12630
2022-06-06 20:00:00,17983,CENT,2487,2005,2703,210,203,44,13660
2022-06-06 21:00:00,18255,CENT,2166,2001,2991,212,202,68,15181
2022-06-06 22:00:00,18292,CENT,2155,2002,3041,200,203,70,15611
2022-06-06 23:00:00,18373,CENT,2350,2006,3047,186,202,150,16042
2022-06-07 00:00:00,18265,CENT,3106,2006,2705,156,202,156,15296
2022-06-07 01:00:00,18202,CENT,4123,2006,2508,122,203,145,13766
2022-06-07 02:00:00,17741,CENT,6248,2006,2382,16,202,130,10913
2022-06-07 03:00:00,17310,CENT,8493,2005,2249,0,202,129,7913
2022-06-07 04:00:00,16901,CENT,9728,2003,1806,0,201,51,5607
2022-06-07 05:00:00,16610,CENT,9092,2002,1632,0,201,0,4766
2022-06-07 06:00:00,15480,CENT,9492,2002,1475,0,203,0,3800
2022-06-07 07:00:00,14779,CENT,9602,2003,1450,0,202,0,3518
2022-06-07 08:00:00,14056,CENT,9312,2003,1461,0,204,0,3520
2022-06-07 09:00:00,14204,CENT,8388,2002,1458,0,204,0,3622
2022-06-07 10:00:00,12267,CENT,10129,2006,1568,0,203,0,3521
2022-06-07 11:00:00,12088,CENT,10449,2007,1665,0,205,0,3684
2022-06-07 12:00:00,12605,CENT,9821,2006,1968,0,205,0,4115
2022-06-07 13:00:00,14319,CENT,7629,2006,2092,25,204,0,4785
2022-06-07 14:00:00,15485,CENT,6145,2006,2101,133,203,0,5473
2022-06-07 15:00:00,16247,CENT,5143,2007,2086,181,199,0,6797
2022-06-07 16:00:00,16369,CENT,4794,2007,2249,176,198,0,7706
2022-06-07 17:00:00,16730,CENT,4672,2007,2294,205,199,0,8581
2022-06-07 18:00:00,16194,CENT,3492,2005,2721,185,208,45,11289
2022-06-07 19:00:00,16189,CENT,2763,2003,2775,215,201,93,13121
2022-06-07 20:00:00,16301,CENT,2130,2002,2883,216,201,121,15426
2022-06-07 21:00:00,16373,CENT,2054,2002,3051,208,202,209,16464
2022-06-07 22:00:00,16461,CENT,2321,2001,3052,190,201,279,16874
2022-06-07 23:00:00,16671,CENT,3121,2001,3048,157,201,269,15989
2022-06-08 00:00:00,17121,CENT,4303,1998,2818,81,202,192,14452
2022-06-08 01:00:00,17451,CENT,5264,1997,2410,78,201,158,12762
2022-06-08 02:00:00,17527,CENT,6620,1994,2291,21,203,71,10368
2022-06-08 03:00:00,16977,CENT,8363,1997,2044,0,200,0,8345
2022-06-08 04:00:00,16683,CENT,9445,1998,1610,0,200,0,6551
2022-06-08 05:00:00,15705,CENT,10414,1998,1478,0,200,0,4475
2022-06-08 06:00:00,14902,CENT,9935,1999,1332,0,206,0,3779
2022-06-08 07:00:00,14547,CENT,8696,1999,1346,0,203,0,3567
2022-06-08 08:00:00,13560,CENT,9157,2003,1330,0,203,0,3173
2022-06-08 09:00:00,13426,CENT,8568,2003,1386,0,201,0,3216
2022-06-08 10:00:00,13863,CENT,8169,2003,1386,0,202,0,3035
2022-06-08 11:00:00,14344,CENT,8323,2003,1529,0,201,0,3167
2022-06-08 12:00:00,13994,CENT,8810,2004,1880,0,202,0,3542
2022-06-08 13:00:00,12381,CENT,11011,2004,1959,19,201,0,3774
2022-06-08 14:00:00,11946,CENT,11769,2002,1985,71,200,1,4048
2022-06-08 15:00:00,11883,CENT,11931,2002,2022,135,201,3,4601
2022-06-08 16:00:00,11517,CENT,12282,2003,2002,164,209,3,5479
2022-06-08 17:00:00,11305,CENT,12105,2003,2238,187,210,3,6275
2022-06-08 18:00:00,12181,CENT,11660,2003,2531,149,200,2,7068
2022-06-08 19:00:00,13153,CENT,10507,2002,2666,151,202,2,7684
2022-06-08 20:00:00,13671,CENT,9946,2001,2725,177,200,3,7636
2022-06-08 21:00:00,14999,CENT,8578,2000,2798,169,200,3,8505
2022-06-08 22:00:00,16132,CENT,7337,1999,2888,147,199,2,9068
2022-06-08 23:00:00,17173,CENT,5899,1999,2872,179,202,2,9507
2022-06-09 00:00:00,17811,CENT,4631,1999,2772,114,201,0,9939
2022-06-09 01:00:00,17811,CENT,3776,1998,2580,55,200,0,9656
2022-06-09 02:00:00,17809,CENT,3206,1998,2361,9,201,0,9706
2022-06-09 03:00:00,18066,CENT,3341,1999,2011,0,200,0,8891
2022-06-09 04:00:00,17943,CENT,3268,1999,1552,0,201,0,7556
2022-06-09 05:00:00,17590,CENT,3117,1999,1389,0,202,0,5953
