datetime,Hydro,region,Nuclear,Other,Solar,Petroleum,Natural gas,Coal
2022-06-05 12:00:00,-983,CAR,11737,382,1014,0,3590,2702
2022-06-05 13:00:00,-970,CAR,11742,383,2322,0,3512,2783
2022-06-05 14:00:00,-965,CAR,11743,427,3363,0,3800,2977
2022-06-05 15:00:00,-974,CAR,11764,462,3965,0,4016,3170
2022-06-05 16:00:00,-617,CAR,11774,507,4293,0,4320,3604
2022-06-05 17:00:00,278,CAR,11792,522,4325,0,4448,3825
2022-06-05 18:00:00,886,CAR,11806,601,4332,0,4670,4150
2022-06-05 19:00:00,1159,CAR,11820,608,4231,0,4967,4717
2022-06-05 20:00:00,1177,CAR,11831,608,3976,-1,5662,5258
2022-06-05 21:00:00,1592,CAR,11843,606,3497,0,5807,6007
2022-06-05 22:00:00,2253,CAR,11856,608,2786,0,5797,6435
2022-06-05 23:00:00,2421,CAR,11868,608,1758,0,6328,6573
2022-06-06 00:00:00,2514,CAR,11881,607,575,0,6502,6736
2022-06-06 01:00:00,2233,CAR,11888,652,22,0,6644,6269
2022-06-06 02:00:00,1732,CAR,11894,662,-2,0,6246,5985
2022-06-06 03:00:00,1055,CAR,11893,648,-2,0,5423,5154
2022-06-06 04:00:00,78,CAR,11897,616,2,0,4972,4803
2022-06-06 05:00:00,-664,CAR,11900,601,3,0,4634,4207
2022-06-06 06:00:00,-1026,CAR,11904,563,2,0,4506,3747
2022-06-06 07:00:00,-1089,CAR,11898,537,-2,0,4378,3506
2022-06-06 08:00:00,-1129,CAR,11911,516,1,0,4357,3379
2022-06-06 09:00:00,-1132,CAR,11906,514,-5,0,4329,3337
2022-06-06 10:00:00,-1043,CAR,11909,533,-3,0,4648,3380
2022-06-06 11:00:00,-997,CAR,11907,665,81,0,5064,3572
2022-06-06 12:00:00,-843,CAR,11907,637,963,0,5377,3775
2022-06-06 13:00:00,-810,CAR,11906,612,2355,0,5142,3825
2022-06-06 14:00:00,-827,CAR,11907,593,3336,-1,5136,3979
2022-06-06 15:00:00,-585,CAR,11921,612,3954,0,5424,4192
2022-06-06 16:00:00,361,CAR,11915,622,4218,0,5922,4114
2022-06-06 17:00:00,558,CAR,11900,693,4268,0,6192,4829
2022-06-06 18:00:00,899,CAR,11901,694,4226,0,7064,5485
2022-06-06 19:00:00,1018,CAR,11894,704,3948,0,7385,6141
2022-06-06 20:00:00,1159,CAR,11883,708,3744,0,8311,6289
2022-06-06 21:00:00,1393,CAR,11886,701,3395,0,9134,6501
2022-06-06 22:00:00,1692,CAR,11883,679,2740,0,9122,6987
2022-06-06 23:00:00,2197,CAR,11882,687,1733,0,9156,7210
2022-06-07 00:00:00,1948,CAR,11883,694,509,0,9508,7241
2022-06-07 01:00:00,1731,CAR,11888,733,9,0,8939,7044
2022-06-07 02:00:00,1066,CAR,11890,723,0,0,8616,6723
2022-06-07 03:00:00,506,CAR,11897,725,-3,0,7160,6109
2022-06-07 04:00:00,316,CAR,11889,660,-1,0,5735,5282
2022-06-07 05:00:00,137,CAR,11894,647,-2,0,5027,4290
2022-06-07 06:00:00,-426,CAR,11895,646,-3,-1,5135,3598
2022-06-07 07:00:00,-771,CAR,11891,653,-2,-1,5020,3435
2022-06-07 08:00:00,-1151,CAR,11904,683,-9,-1,4918,3383
2022-06-07 09:00:00,-1143,CAR,11902,670,-1,0,5003,3314
2022-06-07 10:00:00,-864,CAR,11907,723,-1,0,5230,3379
2022-06-07 11:00:00,-291,CAR,11896,799,80,0,5436,3482
2022-06-07 12:00:00,-237,CAR,11902,725,974,0,5604,3656
2022-06-07 13:00:00,-83,CAR,11894,694,2153,0,5602,3977
2022-06-07 14:00:00,83,CAR,11891,691,2975,0,6032,4045
2022-06-07 15:00:00,449,CAR,11882,728,3341,0,6575,4444
2022-06-07 16:00:00,462,CAR,11891,750,3531,0,7187,5326
2022-06-07 17:00:00,466,CAR,11884,730,3651,-1,8165,6038
2022-06-07 18:00:00,659,CAR,11876,755,3712,0,8753,6363
2022-06-07 19:00:00,1088,CAR,11879,765,3639,2,9147,6460
2022-06-07 20:00:00,1240,CAR,11870,777,3478,0,9704,6573
2022-06-07 21:00:00,1575,CAR,11863,795,3123,0,10332,6622
2022-06-07 22:00:00,1995,CAR,11872,790,2442,0,10618,6898
2022-06-07 23:00:00,2220,CAR,11864,760,1451,0,10807,7392
2022-06-08 00:00:00,2112,CAR,11865,755,452,0,10923,7408
2022-06-08 01:00:00,1966,CAR,11855,801,6,0,10914,7045
2022-06-08 02:00:00,1233,CAR,11831,794,-1,0,10806,6902
2022-06-08 03:00:00,493,CAR,11891,812,-2,0,9556,6354
2022-06-08 04:00:00,389,CAR,11921,800,-1,0,7357,6087
2022-06-08 05:00:00,-113,CAR,11918,798,-4,0,6568,4947
2022-06-08 06:00:00,-601,CAR,11921,776,-5,0,6332,4444
2022-06-08 07:00:00,-928,CAR,11926,774,-2,0,6312,3997
2022-06-08 08:00:00,-1110,CAR,11925,802,-2,0,6173,3639
2022-06-08 09:00:00,-1114,CAR,11928,801,-4,0,6143,3586
2022-06-08 10:00:00,-1089,CAR,11937,841,-2,0,6278,3921
2022-06-08 11:00:00,-613,CAR,11932,891,43,0,6348,4204
2022-06-08 12:00:00,132,CAR,11931,826,666,0,6704,4439
2022-06-08 13:00:00,213,CAR,11923,833,1577,0,6734,4704
2022-06-08 14:00:00,201,CAR,11915,820,2398,0,7190,4880
2022-06-08 15:00:00,275,CAR,11910,802,3013,0,7916,5226
2022-06-08 16:00:00,644,CAR,11901,791,3375,0,8735,6074
2022-06-08 17:00:00,1093,CAR,11914,801,3234,0,9944,6516
2022-06-08 18:00:00,1540,CAR,11901,797,2841,0,10967,6896
2022-06-08 19:00:00,2055,CAR,11895,796,2356,0,11385,7205
2022-06-08 20:00:00,2093,CAR,11902,791,2162,-2,11670,7249
2022-06-08 21:00:00,2212,CAR,11900,792,1897,0,11669,7159
2022-06-08 22:00:00,2293,CAR,11903,782,1362,0,11604,7220
2022-06-08 23:00:00,2308,CAR,11904,802,872,0,11783,6852
2022-06-09 00:00:00,2074,CAR,11909,799,377,0,11274,6661
2022-06-09 01:00:00,1418,CAR,11917,851,11,0,11057,6585
2022-06-09 02:00:00,633,CAR,11912,848,-5,0,10922,6441
2022-06-09 03:00:00,278,CAR,11926,844,-2,0,9726,5694
2022-06-09 04:00:00,255,CAR,11920,828,-6,0,7496,5134
2022-06-09 05:00:00,156,CAR,11922,831,-4,0,6253,4519
2022-06-09 06:00:00,-529,CAR,11921,833,-2,0,6017,4598
2022-06-09 07:00:00,-1104,CAR,11917,829,-3,0,5954,4444
2022-06-09 08:00:00,-1125,CAR,11927,811,-1,0,5713,4215
2022-06-09 09:00:00,-1122,CAR,11923,819,-5,0,5757,4114
2022-06-09 10:00:00,-632,CAR,11930,838,-1,0,5788,4282
2022-06-09 11:00:00,-179,CAR,11928,866,50,0,5898,4571
2022-06-09 12:00:00,140,CAR,11935,810,618,0,6079,5156
2022-06-09 13:00:00,165,CAR,11930,805,1455,0,6112,5584
2022-06-09 14:00:00,171,CAR,11923,808,2202,0,6790,5805
2022-06-09 15:00:00,244,CAR,11918,789,2983,0,7730,5852
2022-06-09 16:00:00,382,CAR,11908,798,3609,0,8673,6293
2022-06-09 17:00:00,867,CAR,11906,798,3908,0,9621,6599
2022-06-09 18:00:00,1706,CAR,11909,799,3845,0,10221,6740
2022-06-09 19:00:00,2247,CAR,11924,796,3540,0,10508,6892
2022-06-09 20:00:00,2380,CAR,11924,796,3058,0,10896,7403
2022-06-09 21:00:00,2262,CAR,11921,797,2620,0,11432,7616
2022-06-09 22:00:00,2231,CAR,11894,791,2220,0,11391,7806
2022-06-09 23:00:00,2148,CAR,11924,798,1435,-1,11229,7926
2022-06-10 00:00:00,2262,CAR,11898,799,484,0,11303,7308
2022-06-10 01:00:00,1917,CAR,11930,852,22,0,11281,6442
2022-06-10 02:00:00,1222,CAR,11919,843,2,0,10901,6313
2022-06-10 03:00:00,555,CAR,11930,839,1,0,9218,5976
2022-06-10 04:00:00,356,CAR,11928,826,3,0,6981,5291
2022-06-10 05:00:00,141,CAR,11940,817,0,0,6047,4370
2022-06-10 06:00:00,35,CAR,11944,822,1,0,5939,3100
2022-06-10 07:00:00,-429,CAR,11946,822,1,-1,5779,2664
2022-06-10 08:00:00,-783,CAR,11932,829,1,0,5735,2584
2022-06-10 09:00:00,-1155,CAR,11935,829,1,0,5669,2617
2022-06-10 10:00:00,-1135,CAR,11939,846,1,0,5581,2832
2022-06-10 11:00:00,-775,CAR,11941,870,73,0,5505,3142
2022-06-10 12:00:00,-263,CAR,11944,805,951,0,5329,3462
2022-06-10 13:00:00,137,CAR,11940,786,2190,0,5198,3434
2022-06-10 14:00:00,157,CAR,11929,783,3185,0,5355,3512
2022-06-10 15:00:00,254,CAR,11933,786,3775,0,5541,3758
2022-06-10 16:00:00,264,CAR,11926,805,4131,0,5688,4095
2022-06-10 17:00:00,471,CAR,11934,806,4200,0,6247,4525
2022-06-10 18:00:00,466,CAR,11925,807,3888,0,7434,5110
2022-06-10 19:00:00,595,CAR,11927,810,3648,0,8274,5561
2022-06-10 20:00:00,676,CAR,11925,807,3252,0,9149,5620
2022-06-10 21:00:00,1015,CAR,11930,802,2881,0,9548,5849
2022-06-10 22:00:00,1472,CAR,11930,799,2374,0,9362,6119
2022-06-10 23:00:00,1574,CAR,11926,802,1467,0,9567,6145
2022-06-11 00:00:00,1310,CAR,11929,807,452,0,9869,5898
2022-06-11 01:00:00,850,CAR,11932,848,14,0,9754,5557
2022-06-11 02:00:00,601,CAR,11925,847,-2,-1,9209,5008
2022-06-11 03:00:00,546,CAR,11928,842,-1,0,7560,4639
2022-06-11 04:00:00,149,CAR,11927,832,-6,0,6238,4265
2022-06-11 05:00:00,-542,CAR,11927,837,-3,0,5779,3931
2022-06-11 06:00:00,-1238,CAR,11936,829,-2,0,5583,3688
2022-06-11 07:00:00,-1735,CAR,11941,752,-3,0,5185,3677
2022-06-11 08:00:00,-1749,CAR,11937,700,-3,0,4840,3524
2022-06-11 09:00:00,-1758,CAR,11941,688,-3,0,4833,3391
2022-06-11 10:00:00,-1740,CAR,11950,750,-4,0,4915,3341
2022-06-11 11:00:00,-1754,CAR,11950,811,51,0,4848,3346
2022-06-11 12:00:00,-1691,CAR,11946,743,629,0,5007,3447
2022-06-11 13:00:00,-1486,CAR,11943,747,1472,0,5325,3488
2022-06-11 14:00:00,-977,CAR,11929,748,2173,0,5417,4023
2022-06-11 15:00:00,-259,CAR,11915,787,2760,0,5760,4530
2022-06-11 16:00:00,121,CAR,11921,796,3086,0,6276,5061
2022-06-11 17:00:00,316,CAR,11926,802,3241,0,6658,5805
2022-06-11 18:00:00,498,CAR,11919,781,3111,0,7387,6288
2022-06-11 19:00:00,526,CAR,11922,799,3015,0,8599,6193
2022-06-11 20:00:00,526,CAR,11913,876,2785,-1,9338,6160
2022-06-11 21:00:00,653,CAR,11917,874,2446,0,9506,6710
2022-06-11 22:00:00,1198,CAR,11915,878,1947,0,9504,6954
2022-06-11 23:00:00,1410,CAR,11908,898,1157,0,9662,7042
2022-06-12 00:00:00,1475,CAR,11912,881,387,0,9577,6848
2022-06-12 01:00:00,1098,CAR,11911,933,13,0,9473,6499
2022-06-12 02:00:00,662,CAR,11859,943,-2,0,9244,6099
2022-06-12 03:00:00,395,CAR,11864,845,-1,0,8086,5599
2022-06-12 04:00:00,254,CAR,11865,845,-3,-1,6995,4897
2022-06-12 05:00:00,-59,CAR,11887,837,-4,0,6124,4414
2022-06-12 06:00:00,-620,CAR,11891,822,-6,0,5614,4298
2022-06-12 07:00:00,-1075,CAR,11899,830,-1,0,5454,4067
2022-06-12 08:00:00,-1506,CAR,11906,839,-5,0,5379,3850
2022-06-12 09:00:00,-1598,CAR,11913,840,-4,0,5431,3654
2022-06-12 10:00:00,-1587,CAR,11917,921,-3,0,5482,3438
2022-06-12 11:00:00,-1583,CAR,11921,947,48,0,5520,3304
2022-06-12 12:00:00,-1582,CAR,11923,906,664,0,5660,3453
2022-06-12 13:00:00,-1083,CAR,11917,913,1551,0,5725,3948
2022-06-12 14:00:00,-624,CAR,11920,921,2519,0,5731,4647
2022-06-12 15:00:00,-231,CAR,11918,954,3265,0,5955,5495
2022-06-12 16:00:00,306,CAR,11909,968,3661,0,6289,6308
2022-06-12 17:00:00,817,CAR,11897,967,3692,0,7430,7104
2022-06-12 18:00:00,1038,CAR,11896,970,3570,0,8505,7716
2022-06-12 19:00:00,1052,CAR,11891,964,3252,0,10091,7818
2022-06-12 20:00:00,1126,CAR,11887,963,3042,0,10961,7649
2022-06-12 21:00:00,1344,CAR,11895,964,2506,0,11337,8180
2022-06-12 22:00:00,1794,CAR,11897,962,1966,0,11278,8562
2022-06-12 23:00:00,1898,CAR,11902,966,1341,0,11284,8768
2022-06-13 00:00:00,1922,CAR,11903,967,461,0,11413,8775
2022-06-13 01:00:00,1245,CAR,11901,1015,17,0,11091,8566
2022-06-13 02:00:00,732,CAR,11894,1007,-1,0,10281,8446
2022-06-13 03:00:00,118,CAR,11901,1004,-5,0,8975,8065
2022-06-13 04:00:00,113,CAR,11888,1002,-1,0,7623,6863
2022-06-13 05:00:00,-55,CAR,11899,931,-3,0,7430,5242
2022-06-13 06:00:00,-835,CAR,11897,941,-4,-1,7498,4605
2022-06-13 07:00:00,-1256,CAR,11903,939,-3,0,7388,4210
2022-06-13 08:00:00,-1766,CAR,11901,939,-2,0,7492,4032
2022-06-13 09:00:00,-1803,CAR,11902,940,-5,-1,7355,4005
2022-06-13 10:00:00,-1553,CAR,11910,938,-4,-1,7402,4153
2022-06-13 11:00:00,-1039,CAR,11914,967,56,0,7443,4401
2022-06-13 12:00:00,-729,CAR,11907,938,694,0,7572,4933
2022-06-13 13:00:00,-158,CAR,11906,949,1768,0,7572,5294
2022-06-13 14:00:00,119,CAR,11897,970,2924,0,7935,6094
2022-06-13 15:00:00,164,CAR,11892,969,3698,-1,8580,7821
2022-06-13 16:00:00,134,CAR,11892,951,4018,0,9868,8995
2022-06-13 17:00:00,304,CAR,11878,961,3922,0,11076,9424
2022-06-13 18:00:00,642,CAR,11875,965,3807,0,12114,9513
2022-06-13 19:00:00,1028,CAR,11874,1016,3671,135,12545,9627
2022-06-13 20:00:00,1365,CAR,11881,1038,3431,178,12761,9914
2022-06-13 21:00:00,1796,CAR,11872,1131,2970,160,12927,10253
2022-06-13 22:00:00,2221,CAR,11863,1164,2396,184,12877,10538
2022-06-13 23:00:00,2532,CAR,11876,1180,1455,176,12782,10658
2022-06-14 00:00:00,2351,CAR,11866,1194,528,149,12965,10721
2022-06-14 01:00:00,1913,CAR,11865,1196,20,108,12858,10589
2022-06-14 02:00:00,1220,CAR,11871,1164,-3,0,12213,10392
2022-06-14 03:00:00,389,CAR,11876,1005,-1,0,11139,9805
2022-06-14 04:00:00,244,CAR,11877,946,-1,-1,9795,8595
2022-06-14 05:00:00,63,CAR,11881,934,-4,0,8703,7409
2022-06-14 06:00:00,-675,CAR,11876,929,-3,0,8492,6832
2022-06-14 07:00:00,-1530,CAR,11882,931,-3,0,8371,6633
2022-06-14 08:00:00,-1785,CAR,11883,916,0,0,8269,6119
2022-06-14 09:00:00,-1777,CAR,11881,901,-6,0,8077,5937
2022-06-14 10:00:00,-1766,CAR,11888,920,-4,0,8169,6125
2022-06-14 11:00:00,-1642,CAR,11888,962,41,0,8166,6696
2022-06-14 12:00:00,-1309,CAR,11884,890,664,0,8061,7001
2022-06-14 13:00:00,-1009,CAR,11869,900,1512,0,7943,7006
2022-06-14 14:00:00,-727,CAR,11894,902,1988,-1,8158,7524
2022-06-14 15:00:00,-257,CAR,11900,907,2197,0,8340,7832
2022-06-14 16:00:00,59,CAR,11892,904,2543,0,8526,7965
2022-06-14 17:00:00,400,CAR,11885,908,2741,0,8925,8284
2022-06-14 18:00:00,458,CAR,11884,905,2685,0,9565,8975
2022-06-14 19:00:00,718,CAR,11862,950,2582,-1,10091,9347
2022-06-14 20:00:00,1103,CAR,11871,1033,2284,0,10432,9599
2022-06-14 21:00:00,1252,CAR,11888,1136,2279,0,10794,9497
2022-06-14 22:00:00,1826,CAR,11885,1147,1797,0,11099,9453
2022-06-14 23:00:00,1645,CAR,11879,1141,1109,0,11803,9655
2022-06-15 00:00:00,1480,CAR,11879,1145,430,0,11969,9638
2022-06-15 01:00:00,1264,CAR,11857,1196,22,0,11661,9484
2022-06-15 02:00:00,992,CAR,11880,1191,-3,0,10901,9150
2022-06-15 03:00:00,548,CAR,11888,1046,-4,0,9447,8388
2022-06-15 04:00:00,508,CAR,11895,966,-1,0,8025,7525
2022-06-15 05:00:00,3,CAR,11872,927,-4,0,7001,6726
2022-06-15 06:00:00,-48,CAR,11899,929,-4,0,6482,5911
2022-06-15 07:00:00,-52,CAR,11896,897,-4,0,5959,5432
2022-06-15 08:00:00,-85,CAR,11879,843,0,0,5798,5088
2022-06-15 09:00:00,-85,CAR,11886,803,-5,0,5635,4966
2022-06-15 10:00:00,-72,CAR,11879,853,-4,0,5972,4928
2022-06-15 11:00:00,-104,CAR,11890,958,62,0,6474,5303
2022-06-15 12:00:00,83,CAR,11886,960,796,0,6733,5900
2022-06-15 13:00:00,116,CAR,11877,955,2000,0,6812,6592
2022-06-15 14:00:00,358,CAR,11875,967,2923,7,7515,7658
2022-06-15 15:00:00,807,CAR,11869,966,3605,2,8227,8585
2022-06-15 16:00:00,891,CAR,11869,973,4031,0,9703,9176
2022-06-15 17:00:00,1466,CAR,11859,971,4065,0,10858,9344
2022-06-15 18:00:00,1475,CAR,11855,972,3936,0,11760,10062
2022-06-15 19:00:00,1711,CAR,11853,973,3867,2,12299,10358
2022-06-15 20:00:00,2459,CAR,11851,970,3514,1,12555,10386
2022-06-15 21:00:00,2709,CAR,11843,966,3103,0,12624,10561
2022-06-15 22:00:00,2885,CAR,11851,960,2473,0,12696,10906
2022-06-15 23:00:00,3051,CAR,11849,954,1550,0,12954,10944
2022-06-16 00:00:00,2889,CAR,11845,958,494,0,13357,10918
2022-06-16 01:00:00,2454,CAR,11854,989,11,0,12827,10987
2022-06-16 02:00:00,2115,CAR,11856,983,-5,0,11700,10964
2022-06-16 03:00:00,1039,CAR,11862,920,0,-1,9798,10635
2022-06-16 04:00:00,606,CAR,11863,900,-3,0,7663,10170
