country/region,energy_source,iea,year,month,pm,date,region
Austria,other,354.80600000000004,2020,7,220.164,2020-07-01,Europe
Austria,solar,234.5381,2020,7,109.666,2020-07-01,Europe
Austria,wind,351.5723,2020,7,361.246,2020-07-01,Europe
Austria,coal,149.4967,2020,8,0.0,2020-08-01,Europe
Austria,gas,438.7985,2020,8,401.56825,2020-08-01,Europe
Austria,hydro,4090.6826,2020,8,3740.963507,2020-08-01,Europe
Austria,nuclear,0.0,2020,8,0.0,2020-08-01,Europe
Austria,oil,63.0345,2020,8,0.0,2020-08-01,Europe
Austria,other,367.975,2020,8,228.814,2020-08-01,Europe
Austria,solar,224.7657,2020,8,96.417,2020-08-01,Europe
Austria,wind,395.2136,2020,8,398.87850000000003,2020-08-01,Europe
Austria,coal,148.3857,2020,9,0.0,2020-09-01,Europe
Austria,gas,426.068,2020,9,396.13725,2020-09-01,Europe
Austria,hydro,3924.3418,2020,9,3542.0427529999997,2020-09-01,Europe
Austria,nuclear,0.0,2020,9,0.0,2020-09-01,Europe
Austria,oil,59.9548,2020,9,0.0,2020-09-01,Europe
Austria,other,368.3538,2020,9,220.838,2020-09-01,Europe
Austria,solar,179.8125,2020,9,90.666,2020-09-01,Europe
Austria,wind,451.0545,2020,9,459.63,2020-09-01,Europe
Austria,coal,183.0539,2020,10,0.0,2020-10-01,Europe
Austria,gas,797.3156,2020,10,805.8412500000001,2020-10-01,Europe
Austria,hydro,3895.8354,2020,10,3447.5969999999998,2020-10-01,Europe
Austria,nuclear,0.0,2020,10,0.0,2020-10-01,Europe
Austria,oil,64.9422,2020,10,0.0,2020-10-01,Europe
Austria,other,358.30150000000003,2020,10,230.318,2020-10-01,Europe
Austria,solar,136.8139,2020,10,50.009,2020-10-01,Europe
Austria,wind,744.2954,2020,10,731.361499,2020-10-01,Europe
Austria,coal,156.0531,2020,11,0.0,2020-11-01,Europe
Austria,gas,1207.582,2020,11,1182.43675,2020-11-01,Europe
Austria,hydro,3107.6744,2020,11,2758.602379,2020-11-01,Europe
Austria,nuclear,0.0,2020,11,0.0,2020-11-01,Europe
Austria,oil,56.9363,2020,11,0.0,2020-11-01,Europe
Austria,other,352.10490000000004,2020,11,224.33100000000002,2020-11-01,Europe
Austria,solar,72.3159,2020,11,32.065,2020-11-01,Europe
Austria,wind,394.4919,2020,11,405.586,2020-11-01,Europe
Austria,coal,177.3517,2020,12,0.0,2020-12-01,Europe
Austria,gas,1505.1022,2020,12,1473.6675,2020-12-01,Europe
Austria,hydro,2587.8823,2020,12,2223.035627,2020-12-01,Europe
Austria,nuclear,0.0,2020,12,0.0,2020-12-01,Europe
Austria,oil,59.4819,2020,12,0.0,2020-12-01,Europe
Austria,other,439.1946,2020,12,232.778,2020-12-01,Europe
Austria,solar,56.68,2020,12,18.53,2020-12-01,Europe
Austria,wind,656.0636,2020,12,667.0955,2020-12-01,Europe
Austria,coal,174.8196,2021,1,0.0,2021-01-01,Europe
Austria,gas,1532.0882,2021,1,1456.9745,2021-01-01,Europe
Austria,hydro,2496.1125,2021,1,2026.577375,2021-01-01,Europe
Austria,nuclear,0.0,2021,1,0.0,2021-01-01,Europe
Austria,oil,56.6174,2021,1,0.0,2021-01-01,Europe
Austria,other,424.2888,2021,1,227.071,2021-01-01,Europe
Austria,solar,66.4525,2021,1,21.912,2021-01-01,Europe
Austria,wind,552.9433,2021,1,597.124,2021-01-01,Europe
Austria,coal,167.083,2021,2,0.0,2021-02-01,Europe
Austria,gas,1197.6655,2021,2,1148.76,2021-02-01,Europe
Austria,hydro,3045.3668,2021,2,2466.392124,2021-02-01,Europe
Austria,nuclear,0.0,2021,2,0.0,2021-02-01,Europe
Austria,oil,51.2767,2021,2,0.0,2021-02-01,Europe
Austria,other,348.7065,2021,2,203.715,2021-02-01,Europe
Austria,solar,109.4511,2021,2,44.976,2021-02-01,Europe
Austria,wind,447.0417,2021,2,485.394499,2021-02-01,Europe
Austria,coal,190.2804,2021,3,0.0,2021-03-01,Europe
Austria,gas,1161.2724,2021,3,1105.2165,2021-03-01,Europe
Austria,hydro,2702.5782,2021,3,2201.344501,2021-03-01,Europe
Austria,nuclear,0.0,2021,3,0.0,2021-03-01,Europe
Austria,oil,58.8425,2021,3,0.0,2021-03-01,Europe
Austria,other,371.7991,2021,3,227.51,2021-03-01,Europe
Austria,solar,183.7215,2021,3,73.905,2021-03-01,Europe
Austria,wind,573.1958,2021,3,647.68,2021-03-01,Europe
Austria,coal,165.6308,2021,4,0.0,2021-04-01,Europe
Austria,gas,883.1522,2021,4,852.07075,2021-04-01,Europe
Austria,hydro,2856.4152,2021,4,2325.499877,2021-04-01,Europe
Austria,nuclear,0.0,2021,4,0.0,2021-04-01,Europe
Austria,oil,38.366,2021,4,0.0,2021-04-01,Europe
Austria,other,355.28220000000005,2021,4,216.736,2021-04-01,Europe
Austria,solar,230.6291,2021,4,94.374,2021-04-01,Europe
Austria,wind,696.716,2021,4,784.909,2021-04-01,Europe
Austria,coal,192.2395,2021,5,0.0,2021-05-01,Europe
Austria,gas,338.0189,2021,5,270.17875,2021-05-01,Europe
Austria,hydro,4620.7287,2021,5,4047.34475,2021-05-01,Europe
Austria,nuclear,0.0,2021,5,0.0,2021-05-01,Europe
Austria,oil,61.4903,2021,5,0.0,2021-05-01,Europe
Austria,other,352.74550000000005,2021,5,220.231,2021-05-01,Europe
Austria,solar,236.4926,2021,5,100.484,2021-05-01,Europe
Austria,wind,748.7112,2021,5,817.8835,2021-05-01,Europe
Austria,coal,176.6781,2021,6,0.0,2021-06-01,Europe
Austria,gas,193.7896,2021,6,76.86475,2021-06-01,Europe
Austria,hydro,4850.1922,2021,6,4355.407877,2021-06-01,Europe
Austria,nuclear,0.0,2021,6,0.0,2021-06-01,Europe
Austria,oil,47.1069,2021,6,0.0,2021-06-01,Europe
Austria,other,298.7948,2021,6,193.89600000000002,2021-06-01,Europe
Austria,solar,224.7657,2021,6,119.259,2021-06-01,Europe
Austria,wind,334.7549,2021,6,352.0515,2021-06-01,Europe
Austria,coal,143.6931,2021,7,0.0,2021-07-01,Europe
Austria,gas,210.5562,2021,7,77.41975,2021-07-01,Europe
Austria,hydro,4532.9873,2021,7,4032.965875,2021-07-01,Europe
Austria,nuclear,0.0,2021,7,0.0,2021-07-01,Europe
Austria,oil,59.8908,2021,7,0.0,2021-07-01,Europe
Austria,other,297.7862,2021,7,208.413,2021-07-01,Europe
Austria,solar,234.5381,2021,7,111.709,2021-07-01,Europe
Austria,wind,469.3885,2021,7,489.998,2021-07-01,Europe
Austria,coal,171.9458,2021,8,0.0,2021-08-01,Europe
