country/region,year,energy_source,pm,iea,region
Estonia,2020,other,763.194,830.0513,Europe
Estonia,2020,solar,127.718,73.5,Europe
Estonia,2020,wind,872.125,825.1591999999999,Europe
Estonia,2021,coal,429.048,3360.5104,Europe
Estonia,2021,gas,21.764,29.71,Europe
Estonia,2021,hydro,17.661,30.236900000000002,Europe
Estonia,2021,nuclear,0.0,0.0,Europe
Estonia,2021,oil,3721.964,24.3156,Europe
Estonia,2021,other,658.019,2084.3374,Europe
Estonia,2021,solar,328.71700000000004,122.5401,Europe
Estonia,2021,wind,773.5635,740.9013,Europe
Finland,2018,coal,10247.211,9488.1031,Europe
Finland,2018,gas,5000.6445,3952.0414,Europe
Finland,2018,hydro,12523.1095,13136.9998,Europe
Finland,2018,nuclear,23492.651,21881.0,Europe
Finland,2018,oil,8.76,249.7119,Europe
Finland,2018,other,8175.139,12164.259,Europe
Finland,2018,solar,0.0,90.0001,Europe
Finland,2018,wind,5387.235,5838.6681,Europe
Finland,2019,coal,8386.477,7527.4903,Europe
Finland,2019,gas,4490.95,3639.0117,Europe
Finland,2019,hydro,11443.069,12245.4823,Europe
Finland,2019,nuclear,23868.875500000002,22914.999900000003,Europe
Finland,2019,oil,8.76,289.1553,Europe
Finland,2019,other,7143.8525,12559.3619,Europe
Finland,2019,solar,0.0,147.25,Europe
Finland,2019,wind,5673.6565,6024.7459,Europe
Finland,2020,coal,5781.512,4899.339,Europe
Finland,2020,gas,4152.906,3774.761,Europe
Finland,2020,hydro,14409.461,15669.3364,Europe
Finland,2020,nuclear,23589.4315,22354.0001,Europe
Finland,2020,oil,8.784,190.1094,Europe
Finland,2020,other,6947.3009999999995,10943.1181,Europe
Finland,2020,solar,0.0,219.0,Europe
Finland,2020,wind,7141.956,7938.15,Europe
Finland,2021,coal,7061.261,5396.2638,Europe
Finland,2021,gas,4170.782,3369.5127,Europe
Finland,2021,hydro,14449.291000000001,15548.093,Europe
Finland,2021,nuclear,23735.5515,22629.8139,Europe
Finland,2021,oil,8.76,271.2912,Europe
Finland,2021,other,7512.814,13046.31,Europe
Finland,2021,solar,0.0,268.3598,Europe
Finland,2021,wind,7430.799,8186.0052000000005,Europe
France,2018,coal,5841.2335,9945.7614,Europe
France,2018,gas,29939.1805,28878.8084,Europe
France,2018,hydro,77839.26686,69608.979,Europe
France,2018,nuclear,391812.089,393134.3271,Europe
France,2018,oil,1675.035,5394.251,Europe
France,2018,other,5515.167,8492.392899999999,Europe
France,2018,solar,9724.6225,10891.159,Europe
France,2018,wind,26254.109636,28598.595,Europe
France,2019,coal,1602.1100000000001,5540.2924,Europe
France,2019,gas,37857.662,37088.2911,Europe
France,2019,hydro,69275.927213,60818.4972,Europe
France,2019,nuclear,378002.684,379464.0001,Europe
France,2019,oil,1525.7095,5579.6896,Europe
France,2019,other,4822.3395,8743.5857,Europe
France,2019,solar,11422.0515,12225.1841,Europe
France,2019,wind,31081.87,34787.3531,Europe
France,2020,coal,1398.2865000000002,4663.7179,Europe
France,2020,gas,34514.731,33317.472,Europe
France,2020,hydro,73044.120464,65717.5184,Europe
France,2020,nuclear,334262.951,335414.2381,Europe
France,2020,oil,1468.7975,5291.4187,Europe
France,2020,other,4620.983,8940.2902,Europe
France,2020,solar,12444.0485,13398.392,Europe
France,2020,wind,35410.3805,39791.901,Europe
France,2021,coal,4061.7235,9858.7172,Europe
France,2021,gas,32467.4135,30441.7376,Europe
France,2021,hydro,69520.831236,63110.4296,Europe
France,2021,nuclear,359536.6065,360703.65869999997,Europe
France,2021,oil,1499.855,5562.2656,Europe
France,2021,other,4857.2245,11323.7467,Europe
France,2021,solar,13703.741,14776.4972,Europe
France,2021,wind,32899.408,36907.9552,Europe
Germany,2018,coal,203491.4245,221927.62769999998,Europe
Germany,2018,gas,42947.358997999996,77474.1701,Europe
Germany,2018,hydro,33023.719115,23703.9999,Europe
