month_date,country,Type,year,Value,date,month
01-01,Cyprus,coal,2022,0.0,2022-01-01,1
01-01,Cyprus,gas,2022,0.0,2022-01-01,1
01-01,Cyprus,hydro,2022,0.0,2022-01-01,1
01-01,Cyprus,nuclear,2022,0.0,2022-01-01,1
01-01,Cyprus,oil,2022,0.511000000000001,2022-01-01,1
01-01,Cyprus,other,2022,0.0,2022-01-01,1
01-01,Cyprus,solar,2022,0.0,2022-01-01,1
01-01,Cyprus,wind,2022,0.42999999999999994,2022-01-01,1
01-01,Czech republic,coal,2022,-35.119856999999996,2022-01-01,1
01-01,Czech republic,gas,2022,4.631999999999999,2022-01-01,1
01-01,Czech republic,hydro,2022,-0.9090000000000007,2022-01-01,1
01-01,Czech republic,nuclear,2022,-0.5990000000000038,2022-01-01,1
01-01,Czech republic,oil,2022,-0.177,2022-01-01,1
01-01,Czech republic,other,2022,-2.253,2022-01-01,1
01-01,Czech republic,solar,2022,0.0005000000000000004,2022-01-01,1
01-01,Czech republic,wind,2022,1.951,2022-01-01,1
01-01,Denmark,coal,2022,-5.7330000000000005,2022-01-01,1
01-01,Denmark,gas,2022,-5.4030000000000005,2022-01-01,1
01-01,Denmark,hydro,2022,0.0,2022-01-01,1
01-01,Denmark,nuclear,2022,0.0,2022-01-01,1
01-01,Denmark,oil,2022,-0.01200000000000001,2022-01-01,1
01-01,Denmark,other,2022,-5.545999999999999,2022-01-01,1
01-01,Denmark,solar,2022,0.017000000000000008,2022-01-01,1
01-01,Denmark,wind,2022,53.82299999999999,2022-01-01,1
01-01,EU27&UK,coal,2022,-154.603523,2022-01-01,1
01-01,EU27&UK,gas,2022,-671.3746620000004,2022-01-01,1
01-01,EU27&UK,hydro,2022,-276.99354199999993,2022-01-01,1
01-01,EU27&UK,nuclear,2022,-61.62937499999998,2022-01-01,1
01-01,EU27&UK,oil,2022,-1.011499999999991,2022-01-01,1
01-01,EU27&UK,other,2022,-41.21683800000022,2022-01-01,1
01-01,EU27&UK,solar,2022,-2.9017480000000013,2022-01-01,1
01-01,EU27&UK,wind,2022,965.8437409999995,2022-01-01,1
01-01,Estonia,coal,2022,0.4790000000000001,2022-01-01,1
01-01,Estonia,gas,2022,0.0,2022-01-01,1
01-01,Estonia,hydro,2022,0.047999999999999994,2022-01-01,1
01-01,Estonia,nuclear,2022,0.0,2022-01-01,1
01-01,Estonia,oil,2022,3.8409999999999997,2022-01-01,1
01-01,Estonia,other,2022,-0.24499999999999988,2022-01-01,1
01-01,Estonia,solar,2022,0.002999999999999999,2022-01-01,1
01-01,Estonia,wind,2022,1.862,2022-01-01,1
01-01,Finland,coal,2022,13.594999999999999,2022-01-01,1
01-01,Finland,gas,2022,-10.373,2022-01-01,1
01-01,Finland,hydro,2022,-12.090000000000003,2022-01-01,1
01-01,Finland,nuclear,2022,1.36399999999999,2022-01-01,1
01-01,Finland,oil,2022,0.0,2022-01-01,1
01-01,Finland,other,2022,-0.16900000000000048,2022-01-01,1
01-01,Finland,solar,2022,0.0,2022-01-01,1
01-01,Finland,wind,2022,32.753,2022-01-01,1
01-01,France,coal,2022,0.4620000000000001,2022-01-01,1
01-01,France,gas,2022,-42.44899999999999,2022-01-01,1
01-01,France,hydro,2022,45.67829800000001,2022-01-01,1
01-01,France,nuclear,2022,-242.22399999999993,2022-01-01,1
01-01,France,oil,2022,0.18200000000000038,2022-01-01,1
01-01,France,other,2022,0.06799999999999962,2022-01-01,1
01-01,France,solar,2022,0.8334999999999999,2022-01-01,1
01-01,France,wind,2022,62.82599999999999,2022-01-01,1
01-01,Germany,coal,2022,-164.341503,2022-01-01,1
01-01,Germany,gas,2022,-97.108,2022-01-01,1
01-01,Germany,hydro,2022,23.235375999999988,2022-01-01,1
01-01,Germany,nuclear,2022,-115.49924999999999,2022-01-01,1
01-01,Germany,oil,2022,-3.1285,2022-01-01,1
01-01,Germany,other,2022,-10.62100000000001,2022-01-01,1
01-01,Germany,solar,2022,-0.41225,2022-01-01,1
01-01,Germany,wind,2022,445.91024999999996,2022-01-01,1
01-01,Greece,coal,2022,-6.822999999999999,2022-01-01,1
01-01,Greece,gas,2022,-28.896,2022-01-01,1
01-01,Greece,hydro,2022,0.0,2022-01-01,1
01-01,Greece,nuclear,2022,0.0,2022-01-01,1
01-01,Greece,oil,2022,0.0,2022-01-01,1
01-01,Greece,other,2022,0.0,2022-01-01,1
01-01,Greece,solar,2022,0.005499999999999998,2022-01-01,1
01-01,Greece,wind,2022,4.814,2022-01-01,1
01-01,Hungary,coal,2022,-0.38099999999999934,2022-01-01,1
01-01,Hungary,gas,2022,-5.399999999999999,2022-01-01,1
01-01,Hungary,hydro,2022,-0.05025000000000002,2022-01-01,1
01-01,Hungary,nuclear,2022,0.15899999999999892,2022-01-01,1
01-01,Hungary,oil,2022,0.0,2022-01-01,1
01-01,Hungary,other,2022,-0.3984999999999994,2022-01-01,1
01-01,Hungary,solar,2022,0.0,2022-01-01,1
01-01,Hungary,wind,2022,3.25525,2022-01-01,1
01-01,India,coal,2022,77.0,2022-01-01,1
01-01,India,gas,2022,-33.29498775319377,2022-01-01,1
01-01,India,hydro,2022,-17.0,2022-01-01,1
01-01,India,nuclear,2022,49.0,2022-01-01,1
01-01,India,oil,2022,-3.705012246806242,2022-01-01,1
01-01,India,other,2022,-11.351051492914067,2022-01-01,1
01-01,India,solar,2022,0.7500654373375824,2022-01-01,1
01-01,India,wind,2022,-2.3990139444235012,2022-01-01,1
01-01,Ireland,coal,2022,-2.6019999999999994,2022-01-01,1
01-01,Ireland,gas,2022,-12.6065,2022-01-01,1
01-01,Ireland,hydro,2022,-0.04800000000000004,2022-01-01,1
01-01,Ireland,nuclear,2022,0.0,2022-01-01,1
01-01,Ireland,oil,2022,-6.802,2022-01-01,1
01-01,Ireland,other,2022,0.0,2022-01-01,1
01-01,Ireland,solar,2022,0.0,2022-01-01,1
01-01,Ireland,wind,2022,17.6995,2022-01-01,1
01-01,Italy,coal,2022,-3.3320000000000007,2022-01-01,1
01-01,Italy,gas,2022,-78.382,2022-01-01,1
01-01,Italy,hydro,2022,-28.363667000000007,2022-01-01,1
01-01,Italy,nuclear,2022,0.0,2022-01-01,1
01-01,Italy,oil,2022,3.284,2022-01-01,1
01-01,Italy,other,2022,0.11699999999999022,2022-01-01,1
01-01,Italy,solar,2022,0.18499999999999994,2022-01-01,1
01-01,Italy,wind,2022,-24.686999999999998,2022-01-01,1
01-01,Kosovo,coal,2022,12.307,2022-01-01,1
01-01,Kosovo,gas,2022,0.0,2022-01-01,1
01-01,Kosovo,hydro,2022,0.024,2022-01-01,1
01-01,Kosovo,nuclear,2022,0.0,2022-01-01,1
01-01,Kosovo,oil,2022,0.0,2022-01-01,1
01-01,Kosovo,other,2022,0.0,2022-01-01,1
01-01,Kosovo,solar,2022,0.0,2022-01-01,1
01-01,Kosovo,wind,2022,0.433,2022-01-01,1
01-01,Latvia,coal,2022,0.0,2022-01-01,1
01-01,Latvia,gas,2022,-1.421,2022-01-01,1
01-01,Latvia,hydro,2022,0.6680000000000028,2022-01-01,1
01-01,Latvia,nuclear,2022,0.0,2022-01-01,1
01-01,Latvia,oil,2022,0.0,2022-01-01,1
01-01,Latvia,other,2022,-0.5229999999999997,2022-01-01,1
01-01,Latvia,solar,2022,0.0,2022-01-01,1
01-01,Latvia,wind,2022,0.291,2022-01-01,1
01-01,Lithuania,coal,2022,0.0,2022-01-01,1
01-01,Lithuania,gas,2022,-0.21600000000000008,2022-01-01,1
01-01,Lithuania,hydro,2022,-0.1775,2022-01-01,1
01-01,Lithuania,nuclear,2022,0.0,2022-01-01,1
01-01,Lithuania,oil,2022,0.0,2022-01-01,1
01-01,Lithuania,other,2022,0.03100000000000014,2022-01-01,1
01-01,Lithuania,solar,2022,0.0,2022-01-01,1
01-01,Lithuania,wind,2022,4.699000000000001,2022-01-01,1
01-01,Luxembourg,coal,2022,0.0,2022-01-01,1
01-01,Luxembourg,gas,2022,0.144,2022-01-01,1
01-01,Luxembourg,hydro,2022,0.048,2022-01-01,1
01-01,Luxembourg,nuclear,2022,0.0,2022-01-01,1
01-01,Luxembourg,oil,2022,0.0,2022-01-01,1
01-01,Luxembourg,other,2022,1.08,2022-01-01,1
01-01,Luxembourg,solar,2022,0.0,2022-01-01,1
01-01,Luxembourg,wind,2022,1.223508,2022-01-01,1
01-01,Moldova,coal,2022,0.0,2022-01-01,1
01-01,Moldova,gas,2022,1.1109999999999989,2022-01-01,1
01-01,Moldova,hydro,2022,0.16499999999999998,2022-01-01,1
01-01,Moldova,nuclear,2022,0.0,2022-01-01,1
01-01,Moldova,oil,2022,0.0,2022-01-01,1
01-01,Moldova,other,2022,0.025,2022-01-01,1
01-01,Moldova,solar,2022,0.0,2022-01-01,1
01-01,Moldova,wind,2022,0.0,2022-01-01,1
01-01,Montenegro,coal,2022,0.006999999999999673,2022-01-01,1
01-01,Montenegro,gas,2022,0.0,2022-01-01,1
01-01,Montenegro,hydro,2022,-2.3389999999999995,2022-01-01,1
01-01,Montenegro,nuclear,2022,0.0,2022-01-01,1
01-01,Montenegro,oil,2022,0.0,2022-01-01,1
01-01,Montenegro,other,2022,0.0,2022-01-01,1
01-01,Montenegro,solar,2022,0.0,2022-01-01,1
01-01,Montenegro,wind,2022,0.743,2022-01-01,1
01-01,Netherlands,coal,2022,-8.632999999999996,2022-01-01,1
01-01,Netherlands,gas,2022,-65.24625,2022-01-01,1
01-01,Netherlands,hydro,2022,0.0,2022-01-01,1
01-01,Netherlands,nuclear,2022,0.022999999999999687,2022-01-01,1
01-01,Netherlands,oil,2022,0.0,2022-01-01,1
01-01,Netherlands,other,2022,11.805999999999997,2022-01-01,1
01-01,Netherlands,solar,2022,0.0,2022-01-01,1
01-01,Netherlands,wind,2022,46.672523000000005,2022-01-01,1
01-01,North macedonia,coal,2022,-12.683,2022-01-01,1
01-01,North macedonia,gas,2022,0.0,2022-01-01,1
01-01,North macedonia,hydro,2022,-1.027,2022-01-01,1
01-01,North macedonia,nuclear,2022,0.0,2022-01-01,1
01-01,North macedonia,oil,2022,0.0,2022-01-01,1
01-01,North macedonia,other,2022,0.0,2022-01-01,1
01-01,North macedonia,solar,2022,0.0,2022-01-01,1
01-01,North macedonia,wind,2022,-0.035,2022-01-01,1
01-01,Norway,coal,2022,0.0,2022-01-01,1
01-01,Norway,gas,2022,0.0,2022-01-01,1
01-01,Norway,hydro,2022,-233.48799999999994,2022-01-01,1
01-01,Norway,nuclear,2022,0.0,2022-01-01,1
01-01,Norway,oil,2022,0.0,2022-01-01,1
01-01,Norway,other,2022,0.8030000000000002,2022-01-01,1
01-01,Norway,solar,2022,0.0,2022-01-01,1
01-01,Norway,wind,2022,10.900523,2022-01-01,1
01-01,Poland,coal,2022,-44.494,2022-01-01,1
01-01,Poland,gas,2022,-21.441000000000003,2022-01-01,1
01-01,Poland,hydro,2022,1.001303,2022-01-01,1
01-01,Poland,nuclear,2022,0.0,2022-01-01,1
01-01,Poland,oil,2022,0.16699999999999982,2022-01-01,1
01-01,Poland,other,2022,-0.32399999999999984,2022-01-01,1
01-01,Poland,solar,2022,0.15650000000000003,2022-01-01,1
01-01,Poland,wind,2022,60.05499999999999,2022-01-01,1
01-01,Portugal,coal,2022,0.0,2022-01-01,1
01-01,Portugal,gas,2022,-11.658,2022-01-01,1
01-01,Portugal,hydro,2022,-28.274046,2022-01-01,1
01-01,Portugal,nuclear,2022,0.0,2022-01-01,1
01-01,Portugal,oil,2022,0.0,2022-01-01,1
01-01,Portugal,other,2022,0.11799999999999855,2022-01-01,1
01-01,Portugal,solar,2022,0.005500000000000001,2022-01-01,1
01-01,Portugal,wind,2022,9.168737,2022-01-01,1
01-01,Romania,coal,2022,2.8752499999999976,2022-01-01,1
01-01,Romania,gas,2022,-0.24387500000000273,2022-01-01,1
01-01,Romania,hydro,2022,1.769750000000002,2022-01-01,1
01-01,Romania,nuclear,2022,-0.023125000000000284,2022-01-01,1
01-01,Romania,oil,2022,0.0,2022-01-01,1
01-01,Romania,other,2022,-0.2037500000000001,2022-01-01,1
01-01,Romania,solar,2022,0.041502,2022-01-01,1
01-01,Romania,wind,2022,-14.616875000000004,2022-01-01,1
01-01,Russia,hydro,2022,31.65127001953192,2022-01-01,1
01-01,Russia,nuclear,2022,170.86814062500002,2022-01-01,1
01-01,Serbia,coal,2022,-16.471000000000004,2022-01-01,1
01-01,Serbia,gas,2022,0.0,2022-01-01,1
01-01,Serbia,hydro,2022,-1.3939999999999984,2022-01-01,1
01-01,Serbia,nuclear,2022,0.0,2022-01-01,1
01-01,Serbia,oil,2022,0.0,2022-01-01,1
01-01,Serbia,other,2022,-0.3145880000000001,2022-01-01,1
01-01,Serbia,solar,2022,0.0,2022-01-01,1
01-01,Serbia,wind,2022,0.0,2022-01-01,1
01-01,Slovakia,coal,2022,-0.7910000000000004,2022-01-01,1
01-01,Slovakia,gas,2022,-2.431787,2022-01-01,1
01-01,Slovakia,hydro,2022,8.120188,2022-01-01,1
01-01,Slovakia,nuclear,2022,-0.3569999999999993,2022-01-01,1
01-01,Slovakia,oil,2022,0.05499999999999994,2022-01-01,1
01-01,Slovakia,other,2022,-0.24200000000000088,2022-01-01,1
01-01,Slovakia,solar,2022,-0.04,2022-01-01,1
01-01,Slovakia,wind,2022,0.0,2022-01-01,1
01-01,Slovenia,coal,2022,-0.7720000000000002,2022-01-01,1
01-01,Slovenia,gas,2022,-0.22699999999999987,2022-01-01,1
01-01,Slovenia,hydro,2022,-9.286,2022-01-01,1
01-01,Slovenia,nuclear,2022,0.06400000000000006,2022-01-01,1
01-01,Slovenia,oil,2022,0.0,2022-01-01,1
01-01,Slovenia,other,2022,-0.14400000000000007,2022-01-01,1
01-01,Slovenia,solar,2022,0.0225,2022-01-01,1
01-01,Slovenia,wind,2022,0.0,2022-01-01,1
01-01,Spain,coal,2022,14.039000000000001,2022-01-01,1
01-01,Spain,gas,2022,-3.8940000000000055,2022-01-01,1
01-01,Spain,hydro,2022,-48.49136999999999,2022-01-01,1
01-01,Spain,nuclear,2022,-24.642000000000024,2022-01-01,1
01-01,Spain,oil,2022,1.0679999999999998,2022-01-01,1
01-01,Spain,other,2022,1.4420000000000002,2022-01-01,1
01-01,Spain,solar,2022,-3.8084999999999987,2022-01-01,1
01-01,Spain,wind,2022,-102.077,2022-01-01,1
01-01,Sweden,coal,2022,0.0,2022-01-01,1
01-01,Sweden,gas,2022,0.0,2022-01-01,1
01-01,Sweden,hydro,2022,-26.898000000000025,2022-01-01,1
01-01,Sweden,nuclear,2022,-17.444999999999993,2022-01-01,1
01-01,Sweden,oil,2022,0.0,2022-01-01,1
01-01,Sweden,other,2022,9.315999999999999,2022-01-01,1
01-01,Sweden,solar,2022,0.0,2022-01-01,1
01-01,Sweden,wind,2022,58.614999999999995,2022-01-01,1
01-01,Switzerland,coal,2022,0.0,2022-01-01,1
01-01,Switzerland,gas,2022,0.0,2022-01-01,1
01-01,Switzerland,hydro,2022,-9.702000000000002,2022-01-01,1
01-01,Switzerland,nuclear,2022,0.4930000000000092,2022-01-01,1
01-01,Switzerland,oil,2022,0.0,2022-01-01,1
01-01,Switzerland,other,2022,0.0,2022-01-01,1
01-01,Switzerland,solar,2022,-0.0175,2022-01-01,1
01-01,Switzerland,wind,2022,0.04200000000000001,2022-01-01,1
01-01,UK,coal,2022,-12.4475,2022-01-01,1
01-01,UK,gas,2022,-242.1845,2022-01-01,1
01-01,UK,hydro,2022,4.255500000000001,2022-01-01,1
01-01,UK,nuclear,2022,20.658999999999992,2022-01-01,1
01-01,UK,oil,2022,0.0,2022-01-01,1
01-01,UK,other,2022,-38.64300000000001,2022-01-01,1
01-01,UK,solar,2022,0.0,2022-01-01,1
01-01,UK,wind,2022,187.60350000000003,2022-01-01,1
01-01,Ukraine,coal,2022,86.536,2022-01-01,1
01-01,Ukraine,gas,2022,9.71,2022-01-01,1
01-01,Ukraine,hydro,2022,7.47,2022-01-01,1
01-01,Ukraine,nuclear,2022,291.34,2022-01-01,1
01-01,Ukraine,oil,2022,0.0,2022-01-01,1
01-01,Ukraine,other,2022,0.559,2022-01-01,1
01-01,Ukraine,solar,2022,0.072,2022-01-01,1
01-01,Ukraine,wind,2022,16.379,2022-01-01,1
01-01,United States,coal,2022,-316.28899999999976,2022-01-01,1
01-01,United States,gas,2022,-641.9489999999996,2022-01-01,1
01-01,United States,hydro,2022,37.878999999999905,2022-01-01,1
01-01,United States,nuclear,2022,22.184000000000196,2022-01-01,1
01-01,United States,oil,2022,0.055999999999997385,2022-01-01,1
01-01,United States,other,2022,-12.177999999999997,2022-01-01,1
01-01,United States,solar,2022,46.59900000000002,2022-01-01,1
01-01,United States,wind,2022,496.8040000000001,2022-01-01,1
01-02,Austria,coal,2022,0.0,2022-01-02,1
01-02,Austria,gas,2022,-45.0745,2022-01-02,1
01-02,Austria,hydro,2022,43.45225000000001,2022-01-02,1
01-02,Austria,nuclear,2022,0.0,2022-01-02,1
01-02,Austria,oil,2022,0.0,2022-01-02,1
01-02,Austria,other,2022,-1.0040000000000004,2022-01-02,1
01-02,Austria,solar,2022,0.014999999999999902,2022-01-02,1
01-02,Austria,wind,2022,-10.035,2022-01-02,1
01-02,Belgium,coal,2022,0.0,2022-01-02,1
01-02,Belgium,gas,2022,-35.391999999999996,2022-01-02,1
01-02,Belgium,hydro,2022,-0.3842219999999994,2022-01-02,1
01-02,Belgium,nuclear,2022,24.490999999999985,2022-01-02,1
01-02,Belgium,oil,2022,0.0,2022-01-02,1
01-02,Belgium,other,2022,-8.253999999999998,2022-01-02,1
01-02,Belgium,solar,2022,0.013499999999999998,2022-01-02,1
01-02,Belgium,wind,2022,52.208653,2022-01-02,1
01-02,Bosnia and herz,coal,2022,-1.0770000000000017,2022-01-02,1
01-02,Bosnia and herz,gas,2022,0.0,2022-01-02,1
01-02,Bosnia and herz,hydro,2022,-12.249965000000001,2022-01-02,1
01-02,Bosnia and herz,nuclear,2022,0.0,2022-01-02,1
01-02,Bosnia and herz,oil,2022,0.0,2022-01-02,1
01-02,Bosnia and herz,other,2022,0.0,2022-01-02,1
01-02,Bosnia and herz,solar,2022,0.0,2022-01-02,1
01-02,Bosnia and herz,wind,2022,-0.4395,2022-01-02,1
01-02,Brazil,coal,2022,-114.05398999999998,2022-01-02,1
01-02,Brazil,gas,2022,5.415899,2022-01-02,1
01-02,Brazil,hydro,2022,117.91577400000006,2022-01-02,1
01-02,Brazil,nuclear,2022,3.5189459999999997,2022-01-02,1
01-02,Brazil,oil,2022,-4.180160000000001,2022-01-02,1
01-02,Brazil,other,2022,-7.708432000000002,2022-01-02,1
01-02,Brazil,solar,2022,5.523764999999999,2022-01-02,1
01-02,Brazil,wind,2022,6.278863999999999,2022-01-02,1
01-02,Bulgaria,coal,2022,23.214999999999996,2022-01-02,1
01-02,Bulgaria,gas,2022,3.173,2022-01-02,1
01-02,Bulgaria,hydro,2022,7.503000000000001,2022-01-02,1
01-02,Bulgaria,nuclear,2022,1.5779999999999959,2022-01-02,1
01-02,Bulgaria,oil,2022,0.0,2022-01-02,1
01-02,Bulgaria,other,2022,0.016000000000000014,2022-01-02,1
01-02,Bulgaria,solar,2022,0.0055,2022-01-02,1
01-02,Bulgaria,wind,2022,1.912,2022-01-02,1
01-02,Croatia,coal,2022,0.22084800000000016,2022-01-02,1
01-02,Croatia,gas,2022,-1.6449999999999996,2022-01-02,1
01-02,Croatia,hydro,2022,-3.84,2022-01-02,1
01-02,Croatia,nuclear,2022,0.0,2022-01-02,1
01-02,Croatia,oil,2022,0.0,2022-01-02,1
01-02,Croatia,other,2022,0.29499999999999993,2022-01-02,1
01-02,Croatia,solar,2022,0.0,2022-01-02,1
01-02,Croatia,wind,2022,-11.071000000000002,2022-01-02,1
01-02,Cyprus,coal,2022,0.0,2022-01-02,1
01-02,Cyprus,gas,2022,0.0,2022-01-02,1
01-02,Cyprus,hydro,2022,0.0,2022-01-02,1
01-02,Cyprus,nuclear,2022,0.0,2022-01-02,1
01-02,Cyprus,oil,2022,1.0664999999999996,2022-01-02,1
01-02,Cyprus,other,2022,0.0,2022-01-02,1
01-02,Cyprus,solar,2022,0.0,2022-01-02,1
01-02,Cyprus,wind,2022,0.16025,2022-01-02,1
01-02,Czech republic,coal,2022,-41.769000000000005,2022-01-02,1
01-02,Czech republic,gas,2022,-2.4369999999999994,2022-01-02,1
01-02,Czech republic,hydro,2022,-1.8324999999999996,2022-01-02,1
01-02,Czech republic,nuclear,2022,0.04100000000001103,2022-01-02,1
01-02,Czech republic,oil,2022,-0.17,2022-01-02,1
01-02,Czech republic,other,2022,-2.319000000000001,2022-01-02,1
01-02,Czech republic,solar,2022,0.23600000000000004,2022-01-02,1
01-02,Czech republic,wind,2022,2.67,2022-01-02,1
01-02,Denmark,coal,2022,-10.145000000000001,2022-01-02,1
01-02,Denmark,gas,2022,-8.145,2022-01-02,1
01-02,Denmark,hydro,2022,0.0,2022-01-02,1
01-02,Denmark,nuclear,2022,0.0,2022-01-02,1
01-02,Denmark,oil,2022,-0.06400000000000006,2022-01-02,1
01-02,Denmark,other,2022,-6.360999999999997,2022-01-02,1
01-02,Denmark,solar,2022,-0.004500000000000004,2022-01-02,1
01-02,Denmark,wind,2022,69.467,2022-01-02,1
01-02,EU27&UK,coal,2022,-296.4031020000001,2022-01-02,1
01-02,EU27&UK,gas,2022,-795.6010300000002,2022-01-02,1
01-02,EU27&UK,hydro,2022,-394.1652200000001,2022-01-02,1
01-02,EU27&UK,nuclear,2022,-99.3070000000007,2022-01-02,1
01-02,EU27&UK,oil,2022,-3.9680000000000035,2022-01-02,1
01-02,EU27&UK,other,2022,-35.025650000000155,2022-01-02,1
01-02,EU27&UK,solar,2022,2.162748999999998,2022-01-02,1
01-02,EU27&UK,wind,2022,1156.032735,2022-01-02,1
01-02,Estonia,coal,2022,0.21899999999999986,2022-01-02,1
01-02,Estonia,gas,2022,0.0,2022-01-02,1
01-02,Estonia,hydro,2022,0.047999999999999994,2022-01-02,1
01-02,Estonia,nuclear,2022,0.0,2022-01-02,1
01-02,Estonia,oil,2022,0.625,2022-01-02,1
01-02,Estonia,other,2022,-0.31899999999999995,2022-01-02,1
01-02,Estonia,solar,2022,-0.003000000000000001,2022-01-02,1
01-02,Estonia,wind,2022,1.217,2022-01-02,1
01-02,Finland,coal,2022,12.772000000000002,2022-01-02,1
01-02,Finland,gas,2022,-11.88,2022-01-02,1
01-02,Finland,hydro,2022,-15.925999999999998,2022-01-02,1
01-02,Finland,nuclear,2022,0.11499999999999488,2022-01-02,1
01-02,Finland,oil,2022,0.0,2022-01-02,1
01-02,Finland,other,2022,-2.4540000000000006,2022-01-02,1
01-02,Finland,solar,2022,0.0,2022-01-02,1
01-02,Finland,wind,2022,26.139667000000003,2022-01-02,1
01-02,France,coal,2022,0.48000000000000004,2022-01-02,1
01-02,France,gas,2022,-69.86999999999999,2022-01-02,1
01-02,France,hydro,2022,34.725267,2022-01-02,1
01-02,France,nuclear,2022,-274.53999999999996,2022-01-02,1
01-02,France,oil,2022,0.19099999999999984,2022-01-02,1
01-02,France,other,2022,-0.6009999999999991,2022-01-02,1
01-02,France,solar,2022,0.09499999999999975,2022-01-02,1
01-02,France,wind,2022,132.07697100000001,2022-01-02,1
01-02,Germany,coal,2022,-229.85320000000002,2022-01-02,1
01-02,Germany,gas,2022,-114.73575,2022-01-02,1
01-02,Germany,hydro,2022,13.888749000000004,2022-01-02,1
01-02,Germany,nuclear,2022,-115.22925,2022-01-02,1
01-02,Germany,oil,2022,-3.183,2022-01-02,1
01-02,Germany,other,2022,-9.799499999999995,2022-01-02,1
01-02,Germany,solar,2022,-0.751625,2022-01-02,1
01-02,Germany,wind,2022,638.8358499999999,2022-01-02,1
01-02,Greece,coal,2022,-5.885,2022-01-02,1
01-02,Greece,gas,2022,-38.751000000000005,2022-01-02,1
01-02,Greece,hydro,2022,0.0,2022-01-02,1
01-02,Greece,nuclear,2022,0.0,2022-01-02,1
01-02,Greece,oil,2022,0.0,2022-01-02,1
01-02,Greece,other,2022,0.0,2022-01-02,1
01-02,Greece,solar,2022,0.033,2022-01-02,1
01-02,Greece,wind,2022,11.391000000000002,2022-01-02,1
01-02,Hungary,coal,2022,-1.2960000000000003,2022-01-02,1
01-02,Hungary,gas,2022,-4.33525,2022-01-02,1
01-02,Hungary,hydro,2022,0.028749999999999998,2022-01-02,1
01-02,Hungary,nuclear,2022,-0.1357500000000016,2022-01-02,1
01-02,Hungary,oil,2022,0.0,2022-01-02,1
01-02,Hungary,other,2022,-0.22250000000000014,2022-01-02,1
01-02,Hungary,solar,2022,0.0,2022-01-02,1
01-02,Hungary,wind,2022,-1.3439999999999999,2022-01-02,1
