unit,date,year,month,month_date,weekday,coal,gas,oil,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,gas.perc,oil.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Gwh,2019-06-08,2019,6,06-08,Saturday,0.0,33.042,0.0,86.214,4.010308,57.17775,13.357,22.617,33.042,183.37605800000003,216.41805800000003,0.0,0.15267672349226974,0.0,0.3983678663265705,0.018530376055772572,0.2642004578009844,0.061718509644883686,0.10450606667951894,0.15267672349226974,0.8473232765077302
Gwh,2019-06-09,2019,6,06-09,Sunday,0.0,43.528,0.0,92.982,6.731692,9.142,14.726,23.852,43.528,147.43369199999998,190.96169199999997,0.0,0.22794100504723222,0.0,0.48691441213246067,0.03525153097198155,0.04787347611059081,0.0771149430326581,0.1249046327050768,0.22794100504723222,0.7720589949527679
Gwh,2019-06-10,2019,6,06-10,Monday,0.0,49.787,0.0,93.084,4.752773,7.415,12.882,25.871,49.787,144.004773,193.79177299999998,0.0,0.25690977088072775,0.0,0.48032998800212234,0.024525153603914863,0.03826271820114882,0.06647341009672274,0.13349895921536362,0.25690977088072775,0.7430902291192724
Gwh,2019-06-11,2019,6,06-11,Tuesday,0.0,69.946,0.0,93.251,5.356227,4.523,16.828,25.75,69.946,145.70822700000002,215.65422700000002,0.0,0.3243432831019815,0.0,0.4324097945921551,0.024837106485281178,0.02097338903540249,0.07803232162010902,0.11940410516507055,0.3243432831019815,0.6756567168980184
Gwh,2019-06-12,2019,6,06-12,Wednesday,0.0,79.923,0.0,93.163,5.3315,5.803,8.881,26.308,79.923,139.4865,219.4095,0.0,0.36426408154615,0.0,0.42460786793643845,0.024299312472796302,0.026448262267586408,0.04047682529699033,0.11990365048003847,0.36426408154615,0.63573591845385
Gwh,2019-06-13,2019,6,06-13,Thursday,0.0,61.295,0.0,93.349,3.7535,38.934,14.852,24.729,61.295,175.6175,236.9125,0.0,0.25872421252572153,0.0,0.3940231097979212,0.01584340209993141,0.1643391547512267,0.06268981163931832,0.10438030918588086,0.25872421252572153,0.7412757874742786
Gwh,2019-06-14,2019,6,06-14,Friday,0.0,73.416,0.0,92.996,5.612,10.78,18.387,24.4175,73.416,152.1925,225.6085,0.0,0.3254132712198344,0.0,0.4122007814421886,0.0248749493037718,0.04778188765050962,0.08149958888960301,0.10822952149409265,0.3254132712198344,0.6745867287801657
Gwh,2019-06-15,2019,6,06-15,Saturday,0.0,47.509,0.0,92.838,5.03425,5.741,13.761,24.931,47.509,142.30525,189.81425,0.0,0.25029206184467184,0.0,0.4890992114659463,0.026521981358090873,0.030245358291066133,0.07249719133310592,0.13134419570711894,0.25029206184467184,0.7497079381553282
Gwh,2019-06-16,2019,6,06-16,Sunday,0.0,40.717,0.0,92.983,4.46665,18.651,15.69,23.314,40.717,155.10465,195.82165,0.0,0.2079290007003822,0.0,0.4748351369728526,0.022809786354062483,0.09524483120227002,0.08012392909568476,0.11905731567474791,0.2079290007003822,0.7920709992996178
Gwh,2019-06-17,2019,6,06-17,Monday,0.0,70.381,0.0,92.617,5.216600000000001,2.6635,20.799,21.326,70.381,142.62210000000002,213.00310000000002,0.0,0.33042242108213443,0.0,0.43481526794680453,0.02449072337444854,0.012504512845118216,0.09764646617819177,0.10012060857330245,0.33042242108213443,0.6695775789178655
Gwh,2019-06-18,2019,6,06-18,Tuesday,0.0,73.69,0.0,92.14,5.0585,5.195,19.051,22.695,73.69,144.1395,217.8295,0.0,0.3382921046047482,0.0,0.42299137628282674,0.02322229082837724,0.02384892771640205,0.08745831028396062,0.10418699028368518,0.3382921046047482,0.6617078953952518
Gwh,2019-06-19,2019,6,06-19,Wednesday,0.0,72.367,0.0,92.15,7.021135999999999,10.437,12.301,24.378,72.367,146.287136,218.654136,0.0,0.3309656122855138,0.0,0.4214418335997084,0.032110693757926446,0.04773291825588883,0.05625779701692906,0.11149114508403354,0.3309656122855138,0.6690343877144863
Gwh,2019-06-20,2019,6,06-20,Thursday,0.0,65.396,0.0,92.708,5.863613999999999,19.594,13.594,23.725,65.396,155.484614,220.880614,0.0,0.2960694413861055,0.0,0.419719948804561,0.026546530697347658,0.08870855456785356,0.0615445590892825,0.10741096545484974,0.2960694413861055,0.7039305586138944
Gwh,2019-06-21,2019,6,06-21,Friday,0.0,73.109,0.0,92.986,2.84275,9.963,18.852,24.238,73.109,148.88175,221.99075,0.0,0.3293335420507386,0.0,0.4188733089103938,0.012805713751586498,0.04488024838872791,0.08492245735464203,0.10918472954391117,0.3293335420507386,0.6706664579492615
Gwh,2019-06-22,2019,6,06-22,Saturday,0.0,43.517,0.0,92.342,3.59,9.267,20.668,23.936,43.517,149.803,193.32,0.0,0.225103455410718,0.0,0.477663976825988,0.01857024622387751,0.047936064556176286,0.1069108214359611,0.12381543554727913,0.225103455410718,0.774896544589282
Gwh,2019-06-23,2019,6,06-23,Sunday,0.0,43.397,0.0,91.573,5.70475,12.002,20.061,22.204,43.397,151.54475,194.94175,0.0,0.22261521710972634,0.0,0.4697454496022529,0.029263869848300834,0.061567109149271514,0.10290766344305413,0.11390069084739415,0.22261521710972634,0.7773847828902736
Gwh,2019-06-24,2019,6,06-24,Monday,0.0,64.894,0.0,91.032,5.368188,7.789,19.532,23.754,64.894,147.475188,212.369188,0.0,0.30557163499631596,0.0,0.42864975308941705,0.02527762172354306,0.036676695302898646,0.09197191072746391,0.11185238416036135,0.30557163499631596,0.694428365003684
Gwh,2019-06-25,2019,6,06-25,Tuesday,0.0,73.272,0.0,90.292,4.690062,11.2675,19.796,20.824,73.272,146.869562,220.141562,0.0,0.33284037477666306,0.0,0.4101542624649861,0.021304754801367315,0.05118297470788365,0.089923955386489,0.09459367786261098,0.33284037477666306,0.667159625223337
Gwh,2019-06-26,2019,6,06-26,Wednesday,0.0,76.152,0.0,90.496,5.1845,22.818,17.432,22.419,76.152,158.3495,234.5015,0.0,0.32473992703671406,0.0,0.38590797926665715,0.022108600584644447,0.09730428163572516,0.07433641149416954,0.09560279998208968,0.32473992703671406,0.675260072963286
Gwh,2019-06-27,2019,6,06-27,Thursday,0.0,65.9,0.0,91.577,2.744,35.193,22.622,22.548,65.9,174.684,240.584,0.0,0.2739168024473781,0.0,0.380644598144515,0.011405579755927245,0.14628154823263392,0.09402952814817278,0.09372194327137298,0.2739168024473781,0.726083197552622
Gwh,2019-06-28,2019,6,06-28,Friday,0.0,67.961,0.0,91.44,3.6125,17.143,22.891,24.337,67.961,159.4235,227.3845,0.0,0.29888141012250174,0.0,0.4021382284192634,0.015887186681589994,0.0753921221543245,0.10067089005627032,0.10703016256605001,0.29888141012250174,0.7011185898774982
Gwh,2019-06-29,2019,6,06-29,Saturday,0.0,63.357,0.0,90.579,3.9055,10.117,22.138,21.512,63.357,148.2515,211.6085,0.0,0.29940668734951575,0.0,0.42804991292882844,0.018456252938799718,0.047809988729186216,0.10461772565846836,0.10165943239520152,0.29940668734951575,0.7005933126504843
Gwh,2019-06-30,2019,6,06-30,Sunday,0.0,48.196,0.0,90.576,9.253,23.456,18.425,21.945,48.196,163.655,211.851,0.0,0.2274995161693832,0.0,0.4275457750966481,0.04367692387574286,0.11071932631896947,0.08697150355674507,0.10358695498251129,0.2274995161693832,0.7725004838306168
Gwh,2019-07-01,2019,7,07-01,Monday,0.0,69.998,0.0,91.335,8.4325,13.329,19.364,23.573,69.998,156.0335,226.0315,0.0,0.3096825000055302,0.0,0.4040808471385625,0.037306747068439575,0.058969656884106866,0.08566947527225188,0.10429077363110895,0.3096825000055302,0.6903174999944698
Gwh,2019-07-02,2019,7,07-02,Tuesday,0.0,69.561,0.0,91.598,4.0075,6.921,17.047,23.93,69.561,143.5035,213.0645,0.0,0.3264786015502348,0.0,0.4299073754661147,0.01880885835040563,0.03248312130833621,0.08000863588256138,0.11231340744234726,0.3264786015502348,0.6735213984497652
Gwh,2019-07-03,2019,7,07-03,Wednesday,0.0,59.602,0.0,95.114,3.5795,14.044,18.713,24.473,59.602,155.9235,215.5255,0.0,0.2765426828843919,0.0,0.4413120489222853,0.016608243572106315,0.06516166300507364,0.08682499286627338,0.1135503687498695,0.2765426828843919,0.7234573171156081
