datetime,Coal,region,Other,Wind,Hydro,Solar,Petroleum,Nuclear,Natural gas
2022-04-03 02:00:00,1501,SW,65,1324,1267,319,0,3922,4544
2022-04-03 03:00:00,1566,SW,59,1577,1183,172,0,3917,5021
2022-04-03 04:00:00,1545,SW,52,1753,1203,165,0,3918,5024
2022-04-03 05:00:00,1603,SW,36,1710,1134,116,0,3914,4726
2022-04-03 06:00:00,1617,SW,33,1763,837,57,0,3923,4473
2022-04-03 07:00:00,1588,SW,32,1806,757,47,0,3918,3650
2022-04-03 08:00:00,1641,SW,33,1752,696,23,0,3928,3581
2022-04-03 09:00:00,1733,SW,33,1507,680,11,0,3920,3399
2022-04-03 10:00:00,1787,SW,39,1439,668,7,0,3932,3390
2022-04-03 11:00:00,1796,SW,54,1503,632,-2,0,3930,3152
2022-04-03 12:00:00,1804,SW,54,1481,654,-1,0,3934,3236
2022-04-03 13:00:00,1804,SW,56,1355,782,-1,0,3934,3354
2022-04-03 14:00:00,1788,SW,37,1154,805,149,0,3934,3288
2022-04-03 15:00:00,1790,SW,37,728,674,812,0,3935,3035
2022-04-03 16:00:00,1678,SW,33,678,509,1349,0,3928,2475
2022-04-03 17:00:00,1637,SW,6,849,391,1675,0,3931,2232
2022-04-03 18:00:00,1536,SW,-5,991,435,1776,0,3925,2168
2022-04-03 19:00:00,1499,SW,0,962,422,1769,0,3921,2269
2022-04-03 20:00:00,1498,SW,-1,1012,434,1896,0,3921,2247
2022-04-03 21:00:00,1500,SW,2,1083,438,1763,0,3918,2283
2022-04-03 22:00:00,1562,SW,8,1070,468,1815,0,3911,2543
2022-04-03 23:00:00,1587,SW,8,831,552,1713,0,3913,2825
2022-04-04 00:00:00,1775,SW,9,647,716,1546,0,3909,3264
2022-04-04 01:00:00,1873,SW,31,587,870,996,0,3905,3919
2022-04-04 02:00:00,1917,SW,40,583,1097,233,0,3900,5349
2022-04-04 03:00:00,1847,SW,34,1113,1352,164,0,3909,5995
2022-04-04 04:00:00,1805,SW,23,1687,1235,117,0,3902,5399
2022-04-04 05:00:00,1810,SW,0,1692,1167,83,0,3906,4867
2022-04-04 06:00:00,1796,SW,9,1811,976,36,0,3904,4234
2022-04-04 07:00:00,1781,SW,6,1791,698,21,0,3910,3739
2022-04-04 08:00:00,1746,SW,10,1690,674,0,0,3910,3503
2022-04-04 09:00:00,1736,SW,10,1452,785,8,0,3912,3241
2022-04-04 10:00:00,1733,SW,30,1406,806,12,0,3912,3052
2022-04-04 11:00:00,1734,SW,30,1321,811,0,0,3912,2853
2022-04-04 12:00:00,1738,SW,19,1181,809,-1,0,3918,3240
2022-04-04 13:00:00,1740,SW,24,825,1027,30,0,3914,3730
2022-04-04 14:00:00,1750,SW,14,589,1053,150,0,3918,4356
2022-04-04 15:00:00,1666,SW,18,461,876,967,0,3914,3752
2022-04-04 16:00:00,1558,SW,7,554,523,1731,0,3911,2782
2022-04-04 17:00:00,1475,SW,-17,460,464,1881,0,3900,2458
2022-04-04 18:00:00,1483,SW,-21,194,433,1928,0,3898,2444
2022-04-04 19:00:00,1465,SW,-5,64,454,1954,0,3897,2372
2022-04-04 20:00:00,1449,SW,-5,38,488,1879,0,3894,2520
2022-04-04 21:00:00,1506,SW,4,71,487,1880,0,3886,2728
2022-04-04 22:00:00,1606,SW,10,353,530,1908,0,3888,3063
2022-04-04 23:00:00,1727,SW,9,721,579,1905,0,3891,3651
2022-04-05 00:00:00,1787,SW,10,1116,728,1769,0,3884,4089
2022-04-05 01:00:00,1783,SW,35,1340,947,1162,0,3878,4957
2022-04-05 02:00:00,1811,SW,67,1172,1193,306,0,3875,5801
2022-04-05 03:00:00,1802,SW,59,1152,1147,172,0,3876,6283
2022-04-05 04:00:00,1761,SW,27,1486,1152,125,0,3878,6409
2022-04-05 05:00:00,1767,SW,5,1665,1170,96,0,3881,5957
2022-04-05 06:00:00,1759,SW,10,1769,1109,70,0,3882,5352
2022-04-05 07:00:00,1792,SW,8,1779,827,53,0,3888,4606
2022-04-05 08:00:00,1805,SW,10,1961,642,31,0,3890,4131
2022-04-05 09:00:00,1662,SW,7,2038,588,34,0,3892,3655
2022-04-05 10:00:00,1576,SW,11,2096,592,38,0,3886,3538
2022-04-05 11:00:00,1581,SW,8,2013,593,31,0,3885,3423
2022-04-05 12:00:00,1637,SW,12,2034,618,47,0,3890,3426
2022-04-05 13:00:00,1781,SW,10,2134,996,45,0,3895,3651
2022-04-05 14:00:00,1850,SW,12,2199,1020,253,0,3894,3828
2022-04-05 15:00:00,1816,SW,11,2155,809,1137,0,3889,3302
2022-04-05 16:00:00,1756,SW,9,2093,493,1889,0,3888,2628
2022-04-05 17:00:00,1672,SW,-19,1930,414,1988,0,3884,2553
2022-04-05 18:00:00,1570,SW,-19,1888,410,1961,0,3879,2527
2022-04-05 19:00:00,1547,SW,-8,1905,440,1972,0,3869,2629
2022-04-05 20:00:00,1613,SW,-5,1943,431,1976,0,3869,2625
2022-04-05 21:00:00,1666,SW,1,1938,465,1981,0,3867,2652
2022-04-05 22:00:00,1742,SW,6,1921,486,2047,0,3864,2909
2022-04-05 23:00:00,1741,SW,8,1929,530,2013,0,3870,3535
2022-04-06 00:00:00,1787,SW,6,1976,624,1886,0,3860,3963
2022-04-06 01:00:00,1815,SW,33,2178,1025,1253,0,3860,4701
2022-04-06 02:00:00,1838,SW,62,2174,1260,339,0,3856,5937
2022-04-06 03:00:00,1888,SW,59,1992,1275,182,0,3861,6419
2022-04-06 04:00:00,1916,SW,25,1893,1165,163,0,3862,6575
2022-04-06 05:00:00,1882,SW,5,1828,1161,135,0,3871,6164
2022-04-06 06:00:00,1856,SW,8,1554,1121,65,0,3871,5614
2022-04-06 07:00:00,1853,SW,9,1314,991,38,0,3875,4755
2022-04-06 08:00:00,1853,SW,7,1346,744,5,0,3880,4630
2022-04-06 09:00:00,1846,SW,10,1196,624,2,0,3878,4276
2022-04-06 10:00:00,1841,SW,7,1078,573,1,0,3876,4267
2022-04-06 11:00:00,1842,SW,8,965,568,16,0,3879,4306
2022-04-06 12:00:00,1823,SW,14,945,689,24,0,3880,4453
2022-04-06 13:00:00,1804,SW,11,904,977,16,0,3883,4847
2022-04-06 14:00:00,1859,SW,7,798,1015,223,0,3890,5013
2022-04-06 15:00:00,1848,SW,10,904,944,1123,0,3894,4045
2022-04-06 16:00:00,1740,SW,6,1001,395,1850,0,3883,3151
2022-04-06 17:00:00,1615,SW,-19,1143,340,2005,0,3880,3145
2022-04-06 18:00:00,1661,SW,-24,1366,438,1930,0,3874,3133
2022-04-06 19:00:00,1660,SW,-8,1467,436,1931,0,3871,3254
2022-04-06 20:00:00,1724,SW,-6,1660,443,1926,0,3868,3375
2022-04-06 21:00:00,1780,SW,1,1658,412,1950,0,3860,3658
2022-04-06 22:00:00,1813,SW,6,1624,443,2027,0,3856,3971
2022-04-06 23:00:00,1846,SW,10,1641,562,1998,0,3852,4338
2022-04-07 00:00:00,1853,SW,6,1582,653,1806,0,3853,4835
2022-04-07 01:00:00,1867,SW,36,1561,1015,1252,0,3855,5252
2022-04-07 02:00:00,1895,SW,66,1891,1296,323,0,3854,6522
2022-04-07 03:00:00,1884,SW,57,2019,1288,175,0,3854,6864
2022-04-07 04:00:00,1891,SW,28,1949,1176,154,0,3858,6803
2022-04-07 05:00:00,1868,SW,4,1682,1153,125,0,3858,6592
2022-04-07 06:00:00,1866,SW,11,1391,1113,58,0,3860,6324
2022-04-07 07:00:00,1830,SW,6,1199,972,37,0,3861,5391
2022-04-07 08:00:00,1800,SW,9,1216,878,10,0,3862,5087
2022-04-07 09:00:00,1860,SW,9,1008,868,17,0,3862,4809
2022-04-07 10:00:00,1901,SW,9,757,845,27,0,3860,4721
2022-04-07 11:00:00,1927,SW,9,602,845,49,0,3864,4810
2022-04-07 12:00:00,1931,SW,11,454,819,71,0,3868,5019
2022-04-07 13:00:00,1913,SW,11,362,1020,71,0,3869,5358
2022-04-07 14:00:00,1899,SW,11,334,1027,316,0,3869,5617
2022-04-07 15:00:00,1836,SW,10,288,870,1224,0,3871,4486
2022-04-07 16:00:00,1800,SW,10,300,473,1928,0,3858,3380
2022-04-07 17:00:00,1772,SW,-19,218,566,1967,0,3855,3064
2022-04-07 18:00:00,1698,SW,-18,247,535,1951,0,3852,3068
2022-04-07 19:00:00,1698,SW,-8,351,492,1949,0,3857,3232
2022-04-07 20:00:00,1699,SW,-5,682,397,1976,0,3855,3402
2022-04-07 21:00:00,1705,SW,5,895,438,2053,0,3855,3804
2022-04-07 22:00:00,1698,SW,5,1037,550,2045,0,3846,3963
2022-04-07 23:00:00,1715,SW,8,1150,635,2026,0,3845,4410
2022-04-08 00:00:00,1731,SW,8,1101,865,1947,0,3853,4978
2022-04-08 01:00:00,1779,SW,39,1057,1177,1362,0,3848,5703
2022-04-08 02:00:00,1849,SW,37,926,1248,394,0,3846,7128
2022-04-08 03:00:00,1874,SW,30,953,1192,167,0,3852,7687
2022-04-08 04:00:00,1837,SW,23,1162,1262,178,0,3856,7190
2022-04-08 05:00:00,1871,SW,6,1503,1221,147,0,3849,6755
2022-04-08 06:00:00,1892,SW,9,1476,1164,93,0,3851,6678
2022-04-08 07:00:00,1855,SW,10,1358,1141,73,0,3846,5978
2022-04-08 08:00:00,1869,SW,23,1226,897,41,0,3851,5291
2022-04-08 09:00:00,1829,SW,37,877,1006,54,0,3856,4887
2022-04-08 10:00:00,1794,SW,28,809,954,52,0,3848,4501
2022-04-08 11:00:00,1889,SW,12,726,972,35,0,3850,4396
2022-04-08 12:00:00,1911,SW,11,519,1016,28,0,3856,4499
2022-04-08 13:00:00,1891,SW,12,473,1033,22,0,3860,4802
2022-04-08 14:00:00,1888,SW,11,397,945,271,0,3860,4912
2022-04-08 15:00:00,1786,SW,11,281,677,1185,0,3860,4029
2022-04-08 16:00:00,1570,SW,8,362,360,1859,0,3856,3229
2022-04-08 17:00:00,1290,SW,-17,296,440,2004,0,3852,3246
2022-04-08 18:00:00,1321,SW,-20,208,448,1918,0,3874,3236
2022-04-08 19:00:00,1413,SW,-9,190,445,1912,0,3866,3719
2022-04-08 20:00:00,1418,SW,8,154,451,2003,0,3869,4232
2022-04-08 21:00:00,1420,SW,27,158,478,2012,0,3869,4579
2022-04-08 22:00:00,1388,SW,35,205,610,2007,0,3849,5060
2022-04-08 23:00:00,1391,SW,33,330,923,1975,0,3838,6026
2022-04-09 00:00:00,1414,SW,38,512,1141,1900,0,3835,6325
2022-04-09 01:00:00,1429,SW,64,806,1174,1303,0,3841,6864
2022-04-09 02:00:00,1433,SW,93,994,1190,370,0,3835,7684
2022-04-09 03:00:00,1433,SW,75,1313,1289,127,0,3839,8111
2022-04-09 04:00:00,1449,SW,65,1281,1281,117,0,3838,7065
2022-04-09 05:00:00,1473,SW,35,1302,1286,70,0,3842,6573
2022-04-09 06:00:00,1484,SW,38,1511,1213,25,0,3769,6183
2022-04-09 07:00:00,1485,SW,41,1627,1181,39,0,3290,5587
2022-04-09 08:00:00,1477,SW,38,1709,1019,19,0,2637,5396
2022-04-09 09:00:00,1512,SW,32,1726,897,10,0,2642,5189
2022-04-09 10:00:00,1606,SW,36,1676,857,9,0,2639,4840
2022-04-09 11:00:00,1704,SW,34,1635,784,6,0,2637,4857
2022-04-09 12:00:00,1714,SW,38,1663,783,6,0,2644,4847
2022-04-09 13:00:00,1729,SW,39,1604,752,9,0,2644,4885
2022-04-09 14:00:00,1739,SW,39,1538,743,302,0,2643,4623
2022-04-09 15:00:00,1606,SW,39,1485,660,1197,0,2635,3496
2022-04-09 16:00:00,1551,SW,35,1574,509,1802,0,2641,2845
2022-04-09 17:00:00,1488,SW,8,1620,395,1946,0,2636,2896
2022-04-09 18:00:00,1514,SW,0,1625,413,1966,0,2632,2921
2022-04-09 19:00:00,1519,SW,19,1715,409,1950,0,2632,2967
2022-04-09 20:00:00,1534,SW,22,1805,421,1959,0,2628,3131
2022-04-09 21:00:00,1602,SW,29,1825,485,1912,0,2626,3245
2022-04-09 22:00:00,1657,SW,34,1893,487,1900,0,2622,3751
2022-04-09 23:00:00,1663,SW,34,1942,586,1837,0,2623,4383
2022-04-10 00:00:00,1660,SW,35,2007,738,1517,0,2621,4793
2022-04-10 01:00:00,1674,SW,63,2046,822,877,0,2626,5504
2022-04-10 02:00:00,1744,SW,96,1980,1247,226,0,2621,6412
2022-04-10 03:00:00,1769,SW,89,1809,1293,208,0,2626,6872
2022-04-10 04:00:00,1749,SW,58,1956,1314,202,0,2621,6711
2022-04-10 05:00:00,1733,SW,37,1921,1296,169,0,2624,6570
2022-04-10 06:00:00,1731,SW,34,1907,1098,102,0,2625,6260
2022-04-10 07:00:00,1711,SW,35,1960,968,90,0,2629,5572
2022-04-10 08:00:00,1700,SW,31,2014,866,89,0,2633,4848
2022-04-10 09:00:00,1694,SW,36,2016,844,84,0,2641,4286
2022-04-10 10:00:00,1718,SW,32,1900,818,81,0,2650,3897
2022-04-10 11:00:00,1702,SW,34,1909,777,63,0,2650,3729
2022-04-10 12:00:00,1758,SW,33,1919,756,36,0,2653,3588
2022-04-10 13:00:00,1836,SW,36,1891,697,19,0,2654,3816
2022-04-10 14:00:00,1854,SW,34,1895,712,233,0,2657,3428
2022-04-10 15:00:00,1721,SW,36,1808,711,1044,0,2654,2918
2022-04-10 16:00:00,1502,SW,33,1959,619,1664,0,2652,2623
2022-04-10 17:00:00,1426,SW,5,2018,450,1985,0,2648,2328
2022-04-10 18:00:00,1398,SW,0,1995,423,2006,0,2649,2346
2022-04-10 19:00:00,1447,SW,15,1799,429,1849,0,2650,2549
2022-04-10 20:00:00,1507,SW,22,1875,438,1829,0,2650,2966
2022-04-10 21:00:00,1559,SW,27,1931,440,1825,0,2650,3099
2022-04-10 22:00:00,1543,SW,33,1830,475,1810,0,2645,3396
2022-04-10 23:00:00,1618,SW,32,1605,542,1749,0,2650,3801
2022-04-11 00:00:00,1686,SW,38,1440,732,1652,0,2646,4215
2022-04-11 01:00:00,1814,SW,69,1530,750,1146,0,2642,5040
2022-04-11 02:00:00,1908,SW,97,1363,997,359,0,2643,5768
2022-04-11 03:00:00,1896,SW,81,1631,1035,169,0,2642,6883
2022-04-11 04:00:00,1900,SW,52,1424,1079,130,0,2645,6987
2022-04-11 05:00:00,1888,SW,34,1394,1055,71,0,2644,6833
2022-04-11 06:00:00,1897,SW,32,1422,1114,41,0,2647,6488
2022-04-11 07:00:00,1885,SW,35,1425,894,54,0,2646,5874
2022-04-11 08:00:00,1819,SW,34,1391,811,31,0,2649,5446
2022-04-11 09:00:00,1728,SW,33,1652,779,28,0,2650,4916
2022-04-11 10:00:00,1776,SW,34,1387,758,48,0,2651,4573
2022-04-11 11:00:00,1834,SW,34,1047,779,66,0,2650,4544
2022-04-11 12:00:00,1850,SW,35,732,851,56,0,2654,4693
2022-04-11 13:00:00,1884,SW,36,632,1000,62,0,2658,5109
2022-04-11 14:00:00,1858,SW,37,598,1063,336,0,2654,5769
2022-04-11 15:00:00,1867,SW,35,510,846,1222,0,2653,4930
2022-04-11 16:00:00,1797,SW,34,921,529,1756,0,2650,3706
2022-04-11 17:00:00,1682,SW,5,1216,533,1909,0,2651,3316
2022-04-11 18:00:00,1681,SW,2,1235,497,1949,0,2651,3088
2022-04-11 19:00:00,1562,SW,17,1367,479,2023,0,2652,3056
2022-04-11 20:00:00,1518,SW,22,1613,497,1956,0,2653,3071
2022-04-11 21:00:00,1505,SW,29,1745,520,1989,0,2649,3229
2022-04-11 22:00:00,1596,SW,32,1727,506,1814,0,2650,3497
2022-04-11 23:00:00,1635,SW,35,1723,567,1704,0,2645,3924
2022-04-12 00:00:00,1698,SW,33,1709,829,1617,0,2645,4678
2022-04-12 01:00:00,1818,SW,60,1714,1038,1084,0,2644,5744
2022-04-12 02:00:00,1841,SW,69,1720,1227,331,0,2645,6858
2022-04-12 03:00:00,1856,SW,66,1707,1243,194,0,2646,7271
2022-04-12 04:00:00,1863,SW,85,1712,1241,150,0,2651,7198
2022-04-12 05:00:00,1866,SW,68,1712,1233,87,0,2650,6951
2022-04-12 06:00:00,1839,SW,36,1668,1127,61,0,2648,6284
2022-04-12 07:00:00,1841,SW,36,1623,1003,55,0,2651,5619
2022-04-12 08:00:00,1782,SW,34,1974,1191,69,0,2650,5190
2022-04-12 09:00:00,1811,SW,35,1911,868,73,0,2654,4750
2022-04-12 10:00:00,1856,SW,35,1806,770,78,0,2653,4676
2022-04-12 11:00:00,1844,SW,36,1887,783,84,0,2658,4801
2022-04-12 12:00:00,1847,SW,37,1944,923,86,0,2659,5015
2022-04-12 13:00:00,1847,SW,38,1912,1074,83,0,2664,5560
2022-04-12 14:00:00,1846,SW,37,1838,957,318,0,2663,5897
2022-04-12 15:00:00,1801,SW,36,1960,813,1124,0,2664,4852
2022-04-12 16:00:00,1715,SW,35,1995,431,1559,0,2663,3272
2022-04-12 17:00:00,1641,SW,32,1953,430,1816,0,2660,2726
2022-04-12 18:00:00,1574,SW,25,1858,385,1883,0,2663,2643
2022-04-12 19:00:00,1501,SW,28,1795,386,1912,0,2661,2627
2022-04-12 20:00:00,1539,SW,87,1530,351,1813,0,2660,2785
2022-04-12 21:00:00,1575,SW,36,1401,392,1791,0,2667,2953
2022-04-12 22:00:00,1600,SW,36,1506,396,1755,0,2660,3037
2022-04-12 23:00:00,1613,SW,34,1607,451,1782,0,2663,3097
2022-04-13 00:00:00,1637,SW,36,1615,571,1578,0,2665,3560
2022-04-13 01:00:00,1604,SW,37,1741,841,1162,0,2663,4202
2022-04-13 02:00:00,1738,SW,44,1708,1179,365,0,2667,5613
2022-04-13 03:00:00,1786,SW,47,1695,1376,153,0,2669,6823
2022-04-13 04:00:00,1770,SW,48,1540,1319,152,0,2666,7152
2022-04-13 05:00:00,1779,SW,46,1423,1255,114,0,2672,7089
2022-04-13 06:00:00,1802,SW,37,1545,1294,80,0,2671,6532
2022-04-13 07:00:00,1839,SW,62,1602,1181,18,0,2670,5983
2022-04-13 08:00:00,1861,SW,69,1581,1095,-1,0,2668,5529
2022-04-13 09:00:00,1874,SW,46,1493,974,2,0,2672,5266
2022-04-13 10:00:00,1893,SW,39,1346,1009,6,0,2668,5381
2022-04-13 11:00:00,1892,SW,36,1339,1031,9,0,2669,5645
2022-04-13 12:00:00,1898,SW,40,1251,1090,3,0,2670,5823
2022-04-13 13:00:00,1892,SW,39,1286,999,4,0,2671,6093
2022-04-13 14:00:00,1895,SW,40,1298,905,330,0,2670,6313
2022-04-13 15:00:00,1750,SW,37,1343,860,1287,0,2674,5509
2022-04-13 16:00:00,1548,SW,36,1375,438,1921,0,2668,4251
2022-04-13 17:00:00,1559,SW,9,1404,398,2003,0,2665,3680
2022-04-13 18:00:00,1513,SW,4,1432,250,2019,0,2667,3606
2022-04-13 19:00:00,1434,SW,20,1391,295,2050,0,2663,3315
2022-04-13 20:00:00,1439,SW,24,1379,320,1960,0,2661,3300
2022-04-13 21:00:00,1440,SW,30,1315,318,1957,0,2663,3421
2022-04-13 22:00:00,1471,SW,36,1322,331,1984,0,2661,3458
2022-04-13 23:00:00,1519,SW,35,1427,367,1991,0,2663,3615
2022-04-14 00:00:00,1580,SW,37,1429,565,1974,0,2663,3958
2022-04-14 01:00:00,1591,SW,67,1244,734,1371,0,2661,4856
2022-04-14 02:00:00,1759,SW,98,1025,1322,450,0,2659,6415
2022-04-14 03:00:00,1893,SW,92,1008,1309,161,0,2663,7454
2022-04-14 04:00:00,1886,SW,56,1074,1323,155,0,2662,7703
2022-04-14 05:00:00,1897,SW,41,1178,1324,119,0,2669,7527
2022-04-14 06:00:00,1872,SW,36,1031,1365,32,0,2664,6758
2022-04-14 07:00:00,1813,SW,38,1012,1060,23,0,2668,6218
2022-04-14 08:00:00,1801,SW,35,1121,978,3,0,2671,5894
2022-04-14 09:00:00,1840,SW,38,799,877,5,0,2668,5661
2022-04-14 10:00:00,1851,SW,37,760,908,4,0,2670,5535
2022-04-14 11:00:00,1874,SW,37,830,939,11,0,2670,5673
2022-04-14 12:00:00,1850,SW,38,800,993,14,0,2672,5856
2022-04-14 13:00:00,1822,SW,40,699,1183,20,0,2676,5870
2022-04-14 14:00:00,1879,SW,40,526,1173,354,0,2672,5930
2022-04-14 15:00:00,1865,SW,37,201,834,1304,0,2674,5280
2022-04-14 16:00:00,1834,SW,35,107,521,1919,0,2670,4092
2022-04-14 17:00:00,1834,SW,8,179,456,2001,0,2668,3652
2022-04-14 18:00:00,1730,SW,5,337,405,2017,0,2664,3363
2022-04-14 19:00:00,1658,SW,18,711,412,2012,0,2664,3387
2022-04-14 20:00:00,1622,SW,25,870,409,1982,0,2662,3428
2022-04-14 21:00:00,1620,SW,30,946,438,1980,0,2665,3494
2022-04-14 22:00:00,1600,SW,35,1048,441,1929,0,2663,3773
2022-04-14 23:00:00,1630,SW,34,1139,486,1884,0,2661,4145
2022-04-15 00:00:00,1635,SW,33,1193,663,1851,0,2663,4713
2022-04-15 01:00:00,1723,SW,62,1269,743,1406,0,2654,4830
2022-04-15 02:00:00,1887,SW,78,1224,1108,433,0,2659,6417
2022-04-15 03:00:00,1903,SW,92,1251,1318,208,0,2657,7282
2022-04-15 04:00:00,1925,SW,80,1259,1296,198,0,2658,7293
2022-04-15 05:00:00,1941,SW,38,1281,1308,184,0,2658,7243
2022-04-15 06:00:00,1988,SW,37,1251,1085,93,0,2662,6874
2022-04-15 07:00:00,1992,SW,36,1328,1078,106,0,2661,6157
2022-04-15 08:00:00,2059,SW,36,1104,911,79,0,2662,5904
2022-04-15 09:00:00,2116,SW,38,1044,792,82,0,2664,5420
2022-04-15 10:00:00,2145,SW,36,1052,810,78,0,2667,5311
2022-04-15 11:00:00,2181,SW,37,1025,817,56,0,2670,5345
2022-04-15 12:00:00,2204,SW,39,1039,938,58,0,2669,5582
2022-04-15 13:00:00,2169,SW,52,1115,1003,75,0,2672,5882
2022-04-15 14:00:00,2133,SW,37,1082,1071,457,0,2670,5409
2022-04-15 15:00:00,1976,SW,33,966,668,1403,0,2673,4396
2022-04-15 16:00:00,1901,SW,37,1004,498,1952,0,2668,3572
2022-04-15 17:00:00,1868,SW,6,1000,428,2055,0,2667,3177
2022-04-15 18:00:00,1990,SW,4,1013,384,1909,0,2665,3011
2022-04-15 19:00:00,1959,SW,15,1033,379,1977,0,2661,3046
2022-04-15 20:00:00,1919,SW,24,1250,410,1964,0,2662,3197
2022-04-15 21:00:00,2112,SW,26,1353,469,1862,0,2661,3452
2022-04-15 22:00:00,2148,SW,35,1494,460,1768,0,2658,3655
2022-04-15 23:00:00,1921,SW,33,1546,484,1554,0,2655,4079
2022-04-16 00:00:00,1619,SW,35,1729,610,1383,0,2657,4787
2022-04-16 01:00:00,1613,SW,74,1684,815,874,0,2656,5687
2022-04-16 02:00:00,1708,SW,86,1162,1341,274,0,2657,6986
2022-04-16 03:00:00,1713,SW,61,850,1327,174,0,2656,7605
2022-04-16 04:00:00,1686,SW,55,840,1318,160,0,2661,7499
2022-04-16 05:00:00,1664,SW,61,999,1298,103,0,2658,7378
2022-04-16 06:00:00,1669,SW,41,975,1302,105,0,2663,7102
2022-04-16 07:00:00,1710,SW,33,949,953,52,0,2663,6727
2022-04-16 08:00:00,1710,SW,35,1395,953,50,0,2667,6292
2022-04-16 09:00:00,1689,SW,35,1539,887,49,0,2668,5652
2022-04-16 10:00:00,1691,SW,34,1310,808,58,0,2667,5215
2022-04-16 11:00:00,1693,SW,38,1181,780,68,0,2667,5059
2022-04-16 12:00:00,1693,SW,36,1132,782,66,0,2671,4868
2022-04-16 13:00:00,1714,SW,41,717,702,67,0,2671,4902
2022-04-16 14:00:00,1682,SW,38,698,719,357,0,2673,5027
2022-04-16 15:00:00,1624,SW,39,620,594,1095,0,2671,4278
2022-04-16 16:00:00,1532,SW,35,523,504,1454,0,2669,3494
2022-04-16 17:00:00,1561,SW,7,386,442,1818,0,2665,3303
2022-04-16 18:00:00,1558,SW,2,318,428,1945,0,2661,3091
2022-04-16 19:00:00,1576,SW,15,365,409,1944,0,2657,3205
2022-04-16 20:00:00,1585,SW,23,616,408,1988,0,2657,3201
