GWh,POLAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-10-01,11366.085,9429.375,118.44,1133.604,633.239,51.427,0,156.948,1154.449,61.183,0,0,19.051,2005.819,10751.896999999999,12757.715999999999,1743.107,545.84,13954.982999999998,82.834,948.064,12924.085,2019,10
,2019-11-01,10940.28,8904.984,138.369,1234.983,622.617,39.327,0,186.095,1331.446,25.362,0,0,19.051,2165.52,10336.714,12502.234,1549.029,429.609,13621.654,102.64,946.711,12572.303,2019,11
,2019-12-01,11299.145,8848.936000000002,191.128,1522.252,698.145,38.684,0,219.197,1767.006,25.405,0,0,19.051,2709.753,10620.051000000001,13329.804000000002,1586.148,712.67,14203.282000000001,130.623,920.239,13152.420000000002,2019,12
,2020-01-01,11589.916556,9323.211115,231.69289,1307.52574,686.758561,40.72825,0,236.41257,1886.149965,25.612551,0,0,26.34932,2834.9336470000003,10929.507315,13764.440962,1872.449,1134.71,14502.179962000002,120.204916,762.356254,13619.618792000001,2020,1
,2020-02-01,10262.964174,8186.404452000001,198.322355,1206.704802,627.492162,44.040403,0,304.299414,2164.891538,47.18848,0,0,26.34932,3143.8715939999997,9661.821332000001,12805.692926000002,1567.479,720.525,13652.646926000001,126.794966,586.105476,12939.746484000001,2020,2
,2020-03-01,10592.379815,8376.072797,151.602681,1319.375617,694.049667,51.279053,0,293.853228,1491.174309,183.979864,0,0,26.34932,2663.057068,9924.679468,12587.736536,1990.058,817.736,13760.058536,100.010762,965.757761,12694.290013,2020,3
,2020-04-01,9061.744417,7054.479099,165.335691,1232.354029,577.176268,32.39933,0,182.360847,1233.437029,256.939929,0,0,26.34932,2249.914073,8510.917469,10760.831542,1585.975,557.779,11789.027542,79.383605,703.20423,11006.439707,2020,4
,2020-05-01,9254.676754,7233.909823,164.116246,1203.0086,617.599835,36.04225,0,202.394962,1131.503355,211.470433,0,0,26.34932,2162.968585,8663.426238999999,10826.394823999999,1714.053,449.837,12090.610824,88.326673,924.575947,11077.708203999999,2020,5
,2020-06-01,9381.50816,7686.133766999999,80.623619,1010.846041,564.218216,39.686517,0,289.908052,742.843966,231.113644,0,0,26.34932,1828.083878,8843.639264,10671.723141999999,1812.313,325.795,12158.241141999999,67.960518,851.303212,11238.977411999998,2020,6
,2020-07-01,10075.156951,8134.468462000001,90.561088,1291.789587,514.030461,44.307353,0,246.961193,869.139949,284.611816,0,0,26.34932,1914.743419,9587.47581,11502.219229,1841.724,479.248,12864.695229,48.710371,990.718291,11825.266567,2020,7
,2020-08-01,10435.705038,8550.740189,85.630895,1141.131326,615.671344,42.531284,0,165.573441,690.870635,281.155616,0,0,26.34932,1753.271036,9846.383014000001,11599.654050000001,1716.908,396.417,12920.145050000001,75.312574,855.789398,11989.043078,2020,8
,2020-09-01,10451.638431,8504.887883,107.883057,1201.60108,599.534379,37.732032,0,172.80836,918.819952,239.919256,0,0,26.34932,1931.081947,9878.453371999998,11809.535318999999,1427.923,382.875,12854.583319,79.523606,674.996602,12100.063111,2020,9
,2020-10-01,11107.806912,8951.83759,121.318528,1323.704423,668.310824,42.635547,0,284.053304,1320.067344,116.74603,0,0,26.34932,2389.177502,10465.845407999997,12855.022909999998,1712.846,452.885,14114.983909999997,105.530804,936.917366,13072.535739999998,2020,10
,2020-11-01,11338.693819,8936.853056,152.740418,1526.17385,679.35213,43.574365,0,265.169311,1276.088275,62.811275,0,0,26.34932,2283.420991,10685.691008999998,12969.111999999997,1703.077,735.973,13936.215999999997,120.298917,858.433603,12957.483479999997,2020,11
,2020-12-01,11791.274762,9262.367091,185.004049,1611.460406,685.68433,46.758886,0,262.06304,1712.81748,48.723105,0,0,26.34932,2709.287955,11131.939751999998,13841.227706999998,1679.314,903.295,14617.246706999998,168.942287,884.841859,13563.462560999998,2020,12
,2021-01-01,13045.000192,10658.463862999999,0,1521.040886,626.842924,238.652519,0,285.486066,1268.273148,32.196755,0,0,26.34932,2212.798893,12444.506587999998,14657.305481,1180.951,999.371,14838.885481000001,141.66508,628.447527,14068.772874000002,2021,1
,2021-02-01,11391.322624,9440.394362000001,0,1188.167256,522.117097,240.643909,0,277.726602,1304.917817,113.734517,0,0,26.34932,2218.496033,10895.554847000001,13114.05088,1343.954,548.111,13909.89388,93.692714,628.575354,13187.625812,2021,2
,2021-03-01,11550.294707,9578.965914999999,0,1146.588878,587.834225,236.905689,0,332.780969,1434.797505,247.081857,0,0,26.34932,2602.494556,10988.809801999998,13591.304357999998,1848.559,704.398,14735.465357999998,86.305658,827.347666,13821.812033999997,2021,3
,2021-04-01,10762.531139,8911.795048,0,1086.081109,622.383689,142.271293,0,319.160285,1406.946625,360.381816,0,0,26.34932,2708.872415,10166.49677,12875.369185,1506.629,1133.311,13248.687185,85.712653,281.128104,12881.846428,2021,4
,2021-05-01,10297.551938,8430.343773,0,1150.036522,579.345019,137.826624,0,343.235551,1420.946451,474.25916,0,0,26.34932,2817.786181,9744.556239,12562.342419999999,1201.195,703.656,13059.881419999998,106.858814,315.615902,12637.406703999997,2021,5
