GWh,LUXEMBOURG,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-11-01,43.502,0,0,25.457,11.66,6.385,0,130.603,12.125,2.735,0,0,0,157.12300000000002,31.842,188.96500000000003,671.391,125.028,735.328,170.058,13.673,551.597,2016,11
,2016-12-01,48.1,0,0,28.312,12.889,6.899,0,127.62,13.054,2.239,0,0,0,155.80200000000002,35.211,191.01300000000003,651.705,130.21,712.508,170.466,13.106,528.936,2016,12
,2017-01-01,47.871,0,0,28.272000000000002,12.743,6.856,0,124.262,20.776,2.12,0,0,0,159.901,35.128,195.029,701.636,124.502,772.163,167.524,14.489,590.15,2017,1
,2017-02-01,41.13,0,0,22.963,11.85,6.317,0,129.678,22.491,3.546,0,0,0,167.565,29.28,196.845,624.061,122.731,698.1750000000001,165.1,12.762,520.3130000000001,2017,2
,2017-03-01,38.397,0,0,22.483999999999998,11.715,4.198,0,130.79,28.236,9.37,0,0,0,180.111,26.682,206.79299999999998,656.006,123.04,739.759,162.856,13.811,563.092,2017,3
,2017-04-01,38.552,0,0,17.658,14.358,6.536,0,129.203,14.743,13.492,0,0,0,171.796,24.194000000000003,195.99,619.777,124.506,691.2610000000001,165.918,12.563,512.7800000000001,2017,4
,2017-05-01,34.979,0,0,14.193999999999999,14.29,6.495,0,94.789,12.721,15.933,0,0,0,137.733,20.689,158.422,587.65,90.493,655.579,126.657,12.642,516.28,2017,5
,2017-06-01,32.653,0,0,11.735,14.334,6.584,0,80.464,16.767,16.689,0,0,0,128.254,18.319,146.57299999999998,573.035,78.543,641.0649999999999,108.329,12.732,520.0039999999999,2017,6
,2017-07-01,33.97,0,0,11.581,15.369,7.02,0,75.327,17.48,15.347,0,0,0,123.523,18.601,142.124,589.678,73.57,658.232,103.587,13.257,541.3879999999999,2017,7
,2017-08-01,30.456,0,0,10.575999999999997,13.582,6.298,0,112.754,13.428,11.867,0,0,0,151.631,16.873999999999995,168.505,581.173,111.042,638.636,154.657,11.571,472.40799999999996,2017,8
,2017-09-01,29.181,0,0,12.52,12.98,3.681,0,120.71,17.642,9.565,0,0,0,160.897,16.201,177.09799999999998,633.775,117.887,692.9859999999999,159.135,12.78,521.0709999999999,2017,9
,2017-10-01,36.978,0,0,16.57,14.424,5.984,0,150.061,27.101,5.934,0,0,0,197.52,22.554000000000002,220.074,713.693,169.121,764.6460000000001,196.752,13.595,554.2990000000001,2017,10
,2017-11-01,43.163,0,0,21.792999999999996,14.473,6.897,0,119.712,22.82,2.501,0,0,0,159.506,28.689999999999998,188.196,648.159,110.848,725.5070000000001,151.429,13.742,560.336,2017,11
,2017-12-01,42.63,0,0,21.338,14.166,7.126,0,143.536,20.618,2.1,0,0,0,180.42,28.464000000000002,208.884,638.047,142.366,704.565,171.735,11.956,520.874,2017,12
,2018-01-01,47.217,0,0,24.162,16.842,6.213,0,126.16,37.57,1.72,0,0,0,182.292,30.375,212.667,671.516,134.184,749.999,155.579,13.984,580.436,2018,1
,2018-02-01,44.675,0,0,23.270999999999997,16.021,5.383,0,109.856,23.764,5.216,0,0,0,154.857,28.653999999999996,183.511,642.468,128.377,697.6019999999999,135.057,13.221,549.3239999999998,2018,2
,2018-03-01,42.366,0,0,23.547,16.201,2.618,0,139.63,23.982,6.824,0,0,0,186.637,26.165,212.802,703.985,143.006,773.7810000000001,171.357,14.165,588.259,2018,3
,2018-04-01,36.615,0,0,13.958000000000002,15.702,6.955,0,141.812,21.572,13.027,0,0,0,192.113,20.913000000000004,213.026,646.478,144.418,715.0859999999999,181.342,12.521,521.223,2018,4
,2018-05-01,36.573,0,0,10.195999999999998,19.082,7.295,0,135.475,15.44,17.523,0,0,0,187.51999999999998,17.491,205.01099999999997,651.623,140.825,715.809,175.763,12.654,527.3919999999999,2018,5
,2018-06-01,32.344,0,0,8.722000000000001,16.719,6.903,0,110.012,12.5,16.169,0,0,0,155.4,15.625,171.025,621.561,116.46,676.126,139.132,12.581,524.413,2018,6
,2018-07-01,30.786,1,0,5.720000000000002,17.099,6.967,0,50.317,10.54,18.664,0,0,0,96.61999999999999,13.687000000000001,110.30699999999999,577.104,64.253,623.158,71.924,12.91,538.3240000000001,2018,7
,2018-08-01,30.132,2,0,5.7059999999999995,16.007,6.419,0,80.117,14.084,15.384,0,0,0,125.59200000000001,14.125,139.717,546.266,89.249,596.7339999999999,112.603,11.347,472.78399999999993,2018,8
,2018-09-01,31.07,3,0,5.536000000000001,17.33,5.204,0,94.354,15.95,12.319,0,0,0,139.953,13.740000000000002,153.693,597.692,95.205,656.18,127.636,12.401,516.1429999999999,2018,9
,2018-10-01,40.623,4,0,10.671999999999997,18.897,7.054,0,116.799,22.368,7.721,0,0,0,165.785,21.726,187.511,656.871,116.029,728.353,159.35,13.365,555.6379999999999,2018,10
,2018-11-01,48.191,5,0,16.979000000000003,19.323,6.889,0,105.258,25.381,3.357,0,0,0,153.319,28.868000000000002,182.18699999999998,634.875,103.839,713.223,145.06,13.36,554.8029999999999,2018,11
,2018-12-01,49.711,6,0,18.093999999999998,19.597,6.02,0,116.794,31.425,1.801,0,0,0,169.617,30.113999999999997,199.731,602.573,115.829,686.475,142.697,12.788,530.99,2018,12
,2019-01-01,52.63,7,0,20.297000000000004,19.156,6.177,0,105.488,29.245,2.14,0,0,0,156.029,33.474000000000004,189.503,672.728,124.811,737.42,132.967,14.405,590.048,2019,1
,2019-02-01,45.491,8,0,14.533000000000001,16.947,6.011,0,87.504,23.294,7.094,0,0,0,134.839,28.544,163.383,588.25,95.898,655.735,107.835,13.041,534.859,2019,2
,2019-03-01,43.242,9,0,13.468999999999998,17.451,3.322,0,110.611,40.001,9.892,0,0,0,177.955,25.790999999999997,203.746,629.299,108.672,724.3729999999999,132.649,14.083,577.641,2019,3
,2019-04-01,40.979,10,0,5.821999999999996,18.001,7.156,0,59.34,20.01,14.397,0,0,0,111.74800000000002,22.977999999999994,134.726,558.487,72.592,620.621,73.887,12.996,533.7379999999999,2019,4
,2019-05-01,37.364,11,0,2.8149999999999977,16.402,7.147,0,59.191,17.7,17.365,0,0,0,110.658,20.961999999999996,131.62,558.298,60.259,629.659,77.259,13.126,539.274,2019,5
,2019-06-01,29.248,12,0,-3.404,13.785,6.867,0,66.449,15.729,20.044,0,0,0,116.00699999999999,15.463000000000001,131.47,548.505,62.737,617.238,91.294,12.494,513.45,2019,6
,2019-07-01,42.431,13,0,-5.361000000000004,27.608,7.184,0,50.002,12.163,19.713,0,0,0,109.48599999999999,14.822999999999997,124.30899999999998,546.679,48.934,622.054,73.018,13.045,535.991,2019,7
,2019-08-01,35.626,14,0,-6.480000000000004,21.932,6.174,0,62.933,14.008,16.238,0,0,0,115.11099999999999,13.693999999999996,128.80499999999998,494.488,61.497,561.796,87.324,11.276,463.196,2019,8
,2019-09-01,39.178,15,0,-6.835000000000001,25.91,5.103,0,54.101,19.576,12.449,0,0,0,112.03599999999999,13.267999999999999,125.30399999999999,529.176,53.26,601.22,77.261,12.472,511.487,2019,9
,2019-10-01,50.25,16,0,-2.596999999999994,30.273,6.574,0,81.137,29.678,6.096,0,0,0,147.184,19.977000000000004,167.161,573.008,75.32,664.8490000000002,107.12,13.284,544.4450000000002,2019,10
,2019-11-01,56.171,17,0,1.2349999999999923,31.081,6.855,0,94.097,24.683,2.585,0,0,0,152.446,25.089999999999993,177.536,587.957,82.673,682.8199999999999,116.159,13.503,553.1579999999999,2019,11
,2019-12-01,54.987,18,0,1.2950000000000017,29.3,6.392,0,106.774,35.196,2.373,0,0,0,173.643,25.687,199.33,530.646,92.067,637.909,126.556,12.174,499.179,2019,12
,2020-01-01,59.58058,19,0,3.978968000000002,30.095665,6.505947,0,95.781395,32.61114,2.798,0,0,0,161.2862,29.484915,190.771115,591.751913,80.192074,702.3309539999999,114.127449,14.581207,573.6222979999999,2020,1
,2020-02-01,57.936288,20,0,0.9294840000000022,30.930697,6.076107,0,99.447852,47.648318,4.083,0,0,0,182.10986699999998,27.005591000000003,209.115458,553.766919,83.810078,679.072299,117.144913,13.933109,547.994277,2020,2
,2020-03-01,53.963901,21,0,-0.9169289999999961,27.923792,5.957038,0,100.937265,38.41782,13.282,0,0,0,180.560877,26.040109000000005,206.600986,493.461928,84.537078,615.525836,119.755988,12.279549,483.49029900000005,2020,3
,2020-04-01,45.95921,22,0,-10.546388999999998,29.788073,4.717526,0,99.368558,22.14333,22.83,0,0,0,174.12996099999998,16.171137,190.30109799999997,485.490929,95.045088,580.746939,132.397986,11.201404,437.147549,2020,4
,2020-05-01,44.751179,23,0,-13.447178999999998,28.625732,6.572626,0,89.956193,21.370751,27.195,0,0,0,167.147676,16.125447,183.273123,518.254924,87.608081,613.919966,125.089971,12.212922,476.617073,2020,5
,2020-06-01,43.510358,24,0,-16.561132000000008,29.369078,6.702412,0,79.499152,17.602576,22.758,0,0,0,149.228806,14.141279999999991,163.370086,509.604925,77.322072,595.652939,108.982183,12.154371,474.51638499999996,2020,6
,2020-07-01,43.400952,25,0,-18.847389000000007,30.22087,7.027471,0,74.947643,18.636629,27.357,0,0,0,151.16214200000002,13.180081999999993,164.34222400000002,538.648921,75.62307,627.368075,106.50291,13.025569,507.839596,2020,7
,2020-08-01,39.765443,26,0,-20.06471100000001,28.333915,5.496239,0,79.861424,19.350007,22.238,0,0,0,149.783346,11.43152799999999,161.21487399999998,548.02692,98.768092,610.473702,112.518867,12.474382,485.480453,2020,8
,2020-09-01,40.123098,27,0,-18.151137000000006,28.778542,2.495693,0,94.620515,16.159046,17.415,0,0,0,156.97310299999998,11.344555999999994,168.31765899999996,590.175913,112.957105,645.536467,131.220755,12.899382,501.41633,2020,9
,2020-10-01,48.956094,28,0,-15.345397999999996,32.806808,3.494684,0,99.030307,24.399894,9.753,0,0,0,165.990009,16.149286000000004,182.139295,603.449911,115.873107,669.7160990000001,137.278649,13.347599,519.0898510000001,2020,10
,2020-11-01,61.035901,29,0,-5.143424999999986,29.538648,7.640678,0,77.302355,45.646321,3.746,0,0,0,156.233324,31.497253000000015,187.73057700000004,569.108917,80.582075,676.257419,91.751084,14.502466,570.003869,2020,11
,2020-12-01,58.630338,30,0,-11.430906,33.829156,6.232088,0,89.774014,34.240168,4.574,0,0,0,162.417338,24.801182,187.21852,541.751921,86.29408,642.676361,107.610245,13.288039,521.778077,2020,12
,2021-01-01,56.180046,31,0,-9.941578,30.273122,4.848502,0,99.993689,31.404417,2.401,0,0,0,164.07222800000002,25.906924,189.97915200000003,600.022912,90.635084,699.36698,114.649664,14.49439,570.222926,2021,1
,2021-02-01,49.956783,32,0,-13.827077000000003,27.242556,4.541304,0,88.929564,35.216992,8.442,0,0,0,159.83111200000002,22.714226999999998,182.545339,553.129919,85.624079,650.051179,108.434007,13.448549,528.168623,2021,2
,2021-03-01,54.277325,33,0,-15.927206000000005,32.116699,5.087832,0,95.914292,32.383214,17.684,0,0,0,178.098205,22.160625999999993,200.258831,586.463914,90.157084,696.5656610000001,115.786954,14.432811,566.345896,2021,3
,2021-04-01,55.198906,34,0,-22.90304799999999,33.722682,10.379272,0,93.834016,19.106294,27.94,0,0,0,174.602992,21.47622400000001,196.079216,549.242916,87.324081,657.998051,119.960681,13.397065,524.640305,2021,4
,2021-05-01,53.560225,35,0,-23.514156,35.47556,6.598821,0,89.637294,19.764417,32.434,0,0,0,177.311271,18.084665,195.395936,526.60692,84.445078,637.557778,117.231783,12.978123,507.347872,2021,5
