GWh,NORTHMACEDONIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,year,month
,2017-02-01,451.628,323.079,10.281,114.991,3.277,0,0,96.072,6.036,1.367,0,0,0,106.75200000000001,448.351,555.1030000000001,2017,2
,2017-03-01,307.563,292.069,4.131,7.486,3.877,0,0,82.894,10.772,2.06,0,0,0,99.60300000000001,303.68600000000004,403.28900000000004,2017,3
,2017-04-01,253.537,246.594,3.187,0,3.757,0,0,98.199,10.963,2.4,0,0,0,115.319,249.781,365.1,2017,4
,2017-05-01,254.714,247.573,3.213,0,3.928,0,0,72.243,8.342,2.513,0,0,0,87.026,250.786,337.812,2017,5
,2017-06-01,246.719,239.437,3.123,0.488,3.671,0,0,54.545,8.455,2.675,0,0,0,69.346,243.048,312.394,2017,6
,2017-07-01,310.501,226.656,6.939,72.991,3.915,0,0,74.543,7.371,2.832,0,0,0,88.661,306.586,395.247,2017,7
,2017-08-01,332.417,237.444,7.645,82.999,4.329,0,0,77.046,7.964,2.762,0,0,0,92.101,328.08799999999997,420.18899999999996,2017,8
,2017-09-01,286.864,235.204,5.382,42.082,4.194,0,0,37.148,6.844,2.092,0,0,0,50.278000000000006,282.668,332.946,2017,9
,2017-10-01,321.501,238.81,7.021,71.505,4.165,0,0,59.933,11.529,2.168,0,0,0,77.795,317.336,395.13100000000003,2017,10
,2017-11-01,353.808,230.758,9.023,109.608,4.418,0,0,111.601,7.584,1.103,0,0,0,124.706,349.389,474.095,2017,11
,2017-12-01,386.142,269.515,9.123,102.905,4.599,0,0,156.457,13.36,1.025,0,0,0,175.441,381.543,556.984,2017,12
,2018-01-01,367.751,241.365,1.838,119.904,4.644,0,0,112.45,7.355,1.213,0,0,0,125.662,363.10699999999997,488.769,2018,1
,2018-02-01,362.56,212.017,0.044,146.292,4.207,0,0,191.285,8.634,0.917,0,0,0,205.04299999999998,358.353,563.396,2018,2
,2018-03-01,294.706,215.23,3.024,72.011,4.441,0,0,226.125,7.28,1.722,0,0,0,239.568,290.265,529.833,2018,3
,2018-04-01,128.646,117.976,3.277,3.131,4.262,0,0,208.306,6.556,2.488,0,0,0,221.61200000000002,124.384,345.99600000000004,2018,4
,2018-05-01,106.312,99.399,2.906,0.036,3.971,0,0,204.112,5.684,2.546,0,0,0,216.313,102.34100000000001,318.654,2018,5
,2018-06-01,200.854,192.495,5.111,0,3.248,0,0,152.589,8.815,2.273,0,0,0,166.92499999999998,197.606,364.53099999999995,2018,6
,2018-07-01,197.895,189.26,5.069,0,3.566,0,0,158.381,12.225,2.633,0,0,0,176.805,194.32899999999998,371.134,2018,7
,2018-08-01,257.692,247.097,6.547,0,4.048,0,0,112.41,4.989,2.544,0,0,0,123.991,253.644,377.635,2018,8
,2018-09-01,309.72,213.878,2.263,89.558,4.021,0,0,101.708,10.318,2.418,0,0,0,118.465,305.699,424.164,2018,9
,2018-10-01,355.447,254.876,3.191,92.925,4.455,0,0,76.505,5.844,1.958,0,0,0,88.76199999999999,350.992,439.754,2018,10
,2018-11-01,349.464,262.044,3.897,79.112,4.411,0,0,114.371,6.546,1.057,0,0,0,126.385,345.053,471.438,2018,11
,2018-12-01,457.083,365.608,6.36,80.836,4.279,0,0,116.254,13.092,1.019,0,0,0,134.644,452.80400000000003,587.4480000000001,2018,12
,2019-01-01,493.086,371.483,6.796,111.426,3.381,0,0,134.674,13.685,0.737,0,0,0,152.477,489.705,642.182,2019,1
,2019-02-01,379.694,315.856,3.806,56.084,3.948,0,0,100.65,13.937,1.484,0,0,0,120.01899999999999,375.746,495.765,2019,2
,2019-03-01,343.173,337.655,0.902,0,4.616,0,0,82.77,8.194,2.417,0,0,0,97.997,338.55699999999996,436.554,2019,3
,2019-04-01,262.755,257.619,0.76,0,4.376,0,0,107.783,6.266,2.145,0,0,0,120.57000000000001,258.379,378.949,2019,4
,2019-05-01,252.306,246.963,0.757,0.123,4.463,0,0,118.379,9.031,2.304,0,0,0,134.177,247.843,382.02,2019,5
,2019-06-01,334.512,219.657,6.261,104.323,4.271,0,0,90.255,8.073,2.613,0,0,0,105.21199999999999,330.241,435.453,2019,6
,2019-07-01,387.366,225.096,8.67,149.367,4.233,0,0,100.155,8.825,2.734,0,0,0,115.947,383.133,499.08,2019,7
,2019-08-01,429.782,288.526,7.687,129.692,3.877,0,0,92.865,5.811,2.801,0,0,0,105.354,425.90500000000003,531.259,2019,8
,2019-09-01,398.891,239.824,8.533,146.186,4.348,0,0,54.715,7.389,2.341,0,0,0,68.79299999999999,394.543,463.336,2019,9
,2019-10-01,283.204,211.102,4.09,63.495,4.517,0,0,69.599,5.14,2.049,0,0,0,81.305,278.687,359.992,2019,10
,2019-11-01,292.434,237.124,3.269,47.787,4.254,0,0,86.149,4.18,0.888,0,0,0,95.471,288.18,383.651,2019,11
,2019-12-01,363.182,280.554,4.722,73.427,4.479,0,0,117.402,11.275,0.714,0,0,0,133.87,358.703,492.573,2019,12
,2020-01-01,421.562091,309.18701,6.270256,101.64505,4.459776,0,0,116.270945,15.969157,1.220895,0,0,0,137.92077300000003,417.102316,555.023089,2020,1
,2020-02-01,364.473904,309.888074,3.332765,47.181136,4.071929,0,0,67.935755,12.25412,1.692854,0,0,0,85.954658,360.401975,446.356633,2020,2
,2020-03-01,245.100975,238.514212,0.812785,1.153905,4.620073,0,0,146.52808,11.019108,1.755849,0,0,0,163.92310999999998,240.480902,404.40401199999997,2020,3
,2020-04-01,226.528013,204.092287,1.546722,16.935,3.954009,0,0,139.175617,7.440073,2.288803,0,0,0,152.85850200000002,222.574009,375.432511,2020,4
,2020-05-01,174.79718,169.587591,0.642028,0,4.567562,0,0,124.992866,11.21711,2.451789,0,0,0,143.22932699999998,170.229619,313.45894599999997,2020,5
,2020-06-01,207.941068,131.200617,4.204101,68.206471,4.329879,0,0,119.614065,10.554104,2.518783,0,0,0,137.01683100000002,203.611189,340.62802,2020,6
,2020-07-01,322.656774,164.213434,8.39635,145.552207,4.494783,0,0,146.177962,9.310091,2.832756,0,0,0,162.815592,318.16199100000006,480.9775830000001,2020,7
,2020-08-01,284.973517,121.181291,8.640746,150.643799,4.507681,0,0,181.614832,9.350092,2.564779,0,0,0,198.03738399999997,280.46583599999997,478.50321999999994,2020,8
,2020-09-01,348.573627,186.242589,8.623396,149.271818,4.435823,0,0,71.59198,6.995069,2.268805,0,0,0,85.291677,344.137803,429.42948,2020,9
,2020-10-01,289.118375,207.112944,4.586717,72.872341,4.546373,0,0,58.629638,8.074079,1.895837,0,0,0,73.145927,284.572002,357.717929,2020,10
,2020-11-01,341.230735,178.250663,8.637864,150.142225,4.199983,0,0,31.509554,7.983078,1.39688,0,0,0,45.089495,337.030752,382.120247,2020,11
,2020-12-01,389.701611,225.157105,8.79643,151.150113,4.597963,0,0,68.287873,6.720066,0.646944,0,0,0,80.25284600000002,385.103648,465.35649400000005,2020,12
,2021-01-01,326.461055,163.884343,8.609721,149.321122,4.645868,0,0,175.242698,11.064109,1.079907,0,0,0,192.032582,321.81518600000004,513.8477680000001,2021,1
,2021-02-01,284.987499,140.295497,7.651919,132.995791,4.044292,0,0,180.418431,8.545084,1.640859,0,0,0,194.64866600000002,280.94320700000003,475.5918730000001,2021,2
,2021-03-01,349.558405,185.555487,8.708893,150.7974,4.496626,0,0,184.484793,10.932107,2.174813,0,0,0,202.088339,345.06178,547.150119,2021,3
,2021-04-01,198.282049,192.455429,0.694527,0.967118,4.164975,0,0,107.984169,7.813077,2.197811,0,0,0,122.160032,194.117074,316.277106,2021,4
,2021-05-01,128.632443,100.55227,1.691974,22.138469,4.24973,0,0,124.508704,8.353082,2.533782,0,0,0,139.645298,124.382713,264.028011,2021,5
