GWh,SLOVENIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-06-01,335.63,304.964,0.247,19.376,10.463,0.58,493.765,574.952,0.281,43.337,0,0,0,629.0329999999999,818.932,1447.965,749.95,962.377,1235.538,39.769,66.806,1128.963,2019,6
,2019-07-01,472.093,437.48900000000003,0.021,21.916,11.764,0.903,503.685,351,0.278,40.806,0,0,0,403.848,964.0140000000001,1367.862,760.618,892.469,1236.011,24.429,51.122,1160.46,2019,7
,2019-08-01,330.941,279.498,1.622,36.175,12.833,0.813,502.455,298.547,0.524,36.379,0,0,0,348.2830000000001,820.563,1168.846,648.461,643.184,1174.123,29.968,33.705,1110.45,2019,8
,2019-09-01,299.37,254.594,0.166,27.292,16.671,0.647,488.098,225.482,0.641,28.487,0,0,0,271.281,770.797,1042.078,707.341,643.419,1106,29.037,52.787,1024.176,2019,9
,2019-10-01,544.459,475.19399999999996,0.668,47.118,21.229,0.25,21.458,255.452,0.43,22.551,0,0,0,299.662,544.688,844.3499999999999,909.143,493.671,1259.822,32.031,60.93,1166.8609999999999,2019,10
,2019-11-01,410.332,336.509,0.494,51.951,20.5,0.878,494.299,645.531,0.565,8.459,0,0,0,675.055,884.1310000000001,1559.1860000000001,547.469,838.049,1268.6060000000002,34.952,86.757,1146.8970000000002,2019,11
,2019-12-01,424.445,345.631,0.049,56.389,21.926,0.45,514.396,548.317,0.585,13.089,0,0,0,583.9170000000001,916.915,1500.832,626.191,813.153,1313.8700000000001,36.467,107.175,1170.228,2019,12
,2020-01-01,391.730722,299.739617,1.71568,63.685203,25.627459,0.962763,518.031369,319.326271,0.484948,16.260222,0,0,0,361.6989,884.134632,1245.833532,2680.206217,1557.021216,2369.018533,440.931991,405.801476,1522.285066,2020,1
,2020-02-01,371.007118,292.400157,0.151122,53.193996,24.29672,0.965123,483.144833,230.607944,0.363208,21.515626,0,0,0,276.783498,829.855231,1106.638729,2628.250553,1503.237327,2231.6519550000003,394.038641,304.316282,1533.2970320000004,2020,2
,2020-03-01,308.769035,230.18980399999998,0.076117,53.197938,24.198548,1.106628,517.357908,342.483873,0.883922,30.702302,0,0,0,398.268645,801.9283949999999,1200.19704,2874.733452,1852.298462,2222.6320299999998,476.172313,321.788038,1424.6716789999998,2020,3
,2020-04-01,259.483615,199.612653,0.231128,35.441847,23.196769,1.001218,496.514517,314.327306,0.617272,46.228289,0,0,0,384.36963600000007,732.801363,1117.1709990000002,1891.094444,1516.433941,1491.8315020000002,438.182145,183.85341,869.7959470000003,2020,4
,2020-05-01,231.820953,177.141366,0.341003,31.476399,22.539624,0.322561,513.567508,467.603606,0.597174,41.340085,0,0,0,532.0804890000001,722.848837,1254.929326,1952.222223,1839.68353,1367.4680190000001,436.514552,179.310024,751.6434430000002,2020,5
,2020-06-01,352.49507,318.980831,0.219438,16.285359,15.989193,1.020249,496.03352,509.814113,0.150458,40.587122,0,0,0,566.540886,832.539397,1399.080283,1493.13233,1872.180191,1020.0324219999998,257.414825,141.0153,621.6022969999998,2020,6
,2020-07-01,455.791355,404.968365,0.79584,33.733512,15.296724,0.996914,508.358787,462.845912,0.333025,48.649169,0,0,0,527.12483,948.853418,1475.978248,2083.308148,2337.139774,1222.1466219999998,220.836483,177.115788,824.1943509999998,2020,7
,2020-08-01,386.661801,334.65904900000004,1.117699,35.476747,14.508226,0.90008,505.80269,451.759753,0.395184,39.305559,0,0,0,505.96872199999996,877.956265,1383.9249869999999,1609.855471,1819.297294,1174.4831640000002,363.598426,193.970591,616.9141470000002,2020,8
,2020-09-01,408.770876,350.656087,3.827794,38.428753,15.132976,0.725266,494.017444,482.655296,0.592433,34.505639,0,0,0,532.886344,887.655344,1420.541688,1795.51555,1923.407289,1292.6499490000003,347.729826,197.39511,747.5250130000004,2020,9
,2020-10-01,543.865163,484.49308600000006,0.44041,36.677633,22.085427,0.168607,517.056111,677.396246,0.38278,21.327185,0,0,0,721.191638,1038.8358469999998,1760.0274849999998,1646.919075,2444.436901,962.5096589999998,444.160833,312.628114,205.72071199999982,2020,10
,2020-11-01,527.79004,443.374077,0.737249,61.107638,21.659466,0.91161,500.47728,390.269474,0.702578,14.161978,0,0,0,426.793496,1006.6078540000001,1433.40135,1961.372771,1835.630385,1559.1437360000004,487.908024,344.30722,726.9284920000005,2020,11
,2020-12-01,480.802059,392.769479,0.795236,62.68616,23.809349,0.741835,487.807037,507.537506,0.740019,12.889541,0,0,0,544.976415,944.7997469999999,1489.7761619999999,1905.881766,1825.913691,1569.7442369999997,472.43394,430.320647,666.9896499999996,2020,12
,2021-01-01,466.855482,384.515937,0.078597,57.931889,23.485266,0.843793,516.737562,436.920513,0.580529,9.99765,0,0,0,470.9839580000001,960.107778,1431.091736,2690.299926,2165.402983,1955.988679,441.585294,431.568084,1082.835301,2021,1
,2021-02-01,387.288259,309.94584999999995,0.789364,55.367901,20.259815,0.925329,466.991884,431.396098,0.498634,20.679171,0,0,0,472.833718,834.020328,1306.854046,2290.232012,1948.861307,1648.224751,417.648874,316.625737,913.9501399999999,2021,2
,2021-03-01,460.198729,375.735744,4.054295,55.946178,23.497355,0.965157,514.418271,330.59939,0.498993,36.720189,0,0,0,391.31592700000004,951.119645,1342.435572,2125.51039,1674.131279,1793.8146829999998,307.679506,270.978005,1215.1571719999997,2021,3
,2021-04-01,375.993535,313.975341,2.405686,36.798222,22.361435,0.452851,0.347946,348.118489,0.420446,34.880923,0,0,0,405.781293,353.980046,759.761339,3187.383755,1274.382013,2672.763081,379.686953,246.817541,2046.258587,2021,4
,2021-05-01,218.146018,174.32763,2.000883,24.562214,16.290134,0.965157,416.965729,692.684343,0.390893,40.14841,0,0,0,749.51378,618.8216130000001,1368.335393,1992.430335,1914.763346,1446.0023820000004,421.019546,188.796743,836.1860930000004,2021,5
