GWh,FINLAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-11-01,2564.831,957.4960000000001,24.971,358.464,1180.652,43.248,1993.18,972.403,686.423,2.028,0,0,20,2841.506,3397.3590000000004,6238.865,1720,296.113,7662.7519999999995,0,265.263,7397.489,2018,11
,2018-12-01,3114.996,1123.7860000000003,24.971,559.045,1355.088,52.106,2072.148,978.068,461.165,0,0,0,20,2794.321,3852.0560000000005,6646.377,2078,350.134,8374.243,0,289.189,8085.054,2018,12
,2019-01-01,3414.346,1184.9989999999998,34.173,711.899,1431.931,51.344,2070.089,962.047,469.082,0.823,0,0,18.667,2863.883,4071.171,6935.054,2408,151.961,9191.093,0,290.932,8900.161,2019,1
,2019-02-01,2727.106,893.8110000000001,27.601,563.158,1200.635,41.901,1878.173,816.644,658.299,1.645,0,0,18.667,2677.223,3423.311,6100.534,1906,244.937,7761.597,0,245.445,7516.152,2019,2
,2019-03-01,2695.228,896.7040000000002,27.601,444.352,1280.538,46.033,2071.088,971.01,710.508,6.581,0,0,18.667,2968.6369999999997,3504.445,6473.082,1952,187.952,8237.130000000001,0,260.607,7976.523000000001,2019,3
,2019-04-01,1995.129,608.4089999999999,22.344,230.128,1092.347,41.901,1982.127,1102.47,489.106,16.453,0,0,18.667,2700.3759999999997,2903.5759999999996,5603.951999999999,1664,286.926,6981.025999999999,0,219.858,6761.167999999999,2019,4
,2019-05-01,1618.086,484.991,19.715,130.967,949.364,33.049,1504.338,1561.583,470.975,19.743,0,0,18.667,3001.665,2191.727,5193.392,1817,400.897,6609.495,0,208.486,6401.009,2019,5
,2019-06-01,1174.672,260.3330000000001,18.401,67.354,793.765,34.819,1771.22,1258.827,438.846,26.324,0,0,18.667,2517.762,2170.794,4688.5560000000005,1654,518.867,5823.689,0,182.899,5640.79,2019,6
,2019-07-01,1302.306,261.298,21.029,110.386,869.462,40.131,2046.099,973.998,307.032,31.26,0,0,18.667,2181.7520000000004,2497.6099999999997,4679.362,1959,562.856,6075.506,0,191.428,5884.078,2019,7
,2019-08-01,1255.065,241.0490000000001,22.344,102.903,851.589,37.18,1860.181,666.262,452.014,23.856,0,0,18.667,1993.7210000000002,2282.324,4276.045,2282,302.922,6255.123,0,197.114,6058.009,2019,8
,2019-09-01,1519.423,457.9939999999999,19.715,218.902,792.714,30.098,1566.31,816.644,431.761,13.162,0,0,18.667,2054.281,2311.6859999999997,4365.967,2202,245.937,6322.03,0,199.009,6123.021,2019,9
,2019-10-01,2141.823,700.9719999999998,26.287,319.934,1054.499,40.131,2071.088,824.611,477.946,4.936,0,0,18.667,2361.992,3177.079,5539.071,2182,414.894,7306.177,0,230.282,7075.8949999999995,2019,10
,2019-11-01,2313.526,794.4989999999998,24.973,350.804,1100.758,42.492,2012.203,1053.67,409.673,1.645,0,0,18.667,2565.7459999999996,3243.6379999999995,5809.383999999999,2157,226.942,7739.441999999999,0,244.497,7494.944999999999,2019,11
,2019-12-01,2339.29,742.432,24.973,388.224,1141.76,41.901,2082.083,1229.946,709.504,0.823,0,0,18.667,3082.033,3298.28,6380.313,1755,350.91,7784.403,0,245.445,7538.9580000000005,2019,12
,2020-01-01,2267.065547,712.1158060000002,23.0977,387.814975,1107.507946,36.52912,2082.791277,1290.594192,1009.42082,1.250579,0,0,18.383838,3408.7735370000005,3260.732716,6669.5062530000005,1933.120239,598.309566,8004.316926000001,0,253.369128,7750.947798000001,2020,1
,2020-02-01,1956.71839,723.1175949999999,20.380324,310.777237,868.197184,34.24605,1947.317338,1409.701066,802.667827,4.939144,0,0,18.383838,3085.5052210000003,3054.2223820000004,6139.727603000001,1719.711111,537.28109,7322.157624000001,0,232.255034,7089.9025900000015,2020,2
,2020-03-01,2153.69108,664.1079990000001,23.0977,302.898378,1124.204046,39.382957,2030.451554,1557.163477,877.842685,13.522363,0,0,18.383838,3572.732571,3078.322426,6651.054997,1852.829043,542.738714,7961.145326000001,0,251.449664,7709.695662000001,2020,3
,2020-04-01,1798.075897,546.0888059999997,17.662947,194.345202,1002.879055,37.099887,1926.065369,1324.029289,629.369517,23.781694,0,0,18.383838,2980.059555,2739.646049,5719.705604,1754.650187,594.758048,6879.597743,0,216.899329,6662.698414,2020,4
,2020-05-01,1509.242746,316.05139699999995,16.304259,260.002365,883.78021,33.104515,1614.575078,1566.272318,385.633513,41.056378,0,0,18.383838,2876.742419,2258.421452,5135.163871000001,1743.224582,590.797443,6287.59101,0,199.624161,6087.966849,2020,5
,2020-06-01,1152.131904,185.0300900000001,12.228194,224.985211,696.783894,33.104515,1795.477331,1132.630081,376.522976,54.972954,0,0,18.383838,2260.909905,2269.2091790000004,4530.119084,1488.121773,491.135756,5527.105101,0,167.95302,5359.152081,2020,6
,2020-07-01,979.761615,132.02147000000002,17.662947,140.944043,661.165548,27.967607,2028.480545,1133.608754,406.911301,44.057803,0,0,18.383838,2245.743406,2365.46045,4611.203856,1842.93361,704.832623,5749.304843,0,182.348993,5566.95585,2020,7
,2020-08-01,1219.935366,166.02699899999993,20.380324,211.853779,790.282052,31.392212,1658.02621,1047.39665,389.997243,40.104828,0,0,18.383838,2267.780773,2106.0633620000003,4373.844135,1955.235104,386.528668,5942.550571000001,0,188.107383,5754.443188000001,2020,8
,2020-09-01,1347.899581,211.03431999999998,16.304259,358.050394,737.967606,24.543002,1620.863028,953.532842,693.389599,20.818018,0,0,18.383838,2405.708065,2249.1788410000004,4654.886906,1727.216647,458.873069,5923.230484,0,188.107383,5735.123101,2020,9
,2020-10-01,1672.300525,420.0683119999999,23.0977,386.939546,813.656592,28.538375,1791.537495,1233.944844,653.34023,8.187519,0,0,18.383838,2709.1291850000002,2668.565266,5377.694451,1965.93947,539.828363,6803.805558000001,0,215.939597,6587.865961000001,2020,10
,2020-11-01,1765.773301,478.0777469999998,28.532453,276.635512,950.564609,31.96298,2000.264639,1542.337144,955.897184,2.481541,0,0,18.383838,3451.280478,2833.857169,6285.137647,1613.008097,643.956043,7254.189700999999,0,229.375839,7024.813861999999,2020,11
,2020-12-01,2347.412149,633.102956,32.608518,442.966992,1198.779958,39.953725,1863.314986,1441.249505,756.672459,0.82718,0,0,18.383838,3397.529102,3030.331015,6427.860117,2019.010136,576.960617,7869.909636000001,0,248.57047,7621.339166000002,2020,12
,2021-01-01,2864.194496,747.1214989999999,36.684583,696.841354,1339.027195,44.519865,2080.920302,1434.571434,522.410781,1.158646,0,0,18.383838,3297.168056,3624.471441,6921.639497,2145.152935,407.893512,8658.89892,0,275.442953,8383.455967,2021,1
,2021-02-01,2724.792374,757.1231250000003,35.325895,622.429903,1272.242796,37.670655,1879.253322,1327.559059,618.028025,5.422054,0,0,18.383838,3223.251934,3350.1867380000003,6573.438672,2063.274065,367.866307,8268.84643,0,262.966443,8005.879986999999,2021,2
,2021-03-01,2378.031945,628.1021430000003,31.24983,489.36472,1187.649225,41.666027,2080.84873,1355.381644,977.823658,14.851251,0,0,18.383838,3535.7057780000005,3289.6152880000004,6825.321066,1898.431685,576.711321,8147.04143,0,258.167785,7888.873645000001,2021,3
,2021-04-01,1813.336135,408.066362,23.0977,322.157812,1022.914374,37.099887,1859.326343,1401.326722,660.495065,30.284974,0,0,18.383838,3115.021135,2668.131942,5783.153077,1727.889889,603.340887,6907.702079,0,218.818792,6688.883287,2021,4
,2021-05-01,1439.95775,312.05074500000023,24.456389,120.80918,946.112316,36.52912,1498.690149,1613.398752,530.587735,62.038514,0,0,18.383838,3152.1373169999997,2010.9194210000003,5163.056738,1859.640919,487.615956,6535.081701000001,0,205.38255,6329.699151000001,2021,5
