GWh,TURKEY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-07-01,19858.624,8872.832,44.639,10768.919,169.769,2.465,0,4666.445,2148.827,314.845,348.19,0,70.791,7648.076,19759.646,27407.722,287.033,264.27,27430.485,0,3344.714,24085.771,2017,7
,2017-08-01,19257.075,8617.482,42.155,10430.003,165.125,2.31,0,4766.354,2257.112,321.238,392.734,0,82.011,7902.563000000001,19173.961,27076.524,212.465,242.77,27046.219,0,3295.71,23750.509000000002,2017,8
,2017-09-01,17686.92,7877.266999999996,40.735,9600.558,165.895,2.465,0,3739.592,1040.629,327.347,432.039,0,83.2,5705.5019999999995,17604.225,23309.727,260.422,242.453,23327.695999999996,0,2846.583,20481.112999999998,2017,9
,2017-10-01,18329.306,8148.391,48.69,9952.053,177.652,2.52,0,2320.858,1327.328,325.52,497.517,0,77.478,4648.875,18229.131999999998,22878.006999999998,152.059,324.566,22705.5,0,2781.357,19924.143,2017,10
,2017-11-01,19154.26,8328.321,52.757,10592.864,177.579,2.739,0,2213.659,1090.055,248.947,521.465,0,58.738,4251.705000000001,19035.419,23287.124000000003,172.511,336.969,23122.666,0,2833.236,20289.43,2017,11
,2017-12-01,17144.726,8356.425,45.277,8557.796,181.97,3.258,0,4886.887,2183.075,217.724,534.023,0,59,8003.679,17021.756,25025.435,232.612,307.833,24950.214000000004,0,3050.431,21899.783000000003,2017,12
,2018-01-01,18093.804,9327.94,25.102,8552.863,185.662,2.237,0,4421.533,1809.536,242.65,558.724,0,81.535,7218.1050000000005,17989.677,25207.782,165.851,257.461,25116.172,0,0,25116.172,2018,1
,2018-02-01,16465.056,9047.991000000002,19.402,7220.709,174.949,2.005,0,3555.314,1672.573,352.154,482.178,0,69.435,6237.168,16359.542000000001,22596.71,189.651,209.21,22577.151,0,0,22577.151,2018,2
,2018-03-01,14167.855,7765.424,19.396,6184.336,196.312,2.387,0,6079.703,2046.545,518.146,540.646,0,78.913,9381.352000000003,14050.456,23431.808000000005,130.214,218.764,23343.258000000005,0,0,23343.258000000005,2018,3
,2018-04-01,13890.526,7388.723999999999,20.886,6251.25,225.067,4.599,0,6152.941,1162.363,774.732,521.798,0,77.05,8836.901,13742.509,22579.41,233.762,71.873,22741.299,0,0,22741.299,2018,4
,2018-05-01,14116.636,8305.407,28.255,5583.877,197.102,1.995,0,6297.603,1216.486,734.834,507.138,0,84.315,8953.163,14003.849,22957.012000000002,289.899,135.765,23111.146000000004,0,0,23111.146000000004,2018,5
,2018-06-01,14913.894,8679.881000000001,27.263,6015.297,189.51,1.943,0,5514.156,1230.189,820.108,476.361,0,81.042,8230.324,14805.426000000001,23035.75,229.307,293.848,22971.209,0,0,22971.209,2018,6
,2018-07-01,19621.868,9150.937999999998,27.967,10245.784,194.807,2.372,0,5685.033,1425.059,863.278,463.195,0,80.793,8631.372000000001,19507.854,28139.226000000002,273.88,307.668,28105.438000000002,0,0,28105.438000000002,2018,7
,2018-08-01,17438.947,9697.581999999999,24.383,7525.774,189.246,1.962,0,5415.76,2343.7,920.388,484.609,0,79.18,9353.703000000001,17328.880999999998,26682.584,230.872,281.899,26631.556999999997,0,0,26631.556999999997,2018,8
,2018-09-01,17593.596,8880.024000000003,27.023,8494.669,190.892,0.988,0,3557.466,1705.766,808.692,469.341,0,75.465,6732.157,17478.169,24210.326,205.471,230.647,24185.15,0,0,24185.15,2018,9
,2018-10-01,17581.069,9552.361,28.762,7706.669,293.068,0.209,0,2368.286,1513.512,678.868,568.494,0,51.546,5422.228,17339.547,22761.774999999998,148.011,366.561,22543.224999999995,0,0,22543.224999999995,2018,10
,2018-11-01,16242.467,9426.608,31.653,6564.982,219.037,0.187,0,3596.595,2037.747,470.138,592.868,0,67.369,6916.385,16090.799,23007.184,246.921,332.808,22921.297,0,0,22921.297,2018,11
,2018-12-01,16358.216,9379.844000000001,29.709,6709.328,238.379,0.956,0,5780.429,1672.577,321.501,625.484,0,68.985,8638.37,16188.822000000002,24827.192000000003,133.047,405.373,24554.866,0,0,24554.866,2018,12
,2019-01-01,13884.699,8352.89,37.52,5224.069,269.178,1.042,0,7612.068,2220.292,306.429,580.485,0,95.058,10988.452000000001,13710.579,24699.031000000003,142.597,251.622,24590.006000000005,0,2667.545,21922.461000000003,2019,1
,2019-02-01,12280.259,8560.017,34.714,3438.464,246.346,0.718,0,7138.445,1828.547,504.841,1304.666,0,83.854,11022.845,12117.767,23140.612,175.964,321.849,22994.727000000003,0,2503.782,20490.945000000003,2019,2
,2019-03-01,12434.173,7995.714000000001,34.597,4128.594,273.504,1.764,0,7678.633,2029.287,760.012,576.807,0,90.102,11318.243,12250.771,23569.014000000003,259.045,264.086,23563.973,0,2558.706,21005.267,2019,3
,2019-04-01,9888.924,6610.052000000001,31.679,3000.71,244.702,1.781,0,9929.557,1497.637,741.786,554.876,0,97.116,12968.558,9741.338000000002,22709.896,120.357,293.341,22536.912,0,2451.559,20085.353,2019,4
,2019-05-01,9584.659,6456.552,40.03,2829.028,257.199,1.85,0,11532.18,1169.001,943.258,542.88,0,100.997,14444.518,9428.456999999999,23872.975,136.683,327.402,23682.256,0,2578.206,21104.050000000003,2019,5
,2019-06-01,10434.808,7182.040000000001,17.973,2962.869,270.711,1.215,0,9561.609,1726.088,931.78,479.11,0,84.317,12969.298,10248.414,23217.712,154.744,155.859,23216.596999999998,0,2509.782,20706.815,2019,6
,2019-07-01,16186.856,10079.792000000001,19.155,5830.696,256.026,1.187,0,7595.905,1979.493,1049.582,487.189,0,56.635,11368.195,15987.465000000002,27355.660000000003,164.11,180.712,27339.058000000005,0,2955.129,24383.929000000004,2019,7
,2019-08-01,15195.333,9811.547999999999,19.349,5081.506,281.871,1.059,0,6920.101,2676.642,1008.567,466.775,0,75.067,11353.956,14988.528999999997,26342.484999999997,193.118,175.888,26359.714999999997,0,2849.448,23510.266999999996,2019,8
,2019-09-01,14929.629,9816.763000000003,17.471,4815.826,278.807,0.762,0,5644.868,1997.213,924.544,504.781,0,78.882,9350.213000000002,14729.704000000002,24079.917,129.097,168.055,24040.959000000003,0,2599.614,21441.345,2019,9
,2019-10-01,15017.001,10046.209,19.298,4674.497,275.231,1.766,0,5072.868,1268.203,785.973,574.43,0,101.479,7976.705,14843.249,22819.953999999998,126.965,260.21,22686.709,0,2464.087,20222.622,2019,10
,2019-11-01,15440.865,9835.506,19.988,5288.729,295.62,1.022,0,4478.025,1357.231,604.284,621.988,0,94.475,7357.147999999999,15239.72,22596.868,309.34,200.438,22705.77,0,2459.716,20246.054,2019,11
,2019-12-01,16698.007,10320.373000000001,20.936,6041.565,313.475,1.658,0,5045.162,1863.47,384.659,658.398,0,81.941,8265.164,16466.472999999998,24731.637,299.486,189.205,24841.917999999998,0,2687.893,22154.024999999998,2019,12
,2020-01-01,16109.178798,9116.849431000002,13.967968,6652.821292,324.449658,1.090449,0,5455.159631,2388.262202,554.440035,749.906888,0,72.352579,9472.218413999999,15857.081719000003,25329.300133000004,126.833933,227.460092,25228.673974000005,0,2546.800974,22681.873000000003,2020,1
,2020-02-01,13099.681038,8259.758177,12.413174,4522.267867,303.81974,1.42208,0,7125.634978,2246.241559,593.087416,686.237725,0,69.864067,10955.021418,12865.725365,23820.746783000002,284.15885,184.272074,23920.633559,0,2414.756039,21505.877520000002,2020,2
,2020-03-01,10284.433838,7650.495760000001,12.885327,2283.645726,336.04565,1.361375,0,9564.964313,2152.435991,872.49186,752.062462,0,74.355119,13678.000276,10022.743307,23700.743583000003,307.183837,190.925077,23817.002343000004,0,2404.294606,21412.707737000004,2020,3
,2020-04-01,6452.853792,4733.509381,14.921044,1374.935573,328.223098,1.264696,0,9097.114704,1990.062074,1053.330584,702.726007,0,80.463285,13171.456466999998,6205.093978999999,19376.550445999997,163.769913,163.231066,19377.089292999997,0,1956.091308,17420.997984999998,2020,4
,2020-05-01,7609.395074,5706.922036,12.937663,1549.507818,339.081002,0.946555,0,8991.140682,1530.941209,1193.878324,609.996222,0,89.805679,12665.037439,7360.119751,20025.157189999998,210.702888,120.700049,20115.160029,0,2030.598564,18084.561465,2020,5
,2020-06-01,12669.658476,8970.69222,12.546984,3358.709861,326.69653,1.012881,0,6707.997354,1269.189364,1218.861312,624.177469,0,71.238195,10146.922029,12414.200141000001,22561.122170000002,343.660818,56.243023,22848.539965000004,0,2306.529621,20542.010344000002,2020,6
,2020-07-01,15942.635339,9394.644531000002,14.104041,6191.159651,341.028489,1.698627,0,6767.74132,2617.978728,1347.90073,594.382607,0,93.391817,11669.031873999998,15694.998667000002,27364.030541,172.024909,139.504056,27396.551394,0,2765.645306,24630.906088,2020,7
,2020-08-01,16447.375579,9137.652219,29.920732,6938.978323,339.172893,1.651412,0,6674.0718,2432.619951,1328.012502,605.749271,0,92.206213,11379.626417,16200.408899,27580.035316,105.960944,152.927062,27533.069198,0,2779.426596,24753.642602,2020,8
,2020-09-01,16991.102652,8843.602249,127.817025,7673.203701,345.663526,0.816151,0,5548.64278,2089.495035,1139.167136,611.360382,0,94.581611,9734.328859000001,16740.020737,26474.349596,52.795972,218.579088,26308.56648,0,2655.814681,23652.751799,2020,9
,2020-10-01,16909.11128,8733.505290000001,16.593805,7790.872885,367.322025,0.817275,0,4457.099235,1129.10889,982.225632,687.909824,0,97.994587,7623.6656060000005,16639.783842000004,24263.449448000007,55.687971,320.006129,23999.131290000005,0,2422.68028,21576.451010000004,2020,10
,2020-11-01,17109.977807,8972.742472999998,15.137742,7767.669509,353.788428,0.639655,0,3265.21188,2297.598529,38.002931,748.790484,0,88.215098,6703.392252,16844.404477,23547.796729,30.527984,372.00715,23206.317563,0,2342.646792,20863.670771,2020,11
,2020-12-01,18214.444715,9381.278484,17.129043,8420.815715,393.684727,1.536746,0,3924.958606,2425.27252,573.430159,782.083011,0,87.773813,8099.429023,17908.533801,26007.962824000002,34.978981,338.135136,25704.806669,0,2594.865934,23109.940735,2020,12
,2021-01-01,17076.455961,8778.71395,12.892682,7863.097479,420.274685,1.477165,0,4259.205177,2859.224208,540.040455,780.630582,0,95.873347,8859.375107,16752.054623,25611.42973,65.623965,164.259066,25512.794629,0,2575.482575,22937.312054,2021,1
,2021-02-01,14757.784098,8386.079263,12.207226,5958.322325,399.885856,1.289428,0,3983.565307,2490.579903,870.304856,730.625087,0,86.250263,8474.961008999999,14444.148505,22919.109513999996,83.807956,224.39009,22778.527379999996,0,2299.461944,20479.065435999997,2021,2
,2021-03-01,16139.384013,7953.405871000002,13.193117,7726.874244,444.22452,1.686261,0,6145.170621,2491.96874,948.578149,825.858508,0,77.839315,10855.800538,15772.998808,26628.799346,91.310952,367.487148,26352.62315,0,2660.262143,23692.361007,2021,3
,2021-04-01,12457.542351,6768.036376000001,12.006936,5216.242018,458.995182,2.261839,0,8003.479995,2403.726527,1117.542504,758.683654,0,106.796546,12742.427862,12105.343715,24847.771577,88.770953,301.744121,24634.798409,0,2486.850028,22147.948381,2021,4
,2021-05-01,13871.635793,6813.014463999999,10.55738,6576.822064,470.078365,1.16352,0,5757.458586,2070.367501,1532.090591,732.044416,0,82.460239,10562.039459000001,13484.017666999998,24046.057126,213.509887,333.928134,23925.638879,0,2415.261319,21510.377559999997,2021,5
