GWh,HUNGARY,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-09-01,1218.891,320.63700000000006,3.799,707.052,171.878,15.525,1169.656,9.682,36.318,165.493,0.633,0,8.5,384.00399999999996,2225.169,2609.173,1735.218,838.873,3505.5179999999996,0,224.344,3281.1739999999995,2019,9
,2019-10-01,1473.746,405.80200000000013,5.503,880.13,163.158,19.153,1420.353,10.38,47.773,147.447,0.774,0,8.5,369.532,2739.4410000000003,3108.9730000000004,1648.666,1024.96,3732.679,0,263.083,3469.596,2019,10
,2019-11-01,1256.904,302.937,3.323,763.027,165.328,22.289,1384.418,21.316,63.775,59.743,0.799,0,8.5,310.961,2484.4939999999997,2795.455,1371.407,438.847,3728.0150000000003,0,277.698,3450.3170000000005,2019,11
,2019-12-01,1247.529,277.62299999999993,4.647,776.175,167.022,22.062,1437.889,24.084,84.183,50.695,1.007,0,8.5,326.991,2526.8959999999997,2853.8869999999997,1526.647,549.499,3831.035,0,328.688,3502.3469999999998,2019,12
,2020-01-01,1446.329487,351.2350889999998,2.814438,947.057465,126.145404,19.077091,1445.552252,20.016461,37.567514,61.637424,1.050843,0,11.563063,246.417646,2777.2993979999997,3023.7170439999995,1924.730699,748.426538,4200.021205,0,337.892172,3862.129033,2020,1
,2020-02-01,1375.360426,337.85254499999996,1.888558,889.961629,127.078439,18.579255,1020.026507,17.918034,105.091456,130.752769,0.890059,0,11.563063,381.730757,2279.871557,2661.6023139999998,1908.547701,775.789789,3794.3602259999993,0,287.477115,3506.883110999999,2020,2
,2020-03-01,1193.82844,355.293598,3.068461,677.525784,140.682826,17.257771,1362.197817,14.05477,71.728782,201.197455,0.91877,0,11.563063,428.58260299999995,2426.9064940000003,2855.489097,1618.125747,600.757575,3872.8572689999996,0,276.679387,3596.1778819999995,2020,3
,2020-04-01,835.886829,220.32075300000008,3.684528,452.669737,136.663348,22.548463,1382.886166,21.675427,37.416759,305.066419,0.767556,0,11.563063,501.589509,2093.6727100000003,2595.262219,1245.417805,586.897954,3253.78207,0,226.034357,3027.747713,2020,4
,2020-05-01,818.017678,201.20967700000006,3.385397,433.880616,160.477581,19.064407,1286.287868,22.804044,70.182525,267.719093,0.65271,0,11.563063,521.8359529999999,1955.391028,2477.226981,1542.553759,708.943617,3310.837123,0,227.771152,3083.065971,2020,5
,2020-06-01,965.316093,204.33152400000006,4.102361,575.638289,165.734914,15.509005,1114.225649,16.426862,59.496243,259.521327,0.574231,0,11.563063,501.753577,1925.369891,2427.1234680000002,1437.553775,494.186489,3370.490754,0,220.604997,3149.885757,2020,6
,2020-07-01,1121.597385,291.11742000000004,5.174245,637.203876,171.489356,16.612488,1338.31826,23.871735,33.884205,312.013224,0.596244,0,11.563063,541.8547639999999,2299.989352,2841.844116,1527.339761,682.170349,3687.0135280000004,0,241.427542,3445.5859860000005,2020,7
,2020-08-01,1163.080378,322.95431400000007,1.818523,648.275544,174.025156,16.006841,990.93361,21.966071,31.1971,316.236378,0.535949,0,11.563063,543.960654,1991.551895,2535.512549,1519.731762,471.365113,3583.879198,0,239.350787,3344.5284110000002,2020,8
,2020-09-01,1173.053792,324.7637729999999,2.251788,660.082343,171.561464,14.394424,1332.447878,14.880757,35.528248,280.263768,0.311042,0,11.563063,502.545279,2345.503269,2848.0485479999998,1347.586789,623.670948,3571.9643889999998,0,228.785033,3343.1793559999996,2020,9
,2020-10-01,1277.911911,311.02891799999986,3.250076,736.850789,207.557589,19.224539,1435.111572,21.675427,65.841191,164.029574,0.037325,0,11.563063,459.14110600000004,2517.028957,2976.170063,1539.378759,646.104335,3869.4444869999998,0,266.30761,3603.136877,2020,10
,2020-11-01,1458.14191,303.42067399999996,3.003175,928.455694,203.238754,20.023613,1164.750944,21.987045,33.992178,80.777232,0.690992,0,11.563063,340.68620100000004,2431.217163,2771.903364,1756.650725,570.407405,3958.1466839999994,0,281.243849,3676.9028349999994,2020,11
,2020-12-01,1319.688855,316.059212,4.262609,777.104224,199.394083,22.868727,1309.921409,20.038434,55.103978,51.146057,0.974279,0,11.563063,326.656831,2441.7792440000003,2768.4360750000005,1808.382717,589.279889,3987.538903,0,305.425999,3682.112904,2020,12
,2021-01-01,1377.643294,228.2770479999997,3.482733,958.145301,166.943271,20.794941,1443.042089,14.776885,58.804604,98.869245,0.900586,0,11.563063,340.29459099999997,2665.305175,3005.599766,1568.584755,427.130322,4147.054199,0,311.294307,3835.759892,2021,1
,2021-02-01,1107.681596,202.483748,2.167509,723.320758,159.083492,20.626089,1290.429138,6.521006,51.959515,177.231184,0.445029,0,11.563063,395.240226,2250.590305,2645.830531,1512.825763,309.865528,3848.7907660000005,0,279.995996,3568.7947700000004,2021,2
,2021-03-01,1148.863383,219.93544600000018,3.950421,709.075567,192.966633,22.935316,1415.337282,16.448835,70.923058,325.373654,0.584759,0,11.563063,606.296939,2382.7970950000004,2989.094034,1501.735765,477.780937,4013.048862,0,278.834133,3734.2147290000003,2021,3
,2021-04-01,1063.642228,231.19453499999986,3.599062,619.348648,186.972923,22.52706,1382.982173,19.248403,76.612019,335.042047,0.648881,0,11.563063,618.524273,2271.214541,2889.738814,1469.37177,649.709237,3709.401347,0,239.313792,3470.087555,2021,4
,2021-05-01,1010.259778,216.1409030000001,2.198372,593.620001,177.99547,20.305032,1098.686636,11.835491,75.767587,407.558605,0.532121,0,11.563063,673.689274,1942.514007,2616.203281,1415.970778,372.176824,3659.997235,0,229.199984,3430.797251,2021,5
