GWh,UNITEDKINGDOM,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-10-01,15182.367,1065.4400000000005,138.337,10435.234,3205.792,337.564,4161.848,841.938,5810.617,751.676,0,0.775,0,10610.797999999999,16138.423,26749.220999999998,1195.4,317.602,27627.019,244.504,1977.339,25405.176,2018,10
,2018-11-01,16106.456,2438.0820000000003,152.702,10164.06,3033.797,317.815,4284.26,758.144,6813.052,467.152,0,0.775,0,11072.919999999998,17356.919,28429.839,1462.31,315.186,29576.963,250.857,2148.038,27178.068,2018,11
,2018-12-01,16399.661,1537.9689999999991,137.04,11257.096,3135.464,332.092,4762.848,869.947,6236.777,354.129,0,0.775,0,10597.092,18027.045,28624.137,1893.449,266.117,30251.469,259.738,2628.901,27362.83,2018,12
,2019-01-01,19984.105,2051.254000000001,193.538,14354.65,3007.491,377.172,4421.661,738.859,5677.458,477.483,0,1.166,0,9902.456999999999,21398.274999999998,31300.731999999996,1702.931,377.974,32625.688999999995,248.8,2795.396,29581.492999999995,2019,1
,2019-02-01,14219.455,700.6620000000003,123.77,10457.226,2597.542,340.255,4138.371,680.621,5951.737,729.345,0,1.166,0,9960.410999999998,15760.284,25720.695,2302.276,146.347,27876.623999999996,206.971,2674.602,24995.050999999996,2019,2
,2019-03-01,13959.247,507.0699999999997,91.57,10027.281,2951.275,382.051,4070.716,889.864,6966.418,935.964,0,1.166,0,11744.687,15078.688,26823.375,2774.23,205.472,29392.132999999998,214.247,2445.509,26732.376999999997,2019,3
,2019-04-01,14115.546,335.4430000000011,83.917,10692.304,2658.065,345.817,4423.333,447.032,4759.651,1555.877,0,1.166,0,9421.791,15880.813999999998,25302.604999999996,1791.793,188.58,26905.817999999996,149.253,2121.153,24635.411999999997,2019,4
,2019-05-01,14323.833,44.14400000000023,114.848,10723.727,3074.383,366.731,4396.399,294.021,3215.832,1717.228,0,1.166,0,8302.63,15645.849000000002,23948.479,2350.064,149.385,26149.158,120.23,1976.972,24051.956,2019,5
,2019-06-01,13591.516,105.1909999999989,102.074,10106.143,2909.537,368.571,3048.893,472.218,4176.473,1582,0,1.166,0,9141.393999999998,13730.872,22872.265999999996,1984.322,164.629,24691.958999999995,164.192,1970.522,22557.244999999995,2019,6
,2019-07-01,14420.352,144.60500000000138,105.719,10892.374,2901.135,376.519,3708.124,429.369,3553.15,1634.335,0,1.166,0,8519.155,15227.341,23746.496,1975.231,355.007,25366.719999999998,128.656,1713.751,23524.313,2019,7
,2019-08-01,11772.604,375.7399999999998,88.198,8003.295,2922.864,382.507,4139.79,602.943,5243.26,1544.933,0,1.166,0,10315.166,12989.529999999999,23304.695999999996,1878.603,346.971,24836.327999999994,156.032,1900.609,22779.686999999994,2019,8
,2019-09-01,11794.593,256.34100000000217,107.598,8320.784,2752.094,357.776,4498.382,703.288,5355.567,1333.48,0,1.166,0,10145.595,13540.881000000001,23686.476000000002,1666.456,368.513,24984.419,148.8,1670.785,23164.834000000003,2019,9
,2019-10-01,14371.917,435.95100000000093,112.399,10639.604,2794.216,389.747,4804.236,862.922,6318.054,744.832,0,1.166,0,10721.189999999999,16381.936999999998,27103.126999999997,1630.618,400.94,28332.804999999997,203.857,2332.023,25796.924999999996,2019,10
,2019-11-01,16924.73,1223.7200000000012,143.8,11682.087,3494.749,380.374,4658.09,549.427,5387.19,370.789,0,1.166,0,9803.321,18088.071,27891.392,2246.042,305.373,29832.061,176.288,2234.334,27421.439000000002,2019,11
,2019-12-01,14944.094,1179.089,150.688,9453.642,3745.379,415.296,4724.095,946.955,7730.053,291.804,0,1.166,0,12715.356999999998,15922.810000000001,28638.167,2253.022,375.928,30515.261000000002,197.933,2896.458,27420.870000000003,2019,12
,2020-01-01,15150.166377,1777.6763499999997,68.930157,9265.953592,3538.208342,499.397936,4829.276654,889.092524,8901.683887,449.537758,0,0.883333,0,13779.405843999999,16441.234689,30220.640532999998,1822.579017,432.736991,31610.482558999996,186.518957,3039.16038,28384.803221999995,2020,1
,2020-02-01,12238.804339,1199.5000090000012,63.166803,7429.34504,3076.682233,470.110254,3817.781543,910.78708,9811.851267,602.806443,0,0.883333,0,14403.010355999999,12979.903649,27382.914005,2320.906375,233.79728,29470.0231,185.608944,2872.698198,26411.715957999997,2020,2
,2020-03-01,14074.049826,609.8891320000002,61.48099,9547.32308,3352.562248,502.794376,3257.184254,866.205688,7744.649196,1009.449161,0,0.883333,0,12973.749626,13978.671832,26952.421458,2536.82794,212.106286,29277.143112,187.837192,2461.055625,26628.250295,2020,3
,2020-04-01,10851.441313,173.08233199999995,53.480447,7145.027953,3046.043666,433.806915,3653.282339,483.637506,4590.113243,1736.065606,0,0.883333,0,9856.743354,11458.679986,21315.42334,2089.731226,330.170765,23074.983801000002,133.683425,1938.310538,21002.989838,2020,4
,2020-05-01,10579.567829,78.06127000000015,33.390003,6736.364229,3270.691925,461.060402,3967.080822,396.564598,4303.527029,1972.239748,0,0.883333,0,9943.906633,11275.956726,21219.863359000003,2060.829058,284.916694,22995.775723000002,112.653588,1848.165128,21034.957007,2020,5
,2020-06-01,12188.05858,149.35337500000242,35.357847,8391.893633,3167.916469,443.537256,3161.984714,390.835526,4511.377716,1665.589116,0,0.883333,0,9736.60216,12182.126825000001,21918.728985,1423.303352,497.676674,22844.355663000002,116.47369,1999.988759,20727.893214000003,2020,6
,2020-07-01,13433.738691,114.69683500000065,65.594627,9437.655767,3379.85349,435.937972,3709.282068,538.202817,4577.581899,1497.787535,0,0.883333,0,9994.309073999999,13763.167269000001,23757.476343000002,1053.449354,864.54739,23946.378307000003,105.173573,2160.583368,21680.621366000003,2020,7
,2020-08-01,13748.761983,160.54210200000125,82.383048,10244.467406,2838.007462,423.361965,2976.985608,388.517409,4538.069166,1365.065359,0,0.883333,0,9130.542729,13887.740129000002,23018.282858000002,1650.784604,277.107269,24391.960193000003,130.361483,2242.878747,22018.719963000003,2020,8
,2020-09-01,13405.704032,294.407729999999,69.245768,10073.929454,2563.50321,404.61787,3242.284326,478.649901,5592.366944,1294.427995,0,0.883333,0,9929.831383,14084.485148,24014.316531,1288.694498,511.718441,24791.292588,135.428438,1949.428308,22706.435842,2020,9
,2020-10-01,13361.972363,206.20829400000002,87.885942,9727.466149,2924.992795,415.419183,4418.878638,718.302284,7030.45103,524.455565,0,0.883333,0,11199.085007,14855.858206,26054.943213,2109.171205,256.838371,27907.276046999996,166.669612,2341.533696,25399.072738999996,2020,10
,2020-11-01,14180.174621,446.59247100000175,108.416978,10063.843778,3152.308592,409.012802,4124.780059,887.782365,6810.856437,387.529738,0,0.883333,0,11239.360465,15152.646088000001,26392.006553,2200.739706,301.097641,28291.648618,194.488599,1985.013659,26112.14636,2020,11
,2020-12-01,16294.609387,742.0680439999996,122.129872,11492.209473,3508.370895,429.831103,4509.178201,870.055966,7197.271012,295.945977,0,0.883333,0,11872.527183,17295.416693,29167.943875999998,1833.683665,278.086199,30723.541341999997,210.202499,2907.183594,27606.155248999996,2020,12
,2021-01-01,18679.557597,1432.7463279999974,162.251013,12244.707182,4217.508988,622.344086,4136.98,773.33291,6474.475441,385.685516,0,0.883333,0,11851.886187999999,18599.028608999994,30450.91479699999,2131.902581,166.43222,32416.38515799999,211.947862,2734.257456,29470.17983999999,2021,1
,2021-02-01,13912.049784,711.2848570000006,122.351167,8659.326846,3858.124524,560.96239,3160.584721,685.152562,8014.479393,552.38331,0,0.883333,0,13111.023121999999,13214.509981000003,26325.533103,2447.585437,216.371245,28556.747295000005,180.969285,2750.66927,25625.108740000003,2021,2
,2021-03-01,15963.032812,383.8342759999996,122.892729,10232.170385,4609.226786,614.908636,3194.784555,792.45119,6611.401153,811.211468,0,0.883333,0,12825.173929999999,14548.590580999999,27373.764510999998,2432.745153,318.155279,29488.354385,172.629857,2430.672762,26885.051765999997,2021,3
,2021-04-01,16367.443553,291.5766760000006,135.945291,11637.332639,3763.070954,539.517993,3430.883414,691.212864,3730.430883,1417.94867,0,0.883333,0,9603.546704,16035.256013,25638.802717,1880.485354,340.774064,27178.514006999998,223.787926,2543.965009,24410.761071999998,2021,4
,2021-05-01,15360.915095,276.75293899999997,143.597297,10281.661136,4115.718862,543.184861,3253.384272,530.422258,4336.743932,1297.080374,0,0.883333,0,10280.848759,14498.580505,24779.429264,2434.154152,376.381326,26837.20209,175.281523,2764.087152,23897.833414999997,2021,5
