GWh,PORTUGAL,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2017-12-01,2749.224,1138.42,103.544,1208.17,272.126,26.964,0,629.904,1388.382,54.008,17.769,0,0,2362.189,2477.098,4839.287,805.853,580.991,5064.149,307.011,462.692,4294.446,2017,12
,2018-01-01,3041.885,1073.1030000000003,94.318,1577.087,272.346,25.031,0,713.664,1374.101,51.541,17.927,0,0,2429.579,2769.539,5199.118,658.95,685.879,5172.189,192.212,465.48,4514.497,2018,1
,2018-02-01,2589.999,1059.624,80.311,1180.473,248.732,20.859,0,814.811,1163.239,63.911,16.931,0,0,2307.6240000000003,2341.267,4648.891,660.95,620.891,4688.95,199.293,420.02,4069.6369999999997,2018,2
,2018-03-01,1355.274,359.77499999999975,72.84,624.589,274.708,23.362,0,2578.123,1950.724,72.157,17.927,0,0,4893.639,1080.5659999999998,5974.205,310.976,1186.791,5098.389999999999,252.91,460.539,4384.941,2018,3
,2018-04-01,1176.256,243.65100000000007,66.303,600.646,244.797,20.859,0,2312.351,1110.274,84.527,16.931,0,0,3768.88,931.4590000000001,4700.339,451.966,686.879,4465.426,167.932,410.137,3887.3570000000004,2018,4
,2018-05-01,2314.378,958.0160000000003,78.443,997.26,258.965,21.694,0,1100.549,722.528,98.958,16.931,0,0,2197.931,2055.4130000000005,4253.344000000001,528.96,457.919,4324.385000000001,98.129,397.289,3828.967000000001,2018,5
,2018-06-01,2949.886,1109.391,88.715,1467.784,258.965,25.031,0,1020.135,703.54,95.866,15.935,0,0,2094.441,2690.9210000000003,4785.362,244.981,739.87,4290.473,66.768,394.324,3829.381,2018,6
,2018-07-01,3459.816,1276.3180000000002,97.12,1794.652,269.198,22.528,0,896.045,613.599,108.236,16.931,0,0,1904.0090000000002,3190.618,5094.627,231.982,829.854,4496.755,24.279,416.066,4056.4100000000003,2018,7
,2018-08-01,3252.833,1168.4900000000002,109.26,1689.513,260.539,25.031,0,662.896,748.511,118.544,16.931,0,0,1807.421,2992.294,4799.715,333.975,657.884,4475.8060000000005,63.733,411.125,4000.9480000000003,2018,8
,2018-09-01,3302.006,1252.4719999999998,112.061,1671.817,244.797,20.859,0,750.043,433.716,98.958,15.935,0,0,1543.449,3057.2089999999994,4600.657999999999,483.963,592.896,4491.724999999999,44.512,414.09,4033.1229999999996,2018,9
,2018-10-01,2521.092,935.2060000000001,98.054,1255.424,214.886,17.522,0,551.136,1194.219,82.465,17.927,0,0,2060.633,2306.206,4366.839,614.953,462.919,4518.873,165.909,407.172,3945.7919999999995,2018,10
,2018-11-01,2588.796,1025.4089999999999,84.98,1241.891,229.841,6.675,0,862.394,1382.096,57.726,16.931,0,0,2548.9880000000003,2358.955,4907.943,512.961,751.868,4669.036,140.618,423.973,4104.445,2018,11
,2018-12-01,2389.144,1091.7649999999996,97.12,921.269,258.965,20.025,0,1263.705,1125.264,71.126,16.931,0,0,2735.991,2130.1789999999996,4866.17,632.952,650.886,4848.236000000001,166.921,439.785,4241.530000000001,2018,12
,2019-01-01,2654.476,1073.992,95.558,1188.861,270.303,25.762,0,924.394,1434.678,68.492,16.961,0,0,2714.828,2384.1730000000002,5099.001,674.049,514.121,5258.929,159.97,466.866,4632.093,2019,1
,2019-02-01,1802.226,629.836,80.145,849.777,221.306,21.162,0,925.32,919.075,84.059,15.963,0,0,2165.7230000000004,1580.92,3746.6430000000005,845.062,144.034,4447.671000000001,125.976,397.809,3923.8860000000013,2019,2
,2019-03-01,1662.072,619.2859999999998,84.255,671.965,265.404,21.162,0,878.078,1094.28,116.229,17.959,0,0,2371.9499999999994,1396.668,3768.6179999999995,961.07,171.04,4558.647999999999,138.974,407.535,4012.138999999999,2019,3
,2019-04-01,1889.498,518.0060000000001,79.118,1016.218,253.154,23.002,0,891.385,1194.397,112.078,17.959,0,0,2468.9729999999995,1636.344,4105.316999999999,654.048,344.081,4415.283999999999,185.965,390.028,3839.290999999999,2019,4
,2019-05-01,2128.826,356.22800000000007,93.461,1408.713,248.411,22.013,0,625.136,1162.058,143.224,17.807,0,0,2196.636,1880.415,4077.051,740.054,332.078,4485.027,130.975,400.727,3953.325,2019,5
,2019-06-01,2667.892,557.038,97.637,1715.609,272.861,24.747,0,302.376,800.369,147.54,14.958,0,0,1538.104,2395.0309999999995,3933.1349999999993,524.038,204.048,4253.124999999999,97.982,381.274,3773.8689999999992,2019,6
,2019-07-01,3151.512,798.8140000000003,110.002,1939.875,277.235,25.586,0,446.869,707.832,151.332,15.799,0,0,1599.067,2874.277,4473.344,493.83,332.921,4634.253,77.334,416.289,4140.63,2019,7
,2019-08-01,2299.746,85.99800000000005,117.907,1760.374,312.36,23.107,0,492.743,828.687,155.177,15.073,0,0,1804.04,1987.386,3791.426,764.378,177.484,4378.32,110.139,394.18,3874.0009999999997,2019,8
,2019-09-01,2163.139,52.39100000000053,128.149,1672.801,286.08,23.718,0,657.463,907.719,132.671,14.562,0,0,1998.495,1877.0590000000004,3875.554,856.858,244.544,4487.868,175.255,398.141,3914.4720000000007,2019,9
,2019-10-01,2481.315,308.41899999999987,112.169,1747.293,290.799,22.635,0,547.949,1057.83,100.709,15.743,0,0,2013.03,2190.516,4203.546,709.229,314.578,4598.197,154.645,409.045,4034.507,2019,10
,2019-11-01,2164.607,231.51300000000015,113.927,1535.935,269.065,14.167,0,1008.962,1951.419,63.572,12.463,0,0,3305.481,1895.542,5201.023,516.267,716.97,5000.32,272.841,435.588,4291.891,2019,11
,2019-12-01,1836.861,144.32200000000012,105.491,1266.613,300.905,19.53,0,2474.103,1517.816,65.496,16.271,0,0,4374.590999999999,1535.9560000000001,5910.547,360.326,1204.136,5066.736999999999,196.654,450.177,4419.905999999999,2019,12
,2020-01-01,2306.270346,120.89018399999941,103.315808,1744.523942,313.848836,23.691576,0,2105.927866,1326.525346,84.119723,16.488949,0,0,3846.91072,1992.4215099999994,5839.332229999999,467.071582,963.388431,5343.015380999998,203.020469,520.207068,4619.787843999999,2020,1
,2020-02-01,1751.105195,20.86895900000013,89.18114,1321.178727,299.915075,19.961294,0,1653.973247,818.968938,113.200618,15.774608,0,0,2901.832486,1451.19012,4353.0226059999995,634.874335,488.309808,4499.587132999999,135.326603,443.924156,3920.336373999999,2020,2
,2020-03-01,1580.14837,7.662450000000035,100.513447,1124.417637,322.371246,25.18359,0,1372.153831,1295.242627,135.657644,16.773982,0,0,3142.19933,1257.7771240000002,4399.976454,698.357268,470.178555,4628.155166999999,197.103982,448.874867,3982.176317999999,2020,3
,2020-04-01,1005.652495,0,93.086967,593.139596,299.151621,20.274311,0,1357.71194,915.538401,131.573871,15.054925,0,0,2719.030758,706.500874,3425.5316319999997,805.95824,294.209102,3937.2807700000003,202.118188,382.211039,3352.951543,2020,4
,2020-05-01,1357.419616,18.033751999999822,75.232676,962.592635,277.286523,24.27403,0,1091.989932,687.109045,173.218742,16.27789,0,0,2245.8821319999997,1080.133093,3326.0152249999996,877.742557,278.968889,3924.788893,149.851595,382.755308,3392.18199,2020,5
,2020-06-01,1774.972133,6.7047090000000935,76.613372,1401.785655,268.215257,21.65314,0,720.355797,821.536959,183.858012,14.049055,0,0,2008.01508,1506.756876,3514.7719559999996,742.852324,241.433366,4016.190914,141.002336,389.197007,3485.9915709999996,2020,6
,2020-07-01,2541.061699,94.56425400000035,88.850576,2064.669039,272.552995,20.424835,0,510.490354,731.40012,202.200413,15.958747,0,0,1732.602629,2268.508704,4001.111333,922.472624,174.616434,4748.967523,134.368274,459.231235,4155.368014000001,2020,7
,2020-08-01,2725.570472,353.8675659999999,108.196634,1930.180913,312.676423,20.648936,0,517.474096,867.982837,183.521333,15.596422,0,0,1897.251111,2412.894049,4310.14516,622.85078,429.236984,4503.758956,192.321849,429.402448,3882.034659,2020,8
,2020-09-01,3084.385975,586.6296360000001,107.486704,2049.268934,318.152937,22.847764,0,673.907124,768.59946,154.822037,15.089626,0,0,1930.571184,2766.2330380000003,4696.804222000001,423.884586,584.753152,4535.935656000001,137.924087,436.772965,3961.2386040000006,2020,9
,2020-10-01,2413.933009,245.18393400000014,116.527234,1709.512993,327.6269,15.081948,0,1001.144288,1220.953805,138.054046,11.532815,0,0,2699.311854,2086.306109,4785.617963000001,450.872833,661.249219,4575.241577000001,169.577381,441.016983,3964.6472130000006,2020,10
,2020-11-01,2667.979972,704.718738,89.160206,1540.019614,320.906862,13.174552,0,1293.114468,1158.000833,91.509605,16.498748,0,0,2880.0305160000003,2347.07311,5227.103626,247.674444,949.537238,4525.240832,110.050439,443.34102,3971.8493730000005,2020,11
,2020-12-01,1690.618025,165.04213800000025,80.432908,1081.42349,340.819161,22.900328,0,1597.684459,1569.902608,88.237658,23.639672,0,0,3620.2835579999996,1349.798864,4970.0824219999995,658.501427,560.971821,5067.612028,214.314797,492.065905,4361.231325999999,2020,12
,2021-01-01,1935.145934,199.60051099999964,92.324417,1277.130838,342.165042,23.925126,0,1731.91223,1470.895169,99.428644,17.204467,0,0,3661.605552,1592.9808919999998,5254.586444,815.947702,532.601425,5537.932721,238.561339,535.945014,4763.426368,2021,1
,2021-02-01,975.934269,26.63907499999982,82.546328,560.524434,287.866868,18.357564,0,2715.664968,1476.455905,101.848921,14.899241,0,0,4596.735903,688.0674009999999,5284.803304,258.229932,1115.601553,4427.431683000001,198.363042,431.686696,3797.381945000001,2021,2
,2021-03-01,1357.728172,30.072497999999996,84.685573,892.2317,327.191726,23.546675,0,1808.437991,1080.822342,181.054532,14.243623,0,0,3411.7502139999997,1030.536446,4442.28666,578.764742,588.307202,4432.7442,171.017828,437.829844,3823.896528,2021,3
,2021-04-01,2002.702302,136.53323999999998,67.228604,1447.808155,330.005862,21.126441,0,1118.230144,655.433884,159.493862,14.97682,0,0,2278.140572,1672.6964399999997,3950.8370119999995,674.663174,490.902844,4134.597341999999,125.444824,405.638207,3603.514310999999,2021,4
,2021-05-01,1439.569003,37.2587309999999,88.008176,971.190879,318.851022,24.260195,0,816.539018,1079.933497,206.711826,13.275186,0,0,2435.3105490000003,1120.717981,3556.0285300000005,1048.795461,217.294029,4387.5299620000005,239.117352,418.998824,3729.4137860000005,2021,5
