GWh,CHILE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2019-07-01,4380.265,2355.8660000000004,105.82,1566.425,352.154,0,0,1597.062,466.351,389.188,17.007,0,0,2821.762,4028.111000000001,6849.873000000001,0,0,6849.873000000001,0,313.427,6536.446000000002,2019,7
,2019-08-01,3857.866,2066.601,358.202,1089.452,343.611,0,0,1949.715,508.641,490.258,15.209,0,0,3307.4339999999997,3514.255,6821.689,0,0,6821.689,0,307.791,6513.898,2019,8
,2019-09-01,3609.727,2019.9279999999999,331.683,942.466,315.65,0,0,1770.519,373.821,549.417,14.465,0,0,3023.872,3294.0769999999998,6317.949,0,0,6317.949,0,285.219,6032.73,2019,9
,2019-10-01,3328.223,1787.326,353.293,883.787,303.817,0,0,1976.441,525.287,637.873,14.859,0,0,3458.277,3024.406,6482.683,0,0,6482.683,0,292.528,6190.155,2019,10
,2019-11-01,3321.014,1889.959,322.795,843.561,264.699,0,0,1996.002,484.338,676.75,16.973,0,0,3438.762,3056.315,6495.077,0,0,6495.077,0,294.916,6200.161,2019,11
,2019-12-01,3720.346,2202.294,282.443,922.359,313.25,0,0,1814.064,494.653,699.838,16.526,0,0,3338.331,3407.096,6745.427,0,0,6745.427,0,306.659,6438.768,2019,12
,2020-01-01,3961.90409,2062.532576,175.519147,1365.61216,358.240207,0,0,1973.489605,404.641437,672.865467,18.6236,0,0,3427.860316,3603.663883,7031.5241989999995,0,0,7031.5241989999995,0,410.73184,6620.792358999999,2020,1
,2020-02-01,4034.733655,2056.018083,248.162882,1338.958518,391.594172,0,0,1575.663724,389.367023,628.397852,19.743586,0,0,3004.766357,3643.139483,6647.905839999999,0,0,6647.905839999999,0,384.662499,6263.243340999999,2020,2
,2020-03-01,4654.278,2291.010521,375.982791,1560.770096,426.514592,0,0,1261.282232,342.908284,606.403875,24.088963,0,0,2661.1979460000002,4227.763408,6888.961354,0,0,6888.961354,0,395.920041,6493.041313,2020,3
,2020-04-01,4666.177444,2314.693514,206.757866,1725.882042,418.844022,0,0,928.877366,345.716052,532.416148,24.847924,0,0,2250.701512,4247.333422,6498.034933999999,0,0,6498.034933999999,0,373.780317,6124.254617,2020,4
