GWh,NEWZEALAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-02-01,555.191,64.08200000000005,0.104,440.46,50.545,0,0,1836.758,169.742,6.93,554.65,0,4.112,2618.625,508.75800000000004,3127.383,0,0,3127.383,0,228.641,2898.7419999999997,2018,2
,2018-03-01,467.684,56.43799999999999,0.076,351.725,59.445,0,0,2152.529,165.115,7.839,616.193,0,4.112,3001.121,412.35100000000006,3413.472,0,0,3413.472,0,228.641,3184.831,2018,3
,2018-04-01,481.01,76.90699999999993,0.119,349.449,54.535,0,0,2134.074,207.416,7.711,612.915,0,4.112,3016.651,430.58699999999993,3447.238,0,0,3447.238,0,254.14,3193.098,2018,4
,2018-05-01,630.549,95.71699999999998,0.895,482.464,51.473,0,0,2274.147,194.137,8.131,650.764,0,4.112,3178.652,583.188,3761.84,0,0,3761.84,0,254.14,3507.7000000000003,2018,5
,2018-06-01,646.376,115.202,1.747,502.117,27.31,0,0,2430.08,164.98,8.013,612.585,0,4.112,3242.968,623.178,3866.1459999999997,0,0,3866.1459999999997,0,254.14,3612.006,2018,6
,2018-07-01,639.725,72.70600000000002,0.369,522.242,44.408,0,0,2462.274,211.549,8.448,659.819,0,4.112,3386.4979999999996,599.429,3985.9269999999997,0,0,3985.9269999999997,0,261.352,3724.575,2018,7
,2018-08-01,611.662,58.343000000000075,0.459,516.65,36.21,0,0,2523.717,141.681,8.601,665.119,0,4.112,3375.3280000000004,579.564,3954.8920000000003,0,0,3954.8920000000003,0,261.352,3693.5400000000004,2018,8
,2018-09-01,601.406,119.32299999999998,0.26,472.553,9.27,0,0,2191.653,191.051,8.551,638.245,0,4.112,3038.7699999999995,596.2479999999999,3635.0179999999996,0,0,3635.0179999999996,0,261.352,3373.6659999999997,2018,9
,2018-10-01,747.062,285.986,4.077,396.798,60.201,0,0,2074.78,176.526,9.093,612.486,0,4.112,2933.086,690.973,3624.0589999999997,0,0,3624.0589999999997,0,236.543,3387.5159999999996,2018,10
,2018-11-01,463.144,225.52100000000002,2.505,191.233,43.885,0,0,2122.612,165.396,9.024,704.993,0,4.112,3045.9100000000003,423.37100000000004,3469.2810000000004,0,0,3469.2810000000004,0,236.543,3232.7380000000003,2018,11
,2018-12-01,546.627,146.81599999999992,0.091,334.091,65.629,0,0,2053.291,139.887,9.495,635.969,0,4.112,2904.271,485.10999999999996,3389.3810000000003,0,0,3389.3810000000003,0,236.543,3152.838,2018,12
,2019-01-01,662.516,151.22299999999996,0.192,464.889,46.212,0,0,1989.171,197.519,9.555,634.823,0,3.787,2877.2799999999997,620.091,3497.3709999999996,0,0,3497.3709999999996,0,225.032,3272.3389999999995,2019,1
,2019-02-01,674.125,207.63,0.577,416.625,49.293,0,0,1850.298,160.695,8.819,568.637,0,3.787,2637.742,628.619,3266.3610000000003,0,0,3266.3610000000003,0,225.032,3041.329,2019,2
,2019-03-01,847.831,319.00800000000004,0.451,473.28,55.092,0,0,1892.565,130.863,9.935,629.896,0,3.787,2718.3509999999997,796.5260000000001,3514.8769999999995,0,0,3514.8769999999995,0,225.032,3289.8449999999993,2019,3
,2019-04-01,665.709,142.82899999999995,0.027,466.573,56.28,0,0,1969.6,148.031,9.869,650.528,0,3.787,2834.308,613.2159999999999,3447.524,0,0,3447.524,0,256.235,3191.2889999999998,2019,4
,2019-05-01,654.026,214.13999999999993,0.139,386.221,53.526,0,0,2156.388,197.933,10.361,666.897,0,3.787,3085.1049999999996,604.287,3689.392,0,0,3689.392,0,256.235,3433.1569999999997,2019,5
,2019-06-01,640.562,98.09900000000005,0.531,514.344,27.588,0,0,2329.781,158.797,10.232,653.822,0,3.787,3180.2200000000003,616.7610000000002,3796.9810000000007,0,0,3796.9810000000007,0,256.235,3540.7460000000005,2019,6
,2019-07-01,702.343,119.84799999999996,0.369,535.172,46.954,0,0,2375.551,177.343,10.752,663.432,0,3.787,3274.032,659.176,3933.208,0,0,3933.208,0,255.679,3677.529,2019,7
,2019-08-01,786.953,168.56900000000007,0.603,563.587,54.194,0,0,2339.424,222.396,10.922,668.1,0,3.787,3295.036,736.546,4031.5820000000003,0,0,4031.5820000000003,0,255.679,3775.9030000000002,2019,8
,2019-09-01,904.884,239.82899999999995,0.133,615.74,49.182,0,0,1978.6,205.915,10.987,654.543,0,3.787,2899.2270000000003,859.489,3758.7160000000003,0,0,3758.7160000000003,0,255.679,3503.0370000000003,2019,9
,2019-10-01,754.826,244.09500000000003,0.423,462.247,48.061,0,0,2006.735,222.035,11.548,657.322,0,3.787,2945.7009999999996,710.5520000000001,3656.2529999999997,0,0,3656.2529999999997,0,246.799,3409.4539999999997,2019,10
,2019-11-01,452.157,161.21000000000004,0.193,257.902,32.852,0,0,2198.271,213.305,11.375,538.414,0,3.787,2994.2169999999996,423.09200000000004,3417.3089999999997,0,0,3417.3089999999997,0,246.799,3170.5099999999998,2019,11
,2019-12-01,445.891,51.632000000000005,0.288,338.447,55.524,0,0,2235.043,197.293,11.922,599.351,0,3.787,3099.1330000000003,394.154,3493.2870000000003,0,0,3493.2870000000003,0,246.799,3246.4880000000003,2019,12
,2020-01-01,755.65229,207.034532,0.804496,405.172698,142.640564,0,0,2007.479506,199.278162,12.869095,650.113235,0,4.797997,3012.3805620000003,617.8097230000001,3630.1902850000006,0,0,3630.1902850000006,0,233.245264,3396.9450210000005,2020,1
,2020-02-01,755.01874,128.56057599999997,0.21309,483.704603,142.540471,0,0,1911.973175,166.991238,12.180017,608.456334,0,3.786917,2842.141235,616.265186,3458.406421,0,0,3458.406421,0,233.245264,3225.161157,2020,2
,2020-03-01,706.092846,196.18088799999998,0.032212,402.91188,106.967866,0,0,1937.740513,162.901862,13.075976,668.625878,0,3.786917,2889.3120949999998,602.911897,3492.2239919999997,0,0,3492.2239919999997,0,233.245264,3258.9787279999996,2020,3
,2020-04-01,454.37814,21.41884299999998,0.026119,335.128358,97.80482,0,0,1677.715458,181.88112,13.318047,663.098677,0,3.786917,2633.8181219999997,360.360237,2994.1783589999995,0,0,2994.1783589999995,0,228.45268,2765.7256789999997,2020,4
,2020-05-01,768.826701,94.930294,1.627301,530.637508,141.631598,0,0,2119.684826,157.75273,10.774497,691.74378,0,3.786917,3121.587431,630.98202,3752.569451,0,0,3752.569451,0,228.45268,3524.116771,2020,5
,2020-06-01,1123.668734,291.3584760000001,8.738178,687.009916,136.562164,0,0,1870.000019,188.302943,7.329728,630.882868,0,3.786917,2833.0777220000004,990.8934870000002,3823.9712090000007,0,0,3823.9712090000007,0,228.45268,3595.518529000001,2020,6
,2020-07-01,1037.767092,229.00470399999995,7.65809,698.743641,102.360657,0,0,2184.971054,179.338166,9.039056,658.682849,0,3.786917,3134.3917820000006,939.193352,4073.585134000001,0,0,4073.585134000001,0,233.245264,3840.3398700000007,2020,7
,2020-08-01,1015.139726,219.99474700000007,16.614029,641.47807,137.05288,0,0,2123.813638,177.931878,12.51484,650.998394,0,3.786917,3102.31163,881.873763,3984.185393,0,0,3984.185393,0,228.45268,3755.7327130000003,2020,8
,2020-09-01,987.529382,300.24462299999993,2.227058,546.665011,138.39269,0,0,1909.79089,249.787443,14.912924,639.462705,0,3.786917,2952.346652,852.923609,3805.270261,0,0,3805.270261,0,228.45268,3576.8175810000002,2020,9
,2020-10-01,863.121361,229.02798000000007,10.129131,481.849524,142.114726,0,0,2097.564559,194.940466,15.525122,577.204995,0,3.786917,3027.349868,724.7935520000001,3752.14342,0,0,3752.14342,0,233.245264,3518.8981559999997,2020,10
,2020-11-01,536.834663,149.61497899999995,2.282546,336.125528,48.81161,0,0,2086.164612,196.520589,15.160783,582.275426,0,3.786917,2928.9330200000004,491.8099699999999,3420.74299,0,0,3420.74299,0,228.45268,3192.2903100000003,2020,11
,2020-12-01,596.469821,138.67316300000005,6.47859,299.031836,152.286232,0,0,2064.535666,223.394438,20.600828,660.090569,0,3.786917,3120.907733,447.97050600000006,3568.878239,0,0,3568.878239,0,228.45268,3340.4255590000002,2020,12
,2021-01-01,1111.335478,264.126407,0.184599,775.352864,71.671608,0,0,1773.555965,119.168544,21.485032,539.815371,0,4.797997,2525.6965200000004,1044.4618669999998,3570.1583870000004,0,0,3570.1583870000004,0,242.199815,3327.9585720000005,2021,1
,2021-02-01,694.008832,303.05290699999995,1.16,307.561477,82.234448,0,0,1666.638446,107.42722,19.984378,612.327815,0,3.786917,2488.612307,615.5613010000001,3104.173608,0,0,3104.173608,0,210.58737,2893.586238,2021,2
,2021-03-01,865.81625,461.56837399999995,2.225,276.774712,125.248164,0,0,1750.409773,124.217128,22.191599,690.380563,0,3.786917,2712.447227,744.355003,3456.8022300000002,0,0,3456.8022300000002,0,234.509718,3222.2925120000004,2021,3
,2021-04-01,936.654679,574.776088,4.078591,201.832534,155.967466,0,0,1624.173285,159.393812,22.158137,661.472004,0,3.786917,2623.164704,784.47413,3407.638834,0,0,3407.638834,0,231.174466,3176.464368,2021,4
,2021-05-01,1079.582801,520.022759,5.2119,413.23818,141.109962,0,0,1690.819784,157.434941,21.517535,622.39931,0,3.786917,2633.281532,942.259756,3575.541288,0,0,3575.541288,0,242.564984,3332.976304,2021,5
