GWh,AUSTRALIA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-04-01,14414.077719,10444.197901000001,352.237081,3367.289316,250.353421,0,0,1268.368104,1589.636706,1615.867221,0,0,0,4724.225452000001,14163.724298000001,18887.94975,0,0,18887.94975,49.330281,978.206881,17860.412588,2020,4
,2020-05-01,15851.1617,11085.492450000002,352.237081,4162.564391,250.867778,0,0,1534.620998,1915.378685,1428.335136,0,0,0,5129.2025969999995,15600.293922,20729.496519,0,0,20729.496519,59.685579,1073.580584,19596.230356,2020,5
,2020-06-01,16937.177358,11718.420598,352.237081,4629.125626,237.394053,0,0,1588.719261,1679.424684,1252.834219,0,0,0,4758.372217,16699.783305,21458.155522,0,0,21458.155522,61.789607,1111.317833,20285.048082,2020,6
,2020-07-01,18182.103333,12198.379115,352.237081,5391.132458,240.354679,0,0,1605.704546,1588.562373,1419.075027,0,0,0,4853.696625,17941.748654,22795.445279,0,0,22795.445279,62.450211,1180.576069,21552.418999,2020,7
,2020-08-01,16421.408511,11594.354256000002,352.237081,4227.463511,247.353663,0,0,1268.587093,2166.772214,1845.702683,0,0,0,5528.415653,16174.054848000002,21702.470501000003,0,0,21702.470501000003,49.338798,1123.970908,20529.160795000003,2020,8
,2020-09-01,13553.882764,10121.78731,352.237081,2837.917597,241.940776,0,0,1072.410613,2260.959583,2127.117956,0,0,0,5702.428927999999,13311.941987999999,19014.370916,0,0,19014.370916,41.708962,984.754237,17987.907717,2020,9
,2020-10-01,14007.831422,10031.993325,352.237081,3364.663458,258.937558,0,0,1236.277946,2018.858507,2476.061084,0,0,0,5990.135095,13748.893863999998,19739.028958999996,0,0,19739.028958999996,48.082207,1022.284276,18668.662475999994,2020,10
,2020-11-01,13981.48799,10493.293609,352.237081,2890.564413,245.392887,0,0,994.266416,1951.470501,2860.224124,0,0,0,6051.353928,13736.095103,19787.449031,0,0,19787.449031,38.669722,1024.791952,18723.987356999998,2020,11
,2020-12-01,14719.72371,11042.31265,352.237081,3078.007685,247.166294,0,0,958.962103,2228.204256,2833.672396,0,0,0,6268.005048999999,14472.557416,20740.562465,0,0,20740.562465,37.296641,1074.153695,19629.112129,2020,12
,2021-01-01,14927.457297,11386.980891000001,352.237081,2949.701258,238.538067,0,0,1082.825163,2196.290801,2873.655848,0,0,0,6391.309879,14688.91923,21080.229109,0,0,21080.229109,42.114012,1091.745024,19946.370073,2021,1
,2021-02-01,13496.198758,10467.944101000001,352.237081,2451.652008,224.365568,0,0,1029.451329,1898.797482,2467.218272,0,0,0,5619.832651,13271.833190000001,18891.665841000002,0,0,18891.665841000002,40.038158,978.399337,17873.228346000004,2021,2
,2021-03-01,14676.076434,11226.320396000001,352.237081,2847.201717,250.31724,0,0,1285.269862,2003.657084,2254.146198,0,0,0,5793.390384,14425.759194,20219.149578,0,0,20219.149578,49.987636,1047.149717,19122.012225,2021,3
,2021-04-01,14113.161056,10663.090482,352.237081,2864.934784,232.898709,0,0,1369.908228,1604.578515,2024.440692,0,0,0,5231.826144,13880.262347,19112.088491,0,0,19112.088491,53.279452,989.815026,18068.994013,2021,4
,2021-05-01,15281.985678,11235.681445999999,352.237081,3470.119083,223.948068,0,0,1564.12184,2011.930386,1673.925088,0,0,0,5473.925381999999,15058.037609999998,20531.962991999997,0,0,20531.962991999997,60.832947,1063.350323,19407.779721999996,2021,5
