GWh,ICELAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-03-01,0.314,0,0.314,0,0,0,0,1172.983,0.513,0,492.308,0,0,1665.8039999999999,0.314,1666.118,0,0,1666.118,0,46.778,1619.34,2018,3
,2018-04-01,0.038,0,0.038,0,0,0,0,1106.653,0.354,0,475.716,0,0,1582.723,0.038,1582.761,0,0,1582.761,0,45.823,1536.9379999999999,2018,4
,2018-05-01,0.13,0,0.13,0,0,0,0,1156.558,0.309,0,475.997,0,0,1632.864,0.13,1632.9940000000001,0,0,1632.9940000000001,0,46.778,1586.2160000000001,2018,5
,2018-06-01,0.132,0,0.132,0,0,0,0,1088.055,0.223,0,461.454,0,0,1549.732,0.132,1549.864,0,0,1549.864,0,44.869,1504.9950000000001,2018,6
,2018-07-01,0.148,1,0.148,0,0,0,0,1127.579,0.278,0,466.527,0,0,1594.384,1.148,1595.532,0,0,1595.532,0,46.3,1549.232,2018,7
,2018-08-01,0.383,2,0.383,0,0,0,0,1135.603,0.423,0,472.616,0,0,1608.642,2.383,1611.025,0,0,1611.025,0,46.3,1564.7250000000001,2018,8
,2018-09-01,0.149,3,0.149,0,0,0,0,1116.168,0.133,0,463.139,0,0,1579.44,3.149,1582.589,0,0,1582.589,0,45.823,1536.7659999999998,2018,9
,2018-10-01,0.078,4,0.078,0,0,0,0,1162.492,0.201,0,505.287,0,0,1667.98,4.078,1672.058,0,0,1672.058,0,46.778,1625.28,2018,10
,2018-11-01,0.07,5,0.07,0,0,0,0,1153.503,0.491,0,498.722,0,0,1652.716,5.07,1657.7859999999998,0,0,1657.7859999999998,0,46.3,1611.4859999999999,2018,11
,2018-12-01,0.135,6,0.135,0,0,0,0,1183.38,0.653,0,521.92,0,0,1705.953,6.135,1712.088,0,0,1712.088,0,47.255,1664.8329999999999,2018,12
,2019-01-01,0.129,7,0.129,0,0,0,0,1123.64,0.425,0,522.467,0,0,1646.5320000000002,7.129,1653.661,0,0,1653.661,0,44.878,1608.7830000000001,2019,1
,2019-02-01,0.101,8,0.101,0,0,0,0,1034.389,0.718,0,470.494,0,0,1505.601,8.101,1513.7020000000002,0,0,1513.7020000000002,0,43.971,1469.7310000000002,2019,2
,2019-03-01,0.122,9,0.122,0,0,0,0,1160.745,0.635,0,489.021,0,0,1650.4009999999998,9.122,1659.523,0,0,1659.523,0,45.331,1614.192,2019,3
,2019-04-01,0.081,10,0.081,0,0,0,0,1084.245,0.639,0,469.85,0,0,1554.734,10.081,1564.8149999999998,0,0,1564.8149999999998,0,44.425,1520.3899999999999,2019,4
,2019-05-01,0.123,11,0.123,0,0,0,0,1129.156,0.374,0,481.039,0,0,1610.569,11.123,1621.692,0,0,1621.692,0,44.878,1576.814,2019,5
,2019-06-01,0.117,12,0.117,0,0,0,0,1028.274,0.525,0,448.229,0,0,1477.028,12.117,1489.145,0,0,1489.145,0,43.518,1445.627,2019,6
,2019-07-01,0.128,13,0.128,0,0,0,0,1019.344,0.335,0,474.677,0,0,1494.3560000000002,13.128,1507.4840000000002,0,0,1507.4840000000002,0,43.518,1463.9660000000001,2019,7
,2019-08-01,0.131,14,0.131,0,0,0,0,977.664,0.461,0,464.971,0,0,1443.096,14.131,1457.227,0,0,1457.227,0,43.518,1413.709,2019,8
,2019-09-01,0.124,15,0.124,0,0,0,0,997.595,0.438,0,451.693,0,0,1449.726,15.124,1464.8500000000001,0,0,1464.8500000000001,0,43.518,1421.332,2019,9
,2019-10-01,0.211,16,0.211,0,0,0,0,1062.777,0.699,0,486.076,0,0,1549.5520000000001,16.211,1565.7630000000001,0,0,1565.7630000000001,0,44.425,1521.3380000000002,2019,10
,2019-11-01,0.107,17,0.107,0,0,0,0,1025.612,0.594,0,505.082,0,0,1531.288,17.107,1548.395,0,0,1548.395,0,44.425,1503.97,2019,11
,2019-12-01,1.287,18,1.287,0,0,0,0,1092.932,0.725,0,517.855,0,0,1611.512,19.287,1630.799,0,0,1630.799,0,44.878,1585.921,2019,12
,2020-01-01,0.741721,19,0.741721,0,0,0,0,1140.842609,0.73,0,523.448619,0,0,1665.021228,19.741721,1684.7629490000002,0,0,1684.7629490000002,0,44.878099,1639.8848500000001,2020,1
,2020-02-01,0.620767,20,0.620767,0,0,0,0,1074.122133,0.694,0,488.236176,0,0,1563.0523090000002,20.620767,1583.673076,0,0,1583.673076,0,43.064843,1540.608233,2020,2
,2020-03-01,0.162939,21,0.162939,0,0,0,0,1167.113741,0.781,0,498.279033,0,0,1666.1737739999999,21.162939,1687.336713,0,0,1687.336713,0,44.878099,1642.458614,2020,3
,2020-04-01,0.113957,22,0.113957,0,0,0,0,1056.910047,0.544,0,501.025592,0,0,1558.4796390000001,22.113957,1580.5935960000002,0,0,1580.5935960000002,0,43.064843,1537.528753,2020,4
,2020-05-01,0.128952,23,0.128952,0,0,0,0,1054.386109,0.565,0,505.063293,0,0,1560.014402,23.128952,1583.143354,0,0,1583.143354,0,43.064843,1540.078511,2020,5
,2020-06-01,0.149944,24,0.149944,0,0,0,0,996.654376,0.347,0,471.012301,0,0,1468.013677,24.149944,1492.163621,0,0,1492.163621,0,40.798272,1451.365349,2020,6
,2020-07-01,0.118955,25,0.118955,0,0,0,0,1060.402369,0.263,0,445.188498,0,0,1505.8538669999998,25.118955,1530.9728219999997,0,0,1530.9728219999997,0,43.064843,1487.9079789999996,2020,7
,2020-08-01,0.146945,26,0.146945,0,0,0,0,1068.403914,0.261,0,452.569335,0,0,1521.234249,26.146945,1547.381194,0,0,1547.381194,0,43.064843,1504.316351,2020,8
,2020-09-01,0.2659,27,0.2659,0,0,0,0,1076.869849,0.464,0,428.683205,0,0,1506.017054,27.2659,1533.282954,0,0,1533.282954,0,0,1533.282954,2020,9
,2020-10-01,0.304885,28,0.304885,0,0,0,0,1109.795898,0.454,0,457.884729,0,0,1568.134627,28.304885,1596.439512,0,0,1596.439512,0,43.064843,1553.3746689999998,2020,10
,2020-11-01,0.13395,29,0.13395,0,0,0,0,1079.398738,0.648,0,468.285916,0,0,1548.332654,29.13395,1577.466604,0,0,1577.466604,0,43.064843,1534.4017609999999,2020,11
,2020-12-01,0.175934,30,0.175934,0,0,0,0,1145.651854,0.91,0,486.501203,0,0,1633.063057,30.175934,1663.2389910000002,0,0,1663.2389910000002,0,44.424785,1618.8142060000002,2020,12
,2021-01-01,0.199925,31,0.199925,0,0,0,0,1138.78207,0.802,0,490.239175,0,0,1629.8232449999998,31.199925,1661.0231699999997,0,0,1661.0231699999997,0,44.878099,1616.1450709999997,2021,1
,2021-02-01,0.118955,32,0.118955,0,0,0,0,1013.818935,0.755,0,443.15956,0,0,1457.733495,32.118955,1489.8524499999999,0,0,1489.8524499999999,0,40.344958,1449.507492,2021,2
,2021-03-01,0.21192,33,0.21192,0,0,0,0,1143.410114,0.584,0,485.151459,0,0,1629.145573,33.21192,1662.357493,0,0,1662.357493,0,44.878099,1617.479394,2021,3
,2021-04-01,0.107959,34,0.107959,0,0,0,0,1098.964453,0.41,0,446.668891,0,0,1546.0433440000002,34.107959,1580.151303,0,0,1580.151303,0,42.611529,1537.539774,2021,4
,2021-05-01,0.10596,35,0.10596,0,0,0,0,1171.335817,0.539,0,446.668891,0,0,1618.543708,35.10596,1653.649668,0,0,1653.649668,0,44.878099,1608.771569,2021,5
