GWh,SWITZERLAND,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2020-07-01,306.510272,0,2.637778,49.41724499999998,152.550593,101.904656,1248.945674,4393.553466,7.031597,364.008377,0,0,0,4917.1440330000005,1402.905353,6320.049386000001,1587,2989.081667,4917.967719,414,332.237879,4171.72984,2020,7
,2020-08-01,290.725327,0,2.637778,46.328666999999996,144.521615,97.237267,1625.929277,3889.489968,7.031597,297.381843,0,0,0,4338.425023,1772.132989,6110.5580119999995,1482,2573.209435,5019.348576999999,508,330.236446,4181.112130999999,2020,8
,2020-09-01,312.827702,0,2.637778,50.189389000000006,155.762185,104.23835,2066.910095,3364.423824,8.036111,247.005684,0,0,0,3775.227804,2223.975612,5999.203416,1582,2546.217728,5034.985688000001,385,324.232147,4325.753541000001,2020,9
,2020-10-01,296.234106,0,2.637778,47.872956999999985,146.930308,98.793063,2163.905876,3429.432014,15.067708,143.003291,0,0,0,3734.433321,2313.2096739999997,6047.642995,2420,2834.129273,5633.513722,425,380.272271,4828.241451,2020,10
,2020-11-01,330.168444,0,2.637778,53.27796799999999,163.791163,110.461535,2102.908529,3010.379225,10.045139,74.75172,0,0,0,3258.967247,2269.28581,5528.253057,2877,2838.128044,5567.125013,203,365.261524,4998.863488999999,2020,11
,2020-12-01,319.917277,0,2.637778,51.73367900000005,158.973776,106.572044,1967.914401,2939.370279,16.072222,37.37586,0,0,0,3151.792137,2128.857902,5280.650039,3352,2499.232163,6133.4178759999995,270,398.285168,5465.132707999999,2020,12
,2021-01-01,283.423845,0,3.956667,44.784378999999944,142.112921,92.569878,2146.906616,3273.412359,17.076736,43.87601,0,0,0,3476.4780259999998,2288.21754,5764.695566,2648,0,8412.695566,274,387.277287,7751.418279,2021,1
,2021-02-01,288.963377,0,3.956667,45.55652299999997,145.324513,94.125674,1945.915358,2774.349491,16.072222,108.877505,0,0,0,3044.6237309999997,2089.5542219999998,5134.177952999999,2510,0,7644.177952999999,212,376.269405,7055.908547999999,2021,2
,2021-03-01,311.071506,0,3.956667,48.64510000000001,156.565083,101.904656,2173.905441,2695.339538,12.054167,234.005385,0,0,0,3097.964173,2328.4118639999997,5426.376037,2955,2594.202985,5787.173052,204,385.275854,5197.897198000001,2021,3
,2021-04-01,300.017441,0,3.956667,47.10081100000002,150.944798,98.015165,2103.908486,2287.288135,11.049653,346.132965,0,0,0,2795.415551,2252.981129,5048.39668,2330,2044.371909,5334.024771,322,376.269405,4635.755366,2021,4
,2021-05-01,278.68721,0,3.956667,44.01223299999998,139.704228,91.014082,1575.931451,3250.409462,16.072222,378.633713,0,0,0,3784.819625,1714.914433,5499.734058,1950,1999.385731,5450.348327,506,349.25006,4595.098266999999,2021,5
