GWh,DENMARK,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2018-03-01,2206.875,1116.2060000000001,22.914,249.557,764.167,54.031,0,1.84,1311.333,50.122,0,0,0,2127.462,1442.708,3570.17,1113.63,1422.138,3261.6620000000003,0,201.249,3060.4130000000005,2018,3
,2018-04-01,1315.014,598.6049999999999,18.026,134.155,510.136,54.092,0,1.467,1194.154,104.54,0,0,0,1810.297,804.8779999999998,2615.1749999999997,1116.815,1028.383,2703.607,0,180.068,2523.5389999999998,2018,4
,2018-05-01,709.31,298.53599999999994,15.503,67.426,276.72,51.125,0,1.107,727.123,166.635,0,0,0,1171.585,432.5899999999999,1604.175,1446.389,400.869,2649.6949999999997,0,135.054,2514.6409999999996,2018,5
,2018-06-01,395.5,102.36900000000003,15.013,56.716,164.365,57.037,0,0.568,939.722,152.738,0,0,0,1257.393,231.13500000000005,1488.528,1467.085,343.931,2611.6820000000002,0,143.971,2467.7110000000002,2018,6
,2018-07-01,580.299,296.222,15.598,57.533,153.706,57.24,0,0.582,718.458,161.098,0,0,0,1033.844,426.593,1460.4370000000001,1596.583,513.759,2543.2610000000004,0,155.75,2387.5110000000004,2018,7
,2018-08-01,583.239,279.057,14.329,88.677,149.528,51.648,0,0.765,940.749,109.299,0,0,0,1200.341,433.71100000000007,1634.052,1557.838,570.122,2621.768,0,152.014,2469.754,2018,8
,2018-09-01,638.135,288.321,13.53,83.38,208.987,43.917,0,1.022,1451.265,80.943,0,0,0,1742.217,429.148,2171.3650000000002,1043.255,597.885,2616.7350000000006,0,159.994,2456.7410000000004,2018,9
,2018-10-01,1112.31,406.605,21.285,136.176,484.609,63.635,0,0.886,1507.552,57.175,0,0,0,2050.222,627.701,2677.9230000000002,1224.9,955.195,2947.628,0,183.502,2764.126,2018,10
,2018-11-01,1430.907,513.3989999999999,29.25,225.835,613.103,49.32,0,0.982,1132.559,18.156,0,0,0,1764.7999999999997,817.804,2582.604,1422.386,917.872,3087.118,0,168.483,2918.6349999999998,2018,11
,2018-12-01,1713.224,692.074,31.745,251.121,677.947,60.337,0,1.459,1449.716,8.541,0,0,0,2137.663,1035.277,3172.94,1262.16,1288.444,3146.6560000000004,0,236.336,2910.3200000000006,2018,12
,2019-01-01,1841.98,690.2539999999999,26.54,335.14,719.039,71.007,0,1.525,1561.768,16.092,0,0,0,2298.424,1122.9409999999998,3421.365,1151.246,1350.176,3222.435,0,152.829,3069.6059999999998,2019,1
