GWh,FRANCE,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-11-01,8358.098,1624.6569999999992,909.533,4639.009,997.973,186.926,31150.896,4263.071,2352.784,356.415,7.328,41.199,46.626,8018.7699999999995,38557.647,46576.416999999994,2767.471,3329.874,46014.013999999996,575.585,3539.517,41898.912,2016,11
,2016-12-01,9143.716,1780.8600000000006,996.98,5085.027,1093.923,186.926,36651.016,4634.634,1492.905,284.189,7.328,41.199,46.626,7554.178,44747.435,52301.613,3217.402,3202.677,52316.337999999996,535.293,4328.737,47452.308,2016,12
,2017-01-01,12672.292,2500.4210000000003,4399.303,5015.473,566.902,190.193,40491.902,5340.401,2078.971,354.029,9.995,42.943,59.289,8393.241,52656.581,61049.822,3782.282,2976.281,61855.823,568.623,5266.641,56020.558999999994,2017,1
,2017-02-01,7111.045,1519.6799999999994,525.68,4368.579,506.913,190.193,33689.682,4630.124,2637.623,459.945,9.995,42.943,59.289,8287.543,40353.102999999996,48640.64599999999,1528.343,5048.857,45120.132,620.714,3566.401,40933.017,2017,2
,2017-03-01,6458.591,674.3680000000004,694.861,4283.446,615.723,190.193,34272.88,6372.496,2738.566,755.65,9.995,42.943,59.289,10535.373,40175.037,50710.409999999996,867.344,7258.439,44319.314999999995,692.184,3285.401,40341.729999999996,2017,3
,2017-04-01,4028.307,884.3979999999992,8.809,2482.733,462.174,190.193,31752.441,4282.998,1501.594,1037.009,9.995,42.943,59.289,7336.713,35377.863,42714.576,724.579,6127.7,37311.455,544.308,2758.429,34008.718,2017,4
,2017-05-01,3289.442,806.6210000000001,49.504,1671.899,571.225,190.193,30137.017,5816.485,1525.368,1131.266,9.995,42.943,59.289,9097.282,32914.522999999994,42011.80499999999,692.333,6581.588,36122.54999999999,670.11,2555.543,32896.89699999999,2017,5
,2017-06-01,3281.001,557.6680000000001,276.205,1550.764,706.171,190.193,26884.463,5210.316,1520.234,1168.794,9.995,42.943,59.289,8658.453,29518.582,38177.034999999996,1289.068,4728.989,34737.113999999994,557.937,2440.297,31738.879999999994,2017,6
,2017-07-01,4211.467,1215.8229999999994,10.25,2101.518,693.683,190.193,28160.084,3979.378,1763.132,1180.341,9.995,42.943,59.289,7669.472,31737.157,39406.629,1414.954,5984.215,34837.368,485.68,2565.328,31786.36,2017,7
,2017-08-01,2941.481,328.4520000000002,-19.22,1750.6,691.456,190.193,28585.773,3567.71,1274.524,1114.282,9.995,42.943,59.289,6700.910000000001,30895.087000000003,37595.997,1041.455,5623.538,33013.914000000004,504.105,2449.058,30060.751000000004,2017,8
,2017-09-01,3862.144,812.0809999999997,47.247,2188.391,624.232,190.193,29346.359,3130.018,1696.558,882.89,9.995,42.943,59.289,6386.636,32643.56,39030.196,856.493,5420.086,34466.603,485.036,2499.391,31482.176000000003,2017,9
,2017-10-01,5859.075,1515.4519999999993,127.201,3583.565,442.664,190.193,28054.402,2760.589,2148.201,726.71,9.995,42.943,59.289,6131.102,33530.10199999999,39661.20399999999,2050.151,4429.272,37282.08299999999,690.549,2797.363,33794.170999999995,2017,10
,2017-11-01,8025.531,2143.085,197.036,4705.467,789.75,190.193,30335.238,3970.342,2365.958,446.501,9.995,42.943,59.289,7625.489000000001,37630.308,45255.797,3782.774,3122.924,45915.647,596.59,3767.939,41551.117999999995,2017,11
,2017-12-01,7012.776,1380.0779999999986,267.144,4505.457,669.904,190.193,37383.714,5398.78,3358.709,328.898,9.995,42.943,59.289,9809.229,43785.87499999999,53595.10399999999,3089.405,3946.154,52738.35499999999,688.487,4647.51,47402.357999999986,2017,12
,2018-01-01,5055.499,799.9309999999996,409.797,2874.364,783.005,188.402,40788.354,7472.732,4137.089,365.983,9.533,39.504,49.392,12807.846,45110.24,57918.085999999996,621.569,7920.311,50619.344,810.991,4074.598,45733.755,2018,1
,2018-02-01,7092.684,1488.9670000000006,576.572,4137.584,701.159,188.402,36406.668,7345.711,2851.532,555.197,9.533,39.504,49.392,11502.636,42847.585,54350.221,2228.43,5269.88,51308.771,493.539,4455.436,46359.796,2018,2
,2018-03-01,6295.691,1420.0879999999997,556.842,3357.255,773.104,188.402,35675.307,7292.675,3186.82,841.1,9.533,39.504,49.392,12142.736,41247.286,53390.022,2017.014,5334.806,50072.23,624.221,3993.54,45454.469000000005,2018,3
,2018-04-01,2875.835,543.7950000000001,422.919,811.747,908.972,188.402,30590.465,7120.06,2226.896,1060.029,9.533,39.504,49.392,11364.994,32606.72,43971.714,682.022,6489.111,38164.625,686.642,2766.855,34711.128,2018,4
,2018-05-01,2600.672,466.0540000000001,423.334,635.853,887.029,188.402,30578.686,7824.74,1637.928,1196.85,9.533,39.504,49.392,11595.584,32341.721,43937.305,414.445,8514.428,35837.322,652.927,2573.432,32610.963,2018,5
,2018-06-01,2514.824,590.2759999999998,424.564,795.856,515.726,188.402,28620.334,7710.703,1386.551,1319.325,9.533,39.504,49.392,10981.342,30668.824,41650.166,220.13,7849.123,34021.172999999995,547.476,2385.466,31088.230999999996,2018,6
,2018-07-01,3855.984,852.5390000000002,430.142,1845.145,539.756,188.402,29952.684,5402.684,1104.241,1427.598,9.533,39.504,49.392,8523.316,33318.304000000004,41841.62,767.037,7025.201,35583.456,432.068,2672.166,32479.221999999998,2018,7
,2018-08-01,3699.641,766.299,413.502,1812.993,518.445,188.402,27289.665,4014.743,1409.321,1319.166,9.533,39.504,49.392,7310.712,30520.253,37830.965000000004,1237.363,5557.898,33510.43,510.538,2521.704,30478.188000000002,2018,8
,2018-09-01,3467.115,603.1819999999993,417.76,1647.701,610.07,188.402,30095.534,3120.13,1621.774,1127.681,9.533,39.504,49.392,6528.692000000001,33001.971,39530.663,741.577,6339.82,33932.42,620.244,2472.865,30839.310999999998,2018,9
,2018-10-01,4627.423,1043.8289999999997,420.939,2561.722,412.531,188.402,31607.915,3023.44,2508.119,770.931,9.533,39.504,49.392,6764.058000000001,35872.199,42636.257,1105.773,5658.36,38083.67,686.763,2906.217,34490.689999999995,2018,10
,2018-11-01,6563.804,859.2740000000003,455.885,4499.477,560.766,188.402,32648.112,4040.955,2801.939,459.324,9.533,39.504,49.392,7912.021,38700.542,46612.563,2178.876,4012.564,44778.875,674.417,3653.113,40451.345,2018,11
,2018-12-01,5734.421,511.52900000000045,441.994,3899.112,693.384,188.402,38880.601,5240.407,3726.385,447.974,9.533,39.504,49.392,10157.187,43971.030000000006,54128.217000000004,1297.855,6507.284,48918.78800000001,662.036,4144.892,44111.86000000001,2018,12
,2019-01-01,7716.343,1062.3459999999986,483.465,5246.197,735.431,188.904,40157.994,5059.009,3008.9,469.227,9.646,39.425,43.895,9321.638,47182.80099999999,56504.43899999999,2887.172,4100.502,55291.10899999999,526.283,4939.543,49825.28299999999,2019,1
,2019-02-01,6239.772,693.3069999999998,464.525,4149.348,743.688,188.904,36089.959,5130.104,2659.69,819.412,9.646,39.425,43.895,9401.965,41629.938,51031.903000000006,1011.456,6522.488,45520.87100000001,443.44,3763.19,41314.24100000001,2019,2
,2019-03-01,5283.901,221.15200000000004,461.413,3211.665,1200.767,188.904,35497.716,5241.912,4568.788,1120.465,9.646,39.425,43.895,12181.003,39624.744999999995,51805.74799999999,683.377,7482.752,45006.37299999999,577.027,3451.166,40978.17999999999,2019,3
,2019-04-01,3567.407,236.7539999999999,450.943,2095.684,595.122,188.904,31756.672,4586.355,2384.717,1089.887,9.646,39.425,43.895,8705.152,34772.852,43478.004,1106.735,5541.11,39043.629,397.19,2910.566,35735.873,2019,4
,2019-05-01,3441.352,192.98000000000002,447.533,1986.975,624.96,188.904,31668.804,5634.507,2292.689,1336.133,9.646,39.425,43.895,9937.359999999999,34529.09099999999,44466.450999999994,256.168,7758.066,36964.55299999999,592.745,2666.513,33705.29499999999,2019,5
,2019-06-01,3177.06,210.32899999999972,447.2,1782.361,548.266,188.904,28560.705,5844.356,1922.963,1427.694,9.646,39.425,43.895,9792.349999999999,31233.394000000004,41025.744000000006,342.052,7492.085,33875.71100000001,546.435,2412.576,30916.70000000001,2019,6
,2019-07-01,4130.127,311.3090000000002,451.985,2645.286,532.643,188.904,29195.042,4472.588,1771.438,1479.081,9.646,39.425,43.895,8304.821,32836.420999999995,41141.242,937.878,6550.089,35529.030999999995,384.414,2519.806,32624.810999999994,2019,7
,2019-08-01,3792.16,244.6579999999999,444.994,2074.366,839.238,188.904,27721.164,3824.83,1679.591,1474.946,9.646,39.425,43.895,7867.6759999999995,30717.981,38585.657,838.405,6408.145,33015.917,517.7,2291.668,30206.549,2019,8
,2019-09-01,4076.973,233.9369999999999,448.537,2662.735,542.86,188.904,27533.467,2659.827,2735.709,1266.962,9.646,39.425,43.895,7254.429,31111.475000000002,38365.904,1134.35,6004.434,33495.82,563.177,2383.018,30549.625,2019,9
,2019-10-01,4323.987,236.0630000000001,448.27,2959.116,491.634,188.904,29162.948,3879.83,3480.23,832.749,9.646,39.425,43.895,8733.514,33039.195999999996,41772.70999999999,1360.102,5605.354,37527.45799999999,520.469,2804.423,34202.56599999999,2019,10
,2019-11-01,6972.584,1119.1320000000005,503.791,4581.455,579.302,188.904,29133.671,6558.601,3457.497,429.548,9.646,39.425,43.895,11074.019,35570.848,46644.867,2961.046,4225.481,45380.432,606.321,3694.352,41079.759,2019,11
,2019-12-01,5908.207,778.3250000000007,527.049,3693.104,720.825,188.904,32985.857,7926.58,4759.473,479.082,9.646,39.425,43.895,13935.031,38217.134,52152.165,2113.01,5608.294,48656.881,721.46,4275.291,43660.130000000005,2019,12
,2020-01-01,6556.326381,513.9591639999999,413.246833,4740.594175,704.361821,184.164388,37473.151057,6401.89209,4276.274261,532.340504,9.646083,39.655309,39.901042,11964.170067999998,43365.016659,55329.186727,1578.972767,6068.277403,50839.882091,537.697868,4280.031565,46022.152658,2020,1
,2020-02-01,5236.969445,380.6612499999992,421.298453,3444.756682,806.088672,184.164388,33285.800574,6372.986007,6049.51376,792.15396,9.646083,39.655309,39.901042,14070.043790999998,37756.582388999996,51826.62617999999,493.817268,7266.218256,45054.22519199999,653.862123,3669.00811,40731.35495899999,2020,2
,2020-03-01,5231.553358,244.96124899999995,424.864324,3399.284035,978.279362,184.164388,30723.861103,7445.266538,4608.081624,1114.089614,9.646083,39.655309,39.901042,14195.01853,35017.036141,49212.054671,1019.061173,7011.643868,43219.471976,579.475027,3443.966757,39196.030192,2020,3
,2020-04-01,2627.038983,187.8110999999999,391.443788,715.009312,1148.610395,184.164388,26910.241768,5159.363161,2338.503907,1367.3309,9.646083,39.655309,39.901042,10063.109755,28428.571398,38491.681153,768.486185,6467.856891,32792.310446999996,579.164976,2434.440098,29778.705372999997,2020,4
,2020-05-01,2791.799577,279.06055100000003,394.470192,1289.273386,644.83106,184.164388,24794.540058,6765.427348,2727.197952,1656.077168,9.646083,39.655309,39.901042,11842.83492,26981.409617,38824.244537,578.538527,6989.027148,32413.755915999995,572.845784,2328.126371,29512.783760999995,2020,5
,2020-06-01,3617.728193,176.89034099999935,418.495276,2331.117439,507.060749,184.164388,21403.931648,6437.943116,2101.174237,1579.077451,9.646083,39.655309,39.901042,10674.556945000002,24554.500134,35229.057079000006,1270.740805,4567.823084,31931.974800000007,435.60712,2275.997843,29220.369837000006,2020,6
,2020-07-01,3971.579708,420.021217,443.391453,2379.357603,544.645047,184.164388,22572.163646,4656.649152,2156.713979,1768.830752,9.646083,39.655309,39.901042,9176.140322,26038.999349,35215.139671,2380.662806,3608.146348,33987.656128999995,259.808965,2318.291036,31409.556127999997,2020,7
,2020-08-01,3729.512772,268.6432829999999,393.257068,2384.377613,499.07042,184.164388,22950.488595,3718.960248,2098.034427,1577.650489,9.646083,39.655309,39.901042,7943.016975999999,26220.831989000002,34163.848965,2157.853827,3835.935925,32485.766866999995,404.002072,2318.616033,29763.148761999997,2020,8
,2020-09-01,4090.80476,637.520567,424.826059,2384.453291,459.840455,184.164388,21809.944806,3396.315139,2200.087871,1289.467956,9.646083,39.655309,39.901042,7395.012812999999,25480.810153000002,32875.822966,3327.583786,2659.54563,33543.861122,441.900054,2312.162353,30789.798715,2020,9
,2020-10-01,3639.530701,345.15329399999973,400.521431,2221.431218,488.26037,184.164388,28363.027588,5206.372101,4425.67614,818.911162,9.646083,39.655309,39.901042,10988.521165,31554.198961000002,42542.720126,1934.385811,4723.425433,39753.680504,564.580439,2975.068187,36214.031878,2020,10
,2020-11-01,5592.395319,434.08077499999945,392.070886,3943.168562,638.910708,184.164388,31667.677042,4552.828113,3232.385947,707.380662,9.646083,39.655309,39.901042,9180.806821999999,36661.06269499999,45841.86951699999,1476.285695,6231.93833,41086.21688199999,554.409338,3493.277813,37038.529730999995,2020,11
,2020-12-01,6210.194045,891.0636379999996,450.247277,3977.762672,706.95607,184.164388,34543.758667,5776.695715,4490.721896,375.901383,9.646083,39.655309,39.901042,11399.576456,40086.897683999996,51486.47414,2626.645351,4995.623684,49117.495807,640.156234,4354.308833,44123.03074,2020,12
,2021-01-01,7411.908477,1928.5942000000005,436.936673,4015.71168,846.501536,184.164388,37297.051671,7410.964663,4046.82112,499.324688,9.667986,39.655309,39.901042,12852.935302000002,43902.359654,56755.294956,3425.047488,5310.061067,54870.28137699999,479.424357,5083.771852,49307.08516799999,2021,1
,2021-02-01,5725.503494,851.2421809999996,461.988799,3302.681346,925.42678,184.164388,30435.895288,6985.491224,4333.243303,702.40647,9.667986,39.655309,39.901042,12995.891072,35275.873044,48271.764116,2396.463059,5744.092681,44924.134494,523.161808,3937.046623,40463.926063,2021,2
,2021-03-01,5897.577768,744.7412160000003,420.264776,3495.079865,1053.327523,184.164388,31797.96984,6004.332451,3782.190378,1386.876387,9.667986,39.655309,39.901042,12276.050034,36682.121127,48958.171161,2435.068318,5595.272531,45797.966947999994,486.860542,3825.490063,41485.616342999994,2021,3
,2021-04-01,4260.142845,484.4637899999998,435.794984,2551.559217,604.160466,184.164388,27297.085162,4042.480302,2996.062851,1641.263397,9.667986,39.655309,39.901042,9333.290311,30992.968583,40326.258894,2914.728242,4269.457592,38971.529544,416.820225,2779.572842,35775.136477,2021,4
,2021-05-01,2921.271739,186.91623899999968,430.079819,1219.397114,900.714179,184.164388,27663.776628,6082.143397,3962.745058,1706.740739,9.667986,39.655309,39.901042,12701.666668,29724.235230000002,42425.901898000004,1263.274831,7173.399784,36515.776945000005,472.130574,2425.914033,33617.732338,2021,5
