GWh,KOREA,CONVENTIONALTHERMAL,Coal,Oil,NaturalGas,CombustibleRenewables,OtherCombustibles,Nuclear,Hydro,Wind,Solar,Geothermal,OtherRenewables,NonSpecified,RENEWABLES,NONRENEWABLES,TOTALNETPRODUCTION,Imports,Exports,ELECTRICITYSUPPLIED,Usedforpumpedstorage,TDLosses,ELECTRICITYCONSUMED,year,month
,2016-11-01,33760.446,19209.549000000003,1037.716,12814.11,629.285,69.786,9815.542,421.969,140.178,315.225,0,41.333,107.167,1547.9899999999998,43053.87,44601.86,0,0,44601.86,312.057,1525.712,42764.091,2016,11
,2016-12-01,36154.518,22319.182999999997,1693.866,11561.937,521.679,57.853,12007.666,462.34,140.178,274.651,0,41.333,107.167,1440.1810000000003,47747.672,49187.852999999996,0,0,49187.852999999996,341.913,1682.587,47163.352999999996,2016,12
,2017-01-01,35406.973,21784.604999999996,2074.28,11037.792,450.308,59.988,12472.929,539.922,180.658,487.547,0,40.789,132.022,1699.224,47561.615999999995,49260.84,0,0,49260.84,422.163,1695.901,47142.776,2017,1
,2017-02-01,32025.72,19554.019,1639.092,10345.751,429.626,57.232,11777.133,509.814,180.658,570.516,0,40.789,132.022,1731.403,43505.248999999996,45236.651999999995,0,0,45236.651999999995,398.623,1557.36,43280.668999999994,2017,2
,2017-03-01,32663.713,20478.871,1032.571,10593.86,492.767,65.644,12540.51,502.79,180.658,687.442,0,40.789,132.022,1904.446,44843.477999999996,46747.924,0,0,46747.924,393.13,1609.389,44745.405,2017,3
,2017-04-01,27250.766,18068.681,808.695,7908.743,410.026,54.621,12661.394,512.825,180.658,785.423,0,40.789,132.022,1929.721,39634.155999999995,41563.87699999999,0,0,41563.87699999999,400.977,1430.918,39731.981999999996,2017,4
,2017-05-01,27561.88,18603.361000000004,771.002,7714.971,416.996,55.55,13011.671,608.164,180.658,763.057,0,40.789,132.022,2009.6639999999998,40288.577,42298.240999999995,0,0,42298.240999999995,475.522,1456.2,40366.51899999999,2017,5
,2017-06-01,29531.562,18181.191,784.708,10043.304,460.953,61.406,11892.306,566.014,180.658,724.764,0,40.789,132.022,1973.178,41094.93699999999,43068.11499999999,0,0,43068.11499999999,442.565,1482.704,41142.84599999999,2017,6
,2017-07-01,36579.952,23390.71,736.735,11787.246,587.057,78.204,11634.357,639.275,180.658,554.748,0,40.789,132.022,2002.5269999999998,47759.27399999999,49761.80099999999,0,0,49761.80099999999,499.848,1713.148,47548.80499999999,2017,7
,2017-08-01,34777.389,23414.451,536.846,10184.787,565.917,75.388,11340.238,967.443,180.658,562.886,0,40.789,132.022,2317.693,45683.731999999996,48001.424999999996,0,0,48001.424999999996,756.441,1652.543,45592.441,2017,8
,2017-09-01,29702.883,21235.474000000002,363.227,7555.033,484.594,64.555,11739.059,672.393,180.658,552.064,0,40.789,132.022,1930.4979999999998,41089.369999999995,43019.867999999995,0,0,43019.867999999995,525.743,1481.043,41013.081999999995,2017,9
,2017-10-01,28359.633,19858.518000000004,381.503,7596.043,462.021,61.548,11525.847,567.018,180.658,544.735,0,40.789,132.022,1795.2209999999998,39555.481,41350.702,0,0,41350.702,443.35,1423.579,39483.773,2017,10
,2017-11-01,32869.239,19456.571,651.96,12151.382,537.697,71.629,10747.687,451.26,180.658,438.767,0,40.789,132.022,1649.171,43211.251,44860.422,0,0,44860.422,352.839,1544.408,42963.174999999996,2017,11
,2017-12-01,39487.891,22587.241000000005,1603.791,14643.568,576.494,76.797,9935.155,467.338,180.658,382.291,0,40.789,132.022,1647.57,48978.574,50626.144,0,0,50626.144,365.411,1742.904,48517.829,2017,12
,2018-01-01,42660.81,24295.160999999996,2618.597,15585.644,143.653,17.755,9352.693,559.485,205.254,636.341,0,40.446,157.088,1585.179,52026.938,53612.117,0,0,53612.117,395.786,1719.755,51496.576,2018,1
,2018-02-01,36867.175,21843.883,1791.94,12888.443,305.189,37.72,8368.089,497.135,205.254,744.632,0,40.446,157.088,1792.656,45087.16300000001,46879.81900000001,0,0,46879.81900000001,351.679,1503.798,45024.34200000001,2018,2
,2018-03-01,36869.667,20693.792,1572.358,14070.655,474.247,58.615,8798.223,552.323,205.254,897.242,0,40.446,157.088,2169.5119999999997,45350.731,47520.243,0,0,47520.243,390.719,1524.342,45605.182,2018,3
,2018-04-01,32248.692,17772.322,386.952,13067.043,909.914,112.461,8969.025,515.154,205.254,1025.126,0,40.446,157.088,2695.894,40464.891,43160.785,0,0,43160.785,364.425,1384.5,41411.86,2018,4
,2018-05-01,31269.527,18075.697999999997,486.229,11828.286,782.59,96.724,10821.788,585.327,205.254,995.933,0,40.446,157.088,2609.5499999999997,41465.812999999995,44075.363,0,0,44075.363,414.066,1413.838,42247.458999999995,2018,5
,2018-06-01,31615.355,18233.449,489.822,11999.487,794.412,98.185,10759.142,593.125,205.254,945.955,0,40.446,157.088,2579.192,41737.17300000001,44316.36500000001,0,0,44316.36500000001,419.583,1421.569,42475.21300000001,2018,6
,2018-07-01,37491.708,23137.212,1157.311,12544.446,580.938,71.801,12423.715,732.782,205.254,724.052,0,40.446,157.088,2283.4719999999998,49491.573000000004,51775.045000000006,0,0,51775.045000000006,518.378,1660.826,49595.84100000001,2018,7
,2018-08-01,38553.941,23849.36,1440.312,12732.249,473.498,58.522,12138.488,791.188,205.254,734.673,0,40.446,157.088,2245.0589999999997,50376.019,52621.078,0,0,52621.078,559.694,1687.965,50373.419,2018,8
,2018-09-01,30662.601,20840.994,371.301,8722.267,647.955,80.084,10540.872,689.671,205.254,720.548,0,40.446,157.088,2303.874,40712.606,43016.479999999996,0,0,43016.479999999996,487.881,1379.871,41148.727999999996,2018,9
,2018-10-01,30945.539,18326.021,933.139,11088.232,532.351,65.796,11501.055,530.907,205.254,710.983,0,40.446,157.088,2019.9409999999998,42071.331000000006,44091.272000000004,0,0,44091.272000000004,375.569,1414.348,42301.355,2018,10
,2018-11-01,31895.2,19087.966,472.935,11464.868,773.794,95.637,11572.878,550.431,205.254,572.674,0,40.446,157.088,2142.5989999999997,42851.372,44993.971000000005,0,0,44993.971000000005,389.381,1443.305,43161.285,2018,11
,2018-12-01,37428.43,22171.59,804.175,13553.595,800.173,98.897,11831.93,619.862,205.254,498.962,0,40.446,157.088,2164.6969999999997,48617.275,50781.972,0,0,50781.972,438.497,1628.971,48714.504,2018,12
,2019-01-01,39606.228,23385.566000000003,1129.799,14320.278,710.015,60.57,11653.508,558.351,349.659,803.786,0,41.673,198.752,2463.4840000000004,50748.473000000005,53211.95700000001,0,0,53211.95700000001,474.929,1794.943,50942.08500000001,2019,1
,2019-02-01,32836.865,19590.484999999997,582.011,11810.936,786.351,67.082,10490.936,466.548,247.522,843.85,0,38.39,198.752,2382.6609999999996,42740.20199999999,45122.86299999999,0,0,45122.86299999999,394.135,1522.082,43206.64599999999,2019,2
,2019-03-01,31478.568,17542.29,1856.428,12014.875,59.868,5.107,13343.187,446.327,290.168,1114.261,0,41.375,198.752,1951.999,44960.639,46912.638000000006,0,0,46912.638000000006,362.178,1582.455,44968.005000000005,2019,3
,2019-04-01,28092.497,15226.679999999998,514.426,11532.494,754.53,64.367,13443.39,523.956,181.044,1108.143,0,39.979,198.752,2607.6519999999996,40980.109,43587.761,0,0,43587.761,375.35,1470.3,41742.111,2019,4
,2019-05-01,27394.107,15780.541000000001,462.933,10387.676,702.987,59.97,14001.32,534.653,224.947,1492.501,0,38.468,198.752,2993.5559999999996,40891.192,43884.748,0,0,43884.748,340.094,1480.318,42064.336,2019,5
,2019-06-01,28564.668,18262.549,530.143,9124.004,597.04,50.932,12914.654,475.681,102.575,1277.605,0,34.278,198.752,2487.1789999999996,41081.034,43568.212999999996,0,0,43568.212999999996,293.49,1469.641,41805.081999999995,2019,6
,2019-07-01,36787.072,23221.759000000002,681.577,12029.201,787.367,67.168,11103.507,561.314,187.66,1104.94,0,39.629,198.752,2680.91,47301.964,49982.873999999996,0,0,49982.873999999996,404.754,1686.02,47892.1,2019,7
,2019-08-01,37847.596,23919.665999999997,771.201,12324.313,766.986,65.43,11597.158,594.193,145.099,1286.099,0,40.605,198.752,2832.982,48876.52,51709.50199999999,0,0,51709.50199999999,414.222,1744.262,49551.018,2019,8
,2019-09-01,32851.583,21865.623,337.763,9784.326,795.969,67.902,9813.114,559,129.559,964.799,0,42.492,198.752,2491.8190000000004,42067.479999999996,44559.299,0,0,44559.299,395.262,1503.072,42660.965,2019,9
,2019-10-01,32409.184,20814.784,476.087,10308.754,745.926,63.633,10078.441,538.987,225.013,1165.977,0,39.594,198.752,2715.4970000000003,41940.451,44655.948000000004,0,0,44655.948000000004,383.686,1506.332,42765.93000000001,2019,10
,2019-11-01,33805.632,19905.142999999996,447.623,12459.921,914.897,78.048,9724.827,448.032,253.467,966.126,0,37.315,198.752,2619.837,42814.314,45434.151,0,0,45434.151,352.31,1532.582,43549.259,2019,11
,2019-12-01,38167.644,20002.271999999997,1264.146,16106.986,731.811,62.429,10515.163,497.008,342.359,889.313,0,40.523,198.752,2501.014,48149.74799999999,50650.761999999995,0,0,50650.761999999995,397.208,1708.549,48545.005,2019,12
,2020-01-01,37931.512437,20561.722936,841.402519,15779.936746,667.464517,80.985719,11308.516462,555.579872,311.814264,875.204394,0,29.450628,363.083461,2439.513675,48935.64784299999,51375.16151799999,0,0,51375.16151799999,463.541357,1694.291041,49217.329119999995,2020,1
,2020-02-01,33035.692854,18045.747558,348.836504,13762.599335,783.450739,95.058718,12061.536558,550.296116,293.744688,1208.792951,0,28.643858,363.218329,2864.9283519999994,44676.997002000004,47541.925354000006,0,0,47541.925354000006,473.534518,1567.875522,45500.515314000004,2020,2
,2020-03-01,30000.665226,15275.105417,324.820507,13496.326497,806.551227,97.861578,13746.541082,638.757094,303.437029,1756.275313,0,32.849933,373.686739,3537.870596,43314.34182,46852.212416,0,0,46852.212416,447.557409,1545.129619,44859.525388,2020,3
,2020-04-01,26650.876513,16519.956658,340.610932,9315.506408,423.426724,51.375791,13010.449498,527.968883,311.107749,2018.112028,0,34.177163,336.824299,3314.7925469999996,39574.723586,42889.516133,0,0,42889.516133,440.301552,1414.444661,41034.76992,2020,4
,2020-05-01,24449.686017,16295.959934999999,205.920189,7559.897159,345.935245,41.973489,14501.852394,564.554313,217.259122,1803.079818,0,38.585941,356.518608,2969.4144389999997,38962.121774,41931.536213,0,0,41931.536213,424.662073,1382.851636,40124.022504,2020,5
,2020-06-01,28330.92839,18121.89329,250.873278,9440.009742,462.085669,56.066411,13371.986062,499.404689,156.174226,1774.460107,0,37.033762,448.396152,2929.158453,41689.224935000006,44618.383388,0,0,44618.383388,333.171986,1471.460624,42813.750778,2020,6
,2020-07-01,32089.589236,20917.546285,230.203685,10360.422078,518.505205,62.911983,13041.011738,583.420268,157.564166,1314.929072,0,39.507178,393.093971,2613.9258889999996,45005.18974,47619.115629,0,0,47619.115629,351.059679,1570.421165,45697.634785,2020,7
,2020-08-01,37131.689074,22698.129486,497.006486,13257.129813,605.9066,73.516689,11905.528178,964.289025,253.830613,1533.791155,0,40.852473,379.970465,3398.669866,48811.28111699999,52209.95098299999,0,0,52209.95098299999,402.626874,1721.821394,50085.50271499999,2020,8
,2020-09-01,33632.89668,20383.609621999996,879.727,12005.57581,324.599497,39.384751,8832.076344,801.671064,189.777693,1541.819362,0,41.872912,339.486415,2899.740528,42479.859941999995,45379.60047,0,0,45379.60047,371.662971,1496.564648,43511.372851,2020,9
,2020-10-01,28377.912678,15868.834603000001,304.581586,11489.798558,637.364365,77.333566,12800.896547,476.161649,231.103241,1773.826502,0,44.191381,117.127923,3162.647138,40658.572783,43821.219921,0,0,43821.219921,360.162132,1445.171132,42015.886657,2020,10
,2020-11-01,30203.600395,16043.074027000002,1034.504189,12725.314763,357.349052,43.358364,13351.968859,429.012808,323.56239,1355.710288,0,44.150396,59.08435,2509.7849340000002,43257.304552,45767.089486000004,0,0,45767.089486000004,329.797875,1509.34357,43927.948041,2020,11
,2020-12-01,37178.039914,17568.834012,844.829097,16625.719744,1907.244643,231.412418,14313.550304,518.287999,401.397385,1290.278761,0,45.947375,106.023287,4163.156163,49690.368862,53853.525025,0,0,53853.525025,448.560573,1776.024489,51628.939963000004,2020,12
,2021-01-01,39940.33191,19774.692706,804.55679,17330.278125,1811.062031,219.742258,13346.475918,543.584134,378.604712,1304.319743,0,47.098381,118.615484,4084.6690009999998,51594.361281,55679.030282,0,0,55679.030282,479.807255,1836.227457,53362.99557,2021,1
,2021-02-01,32082.837114,16064.289572000001,396.80493,13761.880187,1658.616854,201.245571,12100.791822,506.240111,387.644465,1723.746682,0,42.800627,111.515336,4319.048738999999,42636.527418,46955.576156999996,0,0,46955.576156999996,456.220647,1548.538431,44950.81707899999,2021,2
,2021-03-01,32776.974345,14679.845244,333.790322,15699.208558,1840.781946,223.348275,13115.880289,533.483332,270.388942,2181.279208,0,48.937608,211.713761,4874.8710360000005,44263.786449,49138.657485,0,0,49138.657485,457.300853,1620.533828,47060.822804,2021,3
,2021-04-01,29943.827455,14288.557589999999,373.571756,13444.788296,1638.147819,198.761994,11928.589432,572.940831,269.700022,2505.537195,0,47.909685,162.823379,5034.235551999999,40397.092447,45431.327999,0,0,45431.327999,473.325192,1498.27056,43459.732247,2021,4
,2021-05-01,30550.170198,16121.115517,373.812946,12185.924282,1667.048805,202.268648,12128.017918,630.328673,275.281159,2385.614581,0,48.298099,119.740332,5006.571317,41130.879643,46137.45096,0,0,46137.45096,449.294739,1521.557646,44166.598575,2021,5
