country,year,month,Total Combustible Fuels,coal,gas,oil,nuclear,hydro,solar,wind,other
Australia,2011,6,17877.641,14280.544,3411.171,20.742,,1351.137,57.019,732.319,165.184
Australia,2011,7,18757.963,14623.236,3843.111,54.025,,1525.185,108.563,621.479,237.591
Australia,2011,8,18163.658,13969.061,3945.561,11.446,,1332.328,141.067,509.829,237.591
Australia,2011,9,16434.446,13086.859,3050.936,59.061,,1226.283,172.27,728.209,237.591
Australia,2011,10,17254.121,13549.993,3225.029,241.509,,999.56,229.152,537.447,237.591
Australia,2011,11,17832.054,13030.17,4192.531,371.763,,1076.628,260.031,532.37,237.591
Australia,2011,12,17292.749,13114.885,3927.453,12.819,,904.043,292.535,539.034,237.591
Australia,2012,1,19892.222,13903.974,4215.762,1534.895,,847.242,294.16,743.004,237.591
Australia,2012,2,18087.468,13285.313,3912.147,652.416,,895.97,232.402,496.331,237.591
Australia,2012,3,17626.967,13180.618,3807.236,401.522,,1177.444,222.651,589.725,237.591
Australia,2012,4,16522.222,12256.252,3964.053,64.326,,1207.434,160.244,432.456,237.591
Australia,2012,5,17723.567,13930.513,3515.632,39.832,,1236.06,116.689,537.198,237.591
Australia,2012,6,17613.563,13359.347,3909.263,107.363,,1654.823,95.236,702.918,237.591
Australia,2012,7,17940.674,13035.017,4592.02,67.53,,2094.819,162.307,534.268,246.108
Australia,2012,8,17495.906,12866.337,4030.572,352.89,,1963.469,210.902,752.073,246.108
Australia,2012,9,15685.531,11568.088,3616.657,254.679,,1745.342,257.553,663.923,246.108
Australia,2012,10,16531.702,11778.548,4481.829,25.217,,1504.981,342.595,581.89,246.108
Australia,2012,11,16686.617,12127.789,4102.862,209.859,,1176.513,388.76,594.983,246.108
Australia,2012,12,17727.983,12577.106,3957.345,947.424,,1159.981,437.355,760.075,246.108
Australia,2013,1,21684.034,13105.767,4582.219,3749.94,,1316.816,439.785,669.647,246.108
Australia,2013,2,16237.639,11600.35,4170.794,220.387,,1371.249,347.454,598.18,246.108
Australia,2013,3,17183.147,12782.265,4032.348,122.426,,1304.397,332.876,783.985,246.108
Australia,2013,4,15456.958,11876.644,3325.833,8.372,,1417.845,239.573,582.163,246.108
Australia,2013,5,16379.073,12813.514,3301.453,17.998,,1621.638,174.456,843.396,246.108
Australia,2013,6,16805.737,12888.931,3641.521,29.178,,1592.951,142.383,595.417,246.108
Australia,2013,7,16834.266,12701.0,3846.665,14.221,,1968.52,187.242,881.864,272.38
Australia,2013,8,16277.69,11993.048,3996.303,15.959,,1808.19,243.302,1180.731,272.38
Australia,2013,9,15007.071,10863.62,3836.151,34.92,,1706.648,297.12,961.474,272.38
Australia,2013,10,15306.979,11439.881,3588.871,5.846,,1826.306,395.226,1011.061,272.38
Australia,2013,11,15429.873,11339.701,3770.706,47.087,,1634.882,448.483,693.445,272.38
Australia,2013,12,16203.785,11734.61,4034.518,162.277,,1690.361,504.544,742.142,272.38
Australia,2014,1,19625.506,12756.94,4894.411,1701.775,,1209.916,507.347,837.32,272.38
Australia,2014,2,17295.784,11605.505,4315.616,1102.282,,1071.815,400.832,707.904,272.38
Australia,2014,3,17606.114,12404.95,4505.157,423.627,,1041.685,384.014,637.322,272.38
Australia,2014,4,16427.345,11392.532,4272.442,489.991,,1157.836,276.378,676.409,272.38
Australia,2014,5,17375.473,11745.105,4742.694,615.293,,1569.176,201.257,831.328,272.38
Australia,2014,6,16547.114,11386.695,4834.474,53.566,,1735.665,164.257,1091.0,272.38
Australia,2014,7,18010.649,12918.779,4787.471,21.22,,1585.126,234.542,1287.753,283.179
Australia,2014,8,17823.061,12950.639,4568.512,20.731,,1438.076,304.765,677.609,283.179
Australia,2014,9,15642.378,11764.571,3576.636,17.993,,1167.128,372.178,939.783,283.179
Australia,2014,10,16309.673,12030.29,3978.015,18.189,,1023.924,495.067,931.669,283.179
Australia,2014,11,17582.504,11823.529,5030.274,445.522,,792.324,561.778,891.187,283.179
Australia,2014,12,18430.171,12521.549,4420.5,1204.943,,797.707,632.001,901.387,283.179
Australia,2015,1,20577.058,13052.438,4222.63,3018.812,,940.384,635.512,1066.629,283.179
Australia,2015,2,16736.182,12053.383,3920.753,478.868,,886.473,502.089,800.916,283.179
Australia,2015,3,18467.784,12805.52,4357.983,1021.102,,951.309,481.023,913.996,283.179
Australia,2015,4,15944.649,12051.723,3555.181,54.566,,1067.288,346.196,874.759,283.179
Australia,2015,5,16505.195,12795.203,3402.366,24.447,,1283.28,252.098,1299.225,283.179
Australia,2015,6,16567.696,12617.059,3590.303,77.155,,1511.98,205.751,882.087,283.179
Australia,2015,7,16922.34,13601.256,2952.54,76.891,,1533.708,560.034,1147.926,291.653
Australia,2015,8,15984.81,12682.807,2991.021,19.329,,1684.63,727.709,1036.166,291.653
Australia,2015,9,14942.019,11731.535,2916.574,2.256,,1388.749,888.677,812.036,291.653
Australia,2015,10,15268.344,12123.9,2847.639,5.152,,997.338,1182.108,892.142,291.653
Australia,2015,11,16032.962,11951.775,3727.97,61.564,,844.464,1341.399,812.479,291.653
Australia,2015,12,16940.208,12478.585,4110.024,59.946,,1040.414,1509.074,914.346,291.653
Australia,2016,1,18689.116,13464.124,4539.957,393.566,,1414.75,560.034,1080.024,291.469
Australia,2016,2,20098.456,13310.944,4563.167,1932.876,,1171.597,727.709,934.504,291.469
Australia,2016,3,19359.122,13676.62,5171.951,208.296,,1218.021,888.676,846.767,302.255
Australia,2016,4,18765.667,12636.527,4265.36,1573.538,,953.907,1182.107,889.525,290.242
Australia,2016,5,17544.744,12590.627,4489.438,171.091,,1300.919,1341.399,1556.841,293.588
Australia,2016,6,18988.211,13144.174,4825.418,737.725,,1769.596,1509.074,1276.244,280.894
Australia,2016,7,17987.95,13370.677,3731.024,611.682,,1825.668,426.889,1416.11,274.567
Australia,2016,8,17090.675,13611.192,3125.285,50.98,,1683.083,560.78,1151.781,303.218
Australia,2016,9,15936.137,12244.255,3345.333,61.567,,1451.654,620.956,1003.459,284.982
Australia,2016,10,14594.122,11410.508,2835.42,42.257,,2012.321,834.931,1381.513,305.937
Australia,2016,11,15561.43,11768.185,3439.117,75.874,,1717.876,843.251,1090.202,278.254
Australia,2016,12,16289.23,12973.815,2913.24,123.921,,1466.037,830.593,1074.389,278.254
Australia,2017,1,20206.156,13788.012,4532.208,1606.534,,850.65,850.729,1055.79,279.402
Australia,2017,2,18987.99,12267.622,4466.776,2001.616,,959.226,760.928,982.49,251.976
Australia,2017,3,18371.96,13108.848,4758.815,269.748,,726.587,680.016,1021.292,234.549
Australia,2017,4,16234.31,11337.817,4665.284,12.635,,684.095,627.718,843.464,218.574
Australia,2017,5,17156.996,12359.107,4457.639,60.242,,1422.161,546.774,948.204,280.008
Australia,2017,6,18146.041,12973.812,4879.652,10.967,,1485.642,487.078,628.305,281.61
Australia,2017,7,17984.964,13006.153,4571.655,131.715,,1510.681,554.3,1477.805,275.441
Australia,2017,8,17576.248,12714.592,4391.535,192.929,,1569.732,690.81,1360.886,277.192
Australia,2017,9,15764.686,11289.97,4062.756,138.441,,1332.375,829.325,1575.149,273.519
Australia,2017,10,16543.218,11412.647,4176.917,664.329,,1392.771,877.254,1191.664,289.325
Australia,2017,11,17449.152,11725.568,4971.059,483.168,,878.549,974.085,1011.974,269.357
Australia,2017,12,17815.59,12900.112,4504.327,136.489,,793.96,1038.477,1174.169,274.662
Australia,2018,1,18689.1161,13464.1241,4539.9566,393.5661,0.0,1414.7328,560.034,1080.0245,291.4693
Australia,2018,2,20098.4561,13310.9437,4563.1667,1932.8763,0.0,1171.5834,727.7089,934.504,291.4693
Australia,2018,3,19359.1215,13676.6197,5171.9509,208.2961,0.0,1218.0057,888.6767,846.7669,302.2548
Australia,2018,4,18765.667,12636.5269,4265.3596,1573.5384,0.0,953.8961,1182.1078,889.5254,290.2421
Australia,2018,5,17544.7445,12590.6267,4489.4384,171.0911,0.0,1300.904,1341.3989,1556.841,293.5883
Australia,2018,6,18988.2117,13144.1741,4825.4177,737.7255,0.0,1769.5754,1509.0737,1276.2436,280.8944
Australia,2018,7,17987.9502,13370.677,3731.0241,611.6816,0.0,1825.6676,426.8891,1416.1099,274.5675
Australia,2018,8,17090.6747,13611.1919,3125.2847,50.9802,0.0,1683.0828,560.7798,1151.7812,303.2179
Australia,2018,9,15936.1379,12244.2555,3345.3332,61.5674,0.0,1451.6542,620.9568,1003.4593,284.9818
Australia,2018,10,14594.1222,11410.5081,2835.4198,42.2574,0.0,2012.321,834.9314,1381.5126,305.9369
Australia,2018,11,15561.4309,11768.1855,3439.1174,75.874,0.0,1717.8766,843.2503,1090.2021,278.254
Australia,2018,12,16289.2292,12973.8148,2913.2397,123.9206,0.0,1466.0374,830.5934,1074.3894,278.254
Australia,2019,1,18957.6192,13249.6553,5372.947,58.9323,0.0,1211.1152,2720.5735,1375.1294,276.0846
Australia,2019,2,16419.7105,11546.1026,4495.8905,130.4512,0.0,782.7572,2361.9358,1399.498,247.2662
Australia,2019,3,17897.9125,12541.1295,5001.9695,84.5544,0.0,846.4939,2212.2005,1400.3354,270.2591
Australia,2019,4,15582.5319,11322.5731,3445.4523,558.7274,0.0,960.2559,1933.0394,1459.657,255.779
Australia,2019,5,16712.2902,11903.657,4234.2951,341.3286,0.0,1341.1871,1617.2513,1689.4928,233.0095
Australia,2019,6,17148.2338,12102.4212,4592.8963,213.7498,0.0,1725.6331,1360.488,1533.8193,239.1665
Australia,2019,7,17311.4741,12199.6405,4683.0149,170.2624,0.0,1612.8909,1632.4014,1898.067,258.5563
Australia,2019,8,16942.0289,11653.2467,5224.4789,-194.4936,0.0,1508.988,2046.5642,1939.7441,258.7969
Australia,2019,9,15093.8723,10317.8957,4798.7168,-267.0819,0.0,1238.2563,2537.1063,1685.3386,244.3417
Australia,2019,10,15475.8559,10621.8806,4822.7095,-220.3184,0.0,1008.5131,3007.8633,1667.0948,251.5841
Australia,2019,11,14984.948,10807.2962,3495.8416,438.8819,0.0,1023.1918,3239.4238,1893.3505,242.9283
Australia,2019,12,16683.8068,12142.1228,3650.5635,648.6014,0.0,1016.4202,3415.6533,1776.0663,242.519
Australia,2020,1,17728.8496,12622.1666,4122.1199,727.684,0.0,1129.6449,2191.3141,1648.1343,256.8791
Australia,2020,2,16562.3279,11515.0764,4468.7625,329.7365,0.0,1103.5167,1881.6229,1415.3086,248.7525
Australia,2020,3,15972.2617,11159.4286,4191.9025,361.4431,0.0,1119.52,1921.3692,1735.9824,259.4875
Australia,2020,4,14631.1072,10433.3718,3363.7988,583.8425,0.0,1268.3681,1615.8672,1589.6367,250.094
Australia,2020,5,15851.467,11074.0016,4158.2495,368.608,0.0,1534.621,1428.3351,1915.3787,250.6078
Australia,2020,6,16877.2114,11706.2737,4624.3272,309.4625,0.0,1588.7193,1252.8342,1679.4247,237.148
Australia,2020,7,17879.0837,12185.7347,5385.5441,67.6993,0.0,1605.7045,1419.0751,1588.5624,240.1056
Australia,2020,8,16507.4311,11582.3359,4223.0814,454.9164,0.0,1268.5871,1845.7028,2166.7722,247.0973
Australia,2020,9,13952.4578,10111.2954,2834.9759,764.4965,0.0,1072.4106,2127.118,2260.9596,241.6901
Australia,2020,10,14125.4381,10021.5945,3361.1757,483.9987,0.0,1236.2779,2476.0612,2018.8585,258.6692
Australia,2020,11,14432.6846,10482.4166,2887.5681,817.5613,0.0,994.2664,2860.2242,1951.4705,245.1386
Australia,2020,12,15210.6946,11030.8666,3074.8171,858.1008,0.0,958.9621,2833.6725,2228.2043,246.9102
Australia,2021,1,15560.0143,11375.1775,2946.6436,999.9022,0.0,1082.8252,2873.6558,2196.2908,238.2909
Australia,2021,2,14162.9229,10457.0934,2449.1107,1032.5857,0.0,1029.4513,2467.2183,1898.7975,224.1331
Australia,2021,3,15309.2612,11214.6836,2844.2504,1000.2695,0.0,1285.2699,2254.1462,2003.6571,250.0578
Australia,2021,4,14628.0752,10652.0375,2861.965,881.4153,0.0,1369.9082,2024.4407,1604.5785,232.6574
Australia,2021,5,15680.1663,11224.0349,3466.522,765.8933,0.0,1564.1218,1673.9251,2011.9304,223.716
Australia,2021,6,16540.1076,11227.0729,5056.2442,54.8518,0.0,1788.7299,1393.0164,2153.1767,201.9387
Australia,2021,7,16992.2364,12084.9505,3913.9078,771.7002,0.0,1601.0903,1566.9543,2787.48,221.6777
Australia,2021,8,15339.8256,11022.9291,3331.8914,746.4132,0.0,1452.8445,2111.6386,2458.5881,238.5919
Australia,2021,9,13283.628,9669.0908,2597.245,777.8564,0.0,1360.897,2551.7561,2384.5018,239.4358
Australia,2021,10,13378.4857,9822.5602,2421.5043,893.2881,0.0,1369.8697,3006.5499,2159.4263,241.133
Australia,2021,11,13206.6293,9741.7492,2300.3448,932.8936,0.0,1371.1681,2787.3993,2200.6424,231.6417
Australia,2021,12,14091.4175,10330.6314,2591.3682,928.6848,0.0,1109.1932,3324.545,2228.1779,240.7331
Austria,2010,1,3117.16,693.73,1858.733,172.672,,2579.264,2.864,200.966,345.424
Austria,2010,2,2867.572,665.66,1663.99,183.911,,2235.792,4.692,191.396,307.411
Austria,2010,3,2421.723,532.328,1369.325,116.477,,2912.003,7.925,222.977,356.994
Austria,2010,4,1724.077,152.38,1110.346,64.369,,2504.13,9.965,131.107,350.383
Austria,2010,5,1414.036,226.565,734.113,39.847,,3937.054,10.2,152.16,366.91
Austria,2010,6,1498.087,425.06,623.996,38.826,,4422.209,9.73,122.494,363.605
Austria,2010,7,1642.469,561.4,614.82,51.086,,4022.923,10.122,141.633,368.563
Austria,2010,8,1377.814,407.015,477.173,60.282,,4334.195,9.73,144.504,386.743
Austria,2010,9,1795.505,579.445,743.289,59.26,,3768.538,7.799,123.451,366.91
Austria,2010,10,2559.329,732.828,1368.305,69.478,,2906.637,5.885,156.945,342.119
Austria,2010,11,2587.108,711.775,1397.874,83.782,,2836.869,3.084,189.483,347.077
Austria,2010,12,3037.341,683.705,1679.284,270.758,,3042.952,2.425,184.698,356.994
Austria,2011,1,3022.776,744.159,1674.653,202.38,,2958.927,5.607,149.007,356.999
Austria,2011,2,2643.776,613.858,1515.766,156.402,,2493.347,9.187,156.962,313.165
Austria,2011,3,2857.915,803.623,1565.332,94.247,,2412.106,15.516,176.17,350.129
Austria,2011,4,1868.133,515.778,911.494,55.792,,2585.758,19.51,180.587,340.484
Austria,2011,5,1803.677,450.383,908.385,22.181,,3148.243,19.971,136.567,378.143
Austria,2011,6,1308.318,439.362,407.345,45.131,,3892.012,19.049,154.057,371.895
Austria,2011,7,1357.554,455.681,409.067,64.262,,3609.309,19.818,195.962,383.959
Austria,2011,8,1088.405,383.912,212.741,63.223,,3781.455,19.049,104.083,383.945
Austria,2011,9,1677.559,640.855,578.872,56.772,,3057.114,15.27,134.041,356.475
Austria,2011,10,2036.998,636.254,953.474,63.868,,3193.563,11.522,150.7,338.817
Austria,2011,11,2558.987,731.798,1350.427,67.784,,2424.668,6.037,109.214,364.393
Austria,2011,12,2378.431,549.413,1321.333,71.939,,2317.034,4.747,191.135,391.161
Austria,2012,1,2452.683,531.854,1433.23,59.729,,3292.271,10.931,322.944,373.146
Austria,2012,2,2951.199,656.067,1773.036,128.272,,2798.332,17.908,301.781,339.1
Austria,2012,3,2017.216,520.704,991.797,60.206,,3586.861,30.246,225.388,389.785
Austria,2012,4,1434.185,408.463,561.196,52.17,,3524.788,38.032,203.56,357.633
Austria,2012,5,933.807,230.778,204.775,58.396,,4419.562,38.931,195.742,385.135
Austria,2012,6,1001.043,196.055,318.699,48.709,,4785.817,37.134,138.541,382.856
Austria,2012,7,967.405,311.294,178.364,49.499,,4715.358,38.631,131.343,373.524
Austria,2012,8,1223.108,519.164,216.124,61.12,,4013.608,37.134,101.517,371.978
Austria,2012,9,1399.332,623.362,318.731,55.962,,3882.842,29.767,185.959,346.554
Austria,2012,10,1949.671,665.639,835.057,24.923,,3778.522,22.46,162.461,369.329
Austria,2012,11,2280.633,641.779,1146.849,49.562,,3532.905,11.769,195.706,387.72
Austria,2012,12,2440.159,638.877,1294.535,61.597,,3248.777,9.254,186.376,390.426
Austria,2013,1,2580.422,677.933,1409.979,61.42,,3507.307,20.287,295.264,381.82
Austria,2013,2,2055.811,600.423,1010.713,52.01,,3257.423,33.237,232.728,343.394
Austria,2013,3,1904.16,611.457,800.408,71.232,,3255.907,56.135,338.088,371.792
Austria,2013,4,1455.943,520.397,455.036,60.69,,3817.434,70.586,208.182,370.549
Austria,2013,5,909.166,219.565,211.825,42.41,,5022.145,72.253,273.68,386.097
Austria,2013,6,725.842,162.139,118.859,55.604,,4325.454,68.919,275.682,339.97
Austria,2013,7,934.948,315.525,110.036,54.5,,4171.461,71.698,159.957,405.615
Austria,2013,8,1068.754,432.083,128.839,50.156,,3287.691,68.919,151.058,408.405
Austria,2013,9,1243.284,572.194,218.474,52.343,,3446.13,55.246,224.657,351.002
Austria,2013,10,1519.645,631.76,396.302,60.859,,3237.052,41.685,210.031,381.454
Austria,2013,11,1711.556,552.492,694.642,49.357,,3540.673,21.843,325.086,365.795
Austria,2013,12,1836.041,555.228,797.693,53.779,,2862.347,17.174,317.04,380.07
