unit,datetime,date,year,month,month_date,weekday,hour,coal,oil,gas,nuclear,hydro,wind,solar,other,fossil,low.carbon,total.prod,coal.perc,oil.perc,gas.perc,nuclear.perc,hydro.perc,wind.perc,solar.perc,other.perc,fossil.perc,low.carbon.perc
Mwh,2021-11-10 10:00:00,2021-11-10,2021,11,11-10,Wednesday,10,0.0,0.0,4827.0,4933.0,275.0,370.0,0.0,1374.0,4827.0,6952.0,11779.0,0.0,0.0,0.40979709652771884,0.41879616266236525,0.02334663383988454,0.031411834620935566,0.0,0.11664827234909585,0.40979709652771884,0.5902029034722812
Mwh,2021-11-10 11:00:00,2021-11-10,2021,11,11-10,Wednesday,11,0.0,0.0,4777.0,4933.0,208.0,278.0,0.0,1376.0,4777.0,6795.0,11572.0,0.0,0.0,0.41280677497407536,0.42628759073625994,0.017974421016246113,0.024023505012098167,0.0,0.11890770826132042,0.41280677497407536,0.5871932250259246
Mwh,2021-11-10 12:00:00,2021-11-10,2021,11,11-10,Wednesday,12,0.0,0.0,4676.0,4928.0,171.2,201.0,0.0,1357.0,4676.0,6657.2,11333.2,0.0,0.0,0.4125930893304627,0.4348286450428828,0.015106060071294954,0.01773550277062083,0.0,0.11973670278473864,0.4125930893304627,0.5874069106695372
Mwh,2021-11-10 13:00:00,2021-11-10,2021,11,11-10,Wednesday,13,0.0,0.0,4197.0,4924.0,173.4,103.0,0.0,1254.0,4197.0,6454.4,10651.4,0.0,0.0,0.3940327093152074,0.46228664776461315,0.016279550106089342,0.009670090316765871,0.0,0.1177310024973243,0.3940327093152074,0.6059672906847926
Mwh,2021-11-10 14:00:00,2021-11-10,2021,11,11-10,Wednesday,14,0.0,0.0,4405.0,4922.0,113.6,47.0,0.0,1204.0,4405.0,6286.6,10691.6,0.0,0.0,0.41200568670732163,0.4603614052153092,0.010625163679898237,0.004395974409817052,0.0,0.11261176998765386,0.41200568670732163,0.5879943132926784
Mwh,2021-11-10 15:00:00,2021-11-10,2021,11,11-10,Wednesday,15,0.0,0.0,4602.0,4922.0,77.8,81.0,0.0,1249.0,4602.0,6329.8,10931.8,0.0,0.0,0.42097367313708633,0.4502460710953366,0.00711685175359959,0.007409575733182093,0.0,0.11425382828079549,0.42097367313708633,0.5790263268629138
Mwh,2021-11-10 16:00:00,2021-11-10,2021,11,11-10,Wednesday,16,0.0,0.0,4609.0,4923.0,39.0,123.0,0.0,1296.0,4609.0,6381.0,10990.0,0.0,0.0,0.4193812556869882,0.4479526842584167,0.003548680618744313,0.011191992720655141,0.0,0.11792538671519563,0.4193812556869882,0.5806187443130119
Mwh,2021-11-10 17:00:00,2021-11-10,2021,11,11-10,Wednesday,17,0.0,0.0,4694.0,4924.0,520.1669999999999,107.0,0.0,1329.0,4694.0,6880.1669999999995,11574.167,0.0,0.0,0.4055583438531689,0.42543018430613627,0.044942067969124685,0.00924472577594569,0.0,0.11482467809562451,0.4055583438531689,0.5944416561468311
Mwh,2021-11-10 18:00:00,2021-11-10,2021,11,11-10,Wednesday,18,0.0,0.0,4727.0,4925.0,435.333,137.0,0.0,1358.0,4727.0,6855.333,11582.332999999999,0.0,0.0,0.4081215761971272,0.4252165776963933,0.03758595094787899,0.011828359623229623,0.0,0.117247535535371,0.4081215761971272,0.5918784238028729
Mwh,2021-11-10 19:00:00,2021-11-10,2021,11,11-10,Wednesday,19,0.0,0.0,4731.0,4928.0,351.5,234.0,0.0,1384.0,4731.0,6897.5,11628.5,0.0,0.0,0.4068452508922045,0.4237863868942684,0.03022745839962162,0.020122973728339856,0.0,0.11901793008556563,0.4068452508922045,0.5931547491077955
