datetime,Coal,region,Wind,Hydro,Solar,Other,Petroleum,Natural gas,Nuclear
2018-07-08 13:00:00,11317,NW,2370,11780,129,847,58,9035,1155.0
2018-07-08 14:00:00,11541,NW,1879,12404,772,840,57,9196,1156.0
2018-07-08 15:00:00,12012,NW,1659,12611,1638,829,56,9636,1154.0
2018-07-08 16:00:00,12736,NW,1767,13018,1949,792,58,10213,1152.0
2018-07-08 17:00:00,13485,NW,1686,13908,2102,781,58,11075,1150.0
2018-07-08 18:00:00,14338,NW,1427,14560,2144,744,58,12349,1147.0
2018-07-08 19:00:00,14399,NW,1165,15503,2175,739,57,13626,1147.0
2018-07-08 20:00:00,14555,NW,1069,15964,1998,760,57,14010,1145.0
2018-07-08 21:00:00,14532,NW,1151,16878,1795,759,55,14565,1144.0
2018-07-08 22:00:00,14453,NW,1215,17360,1680,744,57,15054,1145.0
2018-07-08 23:00:00,14516,NW,1569,17620,1399,765,56,15414,1145.0
2018-07-09 00:00:00,14596,NW,2092,17952,1257,759,57,15464,1144.0
2018-07-09 01:00:00,14442,NW,2842,18342,873,767,56,14506,1144.0
2018-07-09 02:00:00,14079,NW,3221,18426,536,760,57,14256,1143.0
2018-07-09 03:00:00,13992,NW,4010,17848,179,763,58,13746,1143.0
2018-07-09 04:00:00,13631,NW,4706,17099,37,769,59,13578,1141.0
2018-07-09 05:00:00,13626,NW,5160,15299,30,779,58,12528,1141.0
2018-07-09 06:00:00,13223,NW,5652,13730,28,781,60,11407,1143.0
2018-07-09 07:00:00,12543,NW,5662,12457,28,800,60,10875,1147.0
2018-07-09 08:00:00,11953,NW,5634,11152,27,808,60,10160,1147.0
2018-07-09 09:00:00,11559,NW,5437,10799,28,827,58,9604,1150.0
2018-07-09 10:00:00,11535,NW,4691,10714,27,836,58,9818,1151.0
2018-07-09 11:00:00,11761,NW,4264,10781,28,848,59,9851,1151.0
2018-07-09 12:00:00,12035,NW,3705,11176,27,857,59,10130,1151.0
2018-07-09 13:00:00,12580,NW,3016,11827,116,870,58,10481,1151.0
2018-07-09 14:00:00,12918,NW,2275,14909,641,881,58,10595,1153.0
2018-07-09 15:00:00,13355,NW,1691,15521,1367,866,57,11359,1151.0
2018-07-09 16:00:00,13862,NW,1257,16117,1710,848,57,12492,1148.0
2018-07-09 17:00:00,13808,NW,1192,16978,2071,828,56,13270,1145.0
2018-07-09 18:00:00,13976,NW,1382,17732,2170,809,57,14020,1142.0
2018-07-09 19:00:00,14026,NW,1489,18189,2136,788,56,14335,1140.0
2018-07-09 20:00:00,14181,NW,1627,19428,2080,784,56,14659,1139.0
2018-07-09 21:00:00,14380,NW,1690,20647,1803,784,54,15218,1136.0
2018-07-09 22:00:00,14399,NW,2472,20314,1606,770,54,15959,1136.0
2018-07-09 23:00:00,14575,NW,3740,20149,1426,747,52,16225,1137.0
2018-07-10 00:00:00,14478,NW,4586,20487,1299,761,52,16052,1138.0
2018-07-10 01:00:00,14239,NW,5761,19356,1056,774,53,15839,1140.0
2018-07-10 02:00:00,14414,NW,6074,19578,636,768,54,15168,1139.0
2018-07-10 03:00:00,14604,NW,6683,19360,138,778,54,13717,1136.0
2018-07-10 04:00:00,14104,NW,7770,18202,9,787,55,12751,1134.0
2018-07-10 05:00:00,13055,NW,8467,17585,0,792,56,11874,1134.0
2018-07-10 06:00:00,12413,NW,8476,15407,-1,799,58,10909,1139.0
2018-07-10 07:00:00,11691,NW,8356,13996,0,817,59,9657,1143.0
2018-07-10 08:00:00,11388,NW,8192,13635,0,826,58,9293,1143.0
2018-07-10 09:00:00,11391,NW,7771,13099,0,847,57,9018,1147.0
2018-07-10 10:00:00,11405,NW,7437,12814,-1,854,57,9072,1149.0
2018-07-10 11:00:00,11783,NW,7072,12446,0,846,57,9381,1151.0
2018-07-10 12:00:00,12390,NW,6543,12998,0,861,58,9454,1152.0
2018-07-10 13:00:00,13336,NW,6595,13251,90,860,57,9346,1152.0
2018-07-10 14:00:00,13652,NW,6154,14639,829,853,56,9647,1150.0
2018-07-10 15:00:00,13483,NW,5940,15614,1765,819,56,10299,1150.0
2018-07-10 16:00:00,13940,NW,6153,15984,2102,792,55,10900,1149.0
2018-07-10 17:00:00,13998,NW,6793,16244,2208,792,56,11500,1145.0
2018-07-10 18:00:00,13650,NW,6430,17143,2227,781,54,11831,1146.0
2018-07-10 19:00:00,14014,NW,5570,17519,2186,762,54,12707,1144.0
2018-07-10 20:00:00,13997,NW,5446,18009,2222,756,52,13321,1140.0
2018-07-10 21:00:00,13795,NW,5413,18474,2092,738,48,14267,1139.0
2018-07-10 22:00:00,13655,NW,5096,19087,2148,720,44,15014,1141.0
2018-07-10 23:00:00,13675,NW,5058,19138,2069,722,42,15623,1141.0
2018-07-11 00:00:00,13623,NW,5075,19657,2011,718,50,15951,1142.0
2018-07-11 01:00:00,13610,NW,5377,19863,1758,727,53,15916,1142.0
2018-07-11 02:00:00,13487,NW,5617,20128,907,728,57,15784,1144.0
2018-07-11 03:00:00,13395,NW,5814,19903,216,727,55,14730,1143.0
2018-07-11 04:00:00,12986,NW,5476,19497,36,754,57,14210,1143.0
2018-07-11 05:00:00,12428,NW,5355,18855,31,766,59,13686,1144.0
2018-07-11 06:00:00,12040,NW,5474,17206,28,767,58,12487,1146.0
2018-07-11 07:00:00,11828,NW,4805,15555,29,783,60,11641,1146.0
2018-07-11 08:00:00,11545,NW,4432,13351,29,807,58,10797,1148.0
2018-07-11 09:00:00,11400,NW,4036,12776,28,823,59,10367,1150.0
2018-07-11 10:00:00,11433,NW,3602,12143,27,829,59,10093,1151.0
2018-07-11 11:00:00,11487,NW,3325,11985,29,834,60,10063,1153.0
2018-07-11 12:00:00,11788,NW,2767,12112,29,788,59,10565,1155.0
2018-07-11 13:00:00,12228,NW,2289,12931,106,799,58,10757,1157.0
2018-07-11 14:00:00,12553,NW,1726,15558,495,808,58,10856,1156.0
2018-07-11 15:00:00,12816,NW,1370,16336,1071,802,58,11629,1154.0
2018-07-11 16:00:00,12936,NW,1394,16746,1374,846,58,12392,1153.0
2018-07-11 17:00:00,13165,NW,1565,17318,1652,844,58,13001,1149.0
2018-07-11 18:00:00,13310,NW,1708,17783,1896,845,58,13563,1146.0
2018-07-11 19:00:00,13341,NW,1394,18449,2014,794,58,14528,1145.0
2018-07-11 20:00:00,13398,NW,1251,19476,2161,772,57,14856,1142.0
2018-07-11 21:00:00,13588,NW,1307,19976,2075,774,58,15246,1143.0
2018-07-11 22:00:00,13716,NW,1605,20873,1866,758,58,15419,1143.0
2018-07-11 23:00:00,13776,NW,2150,21407,1536,749,59,15860,1143.0
2018-07-12 00:00:00,13894,NW,2660,22143,1477,747,57,15790,1140.0
2018-07-12 01:00:00,13109,NW,2837,22322,1278,739,59,15363,1139.0
2018-07-12 02:00:00,13630,NW,2923,22122,908,747,58,15093,1140.0
2018-07-12 03:00:00,13516,NW,3026,21755,218,751,59,14489,1142.0
2018-07-12 04:00:00,13468,NW,2881,21418,8,762,60,14554,1141.0
2018-07-12 05:00:00,13081,NW,2959,20392,-1,780,60,13856,1143.0
2018-07-12 06:00:00,12879,NW,2732,17238,-2,767,58,12718,1142.0
2018-07-12 07:00:00,12375,NW,2643,15341,36,788,59,11879,1146.0
2018-07-12 08:00:00,11911,NW,2451,13566,67,789,58,10835,1147.0
2018-07-12 09:00:00,11578,NW,2419,12867,74,795,58,10753,1147.0
2018-07-12 10:00:00,11531,NW,2402,12025,78,812,58,10472,1147.0
2018-07-12 11:00:00,11458,NW,2031,11934,78,825,59,10486,1150.0
2018-07-12 12:00:00,12002,NW,1660,12017,78,834,59,10694,1150.0
2018-07-12 13:00:00,12431,NW,1472,12565,153,836,58,10913,1150.0
2018-07-12 14:00:00,12609,NW,1057,14826,809,842,59,11015,1148.0
2018-07-12 15:00:00,13028,NW,940,15762,1476,808,57,11351,1147.0
2018-07-12 16:00:00,13332,NW,953,16691,1814,788,58,11599,1143.0
2018-07-12 17:00:00,13441,NW,823,16965,1929,788,58,12862,1142.0
2018-07-12 18:00:00,13545,NW,861,17714,1992,789,57,13792,1139.0
2018-07-12 19:00:00,13590,NW,1018,18271,1908,761,59,14759,1137.0
2018-07-12 20:00:00,13728,NW,1324,20434,1827,748,57,14890,1136.0
2018-07-12 21:00:00,13719,NW,1515,21030,1533,745,56,15268,1135.0
2018-07-12 22:00:00,13715,NW,1500,21530,1347,741,55,15432,1135.0
2018-07-12 23:00:00,13836,NW,1876,22035,1002,742,55,15317,1134.0
2018-07-13 00:00:00,13701,NW,2714,22820,842,745,56,14696,1136.0
2018-07-13 01:00:00,13524,NW,2525,23399,810,745,57,14589,1138.0
2018-07-13 02:00:00,13290,NW,2585,23400,563,739,57,14508,1137.0
2018-07-13 03:00:00,13227,NW,2366,23211,144,745,57,14450,1138.0
2018-07-13 04:00:00,13381,NW,1704,22023,5,754,59,15066,1138.0
2018-07-13 05:00:00,13316,NW,1303,20672,-2,778,59,14509,1140.0
2018-07-13 06:00:00,13142,NW,1207,17832,-2,769,59,13787,1141.0
2018-07-13 07:00:00,12712,NW,1156,15685,0,791,59,11849,1145.0
2018-07-13 08:00:00,12601,NW,1270,14384,0,795,59,10805,1146.0
2018-07-13 09:00:00,12263,NW,1518,12697,0,798,59,10317,1145.0
2018-07-13 10:00:00,11973,NW,1542,12018,0,811,59,10215,1147.0
2018-07-13 11:00:00,12014,NW,1389,11636,-1,816,58,10062,1147.0
2018-07-13 12:00:00,12185,NW,1234,11834,0,815,57,10260,1148.0
2018-07-13 13:00:00,12372,NW,1160,12663,79,823,55,10318,1150.0
2018-07-13 14:00:00,12636,NW,1118,14467,660,813,54,10469,1150.0
2018-07-13 15:00:00,12920,NW,1061,15090,1344,805,53,10680,1149.0
2018-07-13 16:00:00,13174,NW,928,16315,1693,803,53,10898,1145.0
2018-07-13 17:00:00,13339,NW,1053,17044,1842,791,53,11677,1142.0
2018-07-13 18:00:00,13604,NW,1003,17592,1937,774,53,12556,1139.0
2018-07-13 19:00:00,13668,NW,1039,18012,2087,763,51,12956,1137.0
2018-07-13 20:00:00,13806,NW,1399,19726,2091,762,51,13385,1135.0
2018-07-13 21:00:00,14065,NW,1921,20542,1969,780,51,14243,1133.0
2018-07-13 22:00:00,14104,NW,2421,20694,1544,762,49,14655,1133.0
2018-07-13 23:00:00,14298,NW,3137,20860,1296,749,47,15060,1134.0
2018-07-14 00:00:00,14454,NW,3847,20828,1187,747,48,14908,1133.0
2018-07-14 01:00:00,14465,NW,4174,20959,935,749,49,14809,1135.0
2018-07-14 02:00:00,14484,NW,4688,20383,407,742,49,14326,1131.0
2018-07-14 03:00:00,14504,NW,5067,19223,75,744,51,13646,1132.0
2018-07-14 04:00:00,14480,NW,5321,18180,-3,750,52,13275,1134.0
2018-07-14 05:00:00,14218,NW,5607,17103,0,766,54,12654,1138.0
2018-07-14 06:00:00,13942,NW,5549,14800,0,753,56,11618,1137.0
2018-07-14 07:00:00,13305,NW,5640,13087,0,755,58,10663,1140.0
2018-07-14 08:00:00,13001,NW,5204,12615,0,757,57,9937,1140.0
2018-07-14 09:00:00,12777,NW,4536,11881,-3,782,59,9729,1142.0
2018-07-14 10:00:00,12537,NW,3978,11733,0,779,58,9631,1145.0
2018-07-14 11:00:00,12522,NW,3544,11866,0,791,59,9455,1143.0
2018-07-14 12:00:00,12582,NW,2824,12312,0,797,57,9406,1142.0
2018-07-14 13:00:00,12696,NW,2218,12421,50,816,59,9473,1145.0
2018-07-14 14:00:00,12368,NW,1884,13715,412,813,58,9247,1145.0
2018-07-14 15:00:00,12571,NW,1701,14163,1032,793,58,9083,1143.0
2018-07-14 16:00:00,12274,NW,1650,14743,1398,792,57,9885,1142.0
2018-07-14 17:00:00,12862,NW,1461,15586,1676,773,55,11066,1143.0
2018-07-14 18:00:00,13045,NW,1446,16062,2003,764,53,12281,1143.0
2018-07-14 19:00:00,13514,NW,1323,16688,2090,760,52,13541,1143.0
2018-07-14 20:00:00,13749,NW,1217,18441,2218,741,52,14022,1143.0
2018-07-14 21:00:00,14128,NW,1155,19340,2009,732,52,14523,1143.0
2018-07-14 22:00:00,14187,NW,1454,19836,1728,723,54,14585,1142.0
2018-07-14 23:00:00,14283,NW,1686,20197,1463,721,55,14796,1144.0
2018-07-15 00:00:00,14326,NW,1761,20743,1216,716,55,15030,1144.0
2018-07-15 01:00:00,14292,NW,1919,20981,990,719,56,14705,1144.0
2018-07-15 02:00:00,14208,NW,2071,21270,648,701,59,14653,1144.0
2018-07-15 03:00:00,14165,NW,2352,20747,196,724,58,14109,1145.0
2018-07-15 04:00:00,13883,NW,3162,19835,73,748,60,13484,1145.0
2018-07-15 05:00:00,13602,NW,3281,18399,14,756,60,12681,1147.0
2018-07-15 06:00:00,13651,NW,3036,16243,-1,748,60,12248,1149.0
2018-07-15 07:00:00,13439,NW,2770,14839,-1,753,61,11377,1151.0
2018-07-15 08:00:00,13556,NW,2419,13160,0,758,59,9961,1153.0
2018-07-15 09:00:00,13249,NW,1868,12411,0,778,59,10016,1152.0
2018-07-15 10:00:00,12797,NW,1524,11955,-1,783,60,9821,1155.0
2018-07-15 11:00:00,12572,NW,1319,11725,-1,793,60,9695,1156.0
2018-07-15 12:00:00,12337,NW,1161,11656,0,799,59,9717,1156.0
2018-07-15 13:00:00,12467,NW,900,11617,71,799,60,9606,1157.0
2018-07-15 14:00:00,12133,NW,1103,12074,707,805,59,9142,1157.0
2018-07-15 15:00:00,11423,NW,1139,12384,1620,789,59,9279,1154.0
2018-07-15 16:00:00,11464,NW,1130,13573,1954,779,60,9510,1153.0
2018-07-15 17:00:00,11683,NW,1282,14470,2111,753,59,10102,1150.0
2018-07-15 18:00:00,12688,NW,1591,15168,2162,755,58,10841,1147.0
2018-07-15 19:00:00,12894,NW,1660,15942,2167,744,59,11452,1146.0
2018-07-15 20:00:00,12558,NW,1710,16970,2142,712,58,11234,1145.0
2018-07-15 21:00:00,13062,NW,1526,17306,1964,692,60,12042,1145.0
2018-07-15 22:00:00,13595,NW,1460,18424,1812,681,58,12218,1144.0
