Coal,Lignite,Hydro,Nuclear,"Gas, Naptha & Diesel","RES (Wind, Solar, Biomass & Others)",Total,date
2894,83,250,136,57,263,3684,2021/12/26
2998,83,266,136,58,283,3824,2021/12/25
3053,80,269,136,62,284,3884,2021/12/24
3035,73,277,135,61,268,3849,2021/12/23
3004,72,270,135,62,281,3825,2021/12/22
2944,74,283,135,63,295,3794,2021/12/21
2834,72,263,136,61,352,3717,2021/12/20
2637,67,241,135,62,424,3564,2021/12/19
2762,68,242,130,60,449,3711,2021/12/18
2774,71,268,130,64,430,3737,2021/12/17
2790,73,271,130,65,390,3719,2021/12/16
2776,71,286,130,63,367,3693,2021/12/15
2773,73,289,130,65,343,3673,2021/12/14
2724,72,288,129,64,337,3615,2021/12/13
2609,73,264,130,63,358,3497,2021/12/12
2693,76,296,129,63,374,3630,2021/12/11
2691,73,298,125,63,401,3651,2021/12/10
2744,72,303,125,61,350,3654,2021/12/9
2719,70,296,124,60,362,3631,2021/12/8
2691,71,284,125,61,361,3593,2021/12/7
2633,74,299,125,61,325,3517,2021/12/6
2547,70,291,125,63,290,3386,2021/12/5
2594,62,316,125,60,287,3445,2021/12/4
2544,63,320,83,64,307,3381,2021/12/3
2503,69,308,126,63,302,3370,2021/12/2
2554,68,306,125,65,325,3443,2021/12/1
2590,60,313,125,75,343,3506,2021/11/30
2579,59,311,125,77,325,3476,2021/11/29
2537,58,294,125,78,304,3397,2021/11/28
2690,56,315,126,72,284,3542,2021/11/27
2723,57,322,125,74,288,3589,2021/11/26
2708,71,312,120,71,294,3576,2021/11/25
2719,76,320,110,64,271,3561,2021/11/24
2695,70,325,103,62,268,3523,2021/11/23
2583,66,321,103,59,313,3445,2021/11/22
2421,70,308,103,66,335,3303,2021/11/21
2538,67,317,102,67,347,3438,2021/11/20
2545,65,314,104,68,330,3427,2021/11/19
2629,71,361,105,67,279,3511,2021/11/18
2617,65,350,114,66,338,3550,2021/11/17
2579,66,335,129,65,381,3556,2021/11/16
2583,66,351,130,66,329,3525,2021/11/15
2524,70,337,129,64,303,3427,2021/11/14
2568,70,366,128,64,312,3509,2021/11/13
2531,68,375,125,57,344,3499,2021/11/12
2514,59,378,124,59,317,3451,2021/11/11
2577,56,393,129,66,277,3497,2021/11/10
2512,56,388,129,67,306,3458,2021/11/9
2395,61,410,129,66,304,3364,2021/11/8
2231,70,406,129,64,288,3189,2021/11/7
2174,66,407,129,63,316,3155,2021/11/6
2073,65,395,133,61,296,3023,2021/11/5
2215,70,386,134,64,284,3154,2021/11/4
2493,66,416,134,64,300,3473,2021/11/3
2557,68,419,134,68,299,3545,2021/11/2
2520,75,433,134,67,281,3510,2021/11/1
2448,76,460,134,64,278,3461,2021/10/31
2513,73,482,134,66,310,3579,2021/10/30
2568,73,502,134,69,292,3639,2021/10/29
2534,78,507,133,67,338,3659,2021/10/28
2566,76,502,133,68,341,3686,2021/10/27
2586,81,516,133,80,301,3696,2021/10/26
2520,81,510,134,86,286,3617,2021/10/25
2411,81,518,133,73,291,3508,2021/10/24
2519,80,544,128,89,339,3699,2021/10/23
2562,74,563,127,78,358,3763,2021/10/22
2552,71,569,124,80,329,3725,2021/10/21
2587,67,571,123,81,300,3728,2021/10/20
2497,65,570,123,71,333,3660,2021/10/19
2374,62,529,123,76,462,3626,2021/10/18
2502,71,509,123,81,361,3648,2021/10/17
2711,73,506,121,91,289,3791,2021/10/16
2643,67,484,129,105,326,3754,2021/10/15
2720,64,519,132,115,352,3902,2021/10/14
2752,68,554,133,118,353,3978,2021/10/13
2728,76,576,132,128,354,3995,2021/10/12
2700,75,570,132,123,358,3959,2021/10/11
2592,67,551,132,119,392,3854,2021/10/10
2660,66,576,124,133,353,3913,2021/10/9
2725,69,579,120,156,329,3977,2021/10/8
2703,75,599,131,148,307,3962,2021/10/7
2686,77,594,129,156,283,3925,2021/10/6
2649,73,630,128,140,288,3908,2021/10/5
2593,74,655,128,109,345,3903,2021/10/4
2462,77,622,129,85,329,3704,2021/10/3
2504,82,618,129,106,278,3716,2021/10/2
2618,83,649,128,104,318,3900,2021/10/1
2531,81,660,129,102,418,3920,2021/9/30
2445,73,636,128,93,504,3879,2021/9/29
2444,72,602,123,88,520,3849,2021/9/28
2505,68,586,123,90,424,3797,2021/9/27
2462,66,618,123,90,364,3722,2021/9/26
2534,65,665,118,100,387,3868,2021/9/25
2570,63,689,113,101,432,3968,2021/9/24
2534,63,648,115,91,366,3818,2021/9/23
2531,64,660,113,108,402,3877,2021/9/22
2644,68,658,114,114,416,4015,2021/9/21
2738,75,696,114,110,353,4087,2021/9/20
2691,80,678,114,76,327,3966,2021/9/19
2631,88,694,114,74,360,3961,2021/9/18
2482,88,661,123,74,421,3848,2021/9/17
2406,84,695,124,79,457,3845,2021/9/16
2366,82,747,122,76,450,3842,2021/9/15
2230,79,729,120,82,526,3766,2021/9/14
2215,80,720,120,89,578,3801,2021/9/13
2132,75,670,120,88,561,3645,2021/9/12
2336,78,653,120,94,500,3780,2021/9/11
2511,79,631,120,96,520,3957,2021/9/10
2603,84,643,120,94,523,4067,2021/9/9
2504,80,639,121,101,553,3998,2021/9/8
2568,78,611,123,113,495,3987,2021/9/7
2688,79,604,123,109,439,4041,2021/9/6
2571,77,584,123,104,433,3892,2021/9/5
2626,76,609,120,111,451,3993,2021/9/4
2740,78,652,110,115,346,4040,2021/9/3
2744,74,676,95,105,371,4064,2021/9/2
2709,74,650,88,108,400,4027,2021/9/1
2720,70,649,88,129,425,4081,2021/8/31
2752,74,650,84,142,423,4125,2021/8/30
2732,78,658,87,163,413,4131,2021/8/29
2844,72,720,91,168,407,4302,2021/8/28
2835,68,731,92,159,477,4362,2021/8/27
2789,68,725,90,134,550,4355,2021/8/26
2830,68,719,90,102,530,4339,2021/8/25
2830,70,712,92,96,467,4266,2021/8/24
2728,71,687,99,96,366,4047,2021/8/23
2657,69,623,96,85,292,3822,2021/8/22
2803,70,695,96,103,322,4089,2021/8/21
2893,68,706,96,115,416,4294,2021/8/20
2926,67,693,96,122,553,4457,2021/8/19
3003,62,692,96,126,499,4477,2021/8/18
3100,62,713,95,152,406,4529,2021/8/17
3029,63,739,87,124,403,4445,2021/8/16
2831,69,729,70,88,549,4336,2021/8/15
2973,70,690,65,89,642,4530,2021/8/14
3021,77,739,66,93,540,4536,2021/8/13
2987,80,736,66,93,549,4512,2021/8/12
2927,82,748,87,86,542,4473,2021/8/11
2898,82,735,97,88,532,4430,2021/8/10
2847,80,730,97,90,484,4327,2021/8/9
2744,81,745,97,87,413,4167,2021/8/8
2791,80,778,95,115,465,4325,2021/8/7
2672,72,766,100,98,600,4309,2021/8/6
2561,73,759,100,95,660,4248,2021/8/5
2410,68,751,99,94,705,4125,2021/8/4
2329,64,751,97,95,714,4050,2021/8/3
2244,66,744,96,89,711,3950,2021/8/2
2030,59,718,101,88,714,3710,2021/8/1
2144,68,710,101,94,714,3830,2021/7/31
2139,70,705,101,93,718,3826,2021/7/30
2186,72,684,101,93,705,3841,2021/7/29
2185,73,665,101,93,735,3852,2021/7/28
2416,70,660,101,85,733,4064,2021/7/27
2473,66,685,100,85,703,4113,2021/7/26
2397,76,667,105,85,637,3966,2021/7/25
2448,81,690,105,91,606,4021,2021/7/24
2466,79,678,105,95,562,3985,2021/7/23
2331,71,663,105,89,629,3887,2021/7/22
2268,66,634,105,79,677,3830,2021/7/21
2292,67,627,105,81,695,3867,2021/7/20
2370,63,630,104,81,672,3921,2021/7/19
2585,70,647,104,88,522,4016,2021/7/18
2958,79,679,104,98,417,4335,2021/7/17
2925,79,695,103,93,409,4303,2021/7/16
2763,76,667,100,89,422,4117,2021/7/15
2701,79,644,99,91,449,4063,2021/7/14
2757,82,612,99,91,491,4133,2021/7/13
2785,78,615,101,95,466,4140,2021/7/12
2836,77,612,109,96,423,4152,2021/7/11
3014,78,632,109,101,462,4396,2021/7/10
3018,71,653,109,102,456,4409,2021/7/9
3052,77,648,108,104,485,4474,2021/7/8
3129,83,680,107,119,450,4568,2021/7/7
3175,79,692,105,121,381,4553,2021/7/6
3060,80,692,105,113,389,4439,2021/7/5
2875,82,657,106,105,450,4275,2021/7/4
2796,82,668,109,111,540,4306,2021/7/3
2724,84,667,109,120,616,4320,2021/7/2
2859,91,669,108,115,576,4419,2021/7/1
2960,91,661,106,117,550,4486,2021/6/30
3039,92,658,105,111,405,4410,2021/6/29
2921,88,642,106,95,383,4234,2021/6/28
2685,87,617,107,97,415,4009,2021/6/27
2648,80,620,106,93,593,4140,2021/6/26
2661,78,612,107,90,623,4171,2021/6/25
2679,76,614,103,95,582,4150,2021/6/24
2759,81,648,99,100,488,4176,2021/6/23
2672,83,669,97,98,513,4133,2021/6/22
2455,83,646,119,92,550,3944,2021/6/21
2184,73,580,107,89,623,3655,2021/6/20
2357,78,589,110,91,547,3772,2021/6/19
2419,88,611,120,92,524,3854,2021/6/18
2389,88,625,122,90,544,3858,2021/6/17
2344,88,631,123,92,587,3865,2021/6/16
2305,84,616,128,103,655,3890,2021/6/15
2324,85,636,128,101,610,3883,2021/6/14
2133,73,606,128,94,636,3670,2021/6/13
2285,77,591,128,103,664,3848,2021/6/12
2317,74,575,128,101,688,3883,2021/6/11
2461,81,556,127,106,666,3998,2021/6/10
2515,85,563,124,107,632,4025,2021/6/9
2576,82,534,124,105,575,3995,2021/6/8
2559,82,521,125,104,481,3871,2021/6/7
2495,77,467,125,102,341,3607,2021/6/6
2587,76,468,125,109,326,3690,2021/6/5
2662,84,479,120,116,311,3771,2021/6/4
2592,86,486,119,108,339,3731,2021/6/3
2484,83,497,122,111,424,3720,2021/6/2
2280,78,507,125,98,530,3619,2021/6/1
2435,82,522,128,90,583,3839,2021/5/31
2353,80,515,121,93,545,3707,2021/5/30
2454,88,545,115,102,528,3831,2021/5/29
2329,86,528,110,94,582,3728,2021/5/28
2249,83,449,106,89,637,3613,2021/5/27
2273,85,391,106,87,634,3577,2021/5/26
2362,83,410,121,82,536,3595,2021/5/25
2400,85,439,130,76,463,3593,2021/5/24
2310,77,425,130,73,453,3469,2021/5/23
2291,77,450,130,76,422,3445,2021/5/22
2167,70,450,128,76,471,3362,2021/5/21
2129,68,430,125,81,430,3264,2021/5/20
2155,65,394,125,89,415,3243,2021/5/19
2252,66,375,125,89,469,3376,2021/5/18
2331,71,370,124,102,544,3542,2021/5/17
2365,70,350,123,101,498,3506,2021/5/16
2606,74,382,115,103,387,3666,2021/5/15
2592,71,417,104,106,403,3693,2021/5/14
2415,71,433,103,106,467,3595,2021/5/13
2560,75,395,103,109,450,3692,2021/5/12
2702,75,362,111,110,417,3779,2021/5/11
2774,79,360,110,113,359,3795,2021/5/10
2738,80,369,109,116,336,3748,2021/5/9
2863,83,389,116,122,312,3884,2021/5/8
2781,79,391,118,117,328,3814,2021/5/7
2803,76,414,118,116,355,3883,2021/5/6
2851,77,380,118,116,364,3907,2021/5/5
2900,78,348,117,111,343,3897,2021/5/4
2885,80,322,113,108,353,3861,2021/5/3
2874,75,299,113,113,314,3788,2021/5/2
2951,80,308,112,118,330,3899,2021/5/1
3089,82,323,109,134,335,4071,2021/4/30
3117,73,334,109,136,357,4126,2021/4/29
3116,75,318,113,142,361,4125,2021/4/28
3102,77,306,122,120,348,4075,2021/4/27
3072,78,300,120,113,341,4024,2021/4/26
2906,76,303,116,96,346,3843,2021/4/25
2987,80,318,100,98,351,3935,2021/4/24
2944,70,309,91,97,413,3923,2021/4/23
2989,69,293,90,103,385,3929,2021/4/22
3091,72,294,85,111,360,4013,2021/4/21
3154,72,277,84,113,401,4101,2021/4/20
3103,73,294,89,104,416,4080,2021/4/19
3048,71,261,107,100,350,3937,2021/4/18
3075,70,275,97,102,357,3975,2021/4/17
3162,68,252,107,99,367,4055,2021/4/16
3151,68,249,107,103,356,4034,2021/4/15
3165,67,246,107,109,364,4057,2021/4/14
3293,68,251,97,107,321,4136,2021/4/13
3241,70,275,97,106,340,4129,2021/4/12
3150,69,253,97,99,357,4025,2021/4/11
3235,76,274,108,112,363,4168,2021/4/10
3256,73,289,108,133,352,4211,2021/4/9
3277,75,310,99,149,343,4252,2021/4/8
3226,72,325,103,138,350,4215,2021/4/7
3182,69,302,101,125,380,4160,2021/4/6
3197,70,293,101,117,392,4170,2021/4/5
3103,72,265,94,115,391,4040,2021/4/4
3177,72,292,89,121,425,4176,2021/4/3
3140,73,307,90,115,414,4137,2021/4/2
3090,75,300,89,105,424,4083,2021/4/1
3086,78,268,93,112,470,4107,2021/3/31
2955,75,262,93,100,436,3921,2021/3/30
2861,75,243,109,93,404,3785,2021/3/29
3128,70,253,93,99,385,4029,2021/3/28
3225,69,291,95,127,350,4157,2021/3/27
3201,70,300,98,128,358,4154,2021/3/26
3222,67,294,96,111,349,4137,2021/3/25
3176,62,282,89,117,366,4091,2021/3/24
3105,61,287,86,122,358,4020,2021/3/23
3184,65,283,84,111,334,4061,2021/3/22
3148,71,234,78,100,355,3986,2021/3/21
3225,72,276,83,120,344,4120,2021/3/20
3255,73,294,83,118,319,4143,2021/3/19
3268,71,304,86,114,332,4174,2021/3/18
3225,72,328,88,121,335,4168,2021/3/17
3188,74,326,88,117,342,4135,2021/3/16
3140,76,291,89,116,358,4070,2021/3/15
3009,77,264,95,105,366,3916,2021/3/14
3019,78,271,93,117,354,3933,2021/3/13
3100,79,265,85,129,359,4017,2021/3/12
3233,80,286,84,125,358,4166,2021/3/11
3261,80,295,81,112,346,4176,2021/3/10
3229,74,305,86,117,368,4179,2021/3/9
3135,74,297,72,117,388,4082,2021/3/8
3024,75,260,68,110,417,3953,2021/3/7
3140,78,315,77,128,362,4102,2021/3/6
3171,77,290,90,133,352,4113,2021/3/5
3119,71,275,91,127,377,4060,2021/3/4
3134,68,279,91,112,357,4041,2021/3/3
3105,73,302,91,112,355,4037,2021/3/2
3046,78,299,90,118,347,3978,2021/3/1
2987,77,270,91,105,341,3871,2021/2/28
3031,73,298,91,122,363,3978,2021/2/27
3018,73,304,91,122,374,3982,2021/2/26
3006,74,312,91,120,332,3934,2021/2/25
2983,71,289,91,106,350,3890,2021/2/24
2932,69,286,91,108,341,3827,2021/2/23
2863,66,265,91,107,323,3716,2021/2/22
2714,67,245,91,104,346,3567,2021/2/21
2807,73,249,91,113,370,3704,2021/2/20
2832,75,259,90,117,363,3736,2021/2/19
2892,77,263,86,120,363,3800,2021/2/18
2939,82,266,83,123,324,3816,2021/2/17
2980,78,266,80,121,313,3838,2021/2/16
2978,76,273,80,114,320,3841,2021/2/15
2907,72,255,78,109,312,3733,2021/2/14
2994,74,268,77,102,330,3844,2021/2/13
2997,72,266,78,111,341,3866,2021/2/12
2995,76,272,81,108,325,3856,2021/2/11
3015,77,277,81,101,324,3875,2021/2/10
2985,74,284,81,100,344,3868,2021/2/9
2884,74,280,83,98,397,3814,2021/2/8
2820,78,239,80,93,395,3706,2021/2/7
2891,80,276,80,98,402,3828,2021/2/6
2913,82,273,81,98,380,3826,2021/2/5
2934,76,267,79,95,372,3824,2021/2/4
3105,76,273,87,96,342,3979,2021/2/3
3031,71,262,87,96,355,3901,2021/2/2
2996,66,259,77,97,351,3846,2021/2/1
2963,66,248,77,96,328,3778,2021/1/31
3053,68,265,77,97,333,3894,2021/1/30
3044,69,266,79,94,356,3908,2021/1/29
2997,66,267,84,96,363,3874,2021/1/28
2929,68,273,88,96,353,3806,2021/1/27
2831,62,255,89,92,349,3679,2021/1/26
2944,61,265,88,96,363,3818,2021/1/25
2922,64,267,89,93,336,3771,2021/1/24
3034,69,282,88,97,313,3882,2021/1/23
3072,66,292,79,95,302,3906,2021/1/22
3050,72,278,78,95,279,3852,2021/1/21
3018,71,289,77,94,296,3844,2021/1/20
2968,55,293,74,92,319,3802,2021/1/19
2838,62,287,79,96,364,3727,2021/1/18
2763,63,258,99,95,334,3612,2021/1/17
2778,65,283,99,92,311,3628,2021/1/16
2712,64,269,104,89,315,3552,2021/1/15
2714,64,258,104,87,307,3534,2021/1/14
2821,56,266,104,93,335,3676,2021/1/13
2810,62,253,104,88,362,3678,2021/1/12
2786,60,253,104,92,325,3619,2021/1/11
2628,58,237,104,89,339,3455,2021/1/10
2661,59,253,104,90,339,3506,2021/1/9
3044,60,256,116,102,336,3914,2021/1/8
2698,58,261,104,95,310,3526,2021/1/7
2711,69,292,106,92,271,3541,2021/1/6
2672,67,282,109,97,301,3528,2021/1/5
2667,62,280,109,104,323,3544,2021/1/4
2627,58,256,108,93,327,3469,2021/1/3
2720,64,281,96,96,359,3617,2021/1/2
2729,68,264,86,99,390,3635,2021/1/1
2780,66,300,85,90,400,3721,2020/12/31
2769,72,292,85,91,442,3751,2020/12/30
2806,77,272,102,92,392,3740,2020/12/29
2773,77,280,122,94,329,3673,2020/12/28
2686,67,251,121,95,356,3576,2020/12/27
2801,76,285,121,92,331,3706,2020/12/26
2745,75,274,120,90,365,3669,2020/12/25
2789,72,285,125,97,347,3714,2020/12/24
2794,69,288,121,98,321,3692,2020/12/23
2802,65,282,115,99,313,3675,2020/12/22
2724,64,263,116,94,353,3613,2020/12/21
2621,63,235,116,84,361,3480,2020/12/20
2684,60,256,118,87,388,3593,2020/12/19
2668,65,272,122,134,356,3616,2020/12/18
2632,57,294,122,101,360,3565,2020/12/17
2590,60,287,110,99,372,3520,2020/12/16
2584,65,284,95,110,352,3491,2020/12/15
2514,64,292,103,98,336,3407,2020/12/14
2406,59,270,116,94,309,3254,2020/12/13
2452,62,282,114,111,306,3327,2020/12/12
2575,62,290,96,110,308,3441,2020/12/11
2559,65,283,96,168,338,3509,2020/12/10
2558,67,287,109,170,297,3487,2020/12/9
2628,51,272,120,117,287,3474,2020/12/8
2577,59,288,120,105,278,3427,2020/12/7
2489,54,260,120,112,303,3338,2020/12/6
2625,51,291,121,121,270,3478,2020/12/5
2638,51,293,120,132,264,3498,2020/12/4
2625,54,298,120,131,248,3476,2020/12/3
2559,60,282,121,174,280,3475,2020/12/2
2532,56,280,121,122,320,3431,2020/12/1
2517,59,282,125,115,292,3389,2020/11/30
2406,57,268,123,101,302,3257,2020/11/29
2389,56,283,122,99,359,3308,2020/11/28
2323,57,285,122,102,408,3296,2020/11/27
2312,49,280,123,111,381,3256,2020/11/26
2472,51,286,125,115,320,3370,2020/11/25
2520,63,290,126,147,266,3411,2020/11/24
2499,59,291,126,116,258,3348,2020/11/23
2399,63,274,126,101,291,3254,2020/11/22
2410,66,292,131,103,339,3341,2020/11/21
2427,66,290,131,125,324,3363,2020/11/20
2410,70,281,130,126,335,3352,2020/11/19
2375,69,288,127,121,316,3295,2020/11/18
2260,66,279,126,97,345,3174,2020/11/17
2040,67,274,126,134,307,2947,2020/11/16
2027,64,286,126,102,269,2874,2020/11/15
2148,67,275,125,109,318,3043,2020/11/14
2514,68,303,120,131,288,3424,2020/11/13
2589,65,322,114,131,295,3516,2020/11/12
2544,64,318,116,133,326,3501,2020/11/11
2568,67,306,110,133,314,3497,2020/11/10
2580,61,319,95,138,291,3484,2020/11/9
2489,60,296,92,146,288,3370,2020/11/8
2586,61,306,91,149,293,3486,2020/11/7
2610,59,311,90,157,274,3501,2020/11/6
2571,56,332,91,161,267,3478,2020/11/5
2617,56,350,90,153,269,3534,2020/11/4
2605,64,371,92,159,301,3591,2020/11/3
2570,66,377,112,159,275,3560,2020/11/2
2478,67,357,114,153,260,3429,2020/11/1
2591,64,382,114,158,249,3558,2020/10/31
2588,63,389,114,157,254,3564,2020/10/30
2576,63,393,117,159,229,3537,2020/10/29
2549,57,395,117,153,256,3527,2020/10/28
2504,53,409,117,155,258,3497,2020/10/27
2420,48,395,118,158,259,3398,2020/10/26
2324,44,400,117,151,259,3296,2020/10/25
2459,42,417,116,155,298,3486,2020/10/24
2512,49,406,111,158,307,3542,2020/10/23
2558,54,407,111,157,305,3590,2020/10/22
2588,49,417,113,158,279,3604,2020/10/21
,48,430,116,147,269,3647,2020/10/20
,52,450,116,163,265,3638,2020/10/19
2502,53,452,116,171,256,3550,2020/10/18
2612,51,477,116,162,328,3746,2020/10/17
2548,50,490,115,156,422,3783,2020/10/16
2472,60,488,115,173,447,3754,2020/10/15
2477,56,487,115,146,454,3734,2020/10/14
2611,59,477,110,161,327,3745,2020/10/13
2585,58,473,116,163,301,3696,2020/10/12
2522,53,447,116,164,289,3590,2020/10/11
2738,55,461,116,163,291,3823,2020/10/10
2782,58,518,116,156,272,3902,2020/10/9
2772,59,527,116,140,263,3877,2020/10/8
2722,62,552,115,147,312,3910,2020/10/7
2641,61,558,116,151,324,3851,2020/10/6
2542,64,548,117,164,368,3803,2020/10/5
2395,63,521,117,162,411,3669,2020/10/4
2495,65,534,117,158,402,3770,2020/10/3
2423,63,565,117,138,372,3678,2020/10/2
2499,58,597,117,125,362,3757,2020/10/1
2587,58,599,117,125,320,3805,2020/9/30
2594,58,628,117,114,320,3831,2020/9/29
2578,55,651,116,105,326,3831,2020/9/28
2370,54,660,116,92,329,3622,2020/9/27
2381,52,699,116,100,351,3699,2020/9/26
2456,59,705,116,110,383,3828,2020/9/25
2391,66,742,116,125,369,3808,2020/9/24
2304,61,719,116,130,450,3779,2020/9/23
2392,62,710,116,146,433,3858,2020/9/22
2442,60,701,116,140,403,3861,2020/9/21
2471,69,688,116,142,346,3831,2020/9/20
2578,72,724,116,161,347,3999,2020/9/19
2491,64,710,116,160,426,3966,2020/9/18
,66,698,116,158,392,3891,2020/9/17
2584,67,684,116,154,365,3970,2020/9/16
2539,67,680,116,149,373,3924,2020/9/15
2501,65,708,116,135,346,3871,2020/9/14
2476,65,662,116,130,325,3774,2020/9/13
2628,60,698,116,137,346,3986,2020/9/12
2663,59,698,114,153,337,4025,2020/9/11
2713,59,661,114,166,316,4029,2020/9/10
2747,56,649,114,181,308,4056,2020/9/9
2642,50,683,115,148,333,3970,2020/9/8
2494,49,689,116,150,368,3867,2020/9/7
2415,54,675,116,146,320,3726,2020/9/6
2601,56,706,119,152,254,3888,2020/9/5
2575,58,717,120,154,242,3866,2020/9/4
2517,62,722,119,147,235,3802,2020/9/3
2477,66,727,125,146,228,3770,2020/9/2
2424,57,696,128,146,322,3772,2020/9/1
2303,42,703,129,127,405,3709,2020/8/31
