date,year,month,month_date,coal,lignite,coal_lignite,gas_naptha_diesel,hydro,nuclear,res,total,unit,weekday,hour
2020-02-08,2020,2,02-08,2717.0,96.0,,112.0,286.0,88.0,351.0,3650.0,MU,Saturday,0
2020-02-09,2020,2,02-09,2601.0,93.0,,108.0,264.0,84.0,348.0,3499.0,MU,Sunday,0
2020-02-10,2020,2,02-10,2680.0,92.0,,115.0,269.0,89.0,365.0,3611.0,MU,Monday,0
2020-02-11,2020,2,02-11,2724.0,98.0,,114.0,292.0,98.0,384.0,3710.0,MU,Tuesday,0
2020-02-12,2020,2,02-12,2759.0,96.0,,115.0,301.0,84.0,376.0,3730.0,MU,Wednesday,0
2020-02-13,2020,2,02-13,2836.0,96.0,,123.0,287.0,80.0,321.0,3743.0,MU,Thursday,0
2020-02-14,2020,2,02-14,2843.0,93.0,,120.0,300.0,79.0,304.0,3738.0,MU,Friday,0
2020-02-15,2020,2,02-15,2869.0,87.0,,124.0,298.0,81.0,276.0,3735.0,MU,Saturday,0
2020-02-16,2020,2,02-16,2754.0,82.0,,116.0,265.0,93.0,330.0,3641.0,MU,Sunday,0
2020-02-17,2020,2,02-17,2798.0,90.0,,126.0,296.0,94.0,362.0,3766.0,MU,Monday,0
2020-02-18,2020,2,02-18,2875.0,93.0,,137.0,305.0,100.0,317.0,3827.0,MU,Tuesday,0
2020-02-19,2020,2,02-19,2869.0,92.0,,129.0,314.0,99.0,326.0,3829.0,MU,Wednesday,0
2020-02-20,2020,2,02-20,2770.0,92.0,,128.0,313.0,100.0,386.0,3789.0,MU,Thursday,0
2020-02-21,2020,2,02-21,2672.0,94.0,,114.0,294.0,100.0,388.0,3663.0,MU,Friday,0
2020-02-22,2020,2,02-22,2669.0,98.0,,113.0,288.0,101.0,400.0,3670.0,MU,Saturday,0
2020-02-23,2020,2,02-23,2618.0,90.0,,107.0,286.0,101.0,366.0,3566.0,MU,Sunday,0
2020-02-24,2020,2,02-24,2744.0,90.0,,122.0,322.0,100.0,318.0,3696.0,MU,Monday,0
2020-02-25,2020,2,02-25,2770.0,94.0,,124.0,318.0,100.0,286.0,3693.0,MU,Tuesday,0
2020-02-26,2020,2,02-26,2789.0,88.0,,126.0,315.0,100.0,302.0,3719.0,MU,Wednesday,0
2020-02-27,2020,2,02-27,2732.0,78.0,,134.0,327.0,101.0,314.0,3685.0,MU,Thursday,0
2020-02-28,2020,2,02-28,2734.0,74.0,,147.0,332.0,100.0,344.0,3731.0,MU,Friday,0
2020-02-29,2020,2,02-29,2700.0,77.0,,138.0,326.0,100.0,326.0,3666.0,MU,Saturday,0
2020-03-01,2020,3,03-01,2514.0,79.0,,138.0,269.0,100.0,326.0,3426.0,MU,Sunday,0
2020-03-02,2020,3,03-02,2712.0,86.0,,139.0,306.0,104.0,291.0,3638.0,MU,Monday,0
2020-03-03,2020,3,03-03,2750.0,85.0,,141.0,330.0,106.0,316.0,3727.0,MU,Tuesday,0
2020-03-04,2020,3,03-04,2679.0,79.0,,136.0,317.0,105.0,351.0,3667.0,MU,Wednesday,0
2020-03-05,2020,3,03-05,2617.0,76.0,,139.0,320.0,105.0,355.0,3611.0,MU,Thursday,0
2020-03-06,2020,3,03-06,2514.0,73.0,,125.0,295.0,106.0,340.0,3454.0,MU,Friday,0
2020-03-07,2020,3,03-07,2626.0,83.0,,118.0,291.0,105.0,266.0,3488.0,MU,Saturday,0
2020-03-08,2020,3,03-08,2541.0,79.0,,123.0,287.0,106.0,292.0,3428.0,MU,Sunday,0
2020-03-09,2020,3,03-09,2518.0,84.0,,127.0,294.0,105.0,322.0,3450.0,MU,Monday,0
2020-03-10,2020,3,03-10,2220.0,73.0,,101.0,271.0,105.0,370.0,3140.0,MU,Tuesday,0
2020-03-11,2020,3,03-11,2337.0,78.0,,94.0,299.0,105.0,365.0,3279.0,MU,Wednesday,0
2020-03-12,2020,3,03-12,2501.0,84.0,,105.0,317.0,105.0,350.0,3463.0,MU,Thursday,0
2020-03-13,2020,3,03-13,2547.0,87.0,,127.0,321.0,105.0,312.0,3500.0,MU,Friday,0
2020-03-14,2020,3,03-14,2515.0,85.0,,141.0,310.0,110.0,335.0,3496.0,MU,Saturday,0
2020-03-15,2020,3,03-15,2399.0,84.0,,135.0,287.0,118.0,367.0,3391.0,MU,Sunday,0
2020-03-16,2020,3,03-16,2501.0,86.0,,146.0,332.0,121.0,377.0,3563.0,MU,Monday,0
2020-03-17,2020,3,03-17,2601.0,89.0,,154.0,325.0,123.0,357.0,3649.0,MU,Tuesday,0
2020-03-18,2020,3,03-18,2670.0,89.0,,154.0,315.0,126.0,321.0,3674.0,MU,Wednesday,0
2020-03-19,2020,3,03-19,2698.0,87.0,,152.0,315.0,127.0,294.0,3672.0,MU,Thursday,0
2020-03-20,2020,3,03-20,2589.0,88.0,,137.0,309.0,128.0,349.0,3599.0,MU,Friday,0
2020-03-21,2020,3,03-21,2538.0,87.0,,159.0,303.0,129.0,325.0,3541.0,MU,Saturday,0
2020-03-22,2020,3,03-22,2211.0,76.0,,131.0,265.0,127.0,276.0,3086.0,MU,Sunday,0
2020-03-23,2020,3,03-23,2311.0,75.0,,118.0,291.0,122.0,270.0,3187.0,MU,Monday,0
2020-03-24,2020,3,03-24,2149.0,76.0,,128.0,288.0,121.0,275.0,3038.0,MU,Tuesday,0
2020-03-25,2020,3,03-25,1945.0,76.0,,132.0,272.0,121.0,280.0,2827.0,MU,Wednesday,0
2020-03-26,2020,3,03-26,1801.0,72.0,,114.0,297.0,117.0,302.0,2702.0,MU,Thursday,0
2020-03-27,2020,3,03-27,1744.0,73.0,,123.0,298.0,116.0,287.0,2642.0,MU,Friday,0
2020-03-28,2020,3,03-28,1742.0,75.0,,130.0,304.0,123.0,300.0,2674.0,MU,Saturday,0
2020-03-29,2020,3,03-29,1728.0,75.0,,126.0,334.0,123.0,299.0,2685.0,MU,Sunday,0
2020-03-30,2020,3,03-30,1727.0,78.0,,136.0,339.0,122.0,316.0,2717.0,MU,Monday,0
2020-03-31,2020,3,03-31,1769.0,85.0,,137.0,322.0,119.0,331.0,2763.0,MU,Tuesday,0
2020-04-01,2020,4,04-01,1799.0,85.0,,148.0,332.0,115.0,306.0,2785.0,MU,Wednesday,0
2020-04-02,2020,4,04-02,1879.0,82.0,,150.0,328.0,115.0,311.0,2864.0,MU,Thursday,0
2020-04-03,2020,4,04-03,1869.0,77.0,,161.0,330.0,113.0,320.0,2870.0,MU,Friday,0
2020-04-04,2020,4,04-04,1901.0,80.0,,154.0,325.0,111.0,293.0,2864.0,MU,Saturday,0
2020-04-05,2020,4,04-05,1851.0,75.0,,154.0,319.0,111.0,311.0,2821.0,MU,Sunday,0
2020-04-06,2020,4,04-06,1895.0,78.0,,155.0,296.0,110.0,294.0,2829.0,MU,Monday,0
2020-04-07,2020,4,04-07,1835.0,75.0,,156.0,301.0,115.0,318.0,2800.0,MU,Tuesday,0
2020-04-08,2020,4,04-08,1838.0,78.0,,146.0,300.0,115.0,303.0,2781.0,MU,Wednesday,0
2020-04-09,2020,4,04-09,1846.0,78.0,,146.0,291.0,115.0,299.0,2775.0,MU,Thursday,0
2020-04-10,2020,4,04-10,1865.0,82.0,,136.0,301.0,115.0,287.0,2786.0,MU,Friday,0
2020-04-11,2020,4,04-11,1924.0,85.0,,132.0,329.0,116.0,290.0,2875.0,MU,Saturday,0
2020-04-12,2020,4,04-12,1908.0,86.0,,127.0,348.0,114.0,307.0,2890.0,MU,Sunday,0
2020-04-13,2020,4,04-13,1955.0,81.0,,143.0,360.0,105.0,342.0,2987.0,MU,Monday,0
2020-04-14,2020,4,04-14,1985.0,77.0,,167.0,371.0,106.0,346.0,3052.0,MU,Tuesday,0
2020-04-15,2020,4,04-15,1965.0,77.0,,160.0,388.0,106.0,318.0,3015.0,MU,Wednesday,0
2020-04-16,2020,4,04-16,1993.0,78.0,,162.0,388.0,107.0,319.0,3047.0,MU,Thursday,0
2020-04-17,2020,4,04-17,1985.0,74.0,,166.0,397.0,107.0,324.0,3053.0,MU,Friday,0
2020-04-18,2020,4,04-18,1958.0,78.0,,148.0,368.0,106.0,321.0,2979.0,MU,Saturday,0
2020-04-19,2020,4,04-19,1931.0,73.0,,136.0,366.0,112.0,317.0,2935.0,MU,Sunday,0
2020-04-20,2020,4,04-20,1937.0,70.0,,127.0,357.0,115.0,333.0,2940.0,MU,Monday,0
2020-04-21,2020,4,04-21,1919.0,73.0,,129.0,342.0,116.0,297.0,2877.0,MU,Tuesday,0
2020-04-22,2020,4,04-22,1959.0,75.0,,132.0,368.0,116.0,318.0,2968.0,MU,Wednesday,0
2020-04-23,2020,4,04-23,1964.0,72.0,,111.0,369.0,115.0,352.0,2983.0,MU,Thursday,0
2020-04-24,2020,4,04-24,1944.0,73.0,,118.0,361.0,115.0,381.0,2993.0,MU,Friday,0
2020-04-25,2020,4,04-25,1883.0,71.0,,121.0,373.0,115.0,411.0,2975.0,MU,Saturday,0
2020-04-26,2020,4,04-26,1812.0,70.0,,132.0,363.0,115.0,320.0,2813.0,MU,Sunday,0
2020-04-27,2020,4,04-27,1773.0,68.0,,132.0,374.0,112.0,343.0,2801.0,MU,Monday,0
2020-04-28,2020,4,04-28,1866.0,72.0,,130.0,416.0,115.0,308.0,2907.0,MU,Tuesday,0
2020-04-29,2020,4,04-29,1918.0,73.0,,129.0,407.0,115.0,285.0,2925.0,MU,Wednesday,0
2020-04-30,2020,4,04-30,1989.0,76.0,,133.0,406.0,108.0,320.0,3033.0,MU,Thursday,0
2020-05-01,2020,5,05-01,1899.0,75.0,,142.0,412.0,103.0,374.0,3005.0,MU,Friday,0
2020-05-02,2020,5,05-02,1936.0,73.0,,133.0,450.0,101.0,386.0,3079.0,MU,Saturday,0
2020-05-03,2020,5,05-03,1891.0,76.0,,132.0,452.0,107.0,373.0,3032.0,MU,Sunday,0
2020-05-04,2020,5,05-04,1933.0,78.0,,136.0,454.0,115.0,355.0,3071.0,MU,Monday,0
2020-05-05,2020,5,05-05,2006.0,78.0,,153.0,449.0,115.0,326.0,3128.0,MU,Tuesday,0
2020-05-06,2020,5,05-06,2007.0,72.0,,140.0,453.0,115.0,349.0,3135.0,MU,Wednesday,0
2020-05-07,2020,5,05-07,2050.0,75.0,,139.0,443.0,116.0,337.0,3158.0,MU,Thursday,0
2020-05-08,2020,5,05-08,2179.0,68.0,,148.0,445.0,115.0,331.0,3285.0,MU,Friday,0
2020-05-09,2020,5,05-09,2244.0,70.0,,153.0,469.0,111.0,335.0,3382.0,MU,Saturday,0
2020-05-10,2020,5,05-10,2064.0,70.0,,154.0,428.0,106.0,332.0,3154.0,MU,Sunday,0
2020-05-11,2020,5,05-11,2042.0,73.0,,152.0,432.0,106.0,324.0,3129.0,MU,Monday,0
2020-05-12,2020,5,05-12,2236.0,76.0,,148.0,463.0,98.0,303.0,3324.0,MU,Tuesday,0
2020-05-13,2020,5,05-13,2283.0,78.0,,151.0,461.0,110.0,319.0,3401.0,MU,Wednesday,0
2020-05-14,2020,5,05-14,2314.0,81.0,,150.0,465.0,107.0,306.0,3423.0,MU,Thursday,0
2020-05-15,2020,5,05-15,2347.0,79.0,,160.0,449.0,105.0,334.0,3474.0,MU,Friday,0
2020-05-16,2020,5,05-16,2339.0,72.0,,161.0,482.0,107.0,339.0,3500.0,MU,Saturday,0
2020-05-17,2020,5,05-17,2245.0,68.0,,154.0,482.0,107.0,376.0,3433.0,MU,Sunday,0
2020-05-18,2020,5,05-18,2252.0,70.0,,169.0,470.0,108.0,414.0,3481.0,MU,Monday,0
2020-05-19,2020,5,05-19,2217.0,68.0,,162.0,466.0,107.0,475.0,3497.0,MU,Tuesday,0
2020-05-20,2020,5,05-20,2157.0,72.0,,157.0,447.0,109.0,511.0,3453.0,MU,Wednesday,0
2020-05-21,2020,5,05-21,2161.0,76.0,,154.0,509.0,99.0,508.0,3508.0,MU,Thursday,0
2020-05-22,2020,5,05-22,2257.0,80.0,,150.0,567.0,90.0,526.0,3671.0,MU,Friday,0
2020-05-23,2020,5,05-23,2360.0,86.0,,159.0,593.0,91.0,477.0,3766.0,MU,Saturday,0
2020-05-24,2020,5,05-24,2404.0,81.0,,150.0,576.0,91.0,476.0,3778.0,MU,Sunday,0
2020-05-25,2020,5,05-25,2450.0,81.0,,152.0,585.0,93.0,472.0,3833.0,MU,Monday,0
2020-05-26,2020,5,05-26,2477.0,78.0,,145.0,557.0,102.0,513.0,3872.0,MU,Tuesday,0
2020-05-27,2020,5,05-27,2377.0,75.0,,137.0,526.0,118.0,552.0,3784.0,MU,Wednesday,0
2020-05-28,2020,5,05-28,2194.0,73.0,,138.0,503.0,118.0,576.0,3603.0,MU,Thursday,0
2020-05-29,2020,5,05-29,2187.0,71.0,,136.0,497.0,118.0,544.0,3554.0,MU,Friday,0
2020-05-30,2020,5,05-30,2206.0,74.0,,152.0,515.0,118.0,421.0,3486.0,MU,Saturday,0
2020-05-31,2020,5,05-31,2079.0,71.0,,152.0,508.0,110.0,353.0,3274.0,MU,Sunday,0
2020-06-01,2020,6,06-01,2155.0,69.0,,152.0,526.0,110.0,324.0,3337.0,MU,Monday,0
2020-06-02,2020,6,06-02,2160.0,66.0,,151.0,498.0,111.0,362.0,3348.0,MU,Tuesday,0
2020-06-03,2020,6,06-03,2119.0,69.0,,144.0,497.0,109.0,355.0,3293.0,MU,Wednesday,0
2020-06-04,2020,6,06-04,2053.0,74.0,,139.0,505.0,110.0,384.0,3265.0,MU,Thursday,0
2020-06-05,2020,6,06-05,1977.0,77.0,,132.0,523.0,110.0,422.0,3240.0,MU,Friday,0
2020-06-06,2020,6,06-06,2001.0,80.0,,140.0,538.0,110.0,454.0,3322.0,MU,Saturday,0
2020-06-07,2020,6,06-07,1978.0,76.0,,149.0,529.0,111.0,457.0,3300.0,MU,Sunday,0
2020-06-08,2020,6,06-08,2138.0,81.0,,145.0,587.0,111.0,461.0,3523.0,MU,Monday,0
2020-06-09,2020,6,06-09,2262.0,80.0,,164.0,623.0,112.0,458.0,3698.0,MU,Tuesday,0
2020-06-10,2020,6,06-10,2330.0,85.0,,166.0,606.0,110.0,469.0,3766.0,MU,Wednesday,0
2020-06-11,2020,6,06-11,2311.0,83.0,,175.0,575.0,110.0,430.0,3685.0,MU,Thursday,0
2020-06-12,2020,6,06-12,2283.0,83.0,,183.0,585.0,107.0,424.0,3665.0,MU,Friday,0
2020-06-13,2020,6,06-13,2246.0,76.0,,171.0,610.0,110.0,420.0,3633.0,MU,Saturday,0
2020-06-14,2020,6,06-14,2154.0,75.0,,169.0,598.0,110.0,444.0,3550.0,MU,Sunday,0
2020-06-15,2020,6,06-15,2240.0,82.0,,182.0,629.0,110.0,488.0,3731.0,MU,Monday,0
2020-06-16,2020,6,06-16,2275.0,82.0,,178.0,638.0,110.0,491.0,3774.0,MU,Tuesday,0
2020-06-17,2020,6,06-17,2269.0,79.0,,173.0,651.0,110.0,513.0,3794.0,MU,Wednesday,0
2020-06-18,2020,6,06-18,2273.0,82.0,,173.0,640.0,109.0,531.0,3810.0,MU,Thursday,0
2020-06-19,2020,6,06-19,2264.0,85.0,,167.0,658.0,110.0,559.0,3843.0,MU,Friday,0
2020-06-20,2020,6,06-20,2233.0,85.0,,166.0,644.0,113.0,554.0,3796.0,MU,Saturday,0
2020-06-21,2020,6,06-21,2146.0,78.0,,163.0,637.0,113.0,491.0,3630.0,MU,Sunday,0
2020-06-22,2020,6,06-22,2222.0,87.0,,158.0,680.0,113.0,464.0,3723.0,MU,Monday,0
2020-06-23,2020,6,06-23,2358.0,86.0,,154.0,691.0,113.0,429.0,3831.0,MU,Tuesday,0
2020-06-24,2020,6,06-24,2431.0,87.0,,157.0,712.0,113.0,346.0,3846.0,MU,Wednesday,0
2020-06-25,2020,6,06-25,2422.0,83.0,,154.0,698.0,111.0,359.0,3826.0,MU,Thursday,0
2020-06-26,2020,6,06-26,2377.0,81.0,,157.0,666.0,112.0,383.0,3776.0,MU,Friday,0
2020-06-27,2020,6,06-27,2373.0,80.0,,153.0,661.0,112.0,426.0,3805.0,MU,Saturday,0
2020-06-28,2020,6,06-28,2301.0,77.0,,143.0,659.0,112.0,430.0,3722.0,MU,Sunday,0
2020-06-29,2020,6,06-29,2403.0,80.0,,151.0,669.0,112.0,370.0,3785.0,MU,Monday,0
2020-06-30,2020,6,06-30,2500.0,74.0,,161.0,667.0,111.0,337.0,3851.0,MU,Tuesday,0
2020-07-01,2020,7,07-01,2525.0,62.0,,144.0,665.0,104.0,431.0,3931.0,MU,Wednesday,0
2020-07-02,2020,7,07-02,2556.0,51.0,,154.0,632.0,104.0,494.0,3992.0,MU,Thursday,0
2020-07-03,2020,7,07-03,2516.0,52.0,,156.0,647.0,105.0,519.0,3994.0,MU,Friday,0
2020-07-04,2020,7,07-04,2405.0,52.0,,155.0,633.0,102.0,489.0,3836.0,MU,Saturday,0
2020-07-05,2020,7,07-05,2050.0,47.0,,141.0,597.0,105.0,422.0,3361.0,MU,Sunday,0
2020-07-06,2020,7,07-06,2151.0,47.0,,143.0,631.0,105.0,489.0,3566.0,MU,Monday,0
2020-07-07,2020,7,07-07,2229.0,53.0,,142.0,631.0,105.0,492.0,3651.0,MU,Tuesday,0
2020-07-08,2020,7,07-08,2299.0,56.0,,136.0,664.0,101.0,431.0,3687.0,MU,Wednesday,0
2020-07-09,2020,7,07-09,2415.0,56.0,,146.0,656.0,101.0,367.0,3742.0,MU,Thursday,0
2020-07-10,2020,7,07-10,2399.0,56.0,,150.0,622.0,104.0,429.0,3760.0,MU,Friday,0
2020-07-11,2020,7,07-11,2274.0,51.0,,154.0,603.0,108.0,457.0,3648.0,MU,Saturday,0
2020-07-12,2020,7,07-12,2014.0,52.0,,150.0,593.0,109.0,491.0,3409.0,MU,Sunday,0
2020-07-13,2020,7,07-13,2318.0,57.0,,167.0,646.0,106.0,382.0,3676.0,MU,Monday,0
2020-07-14,2020,7,07-14,2497.0,58.0,,177.0,668.0,105.0,337.0,3841.0,MU,Tuesday,0
2020-07-15,2020,7,07-15,2486.0,52.0,,163.0,643.0,106.0,359.0,3809.0,MU,Wednesday,0
2020-07-16,2020,7,07-16,2486.0,49.0,,135.0,626.0,106.0,389.0,3792.0,MU,Thursday,0
2020-07-17,2020,7,07-17,2509.0,50.0,,146.0,623.0,106.0,415.0,3849.0,MU,Friday,0
2020-07-18,2020,7,07-18,2604.0,54.0,,141.0,657.0,106.0,335.0,3899.0,MU,Saturday,0
2020-07-19,2020,7,07-19,2437.0,55.0,,124.0,621.0,106.0,365.0,3709.0,MU,Sunday,0
2020-07-20,2020,7,07-20,2335.0,56.0,,121.0,636.0,106.0,403.0,3657.0,MU,Monday,0
2020-07-21,2020,7,07-21,2255.0,59.0,,109.0,645.0,92.0,371.0,3532.0,MU,Tuesday,0
2020-07-22,2020,7,07-22,2421.0,59.0,,128.0,634.0,84.0,301.0,3626.0,MU,Wednesday,0
2020-07-23,2020,7,07-23,2481.0,55.0,,134.0,642.0,82.0,309.0,3702.0,MU,Thursday,0
2020-07-24,2020,7,07-24,2525.0,53.0,,146.0,626.0,79.0,304.0,3733.0,MU,Friday,0
2020-07-25,2020,7,07-25,2529.0,59.0,,146.0,632.0,79.0,292.0,3737.0,MU,Saturday,0
2020-07-26,2020,7,07-26,2481.0,51.0,,141.0,612.0,82.0,350.0,3717.0,MU,Sunday,0
2020-07-27,2020,7,07-27,2621.0,52.0,,151.0,644.0,83.0,436.0,3986.0,MU,Monday,0
2020-07-28,2020,7,07-28,2669.0,59.0,,155.0,643.0,83.0,432.0,4041.0,MU,Tuesday,0
2020-07-29,2020,7,07-29,2603.0,51.0,,152.0,628.0,83.0,406.0,3923.0,MU,Wednesday,0
2020-07-30,2020,7,07-30,2535.0,50.0,,175.0,635.0,78.0,356.0,3829.0,MU,Thursday,0
2020-07-31,2020,7,07-31,2613.0,47.0,,168.0,628.0,79.0,361.0,3897.0,MU,Friday,0
2020-08-01,2020,8,08-01,2545.0,47.0,,145.0,631.0,79.0,373.0,3820.0,MU,Saturday,0
2020-08-02,2020,8,08-02,2444.0,51.0,,139.0,610.0,78.0,429.0,3751.0,MU,Sunday,0
2020-08-03,2020,8,08-03,2388.0,47.0,,128.0,621.0,77.0,516.0,3777.0,MU,Monday,0
2020-08-04,2020,8,08-04,2344.0,53.0,,127.0,646.0,90.0,522.0,3781.0,MU,Tuesday,0
2020-08-05,2020,8,08-05,2323.0,55.0,,138.0,658.0,99.0,456.0,3729.0,MU,Wednesday,0
2020-08-06,2020,8,08-06,2234.0,49.0,,126.0,662.0,101.0,511.0,3683.0,MU,Thursday,0
2020-08-07,2020,8,08-07,2385.0,51.0,,126.0,679.0,102.0,535.0,3879.0,MU,Friday,0
2020-08-08,2020,8,08-08,2439.0,58.0,,133.0,671.0,102.0,552.0,3955.0,MU,Saturday,0
2020-08-09,2020,8,08-09,2362.0,62.0,,137.0,652.0,102.0,466.0,3780.0,MU,Sunday,0
2020-08-10,2020,8,08-10,2342.0,60.0,,150.0,680.0,101.0,446.0,3779.0,MU,Monday,0
2020-08-11,2020,8,08-11,2288.0,53.0,,155.0,661.0,101.0,531.0,3789.0,MU,Tuesday,0
2020-08-12,2020,8,08-12,2149.0,56.0,,134.0,645.0,101.0,623.0,3708.0,MU,Wednesday,0
2020-08-13,2020,8,08-13,2094.0,59.0,,103.0,654.0,101.0,585.0,3596.0,MU,Thursday,0
2020-08-14,2020,8,08-14,2130.0,64.0,,131.0,660.0,101.0,533.0,3619.0,MU,Friday,0
2020-08-15,2020,8,08-15,2060.0,63.0,,127.0,653.0,94.0,483.0,3479.0,MU,Saturday,0
2020-08-16,2020,8,08-16,2016.0,59.0,,131.0,661.0,100.0,452.0,3418.0,MU,Sunday,0
2020-08-17,2020,8,08-17,2219.0,61.0,,143.0,675.0,100.0,471.0,3669.0,MU,Monday,0
2020-08-18,2020,8,08-18,2233.0,60.0,,146.0,668.0,100.0,495.0,3702.0,MU,Tuesday,0
2020-08-19,2020,8,08-19,2126.0,57.0,,141.0,670.0,100.0,493.0,3587.0,MU,Wednesday,0
2020-08-20,2020,8,08-20,2078.0,57.0,,130.0,659.0,101.0,423.0,3448.0,MU,Thursday,0
2020-08-21,2020,8,08-21,2090.0,60.0,,137.0,653.0,101.0,388.0,3428.0,MU,Friday,0
2020-08-22,2020,8,08-22,2077.0,55.0,,122.0,668.0,104.0,407.0,3433.0,MU,Saturday,0
2020-08-23,2020,8,08-23,1995.0,56.0,,119.0,649.0,104.0,479.0,3401.0,MU,Sunday,0
2020-08-24,2020,8,08-24,2113.0,58.0,,121.0,729.0,115.0,457.0,3592.0,MU,Monday,0
2020-08-25,2020,8,08-25,2244.0,59.0,,116.0,731.0,120.0,460.0,3731.0,MU,Tuesday,0
2020-08-26,2020,8,08-26,2315.0,62.0,,119.0,747.0,119.0,417.0,3779.0,MU,Wednesday,0
2020-08-27,2020,8,08-27,2302.0,63.0,,121.0,735.0,120.0,396.0,3737.0,MU,Thursday,0
2020-08-28,2020,8,08-28,2271.0,61.0,,138.0,737.0,125.0,402.0,3734.0,MU,Friday,0
2020-08-29,2020,8,08-29,2275.0,54.0,,140.0,713.0,128.0,414.0,3724.0,MU,Saturday,0
2020-08-30,2020,8,08-30,2145.0,53.0,,130.0,673.0,129.0,458.0,3588.0,MU,Sunday,0
