datetime,ccgt,oil,coal,nuclear,wind,ps,npshyd,ocgt,other,intfr,intirl,intned,intew,biomass,intnem,intelec,intifa2,intnsl,solar
2018/1/2 21:00,13379,0,1852,7267.5,8078,382,463,0,91,1996,0,1014,23,680.5,0,0,0,0,0
2018/1/2 22:00,9887,0,1389.5,7259,7586,316,439,0,91,1996,0,1010,206,680,0,0,0,0,0
2018/1/2 23:00,7956.5,0,1141,7263,7145.5,0,455.5,0,91,1603,81,723,407,681,0,0,0,0,0
2018/1/3 0:00,7280,0,1143,7265,7361.5,0,441.5,0,91,1502,82,697,432,681,0,0,0,0,0
2018/1/3 1:00,6914.5,0,873.5,7259,7684,0,405,0,91,1502,82,698,432,681,0,0,0,0,0
2018/1/3 2:00,6655.5,0,874,7258,7833,0,339,0,91,1502,82,694,432,681,0,0,0,0,0
2018/1/3 3:00,6706.5,0,903,7151,7448,0,331,0,91,1502,82,729,432,681,0,0,0,0,0
2018/1/3 4:00,6743.5,0,957,6857,7545.5,0,316,0,91,1502,82,679,432,681,0,0,0,0,0
2018/1/3 5:00,7561,0,804,6851,7422.5,0,322,0,91,1501,81,707,432,680,0,0,0,0,0
2018/1/3 6:00,10295.5,0,994,6851,7176,81,339.5,0,91,1798,82,868,432,681,0,0,0,0,0
2018/1/3 7:00,14386,0,1011,6848.5,7565.5,264,317.5,0,91,1996,82,980,418,680.5,0,0,0,0,0
2018/1/3 8:00,16969.5,0,936.5,6854.5,7972.5,332,402.5,0,90.5,1996,82,1013,344,680,0,0,0,0,7.54
2018/1/3 9:00,17737.5,0,1137,6902,8264,280,562,0,90.5,1997,81,981,393,680,0,0,0,0,589
2018/1/3 10:00,17692.5,0,1136,6943.5,8476.5,179,580,0,91,1996,45,1002,239,675,0,0,0,0,2368
2018/1/3 11:00,17554,0,1180,6961,8643,246,453.5,0,91,1996,0,1000,240,661.5,0,0,0,0,4160
2018/1/3 12:00,17918.5,0,1261.5,6990.5,8471.5,211,452,0,91,1998,0,1000,153,661,0,0,0,0,4810
2018/1/3 13:00,17885,0,1286,7005,8682,159,427.5,0,91,1997,0,1000,140,644.5,0,0,0,0,4600
2018/1/3 14:00,18393,0,1299,7077,8668,314,431,0,91,1997,0,1000,132,633,0,0,0,0,2760
2018/1/3 15:00,19272.5,0,1828,7120,8362,325,439.5,0,91,1997,0,1003,84,655,0,0,0,0,712
2018/1/3 16:00,21717.5,0,1954,7128,8414,429,705,0,91,1996,0,1008,0,621,0,0,0,0,13.0082
2018/1/3 17:00,22849.5,0,2062.5,7131,8251.5,1174,828.5,0,91,1998,0,1006,0,682.5,0,0,0,0,0.039
2018/1/3 18:00,22481,0,2105.5,7129,8208,683,786.5,0,91,1996,0,1013,0,688,0,0,0,0,0
2018/1/3 19:00,21533,0,1612,7128.5,8158.5,518,585,0,91,1997,0,1024,0,680,0,0,0,0,0
2018/1/3 20:00,19229.5,0,1207.5,7131,8153.5,335,504.5,0,91,1996,0,997,0,680.5,0,0,0,0,0
2018/1/3 21:00,15637,0,1076.5,7131.5,8009,367,492.5,0,91,1996,0,1014,0,645,0,0,0,0,0
2018/1/3 22:00,11970,0,1106.5,7134.5,7767,295,453.5,0,91,1996,0,1008,0,638,0,0,0,0,0
2018/1/3 23:00,9983.5,0,1197.5,7126,7332,0,430,0,91,1996,0,1019,0,680.5,0,0,0,0,0
2018/1/4 0:00,10785.5,0,1230.5,7127.5,6733,0,416,0,91,1996,0,1028,0,680.5,0,0,0,0,0
2018/1/4 1:00,10630.5,0,1152,7130,6368.5,0,404.5,0,91,1996,0,1021,175,676,0,0,0,0,0
2018/1/4 2:00,10793,0,1197.5,7104.5,5471.5,0,356,0,91,1996,0,1026,379,616,0,0,0,0,0
2018/1/4 3:00,11444.5,0,1194.5,7109,4382,0,314,0,91,1996,2,1000,473,670,0,0,0,0,0
2018/1/4 4:00,11926,0,1192,7134,3641,0,309.5,0,91,1996,30,1000,504,680.5,0,0,0,0,0
2018/1/4 5:00,12787.5,0,1453,7131.5,3678.5,0,333.5,0,90.5,1996,47,983,504,680.5,0,0,0,0,0
2018/1/4 6:00,15388,0,1988,7127.5,3584,117,329.5,0,91,1996,154,992,491,681,0,0,0,0,0
2018/1/4 7:00,20470,0,2320,7124.5,3320.5,293,369.5,0,91,1997,173,987,264,653,0,0,0,0,0
2018/1/4 8:00,23005,0,2468.5,7101.5,3165,363,433,0,91,1997,198,1000,99,551,0,0,0,0,0.00797
2018/1/4 9:00,23723,0,2607.5,6912,3294,411,595.5,0,91,1997,198,1000,141,554.5,0,0,0,0,117.8
2018/1/4 10:00,23706.5,0,2788,6901.5,3154,258,571,0,91,1998,119,1000,4,596,0,0,0,0,669
2018/1/4 11:00,23311.5,0,2677.5,6904,3997,181,431,0,91,1996,79,1000,0,675.5,0,0,0,0,1648
2018/1/4 12:00,22477,0,2071.5,6938,5526,142,428,0,89,1996,30,989,0,675.5,0,0,0,0,2150
2018/1/4 13:00,21775.5,0,1891.5,7118,6061.5,143,383,0,91,1996,7,1000,0,680.5,0,0,0,0,1862
2018/1/4 14:00,21567.5,0,2027,7134,6208.5,187,376.5,0,91,1996,35,735,0,681,0,0,0,0,1780
2018/1/4 15:00,21605,0,2527,7128.5,6358,365,398.5,0,91,1996,29,775,0,681,0,0,0,0,1020
2018/1/4 16:00,22800,0,3566,7064,6424,516,733.5,0,91,1996,0,1000,0,681,0,0,0,0,86.01
2018/1/4 17:00,23641.5,0,4410.5,6919,6512,771,823.5,0,91,1996,0,1000,0,680,0,0,0,0,9.50E-05
2018/1/4 18:00,23576.5,0,4212,6943.5,6394,437,726.5,0,91,1996,0,1000,0,680.5,0,0,0,0,0
2018/1/4 19:00,22464,0,3668,7007.5,6305.5,402,595.5,0,91,1996,0,1000,0,681,0,0,0,0,0
2018/1/4 20:00,20620,0,2712.5,7055.5,6225,427,464,0,91,1996,0,1000,0,681,0,0,0,0,0
2018/1/4 21:00,18361.5,0,1529,7132,5913.5,416,424,0,91,1996,0,1007,38,680.5,0,0,0,0,0
2018/1/4 22:00,15873,0,1192.5,7129,5092.5,306,341,0,91,1996,0,1011,0,681,0,0,0,0,0
2018/1/4 23:00,13972.5,0,955,6963.5,4658,0,343,0,91,1996,24,1018,72,693.5,0,0,0,0,0
2018/1/5 0:00,14436.5,0,973.5,6915,3926,0,333.5,0,91,1996,143,1009,246,718.5,0,0,0,0,0
2018/1/5 1:00,14511,0,971,6918.5,3167,0,295.5,0,91,1996,198,1012,474,722.5,0,0,0,0,0
2018/1/5 2:00,13778,0,1031,7080.5,2796,0,275.5,0,91,1996,198,991,504,723,0,0,0,0,0
2018/1/5 3:00,13353,0,992,7138.5,2505.5,0,271.5,0,91,1996,198,998,504,723,0,0,0,0,0
2018/1/5 4:00,13241.5,0,1083.5,7141,2111.5,0,265.5,0,91,1996,198,996,504,720.5,0,0,0,0,0
2018/1/5 5:00,13792.5,0,1499,7143.5,2134,0,296,0,91,1996,198,984,504,723.5,0,0,0,0,0
2018/1/5 6:00,15569.5,0,3019,7138.5,2305,104,324,0,91,1996,186,998,420,723,0,0,0,0,0
2018/1/5 7:00,20135,0,3921.5,7132,2270.5,363,374,0,91,1996,136,1009,128,721,0,0,0,0,0
2018/1/5 8:00,22678,0,4885,7135,1855.5,424,437.5,0,91,1996,8,1014,0,720.5,0,0,0,0,0.31032
2018/1/5 9:00,22998,0,5994,7130,1704,353,557,0,91,1996,0,1000,0,720,0,0,0,0,303
2018/1/5 10:00,22714.5,0,6100.5,7132.5,1963,373,558.5,0,91,1996,0,1000,0,718.5,0,0,0,0,1917
2018/1/5 11:00,23223.5,0,6063,6626.5,2081.5,395,469.5,0,91,1996,0,1000,0,717.5,0,0,0,0,2960
2018/1/5 12:00,23217,0,6089.5,6629.5,2173,315,365.5,0,91,1996,0,1000,0,717,0,0,0,0,4410
2018/1/5 13:00,23308.5,0,5582,6629.5,2321,338,356,0,91,1996,0,1000,0,721,0,0,0,0,4120
2018/1/5 14:00,23193,0,5585.5,6629.5,2466.5,223,377,0,91,1996,0,1006,0,729,0,0,0,0,2440
2018/1/5 15:00,23102.5,0,6074,6631.5,2592.5,243,533,0,91,1996,0,998,0,728,0,0,0,0,913
2018/1/5 16:00,23565.5,0,7234,6625,2602,546,902,0,91,1996,0,1018,0,726,0,0,0,0,53.82
2018/1/5 17:00,24446,0,7302.5,6619,2810.5,1160,933.5,0,91,1996,0,996,0,729.5,0,0,0,0,0.135
2018/1/5 18:00,23580,0,7154,6613,3194.5,1153,822.5,0,91,1996,0,991,0,732,0,0,0,0,0
2018/1/5 19:00,23468.5,0,6161,6608.5,3382.5,573,496,0,91,1996,0,1023,0,705.5,0,0,0,0,0
2018/1/5 20:00,22618.5,0,4586.5,6558,3200,463,448,0,91,1996,0,1021,0,682.5,0,0,0,0,0
2018/1/5 21:00,20579.5,0,3515,6386.5,3135,361,384.5,0,91,1996,0,1006,0,604,0,0,0,0,0
2018/1/5 22:00,18319,0,1928.5,6384.5,3324.5,292,365.5,0,91,1996,0,1000,0,559,0,0,0,0,0
2018/1/5 23:00,15917,0,1138.5,6390.5,3298,1,386,0,91,1996,113,1000,103,556,0,0,0,0,0
2018/1/6 0:00,14698.5,0,899,6421.5,3513.5,0,318,0,91,1996,181,1000,338,554,0,0,0,0,0
2018/1/6 1:00,13854,0,1064.5,6435,3767,7,273.5,0,91,1802,183,902,456,602.5,0,0,0,0,0
2018/1/6 2:00,12977.5,0,860.5,6404.5,3927,0,248,0,91,1800,176,892,456,722,0,0,0,0,0
2018/1/6 3:00,12146.5,0,605.5,6414,4698.5,0,245.5,0,91,1800,192,904,456,720.5,0,0,0,0,0
2018/1/6 4:00,10950.5,0,502,6534.5,5079.5,0,249.5,0,91,1800,192,902,456,727,0,0,0,0,0
2018/1/6 5:00,10371,0,438,6537.5,5479.5,0,296.5,0,91,1800,192,902,456,734.5,0,0,0,0,0
2018/1/6 6:00,11806,0,625,6410.5,5544.5,0,296.5,0,91,1798,192,915,456,733.5,0,0,0,0,0
2018/1/6 7:00,12328.5,0,596.5,6420.5,6007,125,359,0,91,1996,197,979,456,733,0,0,0,0,0
2018/1/6 8:00,14222,0,845,6590,6239.5,292,614,0,91,1996,204,989,456,734,0,0,0,0,2.2400278
2018/1/6 9:00,15885,0,1467,6632,6688.5,306,681,0,91,1996,204,986,456,732.5,0,0,0,0,348.3
2018/1/6 10:00,16924.5,0,1385.5,6630.5,6550.5,385,693,0,91,1996,203,1014,428,734,0,0,0,0,1860
2018/1/6 11:00,17341.5,0,1433.5,6666.5,6339,349,459,0,91,1996,188,1004,365,731,0,0,0,0,3380
2018/1/6 12:00,17675.5,0,1524.5,6522,6222,340,391.5,0,91,1996,200,1001,295,731.5,0,0,0,0,3940
2018/1/6 13:00,17115,0,1372,6557.5,6865,366,317,0,91,1996,181,1000,228,733.5,0,0,0,0,3560
2018/1/6 14:00,17045,0,1229.5,6685.5,6883,419,316.5,0,91,1996,178,1000,281,733.5,0,0,0,0,2530
2018/1/6 15:00,17081.5,0,1832,6703,6908.5,324,342,0,91,1996,203,1000,479,729.5,0,0,0,0,1214
2018/1/6 16:00,19031.5,0,3123.5,6602,6720,650,530.5,0,91,1996,74,995,489,724.5,0,0,0,0,110.35
2018/1/6 17:00,20217.5,0,3745,6691,6604.5,1351,671,0,91,1996,0,998,309,721,0,0,0,0,0.043
2018/1/6 18:00,19943.5,0,3546.5,6893.5,6725.5,948,656.5,0,91,1996,0,989,192,721,0,0,0,0,0
2018/1/6 19:00,19603,0,2847,6901,6607.5,319,433.5,0,91,1996,0,1009,310,712.5,0,0,0,0,0
2018/1/6 20:00,18528.5,0,1752.5,6898.5,6281,460,377.5,0,91,1996,0,1000,345,714,0,0,0,0,0
2018/1/6 21:00,16799,0,1226.5,6882.5,5776.5,387,341,0,91,1996,0,1000,495,713,0,0,0,0,0
2018/1/6 22:00,15188,0,547.5,6731.5,5531.5,308,296.5,0,91,1996,0,1000,503,713.5,0,0,0,0,0
2018/1/6 23:00,13284,0,541,6751,5393.5,0,308.5,0,91,1798,16,903,439,726,0,0,0,0,0
2018/1/7 0:00,12635,0,374.5,6818.5,5224.5,0,295.5,0,91,1798,124,902,481,730.5,0,0,0,0,0
2018/1/7 1:00,12848,0,299,6933,5103,0,237,0,91,1798,206,902,504,729.5,0,0,0,0,0
2018/1/7 2:00,12337.5,0,363,6888,4987.5,0,231.5,0,91,1798,206,902,504,728,0,0,0,0,0
2018/1/7 3:00,11798,0,365.5,6820.5,4926,0,225.5,0,91,1798,206,902,504,725.5,0,0,0,0,0
2018/1/7 4:00,11051.5,0,368,6888,4886.5,0,220,0,91,1798,206,902,504,710.5,0,0,0,0,0
2018/1/7 5:00,10487,0,577.5,7041.5,4940.5,0,217.5,0,91,1798,206,902,504,713.5,0,0,0,0,0
2018/1/7 6:00,11058.5,0,753,7049.5,5067,0,238,0,91,1798,282,902,504,712,0,0,0,0,0
2018/1/7 7:00,12115,0,1048.5,7049.5,4836,0,260,0,91,1798,244,902,504,710.5,0,0,0,0,0
2018/1/7 8:00,13152,0,1133,7032,4725.5,252,345,0,91,1797,214,902,424,711.5,0,0,0,0,9.49000335
2018/1/7 9:00,15828.5,0,1329.5,6860.5,4581.5,288,473.5,0,91,1996,225,999,153,713,0,0,0,0,1447
2018/1/7 10:00,17064,0,1792,6848,4523,315,475,0,91,1996,43,1000,0,705.5,0,0,0,0,4820
2018/1/7 11:00,17451.5,0,1976,7004.5,4446,302,368,0,91,1996,0,1000,0,697.5,0,0,0,0,7870
2018/1/7 12:00,17622,0,2073,7054.5,4513,326,321,0,91,1996,0,1000,0,699,0,0,0,0,9020
2018/1/7 13:00,17808.5,0,2030.5,7048,4594,328,306.5,0,91,1996,0,1000,0,693.5,0,0,0,0,9020
2018/1/7 14:00,18232,0,2348.5,7061.5,4757.5,380,309.5,0,91,1996,0,1000,0,691,0,0,0,0,7130
2018/1/7 15:00,19134.5,0,3513.5,6941.5,5050,383,348.5,0,91,1996,0,1000,0,689.5,0,0,0,0,3420
2018/1/7 16:00,20552,0,5686.5,6987.5,5214.5,616,611,0,91,1996,0,1015,27,693,0,0,0,0,312.8
2018/1/7 17:00,21065.5,0,6642,7192,5560.5,1216,728,0,91,1996,0,993,0,695.5,0,0,0,0,0.101
2018/1/7 18:00,20779,0,6095,7253,5694,761,628,0,91,1996,0,994,0,697.5,0,0,0,0,0
2018/1/7 19:00,20180,0,5074,7270.5,5671,405,396,0,91,1996,0,992,0,696.5,0,0,0,0,0
2018/1/7 20:00,18524,0,3766.5,7270,5825.5,450,354.5,0,91,1996,0,1000,0,696,0,0,0,0,0
2018/1/7 21:00,16490,0,2137,7289,6089.5,318,322.5,0,91,1996,0,1000,1,697,0,0,0,0,0
2018/1/7 22:00,12981,0,1272,7310,6366,279,280,0,91,1996,186,1000,152,696,0,0,0,0,0
2018/1/7 23:00,10036,0,880,7339,6496,0,260.5,0,91,1996,236,1000,441,698.5,0,0,0,0,0
2018/1/8 0:00,10437,0,940,7371,6487,0,254,0,91,1798,297,904,504,695.5,0,0,0,0,0
2018/1/8 1:00,10233,0,944.5,7396.5,6853,0,223.5,0,91,1798,298,902,504,697.5,0,0,0,0,0
2018/1/8 2:00,9150,0,945.5,7425,7178.5,0,213.5,0,91,1798,298,902,504,694,0,0,0,0,0
2018/1/8 3:00,8747.5,0,965,7443,7153,0,217.5,0,91,1798,298,902,504,687.5,0,0,0,0,0
2018/1/8 4:00,8414,0,955.5,7464,7329,0,205,0,91,1798,298,902,504,693.5,0,0,0,0,0
2018/1/8 5:00,9331,0,992.5,7459.5,7391,0,218.5,0,91,1798,286,902,504,688.5,0,0,0,0,0
2018/1/8 6:00,13659,0,1262.5,7489,7330,128,257.5,0,91,1996,180,1000,467,687.5,0,0,0,0,0
2018/1/8 7:00,19257.5,0,2198,7494.5,7487,523,269,0,91,1996,0,1000,204,684,0,0,0,0,0
2018/1/8 8:00,21131,0,2843,7501,7425.5,414,288,0,91,1996,0,1001,77,682.5,0,0,0,0,0.468473
2018/1/8 9:00,21718,0,3233,7499.5,7460,657,535.5,0,91,1996,0,749,0,686,0,0,0,0,441.6
2018/1/8 10:00,22308.5,0,3364,7523,7195,509,503.5,0,91,1996,0,800,0,686,0,0,0,0,1795
2018/1/8 11:00,22797.5,0,3382.5,7564.5,7206.5,505,399,0,91,1996,0,1015,0,688,0,0,0,0,2690
2018/1/8 12:00,22850,0,3807,7593,6960.5,865,280.5,0,91,1997,0,1013,0,684.5,0,0,0,0,2920
2018/1/8 13:00,22864,0,4015,7604,6529,748,327,0,91,1996,55,993,0,682,0,0,0,0,2630
2018/1/8 14:00,22734,0,4310,7599.5,6529.5,387,350,0,91,1998,30,1009,0,683.5,0,0,0,0,1748
2018/1/8 15:00,22564.5,0,5086,7604.5,6940,677,468.5,0,91,1996,0,624,0,681.5,0,0,0,0,272.5
2018/1/8 16:00,22743.5,0,6039,7631.5,7379.5,571,717,128,91,1996,0,467,0,681.5,0,0,0,0,7.784
2018/1/8 17:00,22511.5,0,5546.5,7632.5,7530.5,796,776.5,265,91,1996,0,977,0,681.5,0,0,0,0,0.00624
2018/1/8 18:00,22652,0,5312,7636,7622.5,499,672,203.5,91,1996,0,1007,0,683,0,0,0,0,0
2018/1/8 19:00,22385.5,0,4980,7670.5,7440,401,406,0,91,1996,0,1003,0,685.5,0,0,0,0,0
2018/1/8 20:00,20368.5,0,4102.5,7696,7245,333,310.5,0,91,1996,0,992,48,683,0,0,0,0,0
2018/1/8 21:00,17462,0,2536,7690.5,7118.5,380,256.5,0,91,1996,54,1000,195,681,0,0,0,0,0
2018/1/8 22:00,13677.5,0,1950,7683.5,6819.5,223,206,0,91,1996,207,1000,358,681,0,0,0,0,0
2018/1/8 23:00,11798,0,1310,7692.5,6317,0,196.5,0,91,1996,210,1000,454,681,0,0,0,0,0
2018/1/9 0:00,11901,0,1339,7692.5,6186,0,125.5,0,91,1996,210,976,460,681,0,0,0,0,0
2018/1/9 1:00,12040.5,0,1305.5,7691.5,6008.5,0,121,0,91,1996,210,976,460,671,0,0,0,0,0
2018/1/9 2:00,11869.5,0,1212,7693.5,5740.5,0,116.5,0,91,1898,210,926,460,678,0,0,0,0,0
2018/1/9 3:00,11876.5,0,1254.5,7735,5327,0,114,0,91,1898,210,926,460,681,0,0,0,0,0
2018/1/9 4:00,11928.5,0,1198,7749,5008,0,111,0,91,1898,210,926,460,681,0,0,0,0,0
2018/1/9 5:00,12671,0,1197.5,7749.5,5192,0,128,0,91,1897,210,926,460,681,0,0,0,0,0
2018/1/9 6:00,15818.5,0,2115.5,7749.5,4977,126,146,0,91,1997,213,999,460,681,0,0,0,0,0
2018/1/9 7:00,20946,0,3864.5,7747.5,5151,329,204,0,91,1158,204,999,451,651,0,0,0,0,0
2018/1/9 8:00,22476.5,0,4429.5,7749.5,5241,328,244.5,0,91,1497,192,997,346,586,0,0,0,0,0.00237
2018/1/9 9:00,22809.5,0,5032,7731,5360.5,318,319,0,91,1996,202,277,444,616.5,0,0,0,0,25.61
2018/1/9 10:00,23100.5,0,5409,7652.5,5243.5,374,237,0,91,1996,196,257,455,679,0,0,0,0,210.2
2018/1/9 11:00,23418.5,0,5979.5,7657,4960,315,214.5,0,91,1997,210,229,334,681,0,0,0,0,439
2018/1/9 12:00,23463,0,6229.5,7681.5,4807.5,300,218,0,91,1997,202,219,198,681,0,0,0,0,563
2018/1/9 13:00,23544,0,6039,7691.5,4896,297,180,0,91,1996,179,195,40,681,0,0,0,0,643
2018/1/9 14:00,23899,0,5551,7690.5,5162,360,204,0,91,1996,0,249,0,681,0,0,0,0,450
2018/1/9 15:00,23906.5,0,5574.5,7709.5,5204.5,351,238.5,0,91,1996,0,690,0,681,0,0,0,0,159
2018/1/9 16:00,24173.5,0,5829,7721.5,5117.5,506,508.5,121,91,1996,0,773,0,679.5,0,0,0,0,7.212
2018/1/9 17:00,24137.5,0,5878.5,7722.5,5226.5,712,586,297,91,1996,0,994,0,681,0,0,0,0,0.00702
2018/1/9 18:00,23879,0,6589.5,7742,5089.5,317,450,90.5,91,1996,0,991,0,683,0,0,0,0,0
2018/1/9 19:00,24028,0,5513.5,7758,5215,411,343.5,0,91,1996,0,1007,0,689.5,0,0,0,0,0
2018/1/9 20:00,22919.5,0,3896,7764,5312,349,233,0,91,1996,0,992,0,687.5,0,0,0,0,0
2018/1/9 21:00,19488.5,0,2830.5,7683.5,5341.5,469,154.5,0,91,1996,0,1005,0,695.5,0,0,0,0,0
2018/1/9 22:00,16023,0,2113.5,7662.5,5185.5,317,132,0,91,1996,0,983,2,695.5,0,0,0,0,0
2018/1/9 23:00,13779.5,0,1700.5,7658.5,5026,0,143,0,91,1996,0,1018,178,692,0,0,0,0,0
2018/1/10 0:00,13493,0,1699.5,7659.5,4840.5,0,114,0,91,1996,0,1000,359,695,0,0,0,0,0
2018/1/10 1:00,13416,0,1729.5,7658,4510.5,0,111,8,91,1996,0,1000,430,701.5,0,0,0,0,0
2018/1/10 2:00,13336.5,0,1730,7653,3955,0,107.5,32,91,1996,76,1000,392,698.5,0,0,0,0,0
2018/1/10 3:00,13222,0,1706,7654,3486,0,107.5,4.5,91,1996,0,1000,465,703.5,0,0,0,0,0
2018/1/10 4:00,13369,0,1710.5,7660.5,2896.5,0,106,0,91,1996,0,1000,504,701.5,0,0,0,0,0
2018/1/10 5:00,14713,0,1952.5,7668.5,2527.5,0,104.5,0,91,1996,0,1002,372,705,0,0,0,0,0
2018/1/10 6:00,17937,0,3275.5,7666,2286,107,157.5,0,91,1996,96,1008,75,706,0,0,0,0,0
2018/1/10 7:00,22485,0,5290.5,7669,2201,579,203,0,91,1996,0,1006,0,705.5,0,0,0,0,0
2018/1/10 8:00,23561,0,6451.5,7666,1924,334,382,0,91,1996,0,983,0,703.5,0,0,0,0,6.5400243
2018/1/10 9:00,23816.5,0,7003.5,7621,1615.5,276,385,0,91,1996,0,974,0,705,0,0,0,0,675
2018/1/10 10:00,23937,0,6979.5,7455.5,1406,292,279.5,0,91,1996,0,979,0,706.5,0,0,0,0,2378
