"","X","Coal","Lignite","Hydro","Nuclear","Gas..Naptha...Diesel","RES..Wind..Solar..Biomass...Others.","Total"
"180","2019-06-27",2750,81,505,112,114,516,4079
"181","2019-06-28",2714,79,509,112,112,556,4082
"182","2019-06-29",2704,82,504,113,112,540,4054
"183","2019-06-30",2571,79,502,113,104,512,3881
"184","2019-07-01",2674,79,524,112,112,479,3980
"185","2019-07-02",2644,85,522,108,128,461,3949
"186","2019-07-03",2671,86,548,109,142,484,4041
"187","2019-07-04",2605,81,532,108,114,534,3973
"188","2019-07-05",2507,81,533,108,109,552,3890
"189","2019-07-06",2408,78,515,110,110,548,3769
"190","2019-07-07",2236,72,546,110,106,545,3616
"191","2019-07-08",2378,67,567,111,115,581,3818
"192","2019-07-09",2353,65,545,79,103,593,3738
"193","2019-07-10",2379,63,550,111,108,591,3802
"194","2019-07-11",2351,62,566,112,110,594,3794
"195","2019-07-12",2497,71,583,112,117,512,3890
"196","2019-07-13",2491,70,566,112,111,533,3883
"197","2019-07-14",2324,64,531,109,109,570,3708
"198","2019-07-15",2389,66,542,112,111,598,3818
"199","2019-07-16",2397,63,558,116,114,540,3788
"200","2019-07-17",2549,72,537,118,107,452,3836
"201","2019-07-18",2641,78,569,114,144,414,3959
"202","2019-07-19",2697,83,549,118,172,357,3976
"203","2019-07-20",2693,79,560,119,147,341,3939
"204","2019-07-21",2624,75,551,118,110,349,3827
"205","2019-07-22",2747,79,573,118,127,358,4000
"206","2019-07-23",2825,80,555,118,128,365,4071
"207","2019-07-24",2714,77,548,118,127,471,4054
"208","2019-07-25",2490,71,523,118,116,514,3832
"209","2019-07-26",2353,74,538,118,112,514,3710
"210","2019-07-27",2208,72,516,118,113,541,3567
"211","2019-07-28",2089,73,536,119,111,511,3438
"212","2019-07-29",2222,71,543,118,115,520,3589
"213","2019-07-30",2349,75,556,118,112,474,3684
"214","2019-07-31",2353,78,543,119,114,525,3731
"215","2019-08-01",2340,72,573,119,113,543,3759
"216","2019-08-02",2277,77,579,119,113,513,3678
"217","2019-08-03",2241,76,583,119,113,490,3622
"218","2019-08-04",2192,75,564,113,106,490,3540
"219","2019-08-05",2288,76,609,113,125,543,3754
"220","2019-08-06",2196,75,610,113,130,532,3657
"221","2019-08-07",2118,71,614,113,121,521,3558
"222","2019-08-08",2185,76,608,110,121,468,3568
"223","2019-08-09",2127,77,600,110,122,529,3566
"224","2019-08-10",2127,77,695,110,122,529,3660
"225","2019-08-11",2165,69,696,112,113,506,3661
"226","2019-08-12",2335,79,714,106,138,448,3820
"227","2019-08-13",2318,69,716,111,133,432,3779
"228","2019-08-14",2262,64,733,112,117,442,3729
"229","2019-08-15",1978,59,722,83,103,407,3351
"230","2019-08-16",2091,60,744,115,101,447,3558
"231","2019-08-17",2091,65,758,111,105,352,3482
"232","2019-08-18",2064,70,664,114,110,306,3329
"233","2019-08-19",2246,77,690,114,121,305,3553
"234","2019-08-20",2308,76,755,112,127,329,3706
"235","2019-08-21",2284,73,751,113,121,447,3791
"236","2019-08-22",2342,62,727,113,117,424,3785
"237","2019-08-23",2354,64,727,114,134,437,3830
"238","2019-08-24",2267,65,730,114,108,461,3746
"239","2019-08-25",2258,64,629,114,108,430,3603
"240","2019-08-26",2347,71,700,113,113,419,3763
"241","2019-08-27",2455,81,733,113,112,422,3916
"242","2019-08-28",2576,77,748,114,123,370,4008
"243","2019-08-29",2621,73,751,114,135,370,4064
"244","2019-08-30",2604,73,705,114,130,416,4041
"245","2019-08-31",2574,68,707,114,136,400,3998
"246","2019-09-01",2368,57,698,114,126,346,3707
"247","2019-09-02",2378,55,706,114,113,346,3712
"248","2019-09-03",2422,59,717,113,125,375,3812
"249","2019-09-04",2399,65,735,114,121,390,3824
"250","2019-09-05",2353,69,746,113,122,432,3835
"251","2019-09-06",2322,76,791,114,128,448,3878
"252","2019-09-07",2263,75,812,113,134,438,3835
"253","2019-09-08",2182,71,794,116,110,421,3693
"254","2019-09-09",2305,76,816,119,125,443,3883
"255","2019-09-10",2399,81,814,119,132,415,3959
"256","2019-09-11",2429,78,793,119,142,396,3957
"257","2019-09-12",2346,73,795,119,128,428,3888
"258","2019-09-13",2322,71,790,118,129,410,3839
"259","2019-09-14",2342,74,773,117,135,387,3827
"260","2019-09-15",2266,77,773,116,125,377,3733
"261","2019-09-16",2339,80,794,115,133,397,3858
"262","2019-09-17",2394,73,750,107,147,328,3800
"263","2019-09-18",2372,70,734,103,159,278,3717
"264","2019-09-19",2370,73,738,104,153,262,3700
"265","2019-09-20",2418,76,727,104,158,284,3767
"266","2019-09-21",2435,79,714,113,153,263,3757
"267","2019-09-22",2254,74,695,115,135,237,3511
"268","2019-09-23",2389,78,686,116,146,219,3633
"269","2019-09-24",2356,77,691,116,164,188,3592
"270","2019-09-25",2265,76,694,116,154,220,3526
"271","2019-09-26",2176,77,691,115,146,225,3430
"272","2019-09-27",2096,74,703,114,142,214,3344
"273","2019-09-28",1991,76,687,112,145,231,3241
"274","2019-09-29",1820,66,665,112,127,258,3048
"275","2019-10-01",1915,72,703,112,135,254,3191
"276","2019-10-01",2006,74,679,113,132,280,3282
"277","2019-10-02",2001,74,637,112,127,236,3187
"278","2019-10-03",2152,76,630,112,148,235,3353
"279","2019-10-04",2240,78,582,113,144,228,3383
"280","2019-10-05",2294,75,564,113,138,207,3391
"281","2019-10-06",2211,69,539,116,138,207,3280
"282","2019-10-07",2228,69,528,116,132,202,3274
"283","2019-10-08",2052,63,556,117,133,209,3129
"284","2019-10-09",2191,73,590,117,139,204,3313
"285","2019-10-10",2320,74,590,117,144,195,3439
"286","2019-10-11",2376,75,581,117,140,184,3473
"287","2019-10-12",2393,78,534,116,139,194,3455
"288","2019-10-13",2316,77,509,116,140,200,3358
"289","2019-10-14",2415,80,529,113,144,213,3495
"290","2019-10-15",2479,81,525,93,144,213,3536
"291","2019-10-16",2502,87,494,93,140,214,3530
"292","2019-10-17",2484,91,494,109,139,202,3519
"293","2019-10-18",2445,88,460,116,139,215,3463
"294","2019-10-19",2385,83,421,103,134,243,3369
"295","2019-10-20",2259,82,407,103,128,215,3194
"296","2019-10-21",2223,82,457,103,130,206,3202
"297","2019-10-22",2240,85,476,106,131,199,3239
"298","2019-10-23",2209,83,454,115,134,227,3220
"299","2019-10-24",2138,83,438,117,120,263,3158
"300","2019-10-25",2116,78,439,114,103,285,3135
"301","2019-10-26",1983,74,435,112,96,305,3005
"302","2019-10-27",1850,70,416,113,94,222,2765
"303","2019-10-28",1783,72,431,117,95,200,2698
"304","2019-10-29",1881,78,431,119,96,215,2820
"305","2019-10-30",1948,78,448,123,97,229,2922
"306","2019-10-31",2026,80,450,121,99,237,3014
"307","2019-11-01",2079,80,454,109,102,223,3047
"308","2019-11-02",2141,81,450,102,103,191,3067
"309","2019-11-03",2097,74,430,111,96,168,2976
"310","2019-11-04",2236,76,438,111,113,188,3163
"311","2019-11-05",2328,76,420,109,116,196,3245
"312","2019-11-06",2385,81,392,106,109,196,3270
"313","2019-11-07",2308,77,363,106,100,225,3179
"314","2019-11-08",2226,76,360,100,102,292,3156
"315","2019-11-09",2175,70,397,107,106,278,3132
"316","2019-11-10",2141,67,362,107,101,246,3024
"317","2019-11-11",2292,77,382,107,113,231,3202
"318","2019-11-12",2337,81,369,107,125,238,3257
"319","2019-11-13",2372,83,346,108,118,249,3276
"320","2019-11-14",2366,88,343,111,122,239,3270
"321","2019-11-15",2383,88,333,111,116,230,3262
"322","2019-11-16",2380,84,323,111,124,252,3274
"323","2019-11-17",2262,76,303,113,106,297,3156
"324","2019-11-18",2390,88,331,113,113,267,3302
"325","2019-11-19",2451,93,347,111,119,214,3335
"326","2019-11-20",2470,96,336,111,95,246,3354
"327","2019-11-21",2420,89,328,111,123,278,3348
"328","2019-11-22",2428,84,318,111,139,268,3349
"329","2019-11-23",2376,81,311,113,123,309,3312
"330","2019-11-24",2324,87,284,137,85,293,3210
"331","2019-11-25",2413,79,316,111,120,303,3342
"332","2019-11-26",2436,73,304,112,110,331,3365
"333","2019-11-27",2413,70,310,112,102,335,3341
"334","2019-11-28",2345,73,316,116,104,338,3292
"335","2019-11-29",2347,73,325,117,110,337,3309
"336","2019-11-30",2334,72,320,110,107,328,3272
"337","2019-12-01",2252,60,291,102,98,265,3068
"338","2019-12-02",2308,67,327,96,105,287,3191
"339","2019-12-03",2309,76,303,100,115,319,3222
"340","2019-12-04",2343,79,296,103,114,333,3268
"341","2019-12-05",2346,98,316,99,113,358,3329
"342","2019-12-06",2367,83,324,110,113,324,3322
"343","2019-12-07",2340,87,332,108,105,335,3306
"344","2019-12-08",2280,85,314,104,101,302,3187
"345","2019-12-09",2372,83,350,104,113,301,3323
"346","2019-12-10",2523,82,328,106,109,259,3407
"347","2019-12-11",2597,81,315,105,108,234,3439
"348","2019-12-12",2558,77,288,105,97,252,3377
"349","2019-12-13",2355,73,291,106,90,262,3179
"350","2019-12-14",2390,76,307,111,90,266,3240
"351","2019-12-15",2254,74,279,104,84,334,3130
"352","2019-12-16",2306,78,300,104,94,369,3250
"353","2019-12-17",2375,82,287,99,100,389,3331
"354","2019-12-18",2458,83,300,101,104,331,3377
"355","2019-12-19",2522,84,289,102,104,311,3413
"356","2019-12-20",2613,87,309,102,103,253,3466
"357","2019-12-21",2556,85,290,102,103,313,3448
"358","2019-12-22",2427,80,272,101,96,378,3353
"359","2019-12-23",2535,90,320,101,102,335,3483
"360","2019-12-24",2612,91,309,101,104,318,3534
"361","2019-12-25",2601,90,288,100,105,313,3497
"362","2019-12-26",2687,91,281,99,121,265,3545
"363","2019-12-27",2649,92,286,101,112,315,3555
"364","2019-12-28",2608,88,275,101,98,348,3517
"365","2019-12-29",2544,82,277,100,100,330,3433
"366","2019-12-30",2657,82,297,100,99,317,3553
"367","2019-12-31",2678,81,303,106,108,290,3568
"368","2020-01-01",2571,78,280,110,106,320,3464
"369","2020-01-02",2601,81,298,110,104,287,3480
"370","2020-01-03",2627,86,295,101,106,267,3481
"371","2020-01-04",2680,81,299,101,107,211,3479
"372","2020-01-05",2531,84,273,97,96,282,3364
"373","2020-01-06",2593,78,307,97,97,316,3487
"374","2020-01-07",2663,76,307,97,101,286,3531
"375","2020-01-08",2651,77,271,97,99,289,3484
"376","2020-01-09",2601,75,289,95,98,330,3487
"377","2020-01-10",2582,74,274,95,105,409,3539
"378","2020-01-11",2619,76,273,98,107,355,3528
"379","2020-01-12",2607,74,256,92,103,301,3433
"380","2020-01-13",2666,81,297,92,99,272,3508
"381","2020-01-14",2609,80,305,98,96,272,3460
"382","2020-01-15",2510,77,269,108,94,328,3386
"383","2020-01-16",2469,79,276,92,95,321,3331
"384","2020-01-17",2568,83,290,89,104,277,3412
"385","2020-01-18",2591,81,287,97,102,295,3453
"386","2020-01-19",2445,80,269,92,97,334,3317
"387","2020-01-20",2605,86,309,83,111,312,3505
"388","2020-01-21",2656,84,301,89,114,334,3578
"389","2020-01-22",2570,80,283,96,105,447,3581
"390","2020-01-23",2595,86,291,96,100,420,3588
"391","2020-01-24",2685,85,306,97,103,348,3623
"392","2020-01-25",2692,89,314,97,111,277,3581
"393","2020-01-26",2569,85,274,94,97,270,3389
"394","2020-01-27",2683,82,295,96,103,305,3565
"395","2020-01-28",2711,78,298,97,104,312,3599
"396","2020-01-29",2744,83,307,97,100,266,3597
"397","2020-01-30",2732,89,312,97,105,289,3623
"398","2020-01-31",2744,91,305,97,102,299,3638
"399","2020-02-01",2663,92,279,96,102,337,3571
"400","2020-02-02",2544,83,260,97,102,378,3464
"401","2020-02-03",2654,85,301,96,113,329,3577
"402","2020-02-04",2757,81,292,96,111,304,3642
"403","2020-02-05",2767,78,291,97,112,314,3660
"404","2020-02-06",2797,80,299,97,107,318,3698
"405","2020-02-07",2802,87,298,91,114,311,3702
"406","2020-02-08",2717,96,286,88,112,351,3650
"407","2020-02-09",2601,93,264,84,108,348,3499
"408","2020-02-10",2680,92,269,89,115,365,3611
"409","2020-02-11",2724,98,292,98,114,384,3710
"410","2020-02-12",2759,96,301,84,115,376,3730
"411","2020-02-13",2836,96,287,80,123,321,3743
"412","2020-02-14",2843,93,300,79,120,304,3738
"413","2020-02-15",2869,87,298,81,124,276,3735
"414","2020-02-16",2754,82,265,93,116,330,3641
"415","2020-02-17",2798,90,296,94,126,362,3766
"416","2020-02-18",2875,93,305,100,137,317,3827
"417","2020-02-19",2869,92,314,99,129,326,3829
"418","2020-02-20",2770,92,313,100,128,386,3789
"419","2020-02-21",2672,94,294,100,114,388,3663
"420","2020-02-22",2669,98,288,101,113,400,3670
"421","2020-02-23",2618,90,286,101,107,366,3566
"422","2020-02-24",2744,90,322,100,122,318,3696
"423","2020-02-25",2770,94,318,100,124,286,3693
"424","2020-02-26",2789,88,315,100,126,302,3719
"425","2020-02-27",2732,78,327,101,134,314,3685
"426","2020-02-28",2734,74,332,100,147,344,3731
"427","2020-02-29",2700,77,326,100,138,326,3666
"428","2020-03-01",2514,79,269,100,138,326,3426
"429","2020-03-02",2712,86,306,104,139,291,3638
"430","2020-03-03",2750,85,330,106,141,316,3727
"431","2020-03-04",2679,79,317,105,136,351,3667
"432","2020-03-05",2617,76,320,105,139,355,3611
"433","2020-03-06",2514,73,295,106,125,340,3454
"434","2020-03-07",2626,83,291,105,118,266,3488
"435","2020-03-08",2541,79,287,106,123,292,3428
"436","2020-03-09",2518,84,294,105,127,322,3450
"437","2020-03-10",2220,73,271,105,101,370,3140
"438","2020-03-11",2337,78,299,105,94,365,3279
"439","2020-03-12",2501,84,317,105,105,350,3463
"440","2020-03-13",2547,87,321,105,127,312,3500
"441","2020-03-14",2515,85,310,110,141,335,3496
"442","2020-03-15",2399,84,287,118,135,367,3391
"443","2020-03-16",2501,86,332,121,146,377,3563
"444","2020-03-17",2601,89,325,123,154,357,3649
"445","2020-03-18",2670,89,315,126,154,321,3674
"446","2020-03-19",2698,87,315,127,152,294,3672
"447","2020-03-20",2589,88,309,128,137,349,3599
"448","2020-03-21",2538,87,303,129,159,325,3541
"449","2020-03-22",2211,76,265,127,131,276,3086
"450","2020-03-23",2311,75,291,122,118,270,3187
"451","2020-03-24",2149,76,288,121,128,275,3038
"452","2020-03-25",1945,76,272,121,132,280,2827
"453","2020-03-26",1801,72,297,117,114,302,2702
"454","2020-03-27",1744,73,298,116,123,287,2642
"455","2020-03-28",1742,75,304,123,130,300,2674
"456","2020-03-29",1728,75,334,123,126,299,2685
"457","2020-03-30",1727,78,339,122,136,316,2717
"458","2020-03-31",1769,85,322,119,137,331,2763
"459","2020-04-01",1799,85,332,115,148,306,2785
"460","2020-04-02",1879,82,328,115,150,311,2864
"461","2020-04-03",1869,77,330,113,161,320,2870
"462","2020-04-04",1901,80,325,111,154,293,2864
"463","2020-04-05",1851,75,319,111,154,311,2821
"464","2020-04-06",1895,78,296,110,155,294,2829
"465","2020-04-07",1835,75,301,115,156,318,2800
"466","2020-04-08",1838,78,300,115,146,303,2781
"467","2020-04-09",1846,78,291,115,146,299,2775
"468","2020-04-10",1865,82,301,115,136,287,2786
"469","2020-04-11",1924,85,329,116,132,290,2875
"470","2020-04-12",1908,86,348,114,127,307,2890
"471","2020-04-13",1955,81,360,105,143,342,2987
"472","2020-04-14",1985,77,371,106,167,346,3052
"473","2020-04-15",1965,77,388,106,160,318,3015
"474","2020-04-16",1993,78,388,107,162,319,3047
"475","2020-04-17",1985,74,397,107,166,324,3053
"476","2020-04-18",1958,78,368,106,148,321,2979
"477","2020-04-19",1931,73,366,112,136,317,2935
"478","2020-04-20",1937,70,357,115,127,333,2940
"479","2020-04-21",1919,73,342,116,129,297,2877
"480","2020-04-22",1959,75,368,116,132,318,2968
"481","2020-04-23",1964,72,369,115,111,352,2983
"482","2020-04-24",1944,73,361,115,118,381,2993
"483","2020-04-25",1883,71,373,115,121,411,2975
"484","2020-04-26",1812,70,363,115,132,320,2813
"485","2020-04-27",1773,68,374,112,132,343,2801
"486","2020-04-28",1866,72,416,115,130,308,2907
"487","2020-04-29",1918,73,407,115,129,285,2925
"488","2020-04-30",1989,76,406,108,133,320,3033
"489","2020-05-01",1899,75,412,103,142,374,3005
"490","2020-05-02",1936,73,450,101,133,386,3079
"491","2020-05-03",1891,76,452,107,132,373,3032
"492","2020-05-04",1933,78,454,115,136,355,3071
"493","2020-05-05",2006,78,449,115,153,326,3128
"494","2020-05-06",2007,72,453,115,140,349,3135
"495","2020-05-07",2050,75,443,116,139,337,3158
"496","2020-05-08",2179,68,445,115,148,331,3285
"497","2020-05-09",2244,70,469,111,153,335,3382
"498","2020-05-10",2064,70,428,106,154,332,3154
"499","2020-05-11",2042,73,432,106,152,324,3129
"500","2020-05-12",2236,76,463,98,148,303,3324
"501","2020-05-13",2283,78,461,110,151,319,3401
"502","2020-05-14",2314,81,465,107,150,306,3423
"503","2020-05-15",2347,79,449,105,160,334,3474
"504","2020-05-16",2339,72,482,107,161,339,3500
"505","2020-05-17",2245,68,482,107,154,376,3433
"506","2020-05-18",2252,70,470,108,169,414,3481
"507","2020-05-19",2217,68,466,107,162,475,3497
"508","2020-05-20",2157,72,447,109,157,511,3453
"509","2020-05-21",2161,76,509,99,154,508,3508
"510","2020-05-22",2257,80,567,90,150,526,3671
"511","2020-05-23",2360,86,593,91,159,477,3766
"512","2020-05-24",2404,81,576,91,150,476,3778
"513","2020-05-25",2450,81,585,93,152,472,3833
"514","2020-05-26",2477,78,557,102,145,513,3872
"515","2020-05-27",2377,75,526,118,137,552,3784
"516","2020-05-28",2194,73,503,118,138,576,3603
"517","2020-05-29",2187,71,497,118,136,544,3554
"518","2020-05-30",2206,74,515,118,152,421,3486
"519","2020-05-31",2079,71,508,110,152,353,3274
"520","2020-06-01",2155,69,526,110,152,324,3337
"521","2020-06-02",2160,66,498,111,151,362,3348
"522","2020-06-03",2119,69,497,109,144,355,3293
"523","2020-06-04",2053,74,505,110,139,384,3265
"524","2020-06-05",1977,77,523,110,132,422,3240
"525","2020-06-06",2001,80,538,110,140,454,3322
"526","2020-06-07",1978,76,529,111,149,457,3300
"527","2020-06-08",2138,81,587,111,145,461,3523
"528","2020-06-09",2262,80,623,112,164,458,3698
"529","2020-06-10",2330,85,606,110,166,469,3766
"530","2020-06-11",2311,83,575,110,175,430,3685
"531","2020-06-12",2283,83,585,107,183,424,3665
"532","2020-06-13",2246,76,610,110,171,420,3633
"533","2020-06-14",2154,75,598,110,169,444,3550
