"date","year","month","month_date","coal","lignite","coal_lignite","gas_naptha_diesel","hydro","nuclear","res","total","unit"
2017-10-05,2017,10,"10_05",NA,NA,2585,179,483,87,167,3500,"MU"
2017-10-06,2017,10,"10_06",NA,NA,2663,179,456,89,147,3535,"MU"
2017-10-07,2017,10,"10_07",NA,NA,2651,173,430,89,179,3520,"MU"
2017-10-08,2017,10,"10_08",NA,NA,2669,171,421,89,158,3508,"MU"
2017-10-09,2017,10,"10_09",NA,NA,2650,172,407,90,171,3489,"MU"
2017-10-10,2017,10,"10_10",NA,NA,2592,175,426,89,178,3461,"MU"
2017-10-11,2017,10,"10_11",NA,NA,2610,174,444,89,153,3469,"MU"
2017-10-12,2017,10,"10_12",NA,NA,2624,163,433,90,139,3448,"MU"
2017-10-13,2017,10,"10_13",NA,NA,2644,171,426,89,109,3440,"MU"
2017-10-14,2017,10,"10_14",NA,NA,2616,180,429,90,125,3439,"MU"
2017-10-15,2017,10,"10_15",NA,NA,2602,161,404,90,166,3424,"MU"
2017-10-16,2017,10,"10_16",NA,NA,2496,149,397,91,194,3324,"MU"
2017-10-17,2017,10,"10_17",NA,NA,2551,153,399,92,180,3377,"MU"
2017-10-18,2017,10,"10_18",NA,NA,2611,171,381,93,152,3409,"MU"
2017-10-19,2017,10,"10_19",NA,NA,2583,162,346,97,156,3346,"MU"
2017-10-20,2017,10,"10_20",NA,NA,2431,144,342,86,181,3184,"MU"
2017-10-21,2017,10,"10_21",NA,NA,2332,123,348,87,174,3066,"MU"
2017-10-22,2017,10,"10_22",NA,NA,2350,118,345,89,160,3061,"MU"
2017-10-23,2017,10,"10_23",NA,NA,2362,117,322,91,216,3106,"MU"
2017-10-24,2017,10,"10_24",NA,NA,2536,134,354,93,173,3289,"MU"
2017-10-25,2017,10,"10_25",NA,NA,2630,132,340,95,137,3333,"MU"
2017-10-26,2017,10,"10_26",NA,NA,2648,147,352,97,124,3367,"MU"
2017-10-27,2017,10,"10_27",NA,NA,2620,149,331,97,138,3337,"MU"
2017-10-28,2017,10,"10_28",NA,NA,2639,148,319,97,126,3330,"MU"
2017-10-29,2017,10,"10_29",NA,NA,2629,149,305,98,124,3303,"MU"
2017-10-30,2017,10,"10_30",NA,NA,2565,143,278,99,135,3221,"MU"
2017-10-31,2017,10,"10_31",NA,NA,2580,141,291,100,153,3268,"MU"
2017-11-01,2017,11,"11_01",NA,NA,2577,141,298,100,137,3252,"MU"
2017-11-02,2017,11,"11_02",NA,NA,2555,133,281,100,140,3209,"MU"
2017-11-03,2017,11,"11_03",NA,NA,2572,141,302,100,129,3243,"MU"
2017-11-04,2017,11,"11_04",NA,NA,2570,141,296,100,161,3269,"MU"
2017-11-05,2017,11,"11_05",NA,NA,2539,141,278,100,184,3244,"MU"
2017-11-06,2017,11,"11_06",NA,NA,2477,134,249,95,178,3131,"MU"
2017-11-07,2017,11,"11_07",NA,NA,2528,145,295,99,149,3218,"MU"
2017-11-08,2017,11,"11_08",NA,NA,2566,152,301,99,124,3240,"MU"
2017-11-09,2017,11,"11_09",NA,NA,2600,165,275,99,125,3266,"MU"
2017-11-10,2017,11,"11_10",NA,NA,2633,164,272,100,126,3295,"MU"
2017-11-11,2017,11,"11_11",NA,NA,2608,176,281,105,126,3295,"MU"
2017-11-12,2017,11,"11_12",NA,NA,2572,165,273,106,130,3248,"MU"
2017-11-13,2017,11,"11_13",NA,NA,2561,154,242,111,119,3189,"MU"
2017-11-14,2017,11,"11_14",NA,NA,2555,150,270,111,122,3209,"MU"
2017-11-15,2017,11,"11_15",NA,NA,2585,149,280,112,116,3245,"MU"
2017-11-16,2017,11,"11_16",NA,NA,2623,153,260,112,145,3295,"MU"
2017-11-17,2017,11,"11_17",NA,NA,2551,153,264,112,179,3259,"MU"
2017-11-18,2017,11,"11_18",NA,NA,2576,148,275,111,170,3280,"MU"
2017-11-19,2017,11,"11_19",NA,NA,2554,159,262,111,176,3262,"MU"
2017-11-20,2017,11,"11_20",NA,NA,2494,152,240,112,162,3158,"MU"
2017-11-21,2017,11,"11_21",NA,NA,2533,150,251,109,180,3222,"MU"
2017-11-22,2017,11,"11_22",NA,NA,2562,153,238,117,170,3239,"MU"
2017-11-23,2017,11,"11_23",NA,NA,2570,149,236,124,171,3250,"MU"
2017-11-24,2017,11,"11_24",NA,NA,2590,150,228,125,158,3250,"MU"
2017-11-25,2017,11,"11_25",NA,NA,2603,151,236,127,135,3251,"MU"
2017-11-26,2017,11,"11_26",NA,NA,2579,150,226,126,142,3222,"MU"
2017-11-27,2017,11,"11_27",NA,NA,2499,143,203,119,142,3105,"MU"
2017-11-28,2017,11,"11_28",NA,NA,2535,145,251,112,130,3173,"MU"
2017-11-29,2017,11,"11_29",NA,NA,2575,149,254,113,137,3229,"MU"
2017-11-30,2017,11,"11_30",NA,NA,2542,145,243,117,176,3222,"MU"
2017-12-01,2017,12,"12_01",NA,NA,2512,143,219,109,197,3178,"MU"
2017-12-02,2017,12,"12_02",NA,NA,2453,139,219,119,204,3132,"MU"
2017-12-03,2017,12,"12_03",NA,NA,2445,141,242,119,203,3152,"MU"
2017-12-04,2017,12,"12_04",NA,NA,2365,139,214,118,191,3026,"MU"
2017-12-05,2017,12,"12_05",NA,NA,2459,144,231,126,166,3127,"MU"
2017-12-06,2017,12,"12_06",NA,NA,2355,141,233,129,226,3086,"MU"
2017-12-07,2017,12,"12_07",NA,NA,2316,136,218,129,152,2951,"MU"
2017-12-08,2017,12,"12_08",NA,NA,2482,145,237,130,229,3224,"MU"
2017-12-09,2017,12,"12_09",NA,NA,2517,147,247,130,268,3310,"MU"
2017-12-10,2017,12,"12_10",NA,NA,2503,150,251,130,215,3248,"MU"
2017-12-11,2017,12,"12_11",NA,NA,2494,154,218,112,217,3196,"MU"
2017-12-12,2017,12,"12_12",NA,NA,2510,153,314,107,212,3296,"MU"
2017-12-13,2017,12,"12_13",NA,NA,2496,143,277,107,175,3198,"MU"
2017-12-14,2017,12,"12_14",NA,NA,2590,150,269,107,188,3304,"MU"
2017-12-15,2017,12,"12_15",NA,NA,2573,147,249,107,244,3322,"MU"
2017-12-16,2017,12,"12_16",NA,NA,2562,147,241,107,279,3334,"MU"
2017-12-17,2017,12,"12_17",NA,NA,2509,136,220,107,339,3314,"MU"
2017-12-18,2017,12,"12_18",NA,NA,2409,134,202,108,354,3209,"MU"
2017-12-19,2017,12,"12_19",NA,NA,2528,141,231,107,284,3293,"MU"
2017-12-20,2017,12,"12_20",NA,NA,2564,139,234,102,285,3325,"MU"
2017-12-21,2017,12,"12_21",NA,NA,2614,133,238,102,266,3352,"MU"
2017-12-22,2017,12,"12_22",NA,NA,2607,131,235,102,283,3359,"MU"
2017-12-23,2017,12,"12_23",NA,NA,2633,130,237,103,270,3375,"MU"
2017-12-24,2017,12,"12_24",NA,NA,2614,132,238,118,256,3357,"MU"
2017-12-25,2017,12,"12_25",NA,NA,2546,131,221,124,249,3270,"MU"
2017-12-26,2017,12,"12_26",NA,NA,2576,134,224,125,257,3318,"MU"
2017-12-27,2017,12,"12_27",NA,NA,2632,114,233,123,290,3396,"MU"
2017-12-28,2017,12,"12_28",NA,NA,2666,112,223,122,277,3399,"MU"
2017-12-29,2017,12,"12_29",NA,NA,2651,111,217,122,223,3324,"MU"
2017-12-30,2017,12,"12_30",NA,NA,2648,113,224,122,224,3331,"MU"
2017-12-31,2017,12,"12_31",NA,NA,2640,115,224,122,221,3322,"MU"
