"date","year","month","month_date","coal","lignite","coal_lignite","gas_naptha_diesel","hydro","nuclear","res","total","unit"
2018-01-26,2018,1,"01_26",NA,NA,2753,110,223,117,168,3369,"MU"
2018-01-27,2018,1,"01_27",NA,NA,2621,105,194,116,171,3209,"MU"
2018-01-28,2018,1,"01_28",NA,NA,2666,107,206,118,174,3271,"MU"
2018-01-29,2018,1,"01_29",NA,NA,2667,102,192,122,185,3267,"MU"
2018-01-30,2018,1,"01_30",NA,NA,2719,100,207,125,192,3344,"MU"
2018-01-31,2018,1,"01_31",NA,NA,2713,109,210,125,212,3369,"MU"
2018-02-01,2018,2,"02_01",NA,NA,2728,111,210,122,214,3384,"MU"
2018-02-02,2018,2,"02_02",NA,NA,2722,123,195,122,214,3377,"MU"
2018-02-03,2018,2,"02_03",NA,NA,2733,126,200,122,209,3389,"MU"
2018-02-04,2018,2,"02_04",NA,NA,2718,116,202,122,223,3380,"MU"
2018-02-05,2018,2,"02_05",NA,NA,2600,110,184,122,246,3262,"MU"
2018-02-06,2018,2,"02_06",NA,NA,2693,112,194,122,239,3359,"MU"
2018-02-07,2018,2,"02_07",NA,NA,2757,113,203,117,209,3398,"MU"
2018-02-08,2018,2,"02_08",NA,NA,2792,110,222,117,163,3403,"MU"
2018-02-09,2018,2,"02_09",NA,NA,2774,110,214,118,172,3388,"MU"
2018-02-10,2018,2,"02_10",NA,NA,2800,109,219,122,170,3418,"MU"
2018-02-11,2018,2,"02_11",NA,NA,2763,107,218,122,186,3397,"MU"
2018-02-12,2018,2,"02_12",NA,NA,2575,107,171,122,228,3203,"MU"
2018-02-13,2018,2,"02_13",NA,NA,2571,105,208,122,198,3205,"MU"
2018-02-14,2018,2,"02_14",NA,NA,2616,105,195,122,221,3262,"MU"
2018-02-15,2018,2,"02_15",NA,NA,2587,104,187,122,284,3285,"MU"
2018-02-16,2018,2,"02_16",NA,NA,2610,106,201,122,275,3314,"MU"
2018-02-17,2018,2,"02_17",NA,NA,2741,111,206,101,206,3365,"MU"
2018-02-18,2018,2,"02_18",NA,NA,2728,112,212,101,189,3342,"MU"
2018-02-19,2018,2,"02_19",NA,NA,2653,109,193,121,198,3273,"MU"
2018-02-20,2018,2,"02_20",NA,NA,2695,112,221,95,217,3339,"MU"
2018-02-21,2018,2,"02_21",NA,NA,2766,112,231,87,223,3418,"MU"
2018-02-22,2018,2,"02_22",NA,NA,2787,113,226,87,223,3434,"MU"
2018-02-23,2018,2,"02_23",NA,NA,2817,119,233,84,210,3465,"MU"
2018-02-24,2018,2,"02_24",NA,NA,2801,121,223,83,241,3472,"MU"
2018-02-25,2018,2,"02_25",NA,NA,2756,87,223,78,257,3404,"MU"
2018-02-26,2018,2,"02_26",NA,NA,2719,111,191,96,284,3401,"MU"
2018-02-27,2018,2,"02_27",NA,NA,2762,110,234,99,250,3457,"MU"
2018-02-28,2018,2,"02_28",NA,NA,2807,117,242,99,259,3525,"MU"
2018-03-01,2018,3,"03_01",NA,NA,2862,117,247,98,228,3551,"MU"
2018-03-02,2018,3,"03_02",NA,NA,2840,115,236,99,230,3520,"MU"
2018-03-04,2018,3,"03_04",NA,NA,2617,96,233,99,244,3289,"MU"
2018-03-05,2018,3,"03_05",NA,NA,2755,100,219,99,216,3389,"MU"
2018-03-06,2018,3,"03_06",NA,NA,2765,108,259,99,219,3451,"MU"
2018-03-07,2018,3,"03_07",NA,NA,2815,117,250,94,237,3512,"MU"
2018-03-08,2018,3,"03_08",NA,NA,2840,112,248,92,249,3540,"MU"
2018-03-09,2018,3,"03_09",NA,NA,2874,112,258,76,248,3570,"MU"
2018-03-10,2018,3,"03_10",NA,NA,2873,115,264,71,245,3569,"MU"
2018-03-11,2018,3,"03_11",NA,NA,2850,118,249,73,236,3523,"MU"
2018-03-12,2018,3,"03_12",NA,NA,2811,116,210,71,238,3445,"MU"
2018-03-13,2018,3,"03_13",NA,NA,2867,120,230,76,261,3555,"MU"
2018-03-14,2018,3,"03_14",NA,NA,2869,122,236,87,267,3580,"MU"
2018-03-15,2018,3,"03_15",NA,NA,2864,125,245,96,264,3593,"MU"
2018-03-18,2018,3,"03_18",NA,NA,2732,126,223,98,203,3383,"MU"
2018-03-19,2018,3,"03_19",NA,NA,2666,146,193,99,199,3302,"MU"
2018-03-20,2018,3,"03_20",NA,NA,2768,127,220,98,243,3455,"MU"
2018-03-21,2018,3,"03_21",NA,NA,2816,125,229,98,239,3506,"MU"
2018-03-22,2018,3,"03_22",NA,NA,2810,123,227,97,261,3519,"MU"
2018-03-23,2018,3,"03_23",NA,NA,2854,125,228,93,249,3551,"MU"
2018-03-24,2018,3,"03_24",NA,NA,2905,140,233,93,236,3607,"MU"
2018-03-25,2018,3,"03_25",NA,NA,2895,131,242,99,225,3591,"MU"
2018-03-26,2018,3,"03_26",NA,NA,2781,121,202,94,247,3449,"MU"
2018-03-27,2018,3,"03_27",NA,NA,2899,118,256,85,222,3583,"MU"
2018-03-28,2018,3,"03_28",NA,NA,2931,118,272,88,230,3638,"MU"
2018-03-29,2018,3,"03_29",NA,NA,2983,129,244,96,230,3684,"MU"
2018-03-30,2018,3,"03_30",NA,NA,2965,122,252,99,229,3664,"MU"
2018-03-31,2018,3,"03_31",NA,NA,2895,119,218,101,252,3585,"MU"
2018-04-01,2018,4,"04_01",NA,NA,2773,122,198,105,286,3482,"MU"
2018-04-02,2018,4,"04_02",NA,NA,2751,124,195,108,247,3425,"MU"
2018-04-03,2018,4,"04_03",NA,NA,2717,121,230,107,236,3412,"MU"
2018-04-04,2018,4,"04_04",NA,NA,2851,128,263,108,223,3574,"MU"
2018-04-05,2018,4,"04_05",NA,NA,2898,127,267,108,237,3634,"MU"
2018-04-06,2018,4,"04_06",NA,NA,2893,132,249,107,253,3635,"MU"
2018-04-07,2018,4,"04_07",NA,NA,2883,137,243,103,226,3592,"MU"
2018-04-08,2018,4,"04_08",NA,NA,2775,126,224,101,239,3467,"MU"
2018-04-09,2018,4,"04_09",NA,NA,2640,128,233,102,225,3329,"MU"
2018-04-10,2018,4,"04_10",NA,NA,2737,126,241,104,230,3437,"MU"
2018-04-11,2018,4,"04_11",NA,NA,2803,122,264,103,234,3525,"MU"
2018-04-12,2018,4,"04_12",NA,NA,2760,127,248,102,236,3472,"MU"
2018-04-13,2018,4,"04_13",NA,NA,2716,139,258,101,231,3445,"MU"
2018-04-14,2018,4,"04_14",NA,NA,2773,143,282,102,242,3539,"MU"
2018-04-15,2018,4,"04_15",NA,NA,2783,142,273,103,234,3534,"MU"
2018-04-16,2018,4,"04_16",NA,NA,2735,137,211,103,244,3430,"MU"
2018-04-17,2018,4,"04_17",NA,NA,2888,137,243,102,226,3596,"MU"
2018-04-18,2018,4,"04_18",NA,NA,2929,137,247,100,247,3661,"MU"
2018-04-19,2018,4,"04_19",NA,NA,2888,145,244,100,257,3635,"MU"
2018-04-20,2018,4,"04_20",NA,NA,2926,148,241,100,292,3705,"MU"
2018-04-21,2018,4,"04_21",NA,NA,2771,139,250,101,332,3591,"MU"
2018-04-22,2018,4,"04_22",NA,NA,2900,137,281,100,255,3673,"MU"
2018-04-23,2018,4,"04_23",NA,NA,2778,135,233,101,263,3508,"MU"
2018-04-24,2018,4,"04_24",NA,NA,2898,140,278,101,240,3655,"MU"
2018-04-25,2018,4,"04_25",NA,NA,2906,137,283,100,269,3695,"MU"
2018-04-26,2018,4,"04_26",NA,NA,2909,136,284,100,298,3726,"MU"
2018-04-27,2018,4,"04_27",NA,NA,2906,143,293,100,280,3723,"MU"
2018-04-28,2018,4,"04_28",NA,NA,2929,143,303,100,264,3739,"MU"
2018-04-29,2018,4,"04_29",NA,NA,2941,145,318,84,274,3765,"MU"
2018-04-30,2018,4,"04_30",NA,NA,2773,139,293,73,335,3615,"MU"
2018-05-01,2018,5,"05_01",NA,NA,2686,138,304,75,387,3590,"MU"
2018-05-02,2018,5,"05_02",NA,NA,2614,139,295,88,372,3509,"MU"
2018-05-03,2018,5,"05_03",NA,NA,2663,135,343,98,340,3578,"MU"
2018-05-04,2018,5,"05_04",NA,NA,2546,121,377,84,284,3413,"MU"
2018-05-05,2018,5,"05_05",NA,NA,2733,131,370,89,236,3557,"MU"
2018-05-06,2018,5,"05_06",NA,NA,2845,144,372,91,240,3692,"MU"
2018-05-07,2018,5,"05_07",NA,NA,2735,132,316,91,297,3569,"MU"
2018-05-08,2018,5,"05_08",NA,NA,2836,131,349,91,306,3714,"MU"
2018-05-09,2018,5,"05_09",NA,NA,2780,127,368,91,304,3672,"MU"
2018-05-10,2018,5,"05_10",NA,NA,2800,128,355,91,259,3632,"MU"
2018-05-11,2018,5,"05_11",NA,NA,2862,137,360,91,237,3689,"MU"
2018-05-12,2018,5,"05_12",NA,NA,2910,144,305,91,296,3743,"MU"
2018-05-13,2018,5,"05_13",NA,NA,2844,146,310,91,339,3730,"MU"
2018-05-14,2018,5,"05_14",NA,NA,2682,131,297,91,275,3478,"MU"
2018-05-15,2018,5,"05_15",NA,NA,2617,125,336,91,280,3449,"MU"
2018-05-16,2018,5,"05_16",NA,NA,2828,126,354,91,246,3642,"MU"
2018-05-17,2018,5,"05_17",NA,NA,2841,133,339,91,249,3654,"MU"
2018-05-18,2018,5,"05_18",NA,NA,2888,140,346,94,268,3736,"MU"
2018-05-19,2018,5,"05_19",NA,NA,2872,136,364,90,302,3765,"MU"
2018-05-20,2018,5,"05_20",NA,NA,2861,145,358,95,301,3760,"MU"
2018-05-21,2018,5,"05_21",NA,NA,2783,127,329,95,332,3666,"MU"
2018-05-22,2018,5,"05_22",NA,NA,2933,136,349,95,315,3828,"MU"
2018-05-23,2018,5,"05_23",NA,NA,3045,136,366,95,269,3910,"MU"
2018-05-24,2018,5,"05_24",NA,NA,3033,136,381,95,259,3902,"MU"
2018-05-25,2018,5,"05_25",NA,NA,3005,140,383,95,291,3915,"MU"
2018-05-26,2018,5,"05_26",NA,NA,2971,133,396,91,298,3889,"MU"
2018-05-27,2018,5,"05_27",NA,NA,2956,127,427,83,262,3857,"MU"
2018-05-28,2018,5,"05_28",NA,NA,2906,131,411,87,278,3814,"MU"
2018-05-29,2018,5,"05_29",NA,NA,2981,142,393,92,323,3931,"MU"
2018-05-30,2018,5,"05_30",NA,NA,2875,141,356,96,440,3906,"MU"
2018-05-31,2018,5,"05_31",NA,NA,2929,137,380,106,401,3952,"MU"
2018-06-01,2018,6,"06_01",NA,NA,2965,136,405,107,350,3965,"MU"
2018-06-02,2018,6,"06_02",NA,NA,2853,129,422,106,313,3824,"MU"
2018-06-03,2018,6,"06_03",NA,NA,2634,115,426,107,324,3606,"MU"
2018-06-04,2018,6,"06_04",NA,NA,2558,109,421,107,388,3586,"MU"
2018-06-05,2018,6,"06_05",NA,NA,2768,119,455,106,372,3822,"MU"
2018-06-06,2018,6,"06_06",NA,NA,2797,121,473,106,360,3859,"MU"
2018-06-07,2018,6,"06_07",NA,NA,2684,116,476,105,380,3763,"MU"
2018-06-08,2018,6,"06_08",NA,NA,2684,112,473,105,429,3804,"MU"
2018-06-09,2018,6,"06_09",NA,NA,2659,109,445,103,463,3781,"MU"
2018-06-10,2018,6,"06_10",NA,NA,2455,113,452,100,490,3611,"MU"
2018-06-11,2018,6,"06_11",NA,NA,2290,108,468,103,473,3442,"MU"
2018-06-12,2018,6,"06_12",NA,NA,2406,114,486,106,547,3657,"MU"
2018-06-13,2018,6,"06_13",NA,NA,2419,116,474,106,601,3716,"MU"
2018-06-14,2018,6,"06_14",NA,NA,2440,115,486,106,605,3752,"MU"
2018-06-15,2018,6,"06_15",NA,NA,2556,116,509,106,533,3819,"MU"
2018-06-16,2018,6,"06_16",NA,NA,2628,124,505,107,519,3885,"MU"
2018-06-17,2018,6,"06_17",NA,NA,2590,121,497,108,509,3823,"MU"
2018-06-18,2018,6,"06_18",NA,NA,2391,116,478,108,491,3581,"MU"
2018-06-19,2018,6,"06_19",NA,NA,2620,119,468,107,436,3748,"MU"
2018-06-20,2018,6,"06_20",NA,NA,2747,128,467,107,394,3842,"MU"
2018-06-21,2018,6,"06_21",NA,NA,2841,135,484,107,376,3941,"MU"
2018-06-22,2018,6,"06_22",NA,NA,2875,137,456,107,376,3955,"MU"
2018-06-23,2018,6,"06_23",NA,NA,2899,141,442,103,383,3971,"MU"
2018-06-24,2018,6,"06_24",NA,NA,2856,141,452,101,367,3917,"MU"
2018-06-25,2018,6,"06_25",NA,NA,2664,125,439,101,428,3759,"MU"
2018-06-26,2018,6,"06_26",NA,NA,2713,123,441,101,463,3841,"MU"
2018-06-27,2018,6,"06_27",NA,NA,2595,123,445,101,513,3774,"MU"
2018-06-28,2018,6,"06_28",NA,NA,2535,120,445,104,460,3662,"MU"
2018-06-29,2018,6,"06_29",NA,NA,2400,111,471,106,385,3473,"MU"
2018-06-30,2018,6,"06_30",NA,NA,2492,115,485,106,330,3528,"MU"
2018-07-01,2018,7,"07_01",NA,NA,2594,114,511,104,296,3620,"MU"
2018-07-02,2018,7,"07_02",NA,NA,2521,115,498,99,303,3537,"MU"
2018-07-03,2018,7,"07_03",NA,NA,2483,122,513,98,426,3642,"MU"
2018-07-04,2018,7,"07_04",NA,NA,2368,124,516,98,462,3569,"MU"
2018-07-05,2018,7,"07_05",NA,NA,2319,128,511,99,499,3554,"MU"
2018-07-06,2018,7,"07_06",NA,NA,1910,103,488,72,473,3047,"MU"
2018-07-07,2018,7,"07_07",NA,NA,2592,146,483,100,447,3769,"MU"
2018-07-08,2018,7,"07_08",NA,NA,2628,140,487,101,456,3812,"MU"
2018-07-09,2018,7,"07_09",NA,NA,2524,135,490,102,468,3719,"MU"
2018-07-10,2018,7,"07_10",NA,NA,2593,138,516,102,475,3822,"MU"
2018-07-11,2018,7,"07_11",NA,NA,2636,137,527,102,483,3886,"MU"
2018-07-12,2018,7,"07_12",NA,NA,2572,127,520,102,513,3835,"MU"
2018-07-13,2018,7,"07_13",NA,NA,2480,124,532,102,485,3723,"MU"
2018-07-14,2018,7,"07_14",NA,NA,2430,123,526,103,455,3637,"MU"
2018-07-15,2018,7,"07_15",NA,NA,2389,111,529,103,422,3555,"MU"
2018-07-16,2018,7,"07_16",NA,NA,2320,106,524,103,439,3493,"MU"
2018-07-17,2018,7,"07_17",NA,NA,2382,111,529,102,451,3572,"MU"
2018-07-18,2018,7,"07_18",NA,NA,2352,118,545,102,460,3577,"MU"
2018-07-19,2018,7,"07_19",NA,NA,2447,118,567,101,451,3683,"MU"
2018-07-20,2018,7,"07_20",NA,NA,2467,123,579,101,457,3728,"MU"
2018-07-21,2018,7,"07_21",NA,NA,2452,122,566,96,480,3714,"MU"
2018-07-22,2018,7,"07_22",NA,NA,2311,107,558,95,503,3574,"MU"
2018-07-23,2018,7,"07_23",NA,NA,2106,104,555,102,516,3387,"MU"
2018-07-24,2018,7,"07_24",NA,NA,2268,106,585,109,491,3560,"MU"
2018-07-25,2018,7,"07_25",NA,NA,2370,111,606,113,471,3670,"MU"
2018-07-26,2018,7,"07_26",NA,NA,2294,114,592,110,526,3635,"MU"
2018-07-27,2018,7,"07_27",NA,NA,2129,106,566,109,547,3457,"MU"
2018-07-28,2018,7,"07_28",NA,NA,2158,100,579,115,513,3462,"MU"
2018-07-29,2018,7,"07_29",NA,NA,2226,99,576,114,506,3522,"MU"
2018-07-30,2018,7,"07_30",NA,NA,2223,97,580,118,486,3504,"MU"
2018-08-01,2018,8,"08_01",NA,NA,2432,107,592,119,520,3772,"MU"
2018-08-02,2018,8,"08_02",NA,NA,2437,103,578,104,559,3781,"MU"
2018-08-03,2018,8,"08_03",NA,NA,2502,104,599,79,554,3839,"MU"
2018-08-04,2018,8,"08_04",NA,NA,2536,116,606,78,530,3865,"MU"
2018-08-05,2018,8,"08_05",NA,NA,2569,115,604,78,543,3907,"MU"
2018-08-06,2018,8,"08_06",NA,NA,2472,110,580,79,553,3794,"MU"
2018-08-07,2018,8,"08_07",NA,NA,2482,108,583,78,572,3823,"MU"
2018-08-08,2018,8,"08_08",NA,NA,2567,111,505,78,519,3782,"MU"
2018-08-09,2018,8,"08_09",NA,NA,2587,120,538,78,413,3736,"MU"
2018-08-10,2018,8,"08_10",NA,NA,2648,113,562,78,450,3850,"MU"
2018-08-11,2018,8,"08_11",NA,NA,2673,122,585,79,513,3972,"MU"
2018-08-12,2018,8,"08_12",NA,NA,2530,116,590,78,551,3864,"MU"
2018-08-13,2018,8,"08_13",NA,NA,2328,110,587,78,531,3633,"MU"
2018-08-14,2018,8,"08_14",NA,NA,2445,105,588,78,522,3738,"MU"
2018-08-15,2018,8,"08_15",NA,NA,2549,115,628,78,458,3828,"MU"
2018-08-16,2018,8,"08_16",NA,NA,2341,102,604,78,407,3531,"MU"
2018-08-17,2018,8,"08_17",NA,NA,2373,99,640,78,428,3615,"MU"
2018-08-18,2018,8,"08_18",NA,NA,2389,100,661,78,476,3704,"MU"
2018-08-19,2018,8,"08_19",NA,NA,2453,122,611,78,456,3721,"MU"
2018-08-20,2018,8,"08_20",NA,NA,2293,104,657,78,453,3586,"MU"
2018-08-21,2018,8,"08_21",NA,NA,2341,107,672,78,460,3660,"MU"
2018-08-22,2018,8,"08_22",NA,NA,2386,107,679,78,472,3723,"MU"
2018-08-23,2018,8,"08_23",NA,NA,2420,110,688,78,483,3780,"MU"
2018-08-24,2018,8,"08_24",NA,NA,2395,105,669,76,462,3706,"MU"
2018-08-25,2018,8,"08_25",NA,NA,2444,110,654,74,439,3723,"MU"
2018-08-26,2018,8,"08_26",NA,NA,2387,104,690,75,438,3696,"MU"
2018-08-27,2018,8,"08_27",NA,NA,2224,99,680,78,411,3490,"MU"
2018-08-28,2018,8,"08_28",NA,NA,2393,104,714,78,347,3638,"MU"
2018-08-29,2018,8,"08_29",NA,NA,2464,96,719,79,346,3706,"MU"
2018-08-30,2018,8,"08_30",NA,NA,2476,99,715,78,352,3720,"MU"
2018-08-31,2018,8,"08_31",NA,NA,2402,97,711,76,422,3709,"MU"
2018-09-01,2018,9,"09_01",NA,NA,2462,94,742,78,431,3805,"MU"
2018-09-02,2018,9,"09_02",NA,NA,2412,91,739,73,383,3699,"MU"
2018-09-03,2018,9,"09_03",NA,NA,2190,88,715,73,389,3457,"MU"
2018-09-04,2018,9,"09_04",NA,NA,2304,83,722,74,374,3555,"MU"
2018-09-05,2018,9,"09_05",NA,NA,2605,100,706,74,386,3871,"MU"
2018-09-06,2018,9,"09_06",NA,NA,2418,105,695,69,446,3734,"MU"
2018-09-07,2018,9,"09_07",NA,NA,2420,105,659,68,481,3733,"MU"
2018-09-08,2018,9,"09_08",NA,NA,2490,111,673,64,434,3775,"MU"
2018-09-09,2018,9,"09_09",NA,NA,2489,125,700,68,359,3742,"MU"
2018-09-10,2018,9,"09_10",NA,NA,2475,111,713,64,256,3620,"MU"
2018-09-11,2018,9,"09_11",NA,NA,2652,81,706,41,220,3700,"MU"
2018-09-12,2018,9,"09_12",NA,NA,2713,132,694,69,280,3887,"MU"
2018-09-13,2018,9,"09_13",NA,NA,2733,124,641,69,308,3878,"MU"
2018-09-14,2018,9,"09_14",NA,NA,2808,140,598,70,316,3930,"MU"
2018-09-15,2018,9,"09_15",NA,NA,2837,157,608,84,275,3962,"MU"
2018-09-16,2018,9,"09_16",NA,NA,3087,159,586,87,268,4186,"MU"
2018-09-17,2018,9,"09_17",NA,NA,2837,174,537,86,241,3876,"MU"
2018-09-18,2018,9,"09_18",NA,NA,2855,153,545,86,273,3911,"MU"
2018-09-19,2018,9,"09_19",NA,NA,2899,147,519,82,339,3983,"MU"
2018-09-20,2018,9,"09_20",NA,NA,2935,139,526,80,352,4030,"MU"
2018-09-21,2018,9,"09_21",NA,NA,2926,131,528,78,317,3982,"MU"
2018-09-22,2018,9,"09_22",NA,NA,2759,132,497,69,373,3829,"MU"
2018-09-23,2018,9,"09_23",NA,NA,2511,121,535,69,354,3590,"MU"
2018-09-24,2018,9,"09_24",NA,NA,2402,117,578,69,262,3429,"MU"
2018-09-25,2018,9,"09_25",NA,NA,2538,126,611,69,229,3573,"MU"
2018-09-26,2018,9,"09_26",NA,NA,2551,130,609,69,231,3590,"MU"
2018-09-27,2018,9,"09_27",NA,NA,2698,164,574,75,211,3723,"MU"
2018-09-28,2018,9,"09_28",NA,NA,2729,169,580,80,199,3757,"MU"
2018-09-29,2018,9,"09_29",NA,NA,2767,184,559,79,200,3790,"MU"
2018-09-30,2018,9,"09_30",NA,NA,2799,175,537,79,194,3785,"MU"
2018-10-01,2018,10,"10_01",NA,NA,2733,159,536,79,202,3711,"MU"
2018-10-02,2018,10,"10_02",NA,NA,2813,184,521,79,217,3814,"MU"
2018-10-03,2018,10,"10_03",NA,NA,2791,170,481,79,216,3739,"MU"
2018-10-04,2018,10,"10_04",NA,NA,2892,182,509,80,206,3866,"MU"
2018-10-05,2018,10,"10_05",NA,NA,2753,207,502,75,336,3874,"MU"
2018-10-06,2018,10,"10_06",NA,NA,2847,218,491,72,238,3866,"MU"
2018-10-07,2018,10,"10_07",NA,NA,2828,211,493,71,241,3847,"MU"
2018-10-08,2018,10,"10_08",NA,NA,2788,200,465,69,238,3756,"MU"
2018-10-09,2018,10,"10_09",NA,NA,2867,219,487,69,219,3863,"MU"
2018-10-10,2018,10,"10_10",NA,NA,2858,215,492,64,230,3858,"MU"
2018-10-11,2018,10,"10_11",NA,NA,2908,213,465,64,215,3865,"MU"
2018-10-12,2018,10,"10_12",NA,NA,2877,213,418,69,242,3820,"MU"
2018-10-13,2018,10,"10_13",NA,NA,2875,164,451,78,238,3805,"MU"
2018-10-14,2018,10,"10_14",NA,NA,2870,120,428,87,250,3753,"MU"
2018-10-15,2018,10,"10_15",NA,NA,2824,132,418,86,215,3675,"MU"
2018-10-16,2018,10,"10_16",NA,NA,2927,147,412,84,203,3770,"MU"
2018-10-17,2018,10,"10_17",NA,NA,2917,169,406,85,203,3779,"MU"
2018-10-18,2018,10,"10_18",NA,NA,2900,158,385,85,189,3718,"MU"
2018-10-19,2018,10,"10_19",NA,NA,2790,137,361,74,217,3578,"MU"
2018-10-20,2018,10,"10_20",NA,NA,2766,124,360,74,208,3534,"MU"
2018-10-21,2018,10,"10_21",NA,NA,2820,128,385,74,231,3637,"MU"
2018-10-22,2018,10,"10_22",NA,NA,2785,144,366,74,236,3603,"MU"
2018-10-23,2018,10,"10_23",NA,NA,2833,154,408,86,216,3697,"MU"
2018-10-23,2018,10,"10_23",NA,NA,2833,154,408,86,216,3697,"MU"
2018-10-24,2018,10,"10_24",NA,NA,2921,139,383,94,208,3744,"MU"
2018-10-25,2018,10,"10_25",NA,NA,2857,188,376,96,212,3729,"MU"
2018-10-26,2018,10,"10_26",NA,NA,2871,190,364,97,221,3742,"MU"
2018-10-27,2018,10,"10_27",NA,NA,2840,174,340,96,261,3712,"MU"
2018-10-28,2018,10,"10_28",NA,NA,2829,159,345,96,258,3686,"MU"
2018-10-29,2018,10,"10_29",NA,NA,2719,144,316,97,272,3549,"MU"
2018-10-30,2018,10,"10_30",NA,NA,2762,158,344,98,267,3628,"MU"
2018-10-31,2018,10,"10_31",NA,NA,2738,194,368,97,250,3649,"MU"
2018-11-01,2018,11,"11_01",NA,NA,2796,188,353,96,251,3686,"MU"
2018-11-02,2018,11,"11_02",NA,NA,2817,163,320,93,226,3620,"MU"
2018-11-03,2018,11,"11_03",NA,NA,2825,177,322,92,209,3627,"MU"
2018-11-04,2018,11,"11_04",NA,NA,2810,152,332,94,219,3609,"MU"
2018-11-05,2018,11,"11_05",NA,NA,2676,129,338,95,267,3504,"MU"
2018-11-06,2018,11,"11_06",NA,NA,2787,130,334,96,239,3587,"MU"
2018-11-07,2018,11,"11_07",NA,NA,2736,127,310,96,225,3493,"MU"
2018-11-08,2018,11,"11_08",NA,NA,2541,116,261,96,228,3241,"MU"
2018-11-09,2018,11,"11_09",NA,NA,2436,107,274,96,219,3131,"MU"
2018-11-10,2018,11,"11_10",NA,NA,2530,106,296,96,213,3242,"MU"
2018-11-11,2018,11,"11_11",NA,NA,2621,107,303,97,209,3336,"MU"
2018-11-12,2018,11,"11_12",NA,NA,2637,105,275,96,208,3324,"MU"
2018-11-13,2018,11,"11_13",NA,NA,2712,124,306,95,205,3441,"MU"
2018-11-14,2018,11,"11_14",NA,NA,2742,143,301,96,197,3479,"MU"
2018-11-15,2018,11,"11_15",NA,NA,2769,110,297,95,197,3469,"MU"
2018-11-16,2018,11,"11_16",NA,NA,2725,120,293,94,255,3486,"MU"
2018-11-17,2018,11,"11_17",NA,NA,2665,121,278,94,263,3422,"MU"
2018-11-18,2018,11,"11_18",NA,NA,2729,124,284,95,202,3433,"MU"
2018-11-19,2018,11,"11_19",NA,NA,2680,120,254,90,208,3350,"MU"
2018-11-20,2018,11,"11_20",NA,NA,2750,118,271,84,213,3435,"MU"
2018-11-21,2018,11,"11_21",NA,NA,2729,123,260,81,241,3432,"MU"
2018-11-22,2018,11,"11_22",NA,NA,2750,124,263,77,245,3459,"MU"
2018-11-23,2018,11,"11_23",NA,NA,2701,122,249,79,264,3415,"MU"
2018-11-24,2018,11,"11_24",NA,NA,2662,120,259,80,270,3390,"MU"
2018-11-25,2018,11,"11_25",NA,NA,2666,123,274,80,237,3380,"MU"
2018-11-26,2018,11,"11_26",NA,NA,2630,119,242,80,217,3288,"MU"
2018-11-27,2018,11,"11_27",NA,NA,2688,113,254,80,238,3370,"MU"
2018-11-28,2018,11,"11_28",NA,NA,2688,126,253,80,248,3394,"MU"
2018-11-29,2018,11,"11_29",NA,NA,2704,124,249,80,283,3440,"MU"
